"A.ASBX.EPS.","D.RHM.EPS.","I.LDO.EPS.","F.CSF.EPS.","BA..EPS.","RR..EPS.","TK.ASE.EPS.","IS.ESLT.EPS.","U.NOC.EPS.","U.RTX.EPS.","U.HII.EPS.","U.LMT.EPS.","X.AXON.EPS.","X.MANT.EPS.","U.BWXT.EPS.","U.CW.EPS.","X.SWBI.EPS.","U.GD.EPS.","U.RGR.EPS.","X.POWW.EPS.","U.CACI.EPS.","X.HON.EPS."
0.09,4.46,0.3,4.24,0.53,0.25,0.02,1.2,10.39,5.08,8.36,11.45,0.36,1.36,1.22,3.05,1.11,9.07,3.21,0,5.47,5.75
0.09,4.46,0.3,4.24,0.53,0.25,0.02,1.2,10.39,5.08,8.36,11.45,0.36,1.36,1.22,3.05,1.11,9.07,3.21,0,5.47,5.75
0.09,4.46,0.97,4.24,0.53,0.25,0.02,1.2,10.39,5.08,8.36,11.45,0.36,1.36,1.22,3.05,1.11,9.07,3.21,0,5.47,5.75
0.09,4.46,0.97,4.24,0.53,0.25,0.02,1.2,10.39,5.08,8.36,11.45,0.36,1.36,1.22,3.05,1.11,9.07,3.21,0,5.47,5.75
0.09,4.46,0.97,4.24,0.53,0.25,0.02,1.2,10.39,5.08,8.36,11.45,0.36,1.36,1.22,3.05,1.11,9.07,3.21,0,5.47,5.75
0.09,4.46,0.97,4.24,0.53,0.25,0.02,1.2,10.39,5.08,8.36,11.45,0.36,1.36,1.22,3.05,1.11,9.07,3.21,0,5.47,5.75
0.09,4.46,0.97,4.24,0.53,0.25,0.02,1.36,10.39,5.08,8.36,11.45,0.36,1.36,1.22,3.05,1.11,9.07,3.21,0,5.47,5.75
0.09,4.46,0.97,4.24,0.53,0.25,0.02,1.36,10.39,5.08,8.36,11.45,0.36,1.36,1.22,3.05,1.11,9.07,3.21,0,5.47,5.75
0.09,4.46,0.97,4.24,0.53,0.25,0.02,1.36,10.39,5.08,8.36,11.45,0.36,1.36,1.22,3.05,1.11,9.07,3.21,0,5.47,5.75
0.09,4.46,0.97,4.24,0.53,0.25,0.02,1.36,10.39,5.08,8.36,11.45,0.36,1.36,1.22,3.05,1.11,9.07,3.21,0,5.47,5.75
0.09,4.46,0.97,4.24,0.53,0.25,0.02,1.36,10.39,5.08,8.36,11.45,0.36,1.36,1.22,3.05,1.11,9.07,3.21,0,5.47,5.75
0.09,4.46,0.97,4.24,0.53,0.25,0.02,1.36,10.39,5.08,8.36,11.45,0.36,1.36,1.22,3.05,1.11,9.07,3.21,0,5.47,5.75
0.09,4.46,0.97,4.24,0.53,0.25,0.02,1.36,10.39,5.08,8.36,11.45,0.36,1.36,1.22,3.05,1.11,9.07,3.21,0,5.47,5.75
0.09,4.46,0.97,4.24,0.53,0.25,0.02,1.36,10.39,5.08,8.36,11.45,0.36,1.36,1.22,3.05,1.11,9.07,3.21,0,5.47,5.75
0.09,4.46,0.97,4.24,0.53,0.25,0.02,1.36,10.39,5.08,8.36,11.45,0.36,1.36,1.22,3.05,1.11,9.07,3.21,0,5.47,5.75
0.09,4.46,0.97,4.24,0.53,0.25,0.02,1.36,10.39,5.08,8.36,11.45,0.36,1.36,1.22,3.05,1.11,9.07,3.21,0,5.47,5.75
0.09,4.46,0.97,4.24,0.53,0.25,0.02,1.36,10.39,5.08,8.36,11.45,0.36,1.36,1.22,3.05,1.11,9.07,3.21,0,5.47,5.75
0.09,4.46,0.97,4.24,0.53,0.25,0.02,1.36,10.39,5.08,8.36,11.45,0.36,1.36,1.22,3.05,1.11,9.07,3.21,0,5.47,5.75
0.09,4.46,0.97,4.24,0.53,0.25,0.02,1.36,10.39,5.08,8.36,11.45,0.36,1.36,1.22,3.05,1.11,9.07,3.21,0,5.47,5.75
0.09,4.46,0.97,4.24,0.53,0.25,0.02,1.36,10.39,5.08,8.36,11.45,0.36,1.36,1.22,3.05,1.11,9.07,3.21,0,5.47,5.75
