"A.ASBX.EPS.","D.RHM.EPS.","I.LDO.EPS.","F.CSF.EPS.","BA..EPS.","RR..EPS.","TK.ASE.EPS.","IS.ESLT.EPS.","U.NOC.EPS.","U.RTX.EPS.","U.HII.EPS.","U.LMT.EPS.","X.AXON.EPS.","X.MANT.EPS.","U.BWXT.EPS.","U.CW.EPS.","X.SWBI.EPS.","U.GD.EPS.","U.RGR.EPS.","X.POWW.EPS.","U.CACI.EPS.","X.HON.EPS."
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.37,3.91,8.34,11.27,0.37,1.38,0.28,1.91,0.79,8.77,1.58,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.37,3.91,8.34,11.27,0.37,1.38,0.28,1.91,0.79,8.77,1.58,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.37,3.91,8.34,11.27,0.37,1.38,0.28,1.91,0.79,8.77,1.58,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.37,3.91,8.34,11.27,0.37,1.38,0.28,1.91,0.79,8.77,1.58,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.37,3.91,8.34,11.27,0.37,1.38,0.28,1.91,0.79,8.77,1.58,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.37,3.91,8.34,11.27,0.37,1.38,0.28,1.91,0.79,8.77,1.58,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.37,3.91,8.34,11.27,0.37,1.38,0.28,1.91,0.79,8.77,1.58,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.37,3.91,8.34,11.27,0.37,1.38,0.28,1.91,0.79,8.77,1.58,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.37,3.91,8.34,11.27,0.37,1.38,0.28,1.91,0.79,8.77,1.58,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.37,3.91,8.34,11.27,0.37,1.38,0.28,1.91,0.79,8.77,1.58,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.37,3.91,8.34,11.27,0.37,1.38,0.28,1.91,0.79,8.77,1.58,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.37,3.91,8.34,11.27,0.37,1.38,0.28,1.91,0.79,8.77,1.58,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.37,3.91,8.34,11.27,0.37,1.38,0.28,1.91,0.79,8.77,1.58,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.37,3.91,8.34,11.27,0.37,1.38,0.28,1.91,0.79,8.77,1.58,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.37,3.91,8.34,11.27,0.37,1.38,0.28,1.91,0.79,8.77,1.58,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.37,3.91,8.34,11.27,0.37,1.38,0.28,1.91,0.79,8.77,1.58,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.37,3.91,8.34,11.27,0.37,1.38,0.28,1.91,0.79,8.77,1.58,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.37,3.91,8.34,11.27,0.37,1.38,0.28,1.91,0.79,8.77,1.58,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.37,3.91,8.34,11.27,0.37,1.38,0.28,1.91,0.79,8.77,1.58,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.37,3.91,8.34,11.27,0.37,1.38,0.28,1.91,0.79,8.77,1.58,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.37,3.91,8.34,11.27,0.37,1.38,0.28,1.91,0.79,8.77,1.58,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.37,3.91,8.34,11.27,0.37,1.38,0.28,1.91,0.79,8.77,1.58,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.37,3.91,8.34,11.27,0.37,1.38,0.28,1.91,0.79,8.77,1.58,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.37,3.91,8.34,11.27,0.37,1.38,0.28,1.91,0.79,8.77,1.58,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.37,3.91,8.34,11.27,0.37,1.38,0.28,1.91,0.79,8.77,1.58,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.37,3.91,8.34,11.27,0.37,1.38,0.28,1.91,0.79,8.77,1.58,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.37,3.91,8.34,11.27,0.37,1.38,0.28,1.91,0.79,8.77,1.58,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.37,3.91,8.34,11.27,0.37,1.38,0.28,1.91,0.79,8.77,1.58,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.37,3.91,8.34,11.27,0.37,1.38,0.28,1.91,0.79,8.77,1.58,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.37,3.91,8.34,11.27,0.37,1.38,0.28,1.91,0.79,8.77,1.58,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.37,3.91,8.34,11.27,0.37,1.38,0.28,1.91,0.79,8.77,1.58,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.37,3.91,8.34,11.45,0.37,1.38,0.28,1.91,0.79,8.77,1.58,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.37,3.91,8.34,11.45,0.37,1.38,0.28,1.91,0.79,9.07,1.58,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.37,5.08,8.34,11.45,0.37,1.38,0.28,1.91,0.79,9.07,1.58,0,5.25,5.44
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.39,5.08,8.34,11.45,0.37,1.38,0.28,1.91,0.79,9.07,1.58,0,5.25,5.75
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.39,5.08,8.34,11.45,0.37,1.38,0.28,1.91,0.79,9.07,1.58,0,5.25,5.75
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.39,5.08,8.34,11.45,0.37,1.38,0.28,1.91,0.79,9.07,1.58,0,5.25,5.75
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.39,5.08,8.34,11.45,0.37,1.38,0.28,1.91,0.79,9.07,1.58,0,5.25,5.75
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.39,5.08,8.34,11.45,0.37,1.38,0.28,1.91,0.79,9.07,1.58,0,5.25,5.75
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.39,5.08,8.34,11.45,0.37,1.38,0.28,1.91,0.79,9.07,1.58,0,5.47,5.75
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.39,5.08,8.34,11.45,0.37,1.38,0.28,1.91,0.79,9.07,1.58,0,5.47,5.75
0.12,3.09,0.3,2.99,0.49,0.24,0,1.2,10.39,5.08,8.34,11.45,0.37,1.38,0.28,1.91,0.79,9.07,1.58,0,5.47,5.75
0.12,3.09,0.3,2.99,0.49,0.25,0,1.2,10.39,5.08,8.34,11.45,0.37,1.38,0.28,1.91,0.79,9.07,1.58,0,5.47,5.75
0.12,3.09,0.3,2.99,0.49,0.25,0,1.2,10.39,5.08,8.34,11.45,0.37,1.38,0.28,1.91,0.79,9.07,1.58,0,5.47,5.75
0.12,3.09,0.3,2.99,0.49,0.25,0,1.2,10.39,5.08,8.34,11.45,0.37,1.38,0.28,1.91,0.79,9.07,1.58,0,5.47,5.75
0.12,3.09,0.3,2.99,0.49,0.25,0,1.2,10.39,5.08,8.34,11.45,0.37,1.38,0.28,1.91,0.79,9.07,1.58,0,5.47,5.75
0.12,3.09,0.3,2.99,0.53,0.25,0,1.2,10.39,5.08,8.34,11.45,0.37,1.38,0.28,1.91,0.79,9.07,1.58,0,5.47,5.75
0.12,3.09,0.3,2.99,0.53,0.25,0,1.2,10.39,5.08,8.34,11.45,0.37,1.36,0.28,1.91,0.79,9.07,1.58,0,5.47,5.75
0.12,3.09,0.3,2.99,0.53,0.25,0,1.2,10.39,5.08,8.36,11.45,0.37,1.36,0.28,1.91,0.79,9.07,1.58,0,5.47,5.75
0.09,3.09,0.3,4.24,0.53,0.25,0,1.2,10.39,5.08,8.36,11.45,0.37,1.36,0.28,1.91,0.79,9.07,1.58,0,5.47,5.75
0.09,3.09,0.3,4.24,0.53,0.25,0,1.2,10.39,5.08,8.36,11.45,0.37,1.36,0.28,1.91,0.79,9.07,1.58,0,5.47,5.75
0.09,3.09,0.3,4.24,0.53,0.25,0,1.2,10.39,5.08,8.36,11.45,0.37,1.36,0.28,1.91,0.79,9.07,1.58,0,5.47,5.75
0.09,4.46,0.3,4.24,0.53,0.25,0,1.2,10.39,5.08,8.36,11.45,0.37,1.36,1.22,1.91,0.79,9.07,3.21,0,5.47,5.75
0.09,4.46,0.3,4.24,0.53,0.25,0,1.2,10.39,5.08,8.36,11.45,0.37,1.36,1.22,3.05,0.79,9.07,3.21,0,5.47,5.75
0.09,4.46,0.3,4.24,0.53,0.25,0,1.2,10.39,5.08,8.36,11.45,0.37,1.36,1.22,3.05,0.79,9.07,3.21,0,5.47,5.75
0.09,4.46,0.3,4.24,0.53,0.25,0,1.2,10.39,5.08,8.36,11.45,0.37,1.36,1.22,3.05,0.79,9.07,3.21,0,5.47,5.75
0.09,4.46,0.3,4.24,0.53,0.25,0,1.2,10.39,5.08,8.36,11.45,0.36,1.36,1.22,3.05,0.79,9.07,3.21,0,5.47,5.75
0.09,4.46,0.3,4.24,0.53,0.25,0,1.2,10.39,5.08,8.36,11.45,0.36,1.36,1.22,3.05,0.79,9.07,3.21,0,5.47,5.75
0.09,4.46,0.3,4.24,0.53,0.25,0.02,1.2,10.39,5.08,8.36,11.45,0.36,1.36,1.22,3.05,1.11,9.07,3.21,0,5.47,5.75
0.09,4.46,0.3,4.24,0.53,0.25,0.02,1.2,10.39,5.08,8.36,11.45,0.36,1.36,1.22,3.05,1.11,9.07,3.21,0,5.47,5.75
0.09,4.46,0.3,4.24,0.53,0.25,0.02,1.2,10.39,5.08,8.36,11.45,0.36,1.36,1.22,3.05,1.11,9.07,3.21,0,5.47,5.75
0.09,4.46,0.3,4.24,0.53,0.25,0.02,1.2,10.39,5.08,8.36,11.45,0.36,1.36,1.22,3.05,1.11,9.07,3.21,0,5.47,5.75
0.09,4.46,0.3,4.24,0.53,0.25,0.02,1.2,10.39,5.08,8.36,11.45,0.36,1.36,1.22,3.05,1.11,9.07,3.21,0,5.47,5.75
