"A.TWEX.PB.","B.ABI.PB.","H.HB.PB.","F.RCD.PB.","I.CPR.PB.","DGE.PB.","K.BBCA.PB.","K.CHRE.PB.","DK.CAB.PB.","DK.RBR.PB.","CN.KCM.PB.","CN.YWU.PB.","CN.JYB.PB.","CN.TTB.PB.","IN.MLC.PB.","IN.UBB.PB.","MX.BEC.PB.","BR.AVS.PB.","CL.CVZ.PB.","U.STZ.PB.","U.BF.B.PB.","U.TAP.PB.","U.SAM.PB."
5.68,127.31,89.34,115.78,4.41,23.59,0,1.72,87.6,41.4,223.08,25.95,68.55,32.85,8.74,13.05,0,4.77,10.7,137.65,40.38,91.9,206.55
5.75,129.62,91.07,118.03,4.58,23.91,0,1.69,90.46,41.09,223.4,26.16,68.17,32.8,8.62,12.96,0,4.71,10.83,139.23,40.53,93.72,205.19
5.86,130.31,91,119.64,4.64,24.05,0,1.74,93.17,42.7,222.36,25.95,67.14,32.82,8.52,12.82,0,4.79,11.11,142.93,41.31,94.14,207.78
5.95,133.89,91.82,122.12,4.66,24.08,0,1.76,93.79,42.56,224.84,26.6,67.86,33.24,8.52,12.9,0,4.79,10.89,139.92,40.58,93.72,207.35
6.01,132.27,90.28,120.11,4.61,23.74,0,1.77,93.63,42.39,226.77,27.03,69.76,33.52,8.61,13.16,0,4.77,10.48,138.58,40.08,92.55,205.71
5.98,130.31,88.91,118.43,4.54,23.7,0,1.78,93.09,41.34,236.24,28.84,73.68,35.91,8.68,13.29,0,4.76,10.82,141.38,40.22,92.75,204.38
5.93,129.74,89.36,117.97,4.43,23.7,0,1.86,93.09,41.89,234.34,28.84,71.84,35.19,8.62,13.17,0,4.74,10.82,142.61,40.86,93.1,206.15
5.89,132.5,90.93,120.45,4.56,24.34,0,1.88,94.25,41.71,232.77,28.61,70.89,35.3,8.65,13.15,0,4.81,11.04,143.65,41.25,93.94,203.53
5.95,132.5,91.49,121.09,4.59,24.31,0,1.87,94.57,41.63,233.92,28.79,70.72,34.96,8.6,13.33,0,4.83,10.97,142.97,40.76,93.92,205.34
5.98,131.53,90.45,119.84,4.52,24.31,0,1.85,94.25,41.9,233.81,28.25,69.95,35.13,8.7,13.5,0,4.8,10.99,142.66,40.62,93.27,204.94
5.98,132.16,90.41,119.88,4.53,24.49,0,1.85,94.25,42.3,228.23,27.49,69.27,34.1,8.74,13.53,0,4.79,11.12,143.24,40.76,93.45,203.62
5.95,134.46,92.57,122.41,4.66,24.67,0,1.87,94.95,42.71,228.87,28.36,69.73,34.29,8.49,13.4,0,4.81,11.21,144.18,40.78,94.85,204.06
5.96,133.48,91.97,122.18,4.61,24.66,0,1.87,94.79,43.27,227.09,28.7,69.68,34.77,8.31,13.36,0,4.72,11.25,144.14,40.57,94.54,202.65
6.05,131.93,90.75,121.32,4.51,24.38,0,1.95,93.72,43,227.07,28.4,71.39,34.55,8.56,13.49,0,4.61,11.2,142.41,39.71,93.92,201.91
6.08,129.98,89.68,119.15,4.45,23.97,0,1.94,92.8,42.25,222.66,27.63,71.66,33.48,8.57,13.46,0,4.54,11.06,140.27,39.05,92.74,201.27
5.98,129.62,89.55,117.4,4.47,23.87,0,1.89,93.24,41.79,218.71,27.97,70.62,32.31,8.48,13.36,0,4.54,10.91,140.72,38.87,92.22,199.25
5.81,131.35,90.51,117.57,4.55,24.25,0,1.88,94.41,41.86,221.16,27.08,69.77,32.13,8.36,13.52,0,4.61,10.82,143.65,38.89,92.64,194.63
5.82,129.74,90.03,116.99,4.48,24.18,0,1.88,92.01,41.54,220.81,27.68,69.51,32.78,8.23,13.41,0,4.57,10.82,143.08,38.14,90.76,190.48
5.77,127.54,87.89,115.3,4.37,23.64,0,1.76,91.85,41.86,208.32,25.04,67.06,30.73,7.89,13.16,0,4.45,10.82,149.5,37.35,90.36,192.14
5.77,124.03,86.64,114.35,4.36,23.77,0,1.79,91,41.68,212.79,26.99,63.54,31.71,8.05,13,0,4.51,10.69,146.98,37.2,89.19,177.2
5.69,126.51,87.61,114.37,4.41,23.71,0,1.79,89.61,40.9,208.15,25.07,61.66,30.92,7.84,12.75,0,4.44,10.4,147.05,37.55,88.46,171.25
5.79,125.53,88.73,115.32,4.49,24.13,0,1.78,87.83,42.23,205.07,25.07,62.54,30.55,8.07,12.53,0,4.48,10.17,147,37.81,89.54,172.32
5.85,126.1,88.76,115.84,4.57,24.32,0,1.77,86.28,42.58,208.09,25.11,61.31,30.08,7.96,12.39,0,4.45,9.8,144.1,36.6,87.59,167.25
5.7,122.47,86.55,113.75,4.44,23.77,0,1.76,84.96,41.09,213.16,25.3,63.3,30.27,7.87,12.48,0,4.43,9.98,143.34,37.08,86.73,168.65
5.66,122.7,86.2,111.95,4.38,23.52,0,1.74,82.18,40.01,207.25,24.58,61.97,29.17,7.64,12.28,0,4.38,10.09,142.75,36.78,86.05,163.99
5.55,123.91,86.33,111.3,4.33,23.37,0,1.71,82.1,39.79,207.74,24.92,62.32,29.08,7.36,11.72,0,4.29,10.08,143.99,36.82,86.68,164.3
5.56,126.68,87.45,113.73,4.43,24.01,0,1.74,82.8,40.42,218.87,25.93,63.97,29.89,7.81,11.99,0,4.43,9.95,145.67,37.05,87.2,166.07
5.69,121.37,85.46,111.8,4.27,23.35,0,1.71,80.17,39.53,210.85,25.63,61.45,29.22,7.72,11.45,0,4.37,10,145.14,36.74,86.26,163.56
5.75,123.97,87.42,115.55,4.35,23.99,0,1.47,81.95,40.41,208.42,25.03,60.87,28.89,7.7,11.38,0,4.31,10,143.43,36.24,86.56,163.76
6.77,128.47,88.64,118.95,4.42,24.39,0,1.54,83.65,42.25,210.91,25.08,60.52,29.36,7.9,11.22,0,4.45,10.34,148.76,36.88,88.9,164.57
6.44,129.79,89.34,118.38,4.48,24.19,0,1.44,83.8,42.02,211.13,25.44,62.43,29.37,7.71,11.16,0,4.4,10.36,148.25,36.87,87.6,163.57
6.28,130.2,89.13,119.59,4.52,24.58,0,1.44,85.35,42.64,207.26,24.53,62.39,27.63,7.45,11.08,0,4.43,10.4,148.48,37.5,87.74,169.51
6.52,131.18,90.4,119.88,4.55,24.5,0,1.43,85.66,42.56,208.09,23.9,60.93,27.72,7.32,11.03,0,4.7,10.39,146.11,37.11,87.77,171.76
6.69,129.1,89.37,119.47,4.43,24.18,0,1.48,86.2,42.76,205.75,23.62,59.4,28.12,7.31,11.07,0,4.69,10.7,151.8,37.92,88.44,170.18
6.59,133.43,92.19,124.43,4.65,24.75,0,1.45,88.99,44.49,208.55,24.63,61.25,28.64,7.13,11.02,0,4.92,11.12,152.4,39.1,90.46,179.16
6.65,133.89,92.74,125.24,4.61,25.09,0,1.49,90.3,44.96,209.55,25.02,61.02,28.05,6.98,11.06,0,4.85,11.28,154.36,38.5,91.91,178.69
6.61,133.48,92.12,123.33,4.61,25.03,0,1.48,89.38,44.8,212.99,25.2,62.07,28.38,7.01,11.56,0,4.75,10.78,152.53,38.31,91.55,174.91
6.43,129.5,92.21,122.12,4.51,24.56,0,1.48,87.6,44.28,211.73,25.29,62.05,27.87,7.19,11.34,0,4.77,10.16,150.32,38.53,89.95,180.23
6.59,126.68,88.8,119.7,4.31,24,0,1.43,87.98,43.58,213.31,25.32,62,28.14,7.01,11.56,0,4.85,10.27,146.8,38.5,87.61,178.34
6.43,123.68,86.97,116.53,4.28,23.6,0,1.45,88.68,42.1,212.12,24.66,62.39,28,7.53,11.62,0,4.79,10.09,137.94,38.56,86.92,179.1
6.39,118.72,86.25,115.55,4.08,23.4,0,1.46,84.81,39.93,209.67,23.17,62.26,27.63,7.45,11.61,0,4.75,10.02,134.97,37.72,83.89,184.72
6.25,118.9,86.69,113.3,4.14,23.42,0,1.45,84.66,38.92,207.32,23.46,61.63,27.27,7.12,11.61,0,4.75,9.82,136.09,38.35,83.86,180.33
6.19,119.82,84.02,114.82,4.23,23.41,0,1.44,88.52,40.04,205.56,24.1,60.86,27.03,6.94,11.58,0,4.74,9.98,138.81,38.1,84.18,177.57
6.33,116.01,81.96,107.11,4,22.91,0,1.44,89.07,40.86,204.88,24.95,60.27,26.96,6.58,11.48,0,4.69,9.84,135.62,38.21,83.64,179.42
6.22,117.91,82.35,107.61,4.05,23.09,0,1.46,91.23,40.46,205.76,24.99,60.2,27.15,6.62,11.46,0,4.73,10.02,137.99,38.8,84.13,185.05
6.3,121.09,84.7,110.07,4.13,23.76,0,1.48,94.33,41.94,208.69,24.23,61.01,27.69,6.77,11.39,0,4.73,10,138.75,39.03,84.05,184.86
6.33,120.34,84.5,108.32,4.02,23.79,0,1.51,93.32,42.14,212.16,25.03,62.41,28.38,6.59,11.19,0,4.74,10.02,139.33,39.27,84.64,184.53
6.38,122.18,85.38,111.6,4.12,24.06,0,1.55,94.02,42.45,210.65,24.93,62.28,28.43,6.61,11.5,0,4.82,9.99,141.99,39.92,86.21,188.58
6.63,121.61,85.16,111.41,4.09,23.98,0,1.56,94.33,42.79,209.97,24.42,61.11,28.46,6.49,11.39,0,4.86,10.02,140.31,40.47,84.72,184.2
6.88,120.8,85.08,111.63,4.12,24,0,1.54,93.32,42.73,211.29,24.26,61.32,28.4,6.9,11.58,0,4.83,10.04,139.52,40.8,85.53,181.07
6.91,122.41,86.1,113.54,4.18,24.41,0,1.55,93.86,43.57,216.43,24.83,62.41,28.97,7.09,11.48,0,4.91,10.06,140.57,41.11,86.79,192.29
6.96,122.18,85.91,114.04,4.18,24.48,0,1.54,94.17,43.36,221.16,25,64.04,29.12,7.29,11.35,0,4.81,9.83,139.47,41.08,85.58,190.9
6.82,119.64,84.55,111.94,4.13,24.53,0,1.54,89.84,43.19,226.64,25.19,63.62,29.15,7.39,11.27,0,4.8,9.7,139.08,40.95,86.14,190.33
6.86,117.57,85.76,113.31,4.23,24.65,0,1.49,91.93,43.33,221.21,24.03,60.11,27.64,7.57,11.35,0,4.68,9.7,143.62,41.35,86.61,191.9
6.91,117.74,85.75,113.29,4.2,24.49,0,1.46,92.32,43.26,226.03,24.41,61.27,27.84,7.78,11.42,0,4.66,9.79,142.02,40.04,85.18,188.85
7.02,119.47,85.52,113.14,4.18,24.41,0,1.48,91.62,43.3,223.79,23.39,59.69,27.67,7.59,11.48,0,4.65,9.91,141.4,39.39,85.25,187.99
6.85,120.22,88.14,115.55,4.33,24.71,0,1.5,92.86,43.32,227.51,23.78,61.51,27.79,7.51,11.51,0,4.81,10.11,144.5,39.06,86.53,189.06
