"A.TWEX.PB.","B.ABI.PB.","H.HB.PB.","F.RCD.PB.","I.CPR.PB.","DGE.PB.","K.BBCA.PB.","K.CHRE.PB.","DK.CAB.PB.","DK.RBR.PB.","CN.KCM.PB.","CN.YWU.PB.","CN.JYB.PB.","CN.TTB.PB.","IN.MLC.PB.","IN.UBB.PB.","MX.BEC.PB.","BR.AVS.PB.","CL.CVZ.PB.","U.STZ.PB.","U.BF.B.PB.","U.TAP.PB.","U.SAM.PB."
8.57,115.84,89.56,124.14,5.53,29.58,0,2.25,94.95,41.96,382.48,42.82,87.75,34.37,6.38,11.07,3.29,4.52,11.15,156.42,37.09,96.76,153.6
8.57,115.78,89.94,124.66,5.54,29.61,0,2.25,94.17,44.57,385.26,42.35,86.76,34.02,6.32,10.93,3.3,4.57,11.24,155.79,36.97,96.77,151.85
9.14,116.13,89.94,124.55,5.63,29.8,0,2.26,94.71,45.76,384.94,42.35,88.74,34.48,6.29,10.92,3.33,4.57,11.34,157.56,37.11,97.08,146.6
8.93,116.3,89.88,125.06,5.62,29.83,0,2.27,94.56,45.7,386.86,43.37,89.89,34.8,6.31,10.97,3.33,4.59,11.39,158.36,36.99,97.49,146.9
8.93,116.47,90.33,125.47,5.62,30.19,0,2.24,95.02,45.45,384.84,43.1,90.01,34.37,6.4,11.04,3.3,4.52,11.46,159.1,37.06,97.09,145.85
8.76,116.36,90.26,124.78,5.64,30.03,0,2.27,94.79,45.18,390.36,43.26,89.36,34.12,6.47,11.06,3.29,4.57,11.47,162.07,37.44,97.92,148.05
8.81,118.66,90.8,125.18,5.72,30.12,0,2.28,95.8,44.63,390.12,42.73,88.93,34.04,6.32,11.01,3.32,4.57,11.5,162.02,37.34,98.22,148.35
8.85,120.39,91.91,126.79,5.83,30.45,0,2.29,96.65,44.79,394.21,42.45,88.79,33.95,6.27,11.04,3.34,4.54,11.6,161.68,37.42,98.36,149.3
8.85,120.05,91.83,126.85,5.84,30.58,0,2.27,97.11,44.96,402.44,42.79,89.74,34.08,6.23,11.04,3.39,4.66,11.76,162.54,37.45,98.63,149.05
8.82,119.53,91.99,126.74,5.82,30.45,0,2.39,96.65,44.77,410.46,45.17,93.4,35.1,6.17,10.99,3.43,4.6,11.8,164.56,37.83,98.02,148.25
8.75,118.49,91.51,127.6,5.81,30.33,0,2.37,95.1,44.28,410.82,45.77,93.74,34.85,6.1,10.94,3.44,4.57,11.96,164.18,38.02,97.52,149.25
8.78,119.01,91,125.06,5.9,30.22,0,2.31,95.88,44.01,405.93,45.37,92.42,34.67,6.26,10.96,3.42,4.61,11.99,162.71,37.92,97.26,148.95
8.78,118.03,90.28,124.55,5.88,30.31,0,2.31,96.65,44.34,402.73,45.02,92.28,35.41,6.31,10.98,3.36,4.65,11.86,164.07,37.68,97,149.1
8.76,117.91,91.17,124.37,5.94,30.17,0,2.29,96.88,44.54,394.58,44.32,90.61,35.71,6.26,10.95,3.4,4.68,11.95,163.73,37.46,96.45,149.1
8.78,118.66,91.01,125.35,6.01,30.29,0,2.28,97.81,44.57,396.03,44.55,90.64,35.39,6.25,11.1,3.39,4.73,11.91,162.45,37.44,96.3,144.95
8.85,118.61,91.3,126.33,6.01,30.41,0,2.26,100.29,44.42,399.52,44.88,92.38,34.97,6.29,11.09,3.4,4.8,12.09,163.69,37.39,96.65,145.45
8.9,118.78,91.43,126.51,6.08,30.31,0,2.3,99.67,44.57,401.51,44.49,90.38,34.18,6.25,11.07,3.41,4.82,12.18,162.44,37.09,95.55,145.6
8.93,118.66,91.99,127.72,6.27,29.99,0,2.26,99.67,45.35,402.44,44.78,91.01,34.2,6.19,10.95,3.51,4.82,11.92,162.08,36.92,95.69,144.55
8.87,119.18,92.14,127.95,6.21,29.93,0,2.3,99.28,45.24,403.1,44.84,91.85,34.43,5.83,10.91,3.5,4.76,11.47,161.66,36.69,95.45,144.55
8.85,119.53,92.09,128.64,6.3,30.03,0,2.32,100.05,45.5,404.04,44.69,91.78,34.5,5.71,10.87,3.48,4.77,12.05,161.48,36.64,95.57,141.8
8.85,119.64,92.45,128.7,6.2,30.03,0,2.34,99.98,45.66,405.71,44.9,90.88,34.26,5.77,10.86,3.47,4.72,12.11,161.36,36.55,95.43,140.35
8.78,119.53,92.53,128.81,6.21,30.1,0,2.36,100.13,45.52,408.21,44.72,89.73,33.85,5.8,10.91,3.49,4.73,12.07,171.71,36.49,95.98,141.4
8.78,119.7,92.36,128.81,6.14,29.96,0,2.42,100.05,45.62,409.3,44.45,88.9,33.86,5.77,10.91,3.42,4.77,12.02,170.37,36.52,95.38,139.8
8.75,120.39,93.11,129.56,6.16,29.97,0,2.39,100.6,45.92,405.23,43.39,85.67,33.29,5.38,10.7,3.36,4.76,12.09,171.28,36.78,95.86,142.25
8.76,119.13,93.47,130.14,6.17,30.09,0,2.38,101.22,46.06,401.3,42.65,86.42,33.41,5.4,10.7,3.35,4.66,12.02,170.35,36.75,95.56,141.4
8.76,119.3,93.96,131.23,6.18,30.27,0,2.41,102.22,46.13,406.27,43.79,87.38,33.54,5.43,10.61,3.33,4.67,12.33,169.92,36.78,95.54,139.4
8.85,119.01,93.57,131.75,6.14,30.18,0,2.49,102.75,46.06,415.14,44.59,88.84,34.19,5.43,10.77,3.33,4.68,12.32,168.97,36.38,94.56,139
8.86,118.72,92.9,131.53,6.08,30.07,0,2.5,102.78,45.92,411.71,44.1,86.85,34.07,5.48,10.86,3.35,4.72,12.32,168.74,36.37,94.31,139.63
8.8,118.71,92.52,130.93,6.04,29.9,0,2.47,102.58,45.9,412.35,44.73,87.21,33.97,5.48,10.69,3.33,4.77,12.59,170.08,36.73,95.13,139.85
8.75,118.9,92.84,130.37,6.07,29.47,0,2.43,102.45,46.18,420.88,45.7,90.23,34.38,5.37,10.41,3.29,4.8,12.84,172.17,37.06,96.32,139.6
8.72,118.66,93.8,130.54,6.12,28.92,0,2.43,102.53,46.78,422.62,45.82,89.87,34.04,5.42,10.6,3.27,4.77,12.83,171.91,37.01,96.14,141.05
8.63,116.82,94.08,131.98,6.05,28.95,0,2.45,102.45,47.13,432.59,47.53,92.18,34.51,5.38,10.69,3.27,4.75,12.41,172.94,36.89,95.04,138.45
8.72,116.99,94.47,132.56,6.1,28.98,0,2.43,102.69,46.91,417.85,47.54,90.6,34.93,5.42,10.69,3.25,4.73,12.2,172.09,37,94.88,138.95
8.76,119.64,94.95,134.23,6.25,29.7,0,2.42,104,47.37,415.17,46.14,87.5,34.37,5.5,10.91,3.25,4.76,12.24,173.03,37.54,96.03,141.95
8.78,120.45,94.77,132.5,6.35,29.67,0,2.43,103.85,47.25,436.39,48.52,89.46,34.86,5.48,10.84,3.22,4.84,12.22,172.56,37.84,96.51,144.3
8.81,119.64,95.45,133.08,6.31,29.7,0,2.43,103.92,47,435.34,47.6,90.09,34.06,5.38,10.94,3.26,4.8,12.28,170.42,37.41,95.83,141.7
8.8,118.72,95.1,132.27,6.33,29.62,0,2.38,105.7,47.26,439.44,47.9,91.19,33.52,5.25,11.14,3.26,4.81,12.13,171.06,37.42,95.74,140.75
8.73,119.24,94.39,132.45,6.26,29.51,0,2.4,105.47,45.9,430.04,47.39,83.22,33.32,5.35,10.95,3.33,4.82,12.46,172.54,37.85,95.89,144.3
8.87,118.96,95.27,132.99,6.29,29.54,0,2.41,104.85,45.84,425.27,46.67,80.38,33.51,5.46,10.89,3.36,4.88,12.56,172.09,37.9,95.27,144.1
9.08,118.2,96.04,133.25,6.34,29.57,0,2.39,106.09,46.38,429.11,46.44,82.07,33.33,5.51,10.98,3.35,4.9,12.41,174.6,37.98,95.36,140.85
9.11,119.59,95.68,133.83,6.29,29.57,0,2.37,105.47,46.54,434.93,46.77,83.31,32.5,5.51,11.08,3.34,4.9,12.28,173.75,37.9,90.87,138.25
9.14,125.81,97.24,136.54,6.33,29.87,0,2.36,108.41,46.8,433.27,46.21,84.62,32.68,5.48,11.16,3.33,5.03,12.46,177.23,38.7,91.73,142.65
9.12,125.99,97.05,137.23,6.46,29.91,0,2.37,107.87,46.51,433.55,45.99,84.8,32.77,5.4,11.07,3.34,4.99,12.62,178.51,39.2,93.1,146.35
9.16,125.7,97.56,137.23,6.37,30.06,0,2.35,108.18,46.51,421.86,44.39,83.86,32.75,5.43,11.07,3.31,4.99,12.49,179.51,39.5,93.91,148.65
9.43,126.04,98.31,138.61,6.66,30.09,0,2.35,108.33,46.6,425.85,45.48,84.15,32.45,5.38,11.34,3.3,5,12.46,177.77,39.53,92.8,141.35
9.36,125.87,97.85,138.67,6.97,29.93,0,2.38,108.64,46.61,427.27,45.28,85.14,32.51,5.59,11.44,3.33,5.06,12.53,177.56,39.38,92.84,143.3
9.58,125.76,98.29,138.85,6.88,30.17,0,2.37,109.03,46.37,429.31,46.17,86.02,32.7,6.07,12.03,3.32,5.15,12.63,178.3,39.69,93.5,144.9
9.64,126.1,98.77,139.83,6.88,30.26,0,2.36,108.98,46.28,430.52,46.08,86.27,32.76,6.2,11.72,3.38,5.2,12.65,178.52,39.38,93.74,143.1
9.58,125.47,98.63,138.67,6.95,29.97,0,2.36,108.72,46.24,436.95,47.04,86.6,33.16,6.11,11.81,3.4,5.21,12.69,180.23,39.56,94.08,143.15
9.71,125.06,99.64,140.11,6.98,30.58,0,2.38,108.26,46.04,448.05,49.58,87.77,33.19,6.02,11.44,3.39,5.23,12.63,182.18,40.34,94.07,141.7
9.44,124.26,99.44,138.56,6.86,30.6,0,2.36,106.71,45.76,444.27,48.28,86.66,33.19,6.04,11.48,3.39,5.19,12.76,180.7,41.85,93.05,140
9.44,120.34,98.94,136.42,6.89,30.08,0,2.36,105.78,45.62,447.38,48.42,86.11,33.41,5.82,11.43,3.38,4.96,12.52,180.82,42.06,92.54,140.25
9.44,121.89,99.39,137.29,7.03,30.1,0,2.38,106.24,46.1,459.1,49.02,86.12,33.54,5.49,11.05,3.39,4.92,12.34,182.89,42.34,94.12,143.15
9.36,121.43,100.1,138.1,6.94,30.29,0,2.58,107.64,46.01,460.14,49.09,86.97,34.01,5.85,11.05,3.43,4.9,12.53,184.06,45.5,95.13,143.5
9.51,121.78,100.32,138.56,7.01,30.47,0,2.53,109.34,45.92,472.87,50.26,89.99,33.77,5.76,11.08,3.45,4.99,12.63,180.87,42.64,94.83,143.55
9.51,121.72,100.34,138.61,7.02,30.54,0,2.52,110.35,46.04,469.29,49.94,89.87,33.18,5.74,10.98,3.46,4.98,12.71,178.81,43.47,94.43,145.3
9.37,121.66,100.99,138.79,7.02,30.53,0,2.56,110.38,46.24,469.59,49.71,89.98,35.8,5.68,11.16,3.39,4.99,11.98,180.02,41.24,94.65,144
9.44,121.72,100.66,138.61,7.17,30.7,0,2.54,109.97,46.45,470.66,49.52,90.56,35.1,5.84,11.18,3.37,5.02,12.63,180.9,41.38,95.76,144.85
9.47,121.14,100.35,138.33,7.03,30.64,0,2.55,109.8,46.65,466.58,49.98,90.88,34.28,5.75,11.34,3.38,4.99,12.56,180.39,41.44,95.98,144.97
9.44,120.11,100.18,138.5,7.16,30.51,0,2.54,110.35,46.85,461.43,50.36,90.92,34.29,5.95,11.23,3.48,4.96,12.71,180.51,41.17,95.27,143.55
9.44,119.76,101.1,139.36,7.18,30.56,0,2.52,111.27,47.14,461.38,49.86,90.81,34.56,6.44,11.43,3.43,4.94,11.98,182.75,41.55,94.83,142.75
9.6,120.05,101.37,140.29,7.33,30.77,0,2.52,112.28,47.47,467.5,50.35,90.62,34.53,6.6,11.48,3.52,4.9,11.98,184.59,42.21,96.54,145.8
9.8,120.91,101.52,141.15,7.34,31.02,0,2.56,112.44,47.99,466.24,49.94,89.81,34.31,6.66,11.54,3.54,4.91,12.82,184.54,41.99,96.84,143.85
9.91,120.68,101.35,140.75,7.31,30.85,0,2.56,112.52,48.17,462.74,49.04,87.83,35.05,7.12,11.76,3.53,4.99,11.98,184.45,41.86,96.25,146.15
9.66,120.86,101.69,140.86,7.32,30.9,0,2.59,112.67,48.22,467.51,50.52,88.78,34.51,6.87,11.54,3.53,5.04,11.98,185.76,41.85,96.01,144.2
9.66,119.99,101.92,140.63,7.24,30.6,0,2.62,112.36,48.32,478.37,53,90.62,34.83,6.69,11.39,3.49,4.98,12.76,184.49,40.54,89.78,141.35
9.59,117.17,100.69,138.9,7.31,30.01,0,2.69,110.81,47.85,483.55,53.52,91.43,35.71,6.77,11.66,3.47,4.89,12.34,183.44,39.42,87.16,136.25
9.55,117.05,100.61,139.48,7.14,30.53,0,2.65,110.19,47.9,485.18,54.33,92.61,36.62,6.77,11.25,3.45,4.78,12.44,181.01,39.31,87.39,137.55
9.55,116.42,99.86,138.85,7.07,30.52,0,2.62,109.19,47.73,492.11,57.11,95.3,36.21,6.75,11.29,3.48,4.78,12.34,179.13,39.42,88.26,135.85
9.55,116.82,99.67,138.56,7.02,30.53,0,2.6,109.96,47.99,492.68,56.95,94.61,36.02,6.74,11.26,3.46,4.85,12.6,179.55,39.4,88.99,135.45
9.58,116.7,100.02,139.94,6.99,30.62,0,2.59,110.73,48.44,494,55.93,94.2,35.7,6.73,11.28,3.45,4.8,12.28,179.92,39.48,88.1,134.65
9.89,117.11,100.06,139.31,7.13,30.58,0,2.56,110.89,48.46,483.36,54.38,91.19,36.02,6.56,11.28,3.44,4.72,12.27,180.3,39.8,87.64,133.75
9.89,117.17,100.91,141.9,7.09,30.75,0,2.56,112.05,48.87,481.84,54.18,88.74,35.39,6.5,11.16,3.33,4.69,12.71,180.82,39.58,86.85,132.9
9.9,117.8,101.32,142.77,7.27,31.18,0,2.6,113.13,49.29,489.77,54.75,88.71,35.31,6.55,11.16,3.34,4.72,10.18,183.33,39.59,86.58,132.6
9.91,118.55,101.9,142.65,7.23,31.39,0,2.55,113.67,50.08,485.86,54.36,87.8,35.36,6.52,11.15,3.39,4.77,10.18,184.59,39.52,86.65,132.4
9.74,117.91,101.33,142.02,7.29,31.18,0,2.56,112.2,49.99,492.33,56.88,90.38,36.07,6.62,11.17,3.38,4.79,12.2,184.56,39.08,85.75,129.95
9.74,117.8,101.31,141.09,7.2,30.68,0,2.61,111.04,49.4,492.42,56.39,89.9,35.33,6.53,11.13,3.37,4.81,11.32,184.11,38.98,85.98,130.55
9.74,116.36,99.45,140.46,7.2,30.28,0,2.63,110.19,49.01,492.46,57.27,89.94,35.58,6.42,11.1,3.34,4.81,10.18,184.57,39.12,86.47,130.65
9.62,117.68,100.54,142.02,7.22,30.51,0,2.68,110.5,49.14,504.91,59.07,91.83,36.19,6.39,11.17,3.28,4.82,9.75,182.47,39.11,86.35,129.9
9.63,116.3,100.37,139.94,7.17,30.61,0,2.6,109.88,48.58,504.18,59.52,91.91,36.32,6.53,11.22,3.32,4.83,10.18,182.33,38.86,86.36,129.9
9.51,115.61,99.05,138.61,7.18,30.35,0,2.62,108.8,47.96,495.08,57.94,91.02,35.84,6.74,11.15,3.29,4.83,11.94,183.92,39.37,87.42,132.35
9.54,112.49,97.65,135.62,7.08,30.03,0,2.57,107.48,47.48,492.68,57.71,89.86,36.43,6.72,11.09,3.28,4.82,10.18,193.96,39.01,86.43,133.3
9.62,111.53,98.16,135.21,7.11,29.8,0,2.53,107.48,48.24,491.38,57.96,90.4,36.59,6.86,11.18,3.28,4.84,12.07,193.73,38.87,86.33,132.1
9.55,112.19,99.16,136.02,7.17,29.85,0,2.54,106.94,47.93,479.41,56.27,88.67,36.2,6.94,11.17,3.28,4.82,10.48,191.79,38.68,86.36,133.95
9.52,112.29,98.73,135.96,7.08,29.72,0,2.52,106.24,47.87,470.55,54.73,87.64,35.38,7.23,11.49,3.25,4.82,12.53,192.56,38.56,86.48,134.39
9.51,111.95,98.86,134.87,7.12,29.84,0,2.51,106.55,47.82,479.23,55.64,88.53,35.37,7.42,11.52,3.26,4.81,10.18,193.89,38.57,86.47,133.55
9.31,110.72,97.75,133.83,7.05,29.55,0,2.54,105.08,47.82,474.82,55.18,88.84,34.93,7.28,11.43,3.28,4.7,12.27,193.76,38.64,86.18,132.8
9.15,112.21,97.68,133.48,7.09,29.7,0,2.5,104,48.04,464.51,53.95,88.15,34.98,7.48,11.48,3.27,4.76,12.27,193.53,38.51,86.13,131.75
9.2,113.27,98.2,133.71,7.1,30,0,2.43,104.54,48.69,473.27,54.97,88.5,35.09,7.53,11.52,3.28,4.83,12.31,193.84,37.9,85.61,132.55
9.07,111.28,97.72,132.73,7.05,29.69,0,2.41,103.85,48.02,482.35,55.92,88.53,35.14,7.53,11.44,3.29,4.89,12.63,193.95,37.9,85.93,132.15
9,113.58,98.81,134.35,7.1,30.22,0,2.43,105.55,48.63,476.31,54.35,87.59,34.76,7.63,11.67,3.28,4.92,12.27,197.1,38.17,86.77,132.9
9.4,114.17,99.06,134.29,7.09,30.03,0,2.45,105.47,48.69,475.03,54.34,86.75,34.65,7.57,11.55,3.3,4.94,12.64,196.31,37.82,86.94,130.7
9.36,114.5,99.96,135.56,7.15,30.01,0,2.47,107.02,48.89,475.29,54.71,86.93,34.72,7.61,11.51,3.3,4.95,12.27,198.31,37.91,87.85,131.65
9.3,115.05,100.33,135.73,7.18,30.12,0,2.48,106.79,49.31,468.61,53.64,86.42,33.45,7.85,11.67,3.32,4.97,12.83,196.59,38.1,87.51,132.7
9.25,114.17,100.2,134.69,7.14,30.02,0,2.48,106.86,49.65,471.22,54.76,85.89,33.65,7.79,11.69,3.33,4.95,12.64,197.17,38.52,87.61,132.8
9.12,114.61,101.11,135.44,7.12,30.07,0,2.5,107.48,49.79,475.76,55.93,87.26,34.44,7.78,11.88,3.29,4.96,12.47,198.28,38.51,88.52,131.35
9.31,114.56,101.37,134.69,7.15,30.33,0,2.5,107.72,49.76,485.86,57.09,88.21,34.31,7.66,11.64,3.28,4.95,12.55,198.16,38.48,87.55,132.45
9.25,113.59,101.31,133.25,7.07,30.02,0,2.54,106.63,49.01,492.83,56.97,89.89,34.19,7.79,11.59,3.28,4.97,12.34,198.46,38.59,87.99,137.25
9.18,112.67,100.37,132.27,7.03,29.52,0,2.52,105.7,48.69,497.45,58.22,91.64,34.45,7.56,11.64,3.26,4.97,12.28,196.02,38.44,88.18,129.7
9.18,112.56,100.55,133.89,7.12,29.55,0,2.5,106.48,49,497.82,57.66,91.34,34.46,7.39,11.55,3.14,4.99,12.28,193.65,39.06,88.57,134.55
9.31,114.34,101.8,136.02,7.23,29.84,0,2.5,107.72,48.78,491.18,56.25,88.93,34.68,7.33,11.65,3.18,4.97,12.4,193.44,39.18,89,133.95
9.49,121.03,102.87,136.19,7.26,31.63,0,2.51,108.57,49.04,493.15,55.97,89.17,34.9,7.27,11.55,3.2,5.03,12.44,194.38,40.5,89.57,134.8
9.36,119.18,101.86,135.9,7.15,32.07,0,2.52,107.25,48.55,504.1,58.03,93.83,34.45,7.3,11.65,3.19,5.05,12.52,194.56,40.01,89.07,153.8
8.9,117.4,101.68,135.16,7.21,32.16,0,2.53,108.18,48.55,500.94,58.06,93.1,34.73,7.21,11.62,3.18,5.05,12.56,193.56,39.52,88.98,156.8
9.29,116.59,100.57,134.75,7.22,32.03,0,2.6,107.72,48.8,500.24,58.92,93.08,34.65,7.54,11.65,3.21,5.08,12.4,194.83,39.34,89.13,158.3
9.13,115.55,100.34,134.87,7.24,31.98,0,2.58,107.72,48.5,503.11,58.01,90.51,34.13,7.39,11.52,3.22,5.12,12.45,193.55,39.18,91.83,154.25
9.1,116.65,100.72,135.27,7.09,32.27,0,2.56,108.02,49.06,496.8,56.75,90.29,33.91,7.45,11.41,3.28,5.09,12.38,193.04,38.83,90.9,150.9
9.08,117.74,101.74,138.21,7.05,32.87,0,2.59,109.19,49.26,493.3,56.32,91.03,33.87,7.38,11.62,3.29,5.08,12.41,193.81,38.8,90.52,148.4
9.22,117.17,101.57,137.17,7.01,33.12,0,2.62,110.11,49.2,501.57,58.31,92.93,34.1,7.32,11.73,3.34,5.11,12.42,194.95,39.21,89.85,150.7
9.2,117.05,101.59,137.52,6.97,33.28,0,2.6,109.34,49.26,502.42,58.12,91.69,33.87,7.28,11.68,3.32,5.12,12.37,194.64,39.17,90.64,149.45
9.24,115.27,100.7,135.67,6.9,33.28,0,2.48,107.33,48.81,511.17,58.99,95.29,34.39,7.2,11.89,3.28,5.13,12.34,195.46,38.78,90.49,150.15
9.25,114.65,100.48,135.27,7.03,32.49,0,2.45,106.79,48.61,511.8,59.98,97.1,33.99,7.12,11.76,3.29,5.11,12.39,194.67,38.43,90.18,148.05
9.12,113.23,99.88,133.77,6.91,32.49,0,2.46,106.94,48.02,504.05,58.31,94.03,33.18,6.89,11.17,3.28,5.15,12.41,195.65,38.74,90.39,147.6
9.14,114.32,100.5,134.92,6.97,32.84,0,2.5,106.32,48.44,520.23,59.75,92.8,33.41,7.07,11.35,3.29,5.2,12.35,197.03,39.19,90.86,148.7
9.14,114.66,100.7,135.96,7.03,33.27,0,2.47,107.41,48.97,516.59,59.88,94.54,33.34,7.2,11.56,3.29,5.23,12.46,198.63,39.47,91.08,149.3
9.09,115.55,101.29,137.17,7.07,34.05,0,2.61,104.54,48.91,516.8,59.19,92.79,33.47,7.27,11.57,3.32,5.23,13.11,198.56,40.14,91.33,149.45
9.28,115.84,101.15,136.83,7.09,33.95,0,2.58,107.64,48.55,513.34,58.12,91.83,33.61,7.44,11.48,3.34,5.23,12.95,197.05,40.51,89.97,147.9
9.66,114.25,100.13,135.21,7.01,33.49,0,2.56,107.25,47.84,510.01,58.13,91.95,33.73,7.44,11.48,3.36,5.21,12.81,197.91,40.72,89.72,145.95
9.91,114.16,99.72,135.33,6.99,33.63,0,2.51,107.79,47.22,510.11,57.8,91.24,33.69,7.17,11.42,3.36,5.21,12.79,198.04,40.72,89.73,145.25
9.88,114.78,100.55,134.92,7.06,33.87,0,2.55,109.49,50.73,507.04,56.31,90.92,33.79,7.13,11.44,3.37,5.22,12.75,196.75,40.7,89,146.45
10.04,113.44,100.51,134.35,7.03,33.87,0,2.57,110.97,52.11,514.52,57.05,92.68,33.42,7.04,11.45,3.34,5.24,12.87,196.74,40.43,89.39,146
10.15,113.54,100.28,134.41,7.05,33.75,0,2.56,111.51,51.91,513.33,56.3,91.79,33.24,7.32,11.59,3.34,5.23,12.78,196.88,39.97,89.77,145.1
10.18,113.28,100.19,134.52,7.02,33.72,0,2.55,111.66,52.37,513.45,56.34,92.8,33.51,7.41,11.71,3.32,5.24,12.67,198.32,40.33,91,148.15
10.24,111.75,99.61,133.89,6.95,33.57,0,2.53,110.89,51.81,512.53,57.72,93.23,33.67,7.32,11.62,3.34,5.24,12.7,197.7,40,89.45,148.7
10.29,111.99,99.24,133.25,6.91,33.43,0,2.51,109.88,51.66,509.57,57.48,95.18,33.69,7.28,11.36,3.33,5.26,12.73,198.39,40.96,89.41,151.7
10.28,114.04,100.27,134.87,7.05,33.59,0,2.51,110.11,52.56,513.43,58.57,95.12,33.67,7.27,11.41,3.33,5.25,12.66,199.46,42.5,89.63,150.4
10.39,114.77,101.62,132.27,7.01,34.03,0,2.52,110.97,52.99,511.28,57.79,93.06,33.38,7.24,11.27,3.31,5.25,12.4,200.1,42.43,89.73,149
10.53,115.15,101.49,130.6,6.99,34.01,0,2.51,111.97,52.6,515.72,57.79,91.53,33.43,7.25,11.49,3.32,5.22,12.46,200,42.69,89.99,148.2
10.59,114.57,100.92,130.54,6.99,33.92,0,2.49,111.12,52.87,512.91,56.46,91.39,33.32,7.32,11.39,3.36,5.21,12.43,200.05,42.77,89.51,148.56
10.39,115.1,100.56,131.64,7.05,33.85,0,2.5,110.89,52.77,510.28,56.52,92.3,33.35,7.3,11.41,3.37,5.22,12.36,200.98,42.84,88.88,149.4
10.46,115.15,100.54,132.33,7.02,33.68,0,2.47,110.66,52.36,504.98,56.06,91.43,33.4,7.24,11.35,3.35,5.32,12.27,202.47,43.22,88.63,149.45
10.39,116.19,100.81,131.46,7.04,33.88,0,2.62,111.43,52.19,500.97,55.36,90.78,33.21,7.22,11.21,3.36,5.34,12.19,202.2,43.4,87.93,148.5
10.46,116.59,101.3,133.14,7.1,34.06,0,2.66,111.82,52.12,493.95,53.99,89.47,33.14,7.21,11.21,3.36,5.31,12.34,202.43,43.46,88.26,150.35
10.62,116.88,102.29,134.58,7.16,33.97,0,2.64,112.36,52.36,498.25,55.05,90.03,32.97,7.37,11.12,3.36,5.35,12.4,203.66,43.7,89.38,152.3
10.57,117.28,102.02,133.43,7.09,33.89,0,2.63,111.82,52.7,504.74,55.81,91.17,32.8,7.46,11.14,3.37,5.55,12.29,204.58,43.5,89.68,154.35
10.46,117.97,102.23,134.58,7.1,33.63,0,2.64,111.82,52.68,512.11,57.23,92.49,32.9,7.57,11.11,3.36,5.59,12.37,204.47,43.41,88.58,154.1
10.32,118.03,102.07,133.83,7.03,32.89,0,2.67,111.97,52.93,510.79,57.06,91.57,32.69,7.49,11.17,3.36,5.6,12.27,204.37,43.35,87.75,153.45
10.25,116.65,101.07,132.68,7.01,32.68,0,2.69,110.04,52.62,509.71,57.2,91.52,32.57,7.54,11.29,3.27,5.66,12.23,203.43,43.16,87.25,152.15
10.28,116.01,100.93,133.14,7.03,32.93,0,2.69,110.04,52.43,519.62,58.75,91.81,32.93,7.6,11.38,3.27,5.59,12.23,203.94,43.38,86.13,152.7
10.5,115.78,97.19,132.56,7.06,32.78,0,2.69,109.42,51.09,517.22,58.81,93.17,32.61,7.62,11.43,3.27,5.65,12.24,202.26,43.37,85.49,152.45
10.28,113.72,97.26,130.77,7.04,31.87,0,2.8,109.19,51.38,516.8,58.87,98.84,32.77,7.47,11.43,3.27,5.67,12.25,201.75,43.44,83.46,152.6
10.18,113.03,96.66,132.16,7.04,31.79,0,2.76,108.49,51.69,519.3,58.03,100.86,32.25,7.31,11.45,3.2,5.64,12.24,201.02,43.18,82.83,151.6
10.18,112.44,96.49,133.02,7.05,32,0,2.78,107.79,51.77,520.49,58.4,100.85,32.05,7.05,11.56,3.19,5.69,12.16,201.68,43.37,82.75,154.15
10.24,113.83,96.59,133.83,7.07,32,0,2.68,107.95,52.03,528.16,59.8,104.59,31.84,6.97,12.29,3.18,5.68,12.04,200.54,43.46,82.19,153.05
10.02,114.54,96.57,135.27,7.18,31.89,0,2.65,108.1,52.25,530.34,59.25,104.21,31.79,7.02,12.04,3.18,5.6,11.91,200.41,43.15,82.36,161.65
9.95,115.2,95.57,134.17,7.18,31.77,0,2.67,106.48,51.78,529.09,59.04,104.46,31.83,6.86,11.83,3.22,5.57,12.37,199.83,42.78,81.87,161.85
9.95,116.36,95.58,134.46,7.18,32.06,0,2.67,106.94,52.53,539.82,59.83,107.7,31.84,6.87,12.09,3.24,5.56,12.37,199.28,43.51,81.34,159
9.95,116.7,96.35,134.81,7.08,32.22,0,2.71,106.63,53.35,538.98,59.61,105.7,32.08,6.84,11.69,3.24,5.56,12.46,199.44,43.42,81.63,156.2
10.12,116.7,97.13,136.77,7.11,32.39,0,2.73,107.56,53.72,534.67,59.86,103.2,32.29,6.95,11.73,3.23,5.47,12.44,199.44,42.98,82.09,157.7
9.95,117.34,97.08,136.94,7.16,32.55,0,2.73,107.56,54,531.67,60.29,101.89,32.41,7,12.03,3.23,5.65,12.7,199.11,43.13,81.92,161.4
9.99,118.49,97.17,137.75,7.17,32.86,0,2.71,107.72,54.28,530.82,60.7,101.54,32.46,6.85,12.06,3.2,5.6,12.66,201.08,43.3,83.18,167.1
10.08,120.39,97.41,138.33,7.13,33.18,0,2.75,108.41,55.98,532.92,60.96,101.95,32.46,6.82,12.01,3.21,5.61,12.47,209.26,43.63,83.11,167.55
10.23,119.47,97.39,137.58,7.13,33.28,0,2.8,108.26,55.64,538.8,61.69,102.88,32.42,6.72,12.15,3.19,5.56,12.38,210.08,43.62,83.19,165.2
