"A.ASBX.PB.","D.RHM.PB.","I.LDO.PB.","F.CSF.PB.","BA..PB.","RR..PB.","TK.ASE.PB.","IS.ESLT.PB.","U.NOC.PB.","U.RTX.PB.","U.HII.PB.","U.LMT.PB.","X.AXON.PB.","X.MANT.PB.","U.BWXT.PB.","U.CW.PB.","X.SWBI.PB.","U.GD.PB.","U.RGR.PB.","X.POWW.PB.","U.CACI.PB.","X.HON.PB."
1.14,69.49,14.38,77.52,6.35,2.29,0.72,92.82,187.07,54.89,126.37,216.58,16.29,31.03,30.98,66.7,18.26,139.21,59.76,3.2,93.66,94.26
1.13,70.47,14.76,79.74,6.44,2.3,0.74,94.69,187.87,55.01,126.87,214.82,16.99,30.81,31.49,66.81,16.44,137.98,58.22,3.31,93.92,93.72
1.14,70.85,15,80.47,6.47,2.41,0.75,95.49,189.75,56.11,128.6,217.42,16.76,31.34,31.56,67.62,16.84,139.6,59.68,3.42,94.64,99.1
1.17,72.17,15.01,81.79,6.52,2.44,0.79,98.07,188.33,55.37,126.95,215.22,16.98,31.01,31.04,66.77,16.56,138.17,58.86,3.51,99.16,97.37
1.12,71.02,14.74,79.97,6.47,2.45,0.78,96.49,184.8,54.48,125.32,212.18,16.89,30.39,30.78,65.14,16.38,136.62,59.07,3.6,93.11,96.9
1.06,69.99,14.71,78.94,6.48,2.42,0.8,96.21,188.97,55.19,127.23,215.46,17.93,30.44,30.93,66.42,16.83,138.09,58.92,3.66,93.21,97.66
1.13,69.97,14.5,78.37,6.48,2.4,0.8,95.63,189.48,55.97,127.78,217.49,17.49,30.7,31.5,67.29,17.06,139.95,60.24,3.7,94.57,99.18
1.09,70.29,14.82,78.43,6.55,2.51,0.8,96.24,190,56.77,128.43,217.92,18.03,30.94,31.74,68.63,16.91,139.87,60.56,3.71,94.81,99.93
1.08,70,14.93,78.87,6.53,2.53,0.79,96.49,190.13,56.8,129.45,218.57,17.84,30.76,31.64,69.01,16.88,139.8,60.33,3.69,94.47,99.59
1.09,69.5,14.8,78.24,6.55,2.52,0.79,97.53,189.63,56.53,128.67,218.16,17.44,30.54,31.62,68.75,16.81,139.5,60.17,3.64,94.08,99.07
1.08,69.6,14.71,78.3,6.62,2.51,0.79,97.7,190,56.69,128.29,218.45,17.24,30.55,31.84,68.85,16.85,139.59,60.33,3.58,94.32,99.34
1.08,70.59,14.85,80.07,6.66,2.49,0.79,98.62,191.4,57.37,129.46,220.43,17.4,30.82,32.21,69.7,17.07,140.27,60.64,3.52,95.16,100.3
1.09,71,14.86,79.88,6.63,2.46,0.78,97.01,190.08,57.14,127.57,219.8,17.81,30.76,32.17,69.77,17,139.21,60.05,3.47,94.5,99.42
1.13,70.51,14.51,79.57,6.56,2.45,0.78,98.22,188.81,56.64,126.77,217.11,17.28,30.19,31.76,68.48,16.87,137.32,59.64,3.43,92.69,98.56
1.12,69.81,14.14,78.73,6.52,2.4,0.79,100.52,186.66,56.29,124.9,213.37,16.91,29.5,31.42,66.9,16.82,136.16,59.33,3.41,90.16,97.76
1.13,69.76,14.27,78.42,6.48,2.38,0.79,97.64,187.52,56.37,124.26,213.21,16.82,29.13,31.48,67.27,17.88,136.07,61.39,3.42,89.59,97.68
1.17,70.66,14.83,79.25,6.49,2.4,0.81,98.42,192.41,56.47,126.95,218.24,17.01,29.22,31.84,70.79,19.86,136.61,65.54,3.44,91.69,98.47
1.11,69.83,14.48,78.93,6.72,2.38,0.81,97.41,190.49,54.92,127.47,217.63,17.64,29.06,31.41,73.13,18.96,135.24,63.24,3.47,90.43,97.33
1.06,65.81,14.47,79.05,6.63,2.32,0.81,97.27,188.03,54.21,124.88,213.33,16.59,28.68,30.59,70.45,18.13,130.76,60.53,3.51,89.15,94.48
1.05,67.63,14.28,79.86,6.82,2.38,0.83,96.87,186.07,53.28,127.18,212.78,16.27,28.13,30.3,69.6,17.37,130.14,58.23,3.54,86.8,93.68
0.86,66.91,14.35,82.77,6.92,2.35,0.84,97.56,188.11,53.34,126.45,215.28,15.85,28.4,30.23,69.54,17.12,131.29,55.99,3.56,88.09,93.68
0.8,67.86,14.52,83.54,6.85,2.36,0.87,97.36,188.92,53.38,129.06,217.87,16.02,28.57,30.49,70.5,17.35,132.49,56.74,3.57,87.91,94.38
0.8,67.79,14.62,83.16,6.89,2.38,0.86,96.49,184.88,52.39,122.83,214.44,15.41,28.95,30.41,69.05,16.17,129.03,51.91,3.57,86.56,92.43
0.81,65.61,13.98,80.77,6.8,2.37,0.85,94.77,185.49,52.46,124.96,216.26,15.47,29.61,29.49,68.65,15.99,129.02,52.35,3.55,87.64,93.99
0.75,62.67,13.3,78.84,6.74,2.31,0.84,94.66,184.12,50.51,123.59,215.99,14.63,29.43,28.77,67.93,15.78,125.95,53.22,3.53,87.69,92.55
0.74,63.89,13.07,78.07,6.69,2.29,0.83,96.04,185.78,49.96,121.93,216.54,14.22,29.34,28.65,66.64,15.57,126.57,52.81,3.5,86.43,92.36
0.77,66.33,13.33,79.67,6.65,2.34,0.85,96.24,186.64,50.26,121.74,215.33,14.49,29.08,28.44,65.72,15.51,127.36,52.77,3.47,86.54,92.66
0.76,64.18,12.7,77.07,6.43,2.26,0.83,93.94,182.56,50.02,121.99,210.63,15.1,28.19,27.75,65.62,15.58,124.19,53.95,3.44,87.92,91.62
0.79,64.94,12.94,77.98,6.29,2.27,0.81,92.76,181.23,50.46,121.37,210.72,15.65,27.59,27.86,65.43,15.76,124.29,54.52,3.41,84.57,91.9
0.84,68.04,13.19,80.57,6.47,2.31,0.83,93.91,184.09,50.93,122.79,212.04,15.42,28.26,28.28,66.68,15.98,126.36,56.09,3.39,86.14,93.11
0.93,69.1,13.01,81.84,6.51,2.31,0.87,93.42,181.9,50.08,121.9,210.95,15.02,27.74,28.19,67.7,16.04,124.62,56.39,3.36,83.55,91.86
0.93,70.97,13.01,79.8,6.6,2.31,0.86,93.48,182.48,50.53,124.78,209.95,15.84,27.79,28.61,69.38,16.3,127.37,57.49,3.34,84.57,93.74
0.89,72.08,12.51,79.89,6.65,2.29,0.85,93.91,178.08,50.61,122.17,207.75,15.15,27.64,28.86,67.99,15.45,128.88,55.14,3.32,82.35,92.28
0.89,71.37,12.41,78.23,6.63,2.3,0.84,96.49,179.95,50.97,122.49,206.5,14.79,27.82,29.18,69.23,15.68,128.63,56.39,3.3,81.77,93.15
0.93,75.21,12.6,80.92,6.78,2.36,0.84,97.61,185.06,51.7,127.86,210.9,15.38,28.82,29.92,69.54,16.55,133.73,58.84,3.29,83,97.8
0.94,74.4,12.63,80.99,6.69,2.36,0.83,96.52,188.59,51.62,126.73,209.81,15.42,28.03,29.98,69.08,16.64,133.56,59.14,3.28,81.59,97.9
0.9,74.42,12.26,79.28,6.57,2.26,0.84,96.78,187.46,50.37,124.64,210.34,14.75,27.45,29.8,66.39,16.92,133.5,60.28,3.27,80.93,95.83
0.88,74.84,12.03,78.26,6.39,2.18,0.84,96.38,189.71,50.69,125.52,212.94,15.06,27.83,30.13,66.94,16.61,133.81,60.29,3.27,80.71,97.28
0.89,71.08,11.81,75.94,6.43,2.22,0.83,95.63,186.35,51.97,125.93,210.21,15.79,28.15,29.39,67.69,16.77,135.36,61.39,3.26,92.92,97.64
0.87,69.89,11.11,73.15,6.29,2.25,0.83,93.65,186.43,51.79,125.33,211.94,15.53,27.5,28.59,65.83,16.44,134.18,61.97,3.25,91.07,97.21
0.86,65,10.61,71.31,6.14,2.19,0.81,92.68,185.59,51.2,125.11,214.6,15.37,27.79,27.84,65.2,16.34,132.26,63.78,3.24,93.55,96.64
0.84,64.76,10.27,70.69,6.17,2.18,0.81,93.28,187.34,51.44,125.41,215.99,15.36,27.32,27.53,64.85,16.16,132.13,62.47,3.22,93.82,97.81
0.86,66.85,10.69,71.78,6.18,2.24,0.81,92.79,188.29,51.27,129.39,213.92,15.47,26.87,27.5,65.25,16.77,133.06,62.8,3.2,93.77,97.66
0.88,64.6,9.95,69.46,6.04,2.25,0.8,89.6,183.84,49.91,128.36,207.1,15.4,26.55,27.06,63.66,16.96,128.52,62.55,3.19,92.74,96.64
0.86,65.51,10.21,70.65,6.14,2.58,0.8,91.04,181.24,50.68,131.3,206.03,15.42,26.65,27.38,63.65,17.53,130.16,63.77,3.17,94,98.49
0.83,69.3,10.71,72.94,6.33,2.61,0.78,92.33,181.13,50.91,133.47,206.96,15.67,27.01,27.5,64.09,18.03,130.67,65.49,3.17,94.88,99.4
