"A.ASBX.PB.","D.RHM.PB.","I.LDO.PB.","F.CSF.PB.","BA..PB.","RR..PB.","TK.ASE.PB.","IS.ESLT.PB.","U.NOC.PB.","U.RTX.PB.","U.HII.PB.","U.LMT.PB.","X.AXON.PB.","X.MANT.PB.","U.BWXT.PB.","U.CW.PB.","X.SWBI.PB.","U.GD.PB.","U.RGR.PB.","X.POWW.PB.","U.CACI.PB.","X.HON.PB."
1.25,90.46,15.41,104.26,8.41,3.31,1.59,118.81,237.73,66.65,201.92,269.59,21.98,33.78,47.44,90.42,15.12,187.72,53.8,7.63,113.3,118.9
1.23,90.96,15.23,103.94,8.34,3.36,1.59,120.27,236.1,66.34,198.56,267.02,21.89,33.68,47.58,88.74,15.44,185.83,55.3,7.62,113.05,118.31
1.22,91.97,15.51,104.98,8.33,3.39,1.58,122.28,236.67,66.3,200.37,267.11,23.07,34.14,47.94,89.41,15.78,186.31,56.55,7.62,113.8,118.56
1.23,94.39,15.59,106.08,8.52,3.45,1.58,122.34,238.81,66.63,203.69,270.24,23.27,34.4,48.07,89.43,15.84,188.01,56,7.6,114.8,118.97
1.23,94.11,15.36,105.52,8.43,3.44,1.59,122.27,239.31,66.57,203.81,269.03,23.27,34.64,48.18,89.68,16.29,187.67,57.05,7.59,115.9,119.16
1.23,94.79,15.26,106.23,8.43,3.5,1.59,122.2,241.01,66.73,205.6,270.27,23.18,35.15,48.51,90.96,16.83,188.38,58.9,7.57,116.4,119.24
1.24,94.09,15.11,106.06,8.49,3.59,1.59,121.48,239.31,66.19,203.55,268.41,22.42,34.2,47.87,88.83,16.28,186.31,57.25,7.56,114.3,117.87
1.24,93.26,15.21,106.31,8.44,3.58,1.57,119.9,240.27,66.12,202.82,268.07,22.04,34.39,47.79,87.7,16.24,186.74,56.85,7.56,112.35,117.3
1.24,92.79,15.33,106.09,8.39,3.57,1.58,118.71,242.02,66.38,202.11,269.23,21.91,34.81,48.05,88.44,16.37,188.43,57.5,7.57,112.99,117.72
1.23,92.62,15.46,105.49,8.37,3.56,1.59,118.55,243.01,66.77,200.65,269.74,22.07,34.87,48.28,89.45,16.37,188.85,57.5,7.62,114.3,118.14
1.22,92.68,15.7,105.14,8.35,3.52,1.6,119.84,243.11,66.97,199.23,268.78,22.49,34.68,48.23,89.51,16.27,187.36,56.4,7.69,114.35,117.84
1.21,93.28,15.99,105.51,8.28,3.46,1.68,122.11,243.73,66.6,199.93,269.64,22.73,34.99,48,89.86,16.28,187.69,56.7,7.78,115.3,117.52
1.21,94.68,15.98,106.14,8.13,3.48,1.78,122.34,244.85,67.2,199.97,271.9,23.29,35.32,48.69,91.52,16.35,188.13,56.75,7.88,117.35,118.52
1.24,94.67,16.17,106.68,8.15,3.49,1.75,121.74,246.34,67.82,199.63,273.04,23.69,35.17,48.55,91.85,16.24,188.94,56.35,7.98,115.95,121.67
1.27,96.83,16.86,109.63,8.26,3.5,1.75,124.61,249.15,68.6,203.58,276.19,24.02,35.49,49.54,92.9,16.18,191.79,57.25,8.06,119.4,124.23
1.28,96.01,16.76,108.83,8.28,3.51,1.74,124.64,248.56,68.91,205,270,24.17,35.51,49.96,93.48,16.33,193.17,58.1,8.1,118.7,123.77
1.26,96.61,17.14,111.06,8.37,3.57,1.75,124.98,248.06,69.75,203.08,270.26,24.27,35.88,49.53,93.31,16.59,194.88,58.75,8.11,121.05,124.57
1.26,97.07,16.8,110.93,8.29,3.53,1.75,123.92,248.32,70.06,202.16,271.14,24.7,35.76,49.64,93.63,16.8,195.07,59.4,8.06,120.6,124.36
1.25,97.4,16.64,111.31,8.24,3.54,1.81,122.49,246.02,70.16,200.86,269.36,24.57,35.5,49.14,93.45,17.01,193.8,60.4,7.98,117.9,125.55
1.25,97.27,16.84,111.94,8.31,3.57,1.9,121.4,244.43,70.17,199.54,268.53,24.76,35.4,49.36,94.64,16.87,193.2,59.3,7.86,118.55,125.37
1.27,96.39,16.8,112.34,8.38,3.59,1.92,120.91,245.31,70.36,200.56,269.41,24.77,35.84,49.53,94.2,16.92,193.88,59.5,7.74,117.95,125.58
1.25,95.55,16.59,112.58,8.35,3.59,1.89,121.25,245.49,70.95,200.93,269.6,24.74,36.77,49.7,93.21,16.51,194.15,59.3,7.62,116.2,125.43
1.27,97.98,17.78,113.06,8.35,3.54,1.94,121.82,245.75,71.36,188.21,270.57,24.84,39.88,50.07,89.68,16.45,194.52,59.25,7.52,127.45,125.61
1.27,100.67,17.69,113.89,8.5,3.72,1.97,121.11,248.91,71.57,195.5,273,24.94,39.69,50.71,88.97,16.48,195.95,60,7.44,126.3,125.8
1.27,99.62,17.83,113.74,8.4,3.71,1.97,123.03,249.13,71.43,195.34,272.49,25.04,39.29,49.85,88.34,16.15,196.31,57.2,7.4,126.25,125.54
1.31,98.92,17.78,113.46,8.45,3.88,1.94,123.89,249.46,71.63,195.99,273.75,25.17,39.08,49.59,87.72,16.98,196.56,62.95,7.38,124.55,126.29
1.3,98.03,17.9,113.67,8.41,3.81,1.95,124.78,248.06,71.37,196.47,271.75,26.25,38.83,50.26,87.61,17.28,194.32,64.2,7.38,124.95,126.1
1.31,98.49,18.24,113,8.41,3.8,1.93,123.72,247.55,71.52,195.6,272.06,26,38.31,49.87,87.33,17.49,194.98,62.9,7.4,123.1,126.29
1.29,98.95,18.09,113.26,8.4,3.76,1.92,123.2,247.44,71.26,194.09,271.09,25.96,38.03,49.42,86.31,17.5,195.55,62.95,7.41,122.85,125.9
1.31,100.17,17.98,112.6,8.34,3.72,1.97,123.78,248.2,71.32,197.31,272.35,25.16,38.75,49.83,87.47,17.4,195.18,63.75,7.43,123.95,126.39
1.34,100,17.89,113.44,8.45,3.77,2.05,123.78,247.34,71.59,196.27,271.62,25.55,38.64,49.6,87.04,17.17,195.24,63,7.44,124.95,126.39
1.31,97.25,17.18,111.68,8.38,3.67,2.05,123.49,246.32,70.55,191.16,269.16,24.58,37.9,48.58,83.99,17.12,192.03,62.35,7.43,122.15,124.44
1.27,98.06,17.17,111.91,8.35,3.71,1.98,123.2,246.96,70.39,190.33,267.29,24.13,37.76,47.82,83.41,17.1,192.61,62.75,7.42,120.55,124.87
1.28,98.21,17.6,112.75,8.41,3.71,1.94,124.5,249.81,71.46,195.5,272.74,24.6,37.96,48.3,84.91,17.58,195.84,63.7,7.4,121.45,125.77
1.29,98.46,17.13,112.73,8.42,3.72,1.95,122.86,249.48,71.76,195.94,276.97,24.72,38.22,48.44,85.17,17.37,197.78,63,7.37,124.25,126.2
1.3,98.51,17.25,112.93,8.43,3.76,1.98,123.55,250.57,71.98,195.91,278.37,24.89,38.54,48.26,86.21,17.37,199.29,63.75,7.33,124.35,126.24
1.29,98.38,17.51,113.54,8.53,3.72,1.98,122.49,253.38,72,195.27,280.06,24.79,38.67,48.26,87.01,17.53,199.97,62.95,7.28,124.7,126.48
1.29,99.64,17.49,113.41,8.62,3.71,1.97,123.46,256.51,72.1,197.44,282.01,24.98,39.02,48.58,89.26,17.4,201.01,62.45,7.23,126.8,128.09
1.26,98.44,17.85,114.34,8.74,3.81,1.98,125.21,257,71.85,196.25,283.69,24.89,38.95,48.59,89.32,17.54,202.23,63.2,7.17,127.2,127.55
1.28,99.29,17.61,114.17,8.77,3.83,1.99,123.63,255.86,71.64,194.22,281.99,24.86,38.94,48.29,88.97,17.55,201.99,63.4,7.12,125.87,127.2
1.32,98.39,17.99,113.99,8.73,3.79,1.98,122.8,256.28,71.53,194.12,280.09,24.58,38.74,48.19,89.19,17.42,202.01,63.25,7.06,123.8,127.3
1.29,98.11,18.07,113.21,8.73,3.78,2.03,123.57,258.87,71.52,195.75,280.93,24.01,38.31,48.58,90.02,17.39,203.18,63.65,7.01,123.1,127.34
1.29,100.14,18.35,114.66,8.84,3.86,2.05,125.36,257.61,71.85,194.1,280.97,24.45,39.01,48.86,90.61,17.72,202.39,65.05,6.97,126.3,127.78
1.27,101.9,18.2,114.19,8.8,3.89,2.05,126.97,258.21,72,193.77,281.46,24.51,39.96,49.19,90.9,18.23,203.71,66.05,6.94,124.8,128.18
1.25,101.63,18.07,113.08,8.81,3.9,2.04,126.65,255.68,71.36,191.13,280.16,24.4,39.93,48.78,92.21,18.2,201.48,65.5,6.93,123.8,127.82
1.24,100.16,18.2,113,8.84,3.9,2.05,127.6,253.27,70.85,188.82,276.97,24.65,39.62,48.33,90.62,18.3,198.45,65.95,6.93,123.75,127.12
1.22,99.12,17.99,112.74,8.77,3.87,2.03,127.94,254.57,70.65,189.8,277.4,24.25,39.69,48.29,90.33,18.25,198.81,65.9,6.95,122.3,127.07
1.29,99.81,18.35,112.93,8.68,3.87,2.03,128.49,256.06,70.74,192.46,277.69,24.43,40.11,48.07,92.31,18.23,199.64,66.4,6.98,123.95,127.81
1.32,99.82,18.47,113.19,8.89,3.96,2.05,127.02,256.6,71.13,193.49,276.99,24.37,39.84,47.92,94.24,18.41,199.34,67.9,7.05,123.5,128.07
1.31,98.2,17.92,111.28,8.76,3.89,2.05,124.96,256.07,70.7,194.88,276.9,24.19,40.66,47.05,92.75,18.58,198.39,68.45,7.13,128.25,127.6
1.32,99.81,18.08,111.76,8.66,3.89,2.05,126.42,257.59,70.8,196.69,278.41,24.47,40.47,47.99,92.56,18.43,200.51,66.9,7.24,127.5,128.63
1.35,99.6,18.13,111.57,8.66,3.91,2.05,128.03,259.55,70.79,196.77,280.34,24.27,40.31,48.49,91.85,18.77,201.23,67.85,7.36,126.95,128.53
1.35,98.17,17.69,111.83,8.62,3.9,2.05,124.87,258.67,71.22,195.56,280.96,24.76,40.42,48.36,92.18,18.49,201.98,67.35,7.48,126.05,128.74
1.37,99.03,18.08,114.52,8.83,3.96,2.03,123.06,258.59,71.03,185.92,281.01,25.36,38.81,47.67,92.96,18.49,202.6,67.8,7.59,121.4,128.9
1.32,101.6,18.05,114.74,8.89,4.03,2.03,126.36,261.27,71.83,187.07,282.29,25.41,38.91,48.18,93.17,18.66,204.41,68.15,7.68,120.9,130
1.32,100.09,17.46,114.41,8.87,4.03,2.02,127.37,260.2,71.67,185.77,282.88,25.77,38.83,46.92,91.99,17.77,203.88,66.6,7.73,119.95,129.19
1.32,100.89,17.93,114.16,8.88,4.06,2.04,127.6,260.36,71.84,186.44,283.04,26.02,38.62,46.39,90.34,18.12,203.88,67.1,7.74,120.85,128.56
1.32,101.73,17.76,112.82,8.72,4.06,2.05,127.25,256.91,72.06,185.53,280.43,26.29,38.66,46.34,90.29,17.95,201.36,66.85,7.69,125.9,128.39
1.32,101.74,17.67,113.34,8.54,4.11,2.05,126.3,257.36,72.06,186.84,280.69,26.31,38.86,46.35,90.85,18.2,201.28,66.65,7.62,124.55,128.25
1.32,102.54,17.52,113.53,8.56,4.06,2.05,127.57,255.96,71.88,186.28,279.59,25.95,39.25,46.55,90.31,17.86,200.21,65.65,7.51,123.5,128.53
1.31,99.48,17.25,111.63,8.45,4.01,2.05,126.45,255.36,71.73,186.93,278.01,25.44,38.85,46.65,89.84,17.62,198.84,65.3,7.38,122.6,127.28
1.32,99.81,17.25,110.35,8.41,3.97,2.05,126.22,257.51,72.22,187.34,280.02,25.85,39.82,48.08,90.71,18.08,200.72,66.1,7.24,125.8,128.2
1.34,95.25,16.77,108.55,8.34,3.91,2.04,123.58,254.93,71.73,185.24,276.74,25.16,39.42,47.7,90.66,18.39,196.9,67.4,7.1,124.55,126.69
1.34,95.98,16.76,108.68,8.32,3.89,2.03,124.41,256.7,72.03,186.14,277.66,25.12,41.38,48.73,91.75,17.01,198.11,62.1,6.97,125,127.62
1.33,96.87,16.93,108.55,8.29,3.91,2.03,125.56,257.75,72,191.54,278.92,25.15,41.28,48.59,91.91,16.67,199.73,62.85,6.86,126,128.02
1.33,95.72,16.89,107.79,8.18,3.91,2.02,124.84,259.63,72.35,193.99,281.46,25.26,40.82,48.75,92.63,16.34,201.08,62.51,6.76,126.53,128.21
1.32,95.9,17.22,109.53,8.15,3.96,2,125.79,260.29,72.45,192.97,282.41,25.26,40.36,49,92.77,16.36,200.79,61.6,6.69,125.6,128.13
1.32,97.16,17.38,108.77,8.05,3.99,2.01,126.42,258.96,71.9,191.33,281,25.05,39.85,48.8,91.81,16.97,199.03,62.5,6.64,124.3,127.74
1.33,97.33,17.18,108.44,8.1,4.08,2,126.71,261.93,72.29,192.9,285.15,25.08,40.39,49.08,93.08,16.51,201.29,61.6,6.62,127.45,128.42
1.32,99.14,17.34,109.28,8.27,4.06,2,126.33,261.8,72.58,193.25,285.67,25.02,40.03,49.2,92.72,16.7,201.1,60.85,6.64,126.55,128.99
1.32,98.35,17.42,109.24,8.23,4.02,2.02,127.51,262.76,72.88,194.98,286.54,25.31,40.23,49.4,92.72,16.59,199.91,60.5,6.69,127.9,128.5
1.32,99.67,17.6,110.86,8.12,4.05,2.01,127.2,263.97,72.99,199.47,286.5,25.45,40.2,49.95,93.15,16.19,201.09,60.2,6.75,127.85,129.04
1.32,100.48,17.48,110.19,8.12,4.04,2.01,126.91,264.04,72.61,198.42,286.85,25.21,40,50.19,93.09,16.16,200.05,60,6.82,127.2,129.56
1.32,100.53,17.93,110.45,8.03,3.98,2.02,127.51,264.78,72.79,198.15,288.18,25.28,40.09,50.4,93.5,16.37,201.15,60.15,6.87,128.2,130.02
1.32,99.46,17.97,109.83,8.06,3.99,2.05,127.45,264.85,72.63,198.28,288.42,25.81,40.08,50.63,93.47,16.66,200.08,60.15,6.9,128.3,129.52
1.32,99.41,17.7,109.67,8.05,3.99,2.18,128.46,264.31,72.33,197.33,286.68,25.23,40.07,50.55,93.39,16.34,201.39,59.05,6.88,127.45,129.46
1.32,102.3,17.7,109.58,8.03,4.03,2.23,128.52,264.81,72.58,198.45,290.46,25.38,40.22,50.98,95,16.32,202.26,59.2,6.8,128.9,130.32
1.3,101.23,17.6,108.63,8.06,4,2.15,128.52,264.71,72.25,199.13,289.71,25.37,39.96,51.22,94.87,16.32,202.36,58.9,6.68,128.45,129.25
1.27,98.79,17.37,108.05,7.97,4.02,2.18,128.34,265.2,72.82,201.46,289.13,25.24,39.7,51.57,95.3,15.98,204.29,57.4,6.52,127.2,130.59
1.27,98.84,17.29,107.34,7.89,4.03,2.22,127.74,265.89,72.72,201.66,290.76,25.36,39.11,51.75,95.07,15.72,205.2,57,6.36,127.45,131.86
1.27,98.9,17.87,107.97,7.93,4.03,2.22,127.17,264.13,71.01,203.52,289.77,25.41,39.46,52.8,97.22,15.72,203.11,56.85,6.21,127.65,131.4
1.28,99.65,17.67,110.75,7.91,4.02,2.24,128.43,263.62,70.48,203.27,289.31,25.21,38.95,52.69,96.05,15.94,194.79,56.8,6.09,126,132.57
1.28,98.52,17.74,110.59,8,4.06,2.26,127.34,260.7,69.98,202.86,287.92,24.98,38.77,52.81,97.1,15.77,193.61,56.6,6.03,126,131.15
1.3,97.88,17.31,108.98,7.94,4.05,2.26,129.09,262.93,70.07,205.66,290.43,24.72,39.38,52.95,98.28,15.7,197.83,56.85,6.03,126.9,130.91
1.29,96.75,16.98,107.85,7.9,3.87,2.24,128.83,263.14,69.94,206.1,250,24.59,39.69,52.66,96.41,15.88,196.66,57.6,6.08,125.25,130.32
1.29,98.84,17,108.4,7.97,4.27,2.23,128.44,264.41,70.12,206.56,292.42,24.87,40.63,52.72,96.42,16.13,196.5,57.65,6.16,128.8,131.18
1.29,98.02,16.79,108.04,7.76,4.11,2.24,128.77,266.69,70.97,208.28,294.52,24.86,39.93,53.03,96.17,16.15,197.97,57.8,6.25,126.55,132.73
1.29,99.43,16.7,108.47,7.74,4.16,2.24,129.92,268.73,71.42,213.95,295.76,25.01,40.02,52.98,96.81,15.28,199.32,52.8,6.35,128.3,133.56
1.28,99.65,16.93,109.63,7.7,4.19,2.28,132.11,269.09,71.63,213.95,296.9,25.38,41.69,53.04,96.99,15.12,199.84,52.85,6.42,128.7,133.95
1.24,100.26,16.79,109.46,7.64,4.17,2.4,134.26,269.52,69.89,213.53,297.08,25.71,41.38,52.97,97.88,15.04,201.1,51,6.45,129.65,133.03
1.24,101.32,16.7,109.44,7.55,4.14,2.41,136.87,269.76,69.72,213.95,300,25.31,40.42,53.85,96.66,14.8,198.78,50.45,6.44,130.25,132.77
1.24,101.1,16.8,109.45,7.65,4.1,2.43,134.46,272.94,69.09,214.92,305.11,23.01,40.07,53.99,97.45,14.82,200.95,50.2,6.4,129.15,133.08
1.24,100.36,16.65,108.65,7.66,4.01,2.48,129.95,270.56,68.88,213.09,303.25,22.45,39.7,53.95,96.24,14.72,198.3,50.65,6.35,128.85,131.34
1.24,99.61,16.41,108.46,7.64,3.97,2.45,132.39,269.29,68.94,213.2,303.85,22.36,38.99,53.77,95.26,14.75,197.95,50,6.3,128.45,130.79
1.27,100.59,16.71,109.35,7.62,3.94,2.53,136.01,271.29,69.07,214.92,307.4,22.17,39.8,53.95,97.01,14.69,200.23,49.4,6.27,128.1,132.4
1.27,102,16.89,109.45,7.8,3.97,2.5,135.24,271.02,68.41,214.33,306,21.63,39.2,53.86,95.65,14.16,199.48,48.95,6.28,127.4,131.57
1.27,101.73,16.85,110.14,7.84,3.98,2.48,136.56,270,69.6,210.83,305.81,21.66,39.26,54.01,96.13,14.12,200.75,48.25,6.34,128.65,132.23
1.27,101.55,16.7,109.46,7.77,3.98,2.45,139.43,268.13,68.5,208.42,301.42,21.48,38.02,53.63,94.24,14.26,198,48.7,6.44,125.05,130.14
1.27,101.49,16.49,107.62,7.66,3.93,2.46,139.86,267.6,68.06,205.12,299.14,22.07,37.68,53.31,93.54,14.42,198.73,49.25,6.55,122.95,129.16
1.27,100.96,16.49,107.87,7.7,3.93,2.47,140.29,267.7,68.01,203.92,301.88,22.07,37.62,53.29,94.64,14.42,198.78,50.7,6.66,123.8,129.79
1.3,102.01,16.51,108.41,7.82,4,2.44,141.58,272.76,68.21,207.64,304.9,21.77,38.62,53.46,94.66,13.86,201.2,49.25,6.73,126.2,131.08
1.27,101.2,16.63,107.88,7.76,4,2.49,140.38,270.77,69,206.84,302.72,21.65,38.32,53.17,94.78,13.7,199.66,48.5,6.77,125.35,130.61
1.29,99.78,16.65,107.67,7.9,3.97,2.49,139.49,268.54,67.99,209.34,302.44,21.84,38.58,53.44,95.32,13.63,199.47,48.55,6.73,125.05,130.77
1.29,99.93,16.55,107.42,7.87,3.95,2.47,139.43,269.35,67.91,208.95,302.91,21.59,38.8,53.32,95.88,13.88,199.08,48.85,6.63,124.8,131.01
1.25,98.39,16.4,106.69,7.75,3.92,2.46,139.97,267.84,68.02,206.12,303.6,21.89,38.71,53.48,95.49,13.66,197.86,48,6.47,125.3,130.99
1.19,97.42,16.19,106.38,7.75,3.91,2.48,139.31,270.7,70.01,208.75,308.06,21.61,39.15,53.78,96.43,13.03,200.91,46.8,6.29,126,131.78
1.22,97.76,16.2,107.2,7.91,3.97,2.5,140.52,270.97,70.54,210.5,306.14,21.59,39.4,54.11,96.72,12.67,201.16,46.25,6.11,125.85,132.18
1.23,98.94,16.39,107.25,7.98,3.99,2.51,141.73,272.01,70.59,213.96,305.41,21.71,40.22,54.71,96.81,12.53,201.35,45.8,5.96,129.7,132.31
1.23,100.21,16.48,107.12,8.01,4.01,2.5,140.72,269.02,69.55,214.99,302.27,21.72,40.6,54.59,96.86,12.68,200,46.2,5.87,131.65,131.8
1.22,98.87,17.13,107.77,7.95,3.98,2.48,139.43,268.42,67.56,214.54,301.7,21.88,40.59,54.61,96.22,12.56,199.5,45.92,5.85,131.82,131.14
1.22,99.81,17.13,108.12,8.01,3.93,2.48,141.58,268.07,65.59,213.35,302.22,21.97,40.5,54.41,95.77,12.52,198.73,45.75,5.91,131.5,130.73
1.22,100.98,16.98,107.22,7.8,3.89,2.5,142.62,265.31,64.66,211.56,301.49,21.74,40.51,53.77,96.17,13.01,196.78,46.8,6.02,131.1,130.8
1.22,102.61,16.8,106.64,7.82,3.85,2.5,141.32,265.8,64.86,209.99,302.43,21.48,40.35,53.97,96.2,13.03,197.04,47.7,6.16,129.3,131.21
1.23,103.2,16.98,107.14,7.87,3.89,2.49,142.44,267.41,64.61,210.32,303.07,21.63,39.9,53.74,96.82,10.68,197.87,46.2,6.31,127.5,131.73
1.22,107.01,16.94,107.73,7.85,3.93,2.52,144.91,269.29,64.62,211.74,304.37,21.85,40.45,54.62,97.97,10.22,200.37,46.15,6.43,130.2,133.05
1.21,106.92,17.13,108.71,7.81,3.92,2.52,142.47,268.95,64.79,213.56,303.75,22.34,40.58,54.31,98.3,10.76,198.99,46.85,6.52,131.9,132.75
1.22,105.64,17.02,107.26,7.78,3.94,2.55,139.92,266.73,65.03,210.43,300.2,22.4,40.56,53.84,98.62,11.02,196.84,47.3,6.55,131.6,131.96
1.23,105.07,16.98,107.8,7.82,3.93,2.55,138.37,265.76,66.74,210.13,301.28,22.54,40.45,53.29,99.79,10.75,197.65,47.25,6.53,129,131.44
1.22,105.41,17.18,109.22,7.83,3.86,2.54,141.15,266.99,66.69,212.4,302.38,22.29,39.69,53.44,100.99,10.94,198.17,47.3,6.48,129.85,132.97
1.19,105.74,17.49,109.72,8.13,3.88,2.5,143.54,276.01,66.53,215.43,303.83,22.39,40.62,54.21,102.3,10.94,202.18,47.75,6.4,131.15,131.76
1.2,107.71,17.51,108.54,8.16,3.91,2.45,143.79,278.31,66.98,217.08,305.65,22.07,41.45,54.53,101.54,12.05,203.12,54.3,6.31,133.55,131.89
1.2,107.29,17.61,108.24,8.18,3.93,2.49,143.57,280.18,67.29,218.13,307.86,22.91,42.79,54.67,103.65,11.44,204.32,52,6.23,134.7,132.77
1.18,107.75,17.71,106.62,8.25,3.86,2.45,143.52,280.42,67.52,219.2,307.95,22.79,42.2,54.73,103.71,11.64,205.74,52.8,6.16,134.4,134.87
1.13,109.63,17.67,107.65,8.29,3.89,2.44,143.88,281.42,67.79,220.24,308.52,22.64,42.32,56.24,104.34,11.52,205.39,51,6.12,136.5,135.71
1.13,107.07,17.77,108.77,8.35,3.85,2.27,144.8,281.39,67.38,220.48,306.93,22.58,42.52,56.08,103.64,11.77,204.95,51.8,6.09,137.4,134.73
1.1,106.5,18.04,108.86,8.3,3.81,2.33,146.38,284.75,67.66,222.22,309.66,22.66,42.79,56.36,104.34,11.84,205.35,51.7,6.08,137.8,134.31
1.11,108.32,18.28,109.15,8.27,3.76,2.34,148.82,286.88,69.11,223.5,310.12,23.04,43.68,56.31,106.33,12.11,206.82,53.15,6.06,141.25,133.61
1.11,110.04,18.37,110.45,8.29,3.86,2.45,149.11,284.62,68.32,222.96,309.11,23.07,43.39,56.05,105.68,11.87,205.02,52.5,6.04,139.7,134.59
1.12,109.8,18.27,110.45,8.29,3.87,2.45,149.68,287.65,68.45,226.44,310.26,22.67,44.13,56.03,104.54,11.71,205.58,51.7,6.01,139.35,135.69
1.13,110.35,18.3,110.41,8.27,3.94,2.48,149.14,289.87,69.33,229.8,311.33,22.9,45.07,57.29,105.77,12.08,208.68,53.5,5.96,142.15,136.58
1.2,111.72,18.12,110.59,8.14,4.02,2.47,150.77,291.03,69.41,231.99,312.8,23.2,45.46,57.03,105.08,12.37,210.52,54.6,5.9,142.35,136.59
1.18,112.64,18.01,109.8,8.14,4.03,2.48,151.47,292.1,69.37,234.12,312.75,23.76,45.48,56.87,105.68,12.37,211.25,53,5.84,141.5,136.49
1.18,112.66,17.9,108.93,8.06,4.02,2.45,151.33,292.6,69.69,234.16,314.5,23.63,45.52,59.02,106.47,12.3,213.43,54.1,5.78,142.6,136.96
1.18,113.07,18.01,109.63,8.05,4.01,2.47,151.95,293.29,69.67,235.82,316.16,23.71,45.39,59.38,109.66,12.06,212.59,52.7,5.74,142.2,137.5
1.27,111.53,17.94,109.85,8.12,4.01,2.41,153.1,293.91,69.96,235.94,317.22,23.56,45.41,59.33,110.53,11.47,213.56,50.6,5.72,142.65,137.42
1.27,112.36,17.76,109.84,8.1,3.98,2.46,150.66,293.41,69.68,234.8,317.64,23.82,46.27,59.04,110.79,11.26,212.56,50.7,5.73,143.3,137.22
1.26,112.03,17.64,110.32,8.07,3.97,2.46,149.76,295.16,69.44,233.87,318.47,23.91,45.58,58.96,110.93,11.01,212.79,50,5.77,142.2,136.64
1.26,112.37,17.59,110.25,8.08,4.01,2.51,150.82,298.63,70.09,235.35,320.99,24.45,46.01,58.96,112.06,10.92,213.76,50.7,5.84,142.35,137.1
1.27,112.75,17.48,110.29,8.06,3.98,2.56,152.27,296.42,70.09,234.4,319.43,24.6,46.43,59.19,113.21,10.83,213.43,49.7,5.94,143.6,137.31
1.27,112.5,17.57,110.5,8.01,3.96,2.63,152.9,295.79,70.21,235.92,318.81,24.3,45.98,59.52,113.6,10.91,213.36,50.6,6.04,142.45,137.65
1.28,112.91,17.41,110.71,8.03,3.96,2.67,152.98,294.18,70.38,235.24,318.27,24.45,45.42,59.41,113.54,11.09,211.53,50.65,6.15,141.4,137.31
1.28,114.06,17.32,111.94,8.08,4.06,2.67,152.21,291.86,70.28,234.86,315.53,25,46.16,59.32,113.58,11.29,210.41,51.55,6.25,141.55,137.34
1.27,111.16,16.94,108.52,7.87,4.04,2.69,149.94,292.56,70.49,234.72,316.84,24.62,45.87,59.17,113.18,11.39,211.66,51.85,6.34,141.6,137.52
1.27,113.44,17.21,106.95,7.83,4.04,2.77,150.49,294.59,71.29,235.37,319.82,23.01,46.3,59.87,114.08,11.44,213.79,52.4,6.42,143.15,139.15
1.27,114.15,17.37,107.28,7.87,4.07,2.87,149.37,294.11,71.3,234.44,320.81,22.58,46.34,60.11,113.29,11.13,212.51,51.7,6.48,143.05,139.82
1.28,114.61,17.39,103.52,7.87,4.08,2.93,151.35,293.9,70.64,235.89,313.17,22.31,46.28,61.83,114.16,11.19,212.09,51.95,6.53,143.3,139.89
1.27,114.17,17.57,101.94,7.73,4.1,2.93,150.83,304.74,70.18,234,312.44,22.17,46.39,60.58,114.76,11.21,207.25,52.5,6.57,144.55,139.76
1.27,116.45,17.48,102.92,7.7,4.14,3,151.98,297.87,70.75,231.78,307.85,22.42,46.02,60.2,115,10.89,203.84,51.6,6.59,144.8,139.59
1.24,116.72,17.18,103.94,7.76,4.22,2.99,152.21,297.63,70.24,233.36,307.98,22.91,46.29,60.02,115.93,11.17,204.89,51.5,6.61,144.6,139.96
1.27,116.22,17,103.34,7.82,4.23,3.03,147.82,296.38,70.71,232.12,308.7,22.88,45.57,60.23,117.29,11.04,206.14,50,6.62,143.25,138.47
1.29,117.4,17.1,103.1,7.8,4.26,3.16,149.77,295.52,70.65,232.81,308.17,22.96,46.4,59.93,118.26,11.01,202.98,49.45,6.61,143.65,138.04
1.27,118.3,17.3,102.68,7.64,4.21,3.09,148.99,294.23,70.85,233.64,306.59,23.03,45.81,60.37,117.83,11.09,201.53,51.4,6.59,141.75,138.76
1.25,117.84,17.14,102.73,7.66,4.23,3.16,150.23,301.31,71.63,234.57,310.68,23.48,50.94,61.34,119.8,11.03,203.81,50.2,6.56,133.3,139.17
1.25,119.27,17.09,103.72,7.76,4.28,3.29,150.23,301.58,71.41,235.07,309.97,23.4,50.35,61.01,119.78,10.95,203.98,50.8,6.51,129.95,138.79
1.28,118.39,17,103.38,7.68,4.3,3.58,149.42,301.87,71.01,236.21,310.09,23.21,49.39,60.99,119.22,10.63,202.37,49.75,6.44,128.05,139.41
1.29,120.57,16.71,103.21,7.6,4.28,3.61,148.3,303.27,71.21,233.4,313.22,22.86,49.42,60.04,119,10.75,203.75,50.6,6.35,129.75,140.69
1.27,120.51,16.47,103.5,7.48,4.21,3.66,148.99,303.3,70.94,251.95,315.58,21.43,49.86,60.52,119.25,10.55,202.63,50.05,6.25,129.05,140.6
