"D.2TP.PB.","BATS.PB.","ID.GUD.PB.","U.VGR.PB.","U.STZ.PB.","U.TPB.PB.","U.RLX.PB.","U.PM.PB."
0.22,53.72,4.62,18.77,151.12,0,0,98.11
0.27,53.64,4.63,18.66,152.68,0,0,99.72
0.23,53.82,4.64,18.9,151.43,0,0,100.34
0.27,54.07,4.72,18.29,151.42,0,0,100.25
0.27,54.17,4.75,18.13,160.31,0,0,101.18
0.27,54.47,4.76,17.77,157.39,0,0,100.55
0.27,55.02,4.67,17.8,158.95,0,0,100.85
0.27,55.07,4.67,17.66,157.43,0,0,100.32
0.25,54.74,4.79,17.8,156.96,0,0,101.6
0.25,54.97,4.72,17.75,156.09,0,0,100.31
0.28,55.3,4.65,17.61,156.81,0,0,99.73
0.25,55.57,4.61,17.68,156.7,0,0,100.11
0.25,56.15,4.73,17.71,158,0,0,100.77
0.24,56.23,4.75,17.61,157.3,0,0,99.23
0.25,56.01,4.67,17.61,156.02,0,0,98.11
0.24,54.84,4.65,17.28,155.22,0,0,96.42
0.27,54.28,4.74,17.19,154.82,0,0,96.92
0.27,54.67,4.8,17.38,156.8,0,0,97.53
0.27,54.44,4.9,17.48,156.25,0,0,97.2
0.27,54.67,4.97,17.37,156.66,0,0,97.27
0.25,54.92,5.08,17.34,155.53,0,0,97.37
0.25,54.77,4.92,17.77,156.08,0,0,98.14
0.25,54.71,5.04,17.38,157.8,0,0,98.56
0.24,54.57,4.83,17.2,158.45,0,0,98.52
0.23,54.38,4.81,17.19,158.84,0,0,98.8
0.28,55.01,4.77,17.12,159.17,0,0,99.17
0.27,55.15,4.71,17.19,159.61,0,0,100.33
0.3,55.34,4.81,17.12,161.12,0,0,100.36
0.24,55.68,5.04,17.28,163.46,0,0,101.88
0.24,55.74,5.03,17.25,162.91,10.12,0,101.79
0.23,55.28,5.23,17.5,161.89,10.25,0,102.21
0.21,55.45,5.06,17.34,161.41,10.86,0,100.86
0.23,55.62,5.03,17.64,162.49,11.51,0,101.7
0.24,55.01,5.18,17.45,158.13,11.84,0,99.8
0.21,54.71,5.1,17.12,154.6,11.73,0,98.93
0.21,53.67,5.04,17.31,156.08,10.38,0,98.36
0.21,54.46,5.15,17.23,154.04,10.3,0,98.01
0.23,54.06,5.25,17.26,154.29,10.57,0,98.3
0.21,54.77,5.05,17.55,157.61,10.49,0,98.83
0.28,54.9,5.04,17.49,156.81,10.94,0,99.03
0.2,54.94,4.96,17.47,157.89,10.88,0,99
0.2,55.24,5.06,17.57,157.84,10.72,0,99.17
0.2,55.32,4.97,17.62,155.3,10.43,0,98.73
0.21,55.14,4.9,17.66,153.15,10.26,0,98.65
0.2,54.73,4.9,17.76,153.7,10.35,0,99.36
0.21,54.41,4.9,17.92,154.1,10.26,0,99.22
0.24,55.24,4.93,18.14,153.39,10.52,0,101.1
0.24,56.1,4.97,18.11,155.08,9.6,0,100.28
0.21,56.19,4.98,18.11,151.13,9.67,0,100.42
0.21,56.17,4.9,18.18,154.06,9.38,0,101.7
0.21,56.12,4.84,18.26,154.1,8.83,0,101.79
0.23,55.4,4.79,18.24,153.41,8.2,0,101.3
0.23,54.47,4.82,18.32,152.88,7.7,0,100.54
0.23,53.48,4.83,18.35,157.09,7.9,0,99.88
0.25,53.85,4.57,18.36,156.25,7.35,0,99.67
0.25,54.44,4.5,18.5,156.73,7.14,0,100.14
0.25,54.07,4.5,17.97,154.05,7.44,0,100.7
0.25,55.59,4.5,17.78,154.38,9.35,0,101.56
0.28,55.79,4.7,17.89,154.83,10.26,0,100.87
0.23,55.88,4.71,17.81,153.65,10.02,0,101.02
0.21,56.12,4.65,17.92,155.97,9.76,0,101.88
0.21,57.6,4.67,17.85,152.6,10.18,0,97.7
0.21,58.52,4.67,17.82,153.1,9.26,0,98.21
0.21,59.84,4.88,17.87,157.69,9.96,0,98.53
0.21,61.65,4.82,18.21,159.35,9.93,0,98.6
0.18,63.6,4.89,18.44,165.4,10.27,0,101.72
0.21,64.08,4.84,18.49,163.56,10.02,0,101.2
0.18,64.42,4.84,18.36,164.07,10.08,0,101.26
0.18,66.09,4.93,18.3,165.91,10.22,0,102.19
0.16,64.35,5.04,18.4,165.34,10.01,0,102.36
0.16,64.91,5.15,18.29,166.01,9.97,0,101.78
0.16,64.33,5.18,18.48,165.96,10.04,0,103.08
0.16,64.62,5.1,18.44,164.18,10.3,0,103.4
0.16,63.55,4.99,18.39,163.69,10.36,0,102.89
0.18,63.24,5.13,18.53,163.51,10.33,0,103.19
0.18,62.79,5.12,18.5,162.84,10.33,0,103.16
0.16,63.47,5,18.54,163.06,10.9,0,103.59
0.2,62.74,5.06,18.42,163.12,11.51,0,102.99
0.2,62.9,5.07,18.4,164.03,11.04,0,99.88
0.24,63.04,5.32,18.52,166.33,10.46,0,99.62
0.2,62.68,5.47,18.37,165.35,11.29,0,99.4
0.2,63.22,5.49,18.42,167.65,11.08,0,99.82
0.18,63.09,5.32,18.48,166.3,11.11,0,99.72
0.18,62.8,5.04,18.38,165.38,11.09,0,98.95
0.18,62.32,4.91,18.24,163.01,11.13,0,97.32
0.17,62.78,4.88,18.26,163.55,11.02,0,99.14
0.18,63.32,4.79,18.17,164.64,11.03,0,100.31
0.17,63.01,4.84,18.03,163.98,10.76,0,100.1
0.17,63.3,4.92,17.75,162.62,10.8,0,99.97
