"U.MGM.PA.","U.LVS.PA.","X.WYNN.PA.","X.BJK.PA.","X.GDEN.PA.","U.BYD.PA.","U.BALY.PA.","X.RRR.PA."
21.91,51.73,94.74,33.77,10.8,20.87,0,0
21.62,50.53,93.4,33.22,10.6,20.84,0,0
21.28,49.95,90.92,32.81,10.52,20.74,0,0
21.37,49.79,89.54,33.46,10.68,20.87,0,0
21.68,50.21,100,33.07,10.65,20.92,0,0
22.39,49.5,98.81,33.28,10.65,21.21,0,0
22.07,49.31,98.34,33.13,10.55,20.75,0,0
22.66,49.54,97.19,33.81,10.55,21.23,0,0
23.1,50.97,97.7,34.19,10.7,21.35,0,0
22.81,50.71,97.67,34.24,10.65,21.06,0,0
22.79,50.95,97.67,34.27,10.76,21.1,0,0
22.87,51.17,96.49,34.55,11,20.98,0,0
23.03,52.51,100.01,34.99,11.49,21.06,0,0
22.79,52.17,99.4,34.77,11.81,21.13,0,0
22.29,47.39,95.79,33.51,11.84,20.93,0,0
22.18,46.88,96.01,33.16,11.84,20.04,0,0
21.78,45.8,90.94,33.1,12,20.2,0,0
21.83,46.1,89.62,33.34,12.05,20.65,0,0
21.95,45.68,89.18,33.31,11.97,19.61,0,18.73
21.36,45.87,89.23,32.95,11.92,19.2,0,18.75
21.3,45.15,88.3,32.74,12.1,18.65,0,18.66
21.68,46.75,94.31,33.11,11.95,19.22,0,18.89
21.43,45.77,94.47,32.78,12.3,18.63,0,18.98
21.47,45.21,91.23,32.27,12.5,18.68,0,18.75
21.88,44.44,89.62,32.42,12.67,18.77,0,18.8
22,45.51,91.23,32.27,12.38,18.74,0,18.85
21.86,44.96,89.62,32.21,12.69,19.05,0,18.9
22.59,46.13,94.07,32.67,12.8,19.49,0,19
22.03,45.45,92.99,32.29,12.68,19.2,0,19.24
21.94,45.64,93.45,32.56,12.51,19.1,0,19.51
21.62,44.9,89.94,32.27,12.4,18.96,0,19.17
22.09,45.58,90.88,32.78,12.6,18.81,0,19.54
21.98,45.42,91.24,32.55,12.31,18.53,0,19.39
21.7,44.83,88.45,32.06,12,18.7,0,19.46
21.52,44.31,88.45,31.89,12.08,18.41,0,19.34
21.76,44.99,88.97,32.12,12.13,18.23,0,19.33
22.14,45.06,91.5,32.11,12.1,18.37,0,19.37
22.69,45.55,93.22,32.46,12.21,18.4,0,19.57
22.81,46.3,96.69,32.98,12.15,18.55,0,19.75
22.52,45.42,94.62,32.98,12.25,18.46,0,19.85
22.93,46.21,95.96,33.16,12.43,18.82,0,20.13
22.92,46.47,96.68,33.39,12.42,18.86,0,20.38
22.86,46.23,96.22,33.48,12.38,18.91,0,20.37
23.42,46.38,96.73,33.5,12.56,19.43,0,20.19
24.11,46.76,99.43,33.84,12.93,19.72,0,20.5
24.06,46.76,98.5,33.9,13.1,19.49,0,20.46
24.4,46.61,98.69,33.91,13.14,19.33,0,20.5
24.66,47.39,101.12,33.98,13.14,19.36,0,20.85
24.98,47.6,101.32,34.13,13.13,19.41,0,21.2
25.1,47.28,100.79,33.89,13.09,19.21,0,21.69
24.56,46.26,100.45,33.23,13.3,18.85,0,21.72
24.12,46.01,100.17,32.69,12.93,18.49,0,22.02
24.06,46.9,101.54,32.48,12.79,18.6,0,22.09
24.52,46.97,101.6,32.65,12.72,18.6,0,22.52
24.16,46.49,101.21,32.41,12.49,18.36,0,22.42
24.62,46.95,103.2,32.74,12.29,18.7,0,22.1
24.28,44.29,100.34,32.96,13.13,18.85,0,22.45
24.53,45.21,101.81,33.15,13.23,19.18,0,22.82
24.33,44.93,100.72,33.06,13.23,18.76,0,22.7
24.48,46.17,101.7,33.79,13.28,19.06,0,22.5
22.91,43.31,92.29,31.6,13.24,18.26,0,21.39
21.54,41.81,87.69,30.52,13.29,17.46,0,20.95
22.1,42.49,88.28,30.77,11.43,17.95,0,21.06
22.75,43.64,91.33,31.32,11.33,18.26,0,21.16
22.64,43.5,90.67,31.6,11.7,18.4,0,21.98
22.78,43.7,91.8,31.53,11.64,18.31,0,22.05
22.61,43.11,90.56,31.27,11.55,18.15,0,21.78
22.54,42.78,89.1,31.05,11.52,18.13,0,21.77
22.95,43.59,89.93,31,11.5,18.26,0,22.15
22.98,43.56,88.98,31.05,11.5,18.31,0,22.16
22.96,44.13,89.74,31.67,11.62,18.73,0,22.27
23,45.93,94.11,32.06,12.1,18.72,0,22.27
23.28,46.52,96.54,32.54,12.16,18.94,0,22.51
23.12,45.82,94.9,32.52,12.16,19.09,0,22.42
23.3,46.01,92.02,32.82,12.46,19.18,0,22.35
23.35,46.19,92.22,32.63,12.42,19.2,0,22.41
23.38,46.96,96.7,32.89,12.88,19.25,0,22.53
23.15,46.34,95.17,32.88,12.95,18.88,0,22.51
23.51,46.95,94.17,32.99,13.3,19.18,0,22.48
23.18,46.71,93.9,33.05,13.08,18.88,0,22.06
