"U.MGM.PA.","U.LVS.PA.","X.WYNN.PA.","X.BJK.PA.","X.GDEN.PA.","U.BYD.PA.","U.BALY.PA.","X.RRR.PA."
31.5,60.78,129.86,40.46,20.55,26.15,0,22.84
30.52,60.13,126.02,39.74,20.47,26.47,0,22.26
30.59,59.65,125.63,39.57,20.59,26.2,0,22.01
30.99,60.82,128.18,39.65,20.74,26.28,0,22.01
31.6,61.87,136.45,39.89,21.18,26.44,0,22.04
31.3,61.55,136.46,40.2,21.45,26.19,0,21.91
30.53,60.1,134.62,39.86,21.91,25.82,0,21.68
30.71,60.01,134.9,40.3,21.99,25.56,0,21.66
31.11,60.23,135.64,40.27,22,26.07,0,21.79
31.6,60.58,136.15,40.28,22.33,26.41,0,22.07
31.32,59.88,134.64,40.06,22.14,26.09,0,21.89
31.56,60.25,134.1,40.21,22.37,26.08,0,22.1
31.84,60.13,134.64,40.15,22.47,26.46,0,22.2
31.7,60.3,133.86,40.01,23.22,26.27,0,22.17
32.04,60.73,135.19,40.12,23.16,25.99,0,22.14
32.13,60.56,136.1,40.2,22.81,25.97,0,22.2
32.97,62.21,138.83,40.71,22.76,26.44,0,22.61
33.21,62.89,143.39,41.5,22.49,26.51,0,22.72
33.06,62.71,143.82,41.35,22.53,26.44,0,22.65
33.15,62.68,142.45,41.04,22.75,26.46,0,22.62
33.77,63.28,143.41,41.45,23.09,26.63,0,22.7
33.99,63.4,145.75,41.75,23.82,26.77,0,22.64
33.26,63.12,144.43,41.75,23.4,26.64,0,22.69
33.1,64.3,145.86,41.95,23.64,26.8,0,22.7
32.76,64.49,145.92,41.94,23.22,26.7,0,22.59
32.58,64.45,145.47,41.89,23.62,26.37,0,22.65
32.06,64.12,144.11,41.8,23.7,26.21,0,22.57
31.94,63.25,143.23,42.06,23.51,26.09,0,22.65
31.67,63.64,143.85,42.25,23.42,26.13,0,22.78
32.56,64.6,147.02,42.31,23.39,26,0,23.22
33.08,63.6,145.69,42.44,23.21,25.98,0,23.29
33.06,63.62,145.42,42.25,23.23,25.92,0,23.74
32.37,63.56,144.93,42.52,23.23,25.05,0,23.51
31.94,62.32,141.14,42.02,23.34,24.78,0,23.13
32.17,63.18,144.65,41.91,24.8,25.19,0,23.11
32.45,64.16,145.29,42.22,25.76,25.18,0,23.07
32.34,63.64,144.39,42.36,25.11,25.28,0,23.2
32.59,64.17,148.95,42.75,24.41,26.07,0,23.17
30.78,64.97,147.07,42.61,24.4,26.04,0,23.11
30.85,64.91,147.12,42.81,24.34,25.73,0,23.46
30.75,65.07,146.97,42.83,24.41,25.58,0,23.59
30.89,65.02,147,42.86,24.75,27.18,0,23.95
30.8,64.23,143.89,42.3,24.56,27.62,0,23.63
30.81,63.64,143.37,42.01,24.36,27.41,0,23.92
30.43,63.35,142.54,42.36,24.74,27.51,0,23.71
30.9,63.3,143.27,42.18,24.62,27.8,0,23.89
30.07,61.66,140.77,42.15,24.09,27.81,0,23.88
29.74,62.03,142.36,42.31,23.97,27.71,0,23.88
29.69,62.82,146.83,42.32,24.04,27.89,0,24
30.49,62.27,146.41,42.15,24.33,27.97,0,23.79
30.44,61.91,145.33,42.12,24.84,28.61,0,23.9
30.5,62.35,145.53,42.15,24.87,28.41,0,23.73
31.03,62.68,144.44,42.34,25.08,28.71,0,23.74
30.9,63.14,144.78,42.21,25.09,28.47,0,23.79
31.23,63.13,144.91,42.33,25.94,28.39,0,23.75
30.97,62.93,143.51,41.87,26.49,27.71,0,23.71
30.84,62.59,145.33,41.89,26.75,27.3,0,23.44
31.25,61.74,143.15,42.19,27.36,29.12,0,24.14
30.57,61.46,141.21,42.04,26.57,28.63,0,23.89
31.35,63.41,147.5,42.84,26.65,29.23,0,24.63
30.82,64.38,151.54,43.4,26.57,29.11,0,24.75
30.7,64.91,150.06,43.23,28.36,28.95,0,24.51
31.26,65.89,150.09,43.11,28.28,29.2,0,24.73
31.72,66.56,151.4,43.48,29.31,29.35,0,24.9
31.46,67.35,152.2,43.72,27.97,29.09,0,24.75
33.07,67.9,152.79,44.2,28.79,29.53,0,26.49
32.76,67.41,153.59,44.06,30.91,29.27,0,26.5
32.89,67.4,154.03,44.03,30.67,28.9,0,26.48
33.08,67.25,155.26,43.93,30.88,29.12,0,26.61
32.85,67.29,153.6,43.91,31.17,29.41,0,26.86
32.9,66.25,151.62,43.93,30.68,29.02,0,27.07
33,66.69,153.2,44.29,30.8,29.7,0,27.67
33,66.51,152.27,44,30.9,29.99,0,28.13
33.18,67.08,156.99,44.57,31.47,30.43,0,28.32
33.35,67.8,158.58,44.98,33.01,30.4,0,28.32
33.46,67.69,158.68,44.97,32.04,30.24,0,28.68
33.71,67.63,159.27,45.06,32.81,30.22,0,28.84
33.89,67.63,159.44,45.16,33.62,30.38,0,28.86
33.68,67.76,158.5,45.07,32.85,30.7,0,29.3
33.26,68.37,157.5,44.98,34.24,31,0,30.59
33.65,67.57,156.02,45.09,32.81,31.27,0,30.53
34.13,69.26,158.08,44.93,34.34,31.89,0,30.85
34.02,69.84,158.99,45.1,33.88,32.06,0,31.12
34.22,69.78,158.07,44.98,33.51,32.05,0,31.75
33.94,69.45,159.44,44.87,33.57,32.07,0,31.56
33.11,68.75,157.87,44.44,33.16,31.66,0,31.37
33.34,69.61,158.93,44.96,32.7,32.03,0,31.37
33.18,70.37,159.55,45.65,33.2,32.04,0,31.88
33.34,71.07,164.28,46.02,33.24,32.1,0,32.45
32.72,70.08,162.32,45.74,32.76,31.47,0,32.71
33.17,70.82,164.9,46.58,32.65,32.39,0,32.98
32.84,70.55,165.01,46.46,31.85,31.83,0,31.98
32.87,70.49,166.03,46.85,32.21,32.33,0,32.6
32.96,71.14,165.15,46.32,33.07,34.78,0,33.53
32.84,71.97,166.14,46.2,33.4,35.09,0,33.57
33.17,70.75,168.97,46.77,33.7,34.48,0,33.43
33.73,70.3,168.53,46.57,33.97,35.82,0,34.39
33.34,69.73,167.78,46.22,33.64,35.26,0,34.31
33.13,69.57,167.58,46.11,33.43,35.21,0,34.37
33.36,70.13,168.62,46.21,33.42,35.56,0,34.52
33.72,70.85,170.21,46.43,33.42,35.42,0,34.42
33.63,69.98,168.48,46.63,33.16,35.35,0,34.52
33.4,69.49,168.62,46.66,32.68,35.06,0,33.76
33.47,69.44,167.12,46.4,32.64,34.58,0,33.69
33.51,69.12,164.3,46.25,32.21,34.49,0,33.58
33.32,68.32,162.45,46.38,31.2,34.91,0,32.69
33.67,68.15,163.38,46.15,32.18,35.11,0,32.91
33.89,67.92,164.49,46.43,32.9,36.8,0,34.01
33.11,68,162.25,46.17,32.57,36,0,34.33
33.63,69.52,163.4,46.48,32.19,36.13,0,33.88
33.94,70.04,162,46.41,32.1,35.99,0,34.15
35.12,70.64,162.5,46.7,32.17,36.81,0,34.45
35.03,71.03,165.54,46.78,32.18,36.48,0,34.47
35.28,71.72,166.78,46.96,32.61,35.9,0,34.27
36.04,72.68,168.78,47.51,31.7,36.15,0,34.13
36.56,73.52,173.6,48.26,28.81,37.22,0,34.12
36.08,73.74,175.52,48.3,28.21,37.16,0,33.8
36.36,74.52,179.67,48.65,28.59,37.74,0,33.88
37.13,77.07,195.23,49.5,29.4,37.5,0,34.1
37.03,77.67,195,49.76,29.75,38.49,0,34.14
37.64,77.45,200.56,50.04,30.25,38.82,0,34.34
36.81,75.37,200.59,49.68,30.76,39.6,0,34.58
37.05,75.5,180.02,49.45,29.84,39.33,0,34.4
38.03,79.04,163.46,49.26,30.01,39.18,0,34.22
37.12,78.39,171.42,48.95,30.79,38.86,0,33.95
36.46,77.54,165.59,49.14,31.34,39.47,0,34.74
36.84,78.21,170.54,49.52,31.73,39.92,0,35.51
35.58,75.13,166.56,48.28,31.38,38.59,0,34.4
34.48,72.37,165.4,47.23,29.87,37.06,0,32.65
34.89,74.13,163.22,47.35,30.04,38.02,0,33.41
34.68,73.44,177.32,47.23,30.73,37.79,0,33.25
33.51,70.99,169.29,45.84,30.51,36.25,0,31.3
33.44,71,166.14,45.76,28.95,35.5,0,31.72
33.2,71.55,162.92,45.74,28.44,35.56,0,31.68
33.13,73.14,164.7,46.29,28.48,35.91,0,31.32
34.44,74.47,164.16,47.05,28.91,36.36,0,32.28
35,74.85,164.02,47.61,28.85,37.33,0,32.46
34.48,75.06,164.27,47.81,28.74,37.33,0,34.23
34.52,74.91,164.09,47.81,29.22,37.89,0,34.97
34.71,75.03,164.91,47.89,29.45,37.53,0,34.8
34.42,75.07,166.38,47.97,28.75,35.06,0,34.6
34.52,72.95,164.19,47.39,28.27,34.06,0,33.78
35.39,74.32,167.14,47.88,28.42,35.28,0,33.42
35.33,73.96,169.01,47.94,28.93,35.29,0,34.55
34.26,73.04,168.76,47.16,28.97,34.96,0,33.51
34.23,72.82,167.51,46.87,27.88,35.39,0,33.51
33.28,70.86,163.49,46.18,28.23,34.93,0,32.1
33.73,71.54,163.06,46.28,28.27,35.31,0,32.51
33.85,71.59,165.06,46.24,27.59,35.29,0,32.51
34.77,72.66,166.78,46.74,28.27,35.65,0,32.45
34.86,73.05,168.42,46.72,27.8,35.81,0,32.51
35.92,76.62,179.15,47.78,28.3,35.72,0,32.75
36.79,76.46,188.89,48.71,28.34,35.41,0,32.91
36.78,75.64,191.79,48.8,28.4,34.4,0,33.3
35.8,73.86,185.41,47.99,28.91,33.37,0,32.03
35.7,73.9,185.26,47.84,28.73,33.87,0,31.98
35.69,74.77,186.23,47.93,29.26,33.12,0,31.38
35.99,75.06,184.74,47.78,28.26,33.22,0,31.29
36.28,75.06,181.62,47.6,26.46,33.61,0,31.02
36.74,75.16,184.21,47.59,25.55,33.53,0,31.25
36.13,73.32,178.93,47.29,25.33,33.59,0,31.09
34.54,71.34,175.58,46.36,24.24,32.2,0,30.22
33.27,69.33,175.92,45.27,23.58,31.05,0,29.41
34.93,70.48,177.03,46.41,24.08,31.99,0,29.81
34.87,71.65,177.75,46.09,23.85,31.81,0,29.59
34.1,70.78,176.06,45.72,23.36,31.34,0,28.95
35.03,71.9,182.38,46.35,23.21,31.86,0,29.28
34.6,71.41,183.45,46.05,22.87,31.32,0,29.06
33.88,70.58,181,45.56,22.8,30.76,0,28.47
34.45,70.95,180.3,45.78,23.4,31.4,0,28.24
34.94,70.03,179.59,45.67,24.11,32.03,0,28.73
35.57,71.12,181.24,46,25.09,33.13,0,29.55
34.13,69.23,178.49,45.15,24.59,32.01,0,28.97
34.38,69.88,180.38,45.57,24.18,31.84,0,28.64
34.68,71.42,183.28,46.38,24.17,32.38,0,28.89
33.68,70.85,179.83,46.05,23.44,32.5,0,28.69
34.93,72.4,186.69,46.72,23.72,33.19,0,29.24
34.41,71.83,183.86,46.72,23.12,32.74,0,28.83
34.78,72.96,188.65,47.45,24.15,33.95,0,29.56
36.12,73.52,190.67,47.69,25.15,34.41,0,29.63
36.41,74.42,192.92,48.3,25.34,35.04,0,30.13
35.56,73.89,191.74,48.08,25.25,35.02,0,30.31
35.43,73.93,192.51,47.74,26.11,34.98,0,30.21
36.17,74.45,193.25,47.82,25.76,35.02,0,30.74
35.53,73.79,189.95,47.33,25.81,34.24,0,30.32
35.32,72.4,182.89,46.92,25.57,33.76,0,30.2
32.29,73.11,184.28,46.94,26.05,33.46,0,30.41
31.28,72.33,185.11,46.91,26.36,33.09,0,30.05
31.43,73.35,186.21,46.95,26.76,33.22,0,30.2
31.41,74.86,191.85,47.35,26.81,34.03,0,30.2
31.22,75.26,191.03,47.73,27.7,33.96,0,32.38
31.28,75.37,191.63,47.76,27.16,33.45,0,32.21
31.87,76.38,192.43,48.01,26.82,33.7,0,32.74
31.61,76.89,191.91,47.75,28.03,33.41,0,32.98
32.06,76.65,191.77,47.64,27.6,33.96,0,33.2
32.92,77.89,199.22,47.64,27.63,33.62,0,33.46
33.38,79.02,201.51,48.5,29,35.27,0,34.04
31.81,78.13,195.66,48.64,28.65,35,0,33.73
32.32,77.5,191.63,49.43,28.84,36.07,0,33.71
31.74,77.88,190.92,49.04,29.79,36.16,0,33.88
31.92,78.37,192.54,49.39,30.15,36.31,0,34.38
32.18,78.07,190,49.67,30.62,36.9,0,34.78
32.35,77.87,189.03,49.43,30.92,36.56,0,34.7
32.02,79.27,194.2,50.29,30.97,37.02,0,34.65
31.58,79.01,193.88,50.11,30.32,36.45,0,34.1
31.6,79.29,194.69,49.76,30.5,36.26,0,33.81
31.32,79.31,193.66,49.75,30.45,36.59,0,34.08
31.46,79.37,194.21,49.95,30.12,37.17,0,34
31.26,79.37,193.52,49.72,29.76,37.21,0,33.79
31.31,79.61,193.4,49.5,29.68,37.34,0,33.83
31.9,80.27,195.68,49.78,30.04,37.91,0,34.18
31.45,80.61,196.01,49.94,30.52,37.76,0,34.45
31.79,80.47,192.49,49.64,31.05,38.63,0,35.22
31.54,79.82,182.83,49.35,31.32,38.23,0,35.37
30.86,78.72,176.88,48.62,31.42,37,0,35.32
31.56,78.92,179.52,49.28,31.46,38.04,0,35.18
31.35,77.67,176.25,48.69,30.84,37.45,0,34.47
30.78,77.99,178.11,48.71,30.19,36.59,0,33.94
31.59,79.15,180.86,48.9,29.74,36.95,0,34.1
31.65,80.3,179.39,49.27,30.1,37.14,0,34.3
30.96,80.33,176.43,48.71,29.73,36.88,0,34.06
31.44,80.61,176.25,48.63,30.16,36.19,0,33.93
31.25,80.37,173.32,48.17,30.19,36.57,0,34.81
31.33,81.28,175.09,48.32,31.24,36.85,0,34.8
29.92,79.34,172.43,47.43,30.9,36.68,0,34.64
30.54,80.02,174.45,47.88,29.58,36.89,0,34.84
30.31,79.4,172,47.6,29.61,36.77,0,34.81
30.07,79.81,170.13,47.6,28.72,36.59,0,34.71
29.28,75.85,166.56,46.33,27.93,34.8,0,33.22
29.17,77.26,167.21,46.5,28.26,35.44,0,33.44
28.38,75.93,163.91,45.78,27.15,34.6,0,32.85
28.38,75.62,164.03,45.34,27.11,34.51,0,32.95
29.04,76.37,167.35,45.93,26.98,34.65,0,33.49
28.15,71.25,154.14,44.5,26.67,34.5,0,33.72
27.99,70.97,152.21,44.14,26.9,35.15,0,34.13
28.12,71.9,153.57,44.16,27.63,35.39,0,34.36
28.42,72.23,154.84,44.27,28.17,35.76,0,34.31
28.98,72.36,156.87,44.7,28.22,36.8,0,34.45
29.46,73.34,160.15,45.56,28.63,37.09,0,35.74
29.93,73.63,165.39,45.89,28.27,37.28,0,35.99
29.9,72.31,161.2,45.33,28.97,37.34,0,36.12
30.5,73.19,164.58,46.03,29,38.2,0,36.64
30.94,73.75,165.25,46.18,29.36,38.18,0,36.58
31.12,74.09,166.05,46.31,31.29,37.93,0,35.72
31.26,74.5,164.96,46.15,33.17,38.33,0,35.63
31.03,74.68,164.99,46.03,33.84,37.91,0,35.26
30.83,74.06,163.57,45.89,34.16,38.13,0,35.7
31.2,73.84,163.92,46.19,34.03,38.35,0,35.92
30.98,73.92,163.74,45.99,33.93,37.84,0,35.84
30.77,74.49,163.56,46.15,33.05,37.64,0,35.04
31.52,75.13,165.82,46.99,33.12,37.73,0,35.1
31.23,71.32,165.29,46.11,32.16,36.5,0,34.32
30.72,71.54,163.4,45.99,31.3,35.4,0,34.24
30.77,70.28,161.82,45.89,30.52,35.92,0,34.51
31.38,71.91,166.8,46.3,31.12,37.36,0,35.33
28.51,69.02,159.99,45.1,29.8,35.49,0,34.08
28.97,68.45,149.91,44.25,28.89,36.16,0,32.87
28.54,68.65,149.19,44.04,29.01,36.79,0,33.47
29.34,69.2,152.95,43.92,29.18,36.69,0,33.01
29.62,69.04,153.31,44.05,28.58,36.04,0,31.97
28.95,68.66,153.91,43.99,28.51,35.88,0,32.21
29.12,68.53,152.33,44.02,25.69,35.71,0,31.88
28.87,67.86,148.52,43.4,25.99,35.07,0,30.86
29.03,67.09,148,42.8,25.96,34.4,0,30.85
28.99,66.72,143.88,42.48,26.44,35.36,0,31.57
28.36,64.45,138.18,41.36,26.48,35.18,0,31.53
28.28,65.12,139.61,41.57,27.33,35.66,0,32.12
28.55,65.87,142.39,41.87,26.64,35.81,0,32.32
28.59,65.64,145.8,42.26,27.51,36.57,0,32.1
29.01,66.26,145.33,42.65,27.81,36.57,0,32.38
28.84,65.65,145.05,42.83,27.87,36.93,0,32.5
28.56,65.52,145.16,42.38,29.12,36.98,0,32.91
28.5,65.54,145.9,42.73,29.11,36.88,0,33.03
29.24,66.73,148.75,43.46,28.54,36.09,0,32.47
29.17,66.21,147.99,43.22,28.86,36.24,0,32.85
29.6,66.24,148.78,43.45,29.01,36.41,0,32.95
28.9,65.72,148.52,42.87,28.47,36.21,0,32.63
29,65.43,148.34,42.8,29.02,36.43,0,32.65
28.6,65.16,145.55,42.6,28.47,36.04,0,31.91
27.97,64.51,143.06,42.24,27.56,35.3,0,31.2
27.66,63.12,140.37,41.73,26.99,34.49,0,30.85
27.01,61.08,127.86,40.41,24.86,32.98,0,29.11
26.77,60.62,128.4,39.79,24.21,32.84,0,29.8
26.96,61.21,134.2,39.82,23.59,33.25,0,29.9
26.94,60.5,133.5,39.36,25.3,33.45,0,30.28
27.27,61.26,134.94,39.51,26.52,34.46,0,30.41
27.49,61.26,135.19,40.14,26.31,33.79,0,28.95
27.69,61.41,135.29,40.22,26.53,33.58,0,28.02
27.42,61.23,132.45,40.26,26.44,33.15,0,28.33
27.59,60.42,132.99,40.44,26.99,33.74,0,28.23
28.38,60.93,135.77,40.96,26.82,33.38,0,27.63
28.53,60.95,137.32,41,24.73,34.46,0,27.96
28.49,60.96,136.79,41.01,23.31,34.36,0,28.03
27.91,60.46,132.98,40.69,23.03,33.69,0,27.53
27.87,60.67,133.95,40.5,23.39,34.07,0,27.48
27.61,59.83,131.67,40.5,22.9,33.93,0,27.4
27.73,59.77,128.94,40.05,23.73,33.83,0,27.09
27.93,59.34,127.06,39.95,24.04,33.87,0,26.66
26.94,59.75,125.31,39.79,24.75,33.54,0,26.2
26.83,59.21,123.84,39.1,24.71,33.17,0,25.87
27.54,60.83,127.18,39.59,25.51,34.05,0,26.23
26.92,59.36,123.44,39.14,25.54,33.66,0,26.3
26.25,58.74,120.62,38.36,24.03,32.05,0,25.07
26.48,58.31,116.27,37.97,23.08,31.73,0,23.85
27.36,58.26,118.98,38.01,23.19,32.22,0,24.39
26.23,56.33,115.13,37.23,22.27,31.09,0,23.68
25.95,55.49,116.23,36.75,22.22,31.7,0,23.75
26.47,56.14,116.6,37.2,22.08,31.85,0,24.59
26.79,55.84,114.67,37.01,21.28,31.7,0,24.73
27.63,57.29,117.86,37.93,21.67,32.73,0,25.22
27.92,57.38,118.31,38.05,22.11,32.95,0,25.76
27.33,56.07,113.87,37.7,21.59,31.74,0,25.91
26.66,55.68,110.2,37.52,20.91,31.09,0,24.89
26.11,54.87,108.7,37.36,18.83,30.5,0,23.72
25.31,53.38,102.74,36.12,17.8,29.3,0,22.36
24.21,52.02,99.42,35.1,18.04,27.67,0,21.72
25.3,54.34,103.28,35.65,18.97,29.6,0,23.18
24.94,52.36,100.51,34.98,18.58,26.01,0,22.55
24.23,50.66,94.18,34.33,17.06,24.41,0,21.75
25.19,50.89,97.62,34.83,17.83,25.07,0,22.19
26.69,51.04,100.64,35.53,18.2,26.56,0,23.14
27.9,57.1,112.65,37.19,19.32,28.41,0,25.07
28.18,56.25,111.69,37.87,18.67,27.81,0,24.92
27.65,55.12,109.3,37.14,17.61,27.06,0,24.39
27.38,55.43,109.69,36.87,17.43,27.46,0,24.33
27.94,56.59,114.08,37.35,17.3,27.34,0,24.12
26.96,53.69,98.96,36.21,17.7,26.74,0,25.46
25.55,52.09,98.32,35.19,14.45,24.95,0,23.79
25.18,50.99,99.52,34.54,14.77,23.66,0,23.06
25.75,51.55,102,34.99,14.32,23.62,0,24.11
25.95,52.45,103.28,35.49,14.9,24.63,0,24.63
26.41,53.75,106.43,35.99,15.46,25.17,0,24.19
26.59,53.84,107.78,36.28,16.05,24.88,0,23.43
25.68,50.44,104.23,35.59,15.05,23.75,0,22.86
25.12,50.34,101.01,34.58,14.95,22.5,0,21.87
26.06,51.98,105.74,35.64,15.18,23.46,0,22.92
25.89,50.74,104.64,35.68,15.17,23.3,0,23.01
25.82,50.72,104.33,35.65,15.33,23.07,0,22.94
27.12,54.45,111.54,36.7,15.91,23.94,0,23.78
27.44,54.12,112.85,36.68,16.4,23.59,0,23.82
27.78,55.17,112.8,37.39,17.67,24.96,0,25.63
27.32,54.47,108.13,36.71,18.28,24.86,0,26.17
26.97,54.97,109.41,36.51,18.12,24.82,0,26.17
28.01,58.36,119.8,38.12,18.41,25.76,0,26.28
27.02,55.57,110.36,37,17.68,24.44,0,24.35
27.25,55.3,110.41,36.6,17.93,24.21,0,24.12
27.41,55.69,112.43,36.5,18.22,24.38,0,24.27
25.99,53.38,104.9,35.47,17.52,23.74,0,23.2
25.82,53.46,106.28,35.19,17.5,24.01,0,23.48
25.63,54.27,105.54,35.45,17.18,23.41,0,22.96
26.87,55.46,109.41,36.03,17.98,24.02,0,23.56
26.65,55.1,108.11,35.93,16.82,24.01,0,22.52
26.47,54.96,106.69,35.7,16.94,23.94,0,22.45
25.62,52.62,104.48,35.19,16.42,22.83,0,22.15
25.71,52.96,103.09,35.16,16.22,22.36,0,22.02
24.51,51.22,98.39,34.47,15.93,20.8,0,21.21
23.51,50.33,97.81,32.9,14.99,20.38,0,20.55
22.38,48.54,93.41,31.99,14.07,19.7,0,19.56
21.84,48.49,92.01,31.94,13.73,19.25,0,18.84
22.29,50.12,95.79,32.52,14.63,20.2,0,19.39
23.17,51.46,99.26,32.96,15.54,21.02,0,20.12
23.72,51.15,98.16,32.85,15.47,20.45,0,20.01
23.72,50.89,97.24,33.1,15.82,20.39,0,20.11
24.26,52.06,98.93,33.1,16.02,20.79,0,20.31
25.05,54.1,102.61,33.41,16.42,21.24,0,20.93
25.2,54.18,104.41,33.47,16.69,21.28,0,21.39
24.71,52.2,103.42,33.2,16.7,21.06,0,21.36
25.78,55.17,107.59,34.4,17.58,22.26,0,22.1
26.51,55.47,109.47,34.66,18.32,23.39,0,22.72
27.2,56.61,112.92,34.97,18.48,24.53,0,23.12
27.61,56.94,114.37,35.81,18.46,25.61,0,23.61
28,56.76,111.44,35.84,18.58,26.09,0,23.76
28,57,113.59,35.8,18.49,26.24,0,24.2
27.4,55.82,108.11,35.26,18.27,25.39,0,23.43
27.34,56.63,107.8,35.24,18.26,25.28,0,23.25
27.48,56.78,111.48,35.87,19.29,25.79,0,24.2
27.75,57.05,114.28,35.85,20.03,25.81,0,24.44
28.55,57.7,115.24,36.43,20.11,26.72,0,24.75
28.39,57.37,113.5,36.19,19.46,26.7,0,24.61
27.86,57.02,112.03,35.85,18.6,26.03,0,24.3
27.82,57.25,113.09,36.23,18.18,25.67,0,24.39
27.91,56.36,114.4,36.28,18.4,25.98,0,24.8
28.71,56.99,118.54,36.78,18.42,26.71,0,24.89
28.47,56.27,118.22,36.42,18.08,26.6,0,24.87
28.36,56.27,116.68,36.45,18.32,26.18,0,24.72
29,59.04,120.54,37.12,18.53,26.66,0,25
29.46,58.36,123.02,37.69,18.75,27.32,0,25.37
29.75,59.9,126.08,37.93,19.63,27.69,0,26.06
29.55,59.11,124.39,37.95,18.99,27.93,0,26.1
29.51,59.64,127.24,38.24,19.3,27.71,0,26.28
29.62,60.87,131.47,38.2,18.6,27.57,0,26.46
28.91,59.45,126.88,37.6,18.04,27.2,0,26.24
28.98,59.02,125.13,37.44,17.03,26.63,0,25.76
28.99,59.62,125.01,37.44,18,27.18,0,26.2
28.87,60.12,126.13,37.43,18.15,27.44,0,26.5
29.23,60.37,127.59,37.5,18.11,27.56,0,27.36
27.38,59.37,123.43,37.14,17.77,27.45,0,27.28
28.21,60.34,124.56,37,18.17,27.85,0,27.86
28.57,60.99,126.8,37.27,18.38,27.97,0,28.21
28.47,61.14,128.37,37.59,18.28,28.12,0,28.48
28.82,61.37,129.22,37.76,18.03,28.4,0,28.91
28.35,61.51,129.65,38.19,17.98,28.28,0,28.79
27.71,61.61,131.78,38.34,19.06,31.03,0,29.38
27.71,61.1,129.2,38.33,18.62,30.88,0,28.93
27.69,61.8,130.45,38.33,18.51,31.13,0,28.69
27.17,61.43,127.72,38.12,17.87,30.89,0,28.47
26.75,61.44,126.54,37.78,18.26,29.76,0,28.13
26.99,60.4,125.12,37.75,17.87,30.12,0,28.4
26.85,59.67,125.59,37.59,18.01,29.74,0,27.52
26.9,59.61,124.15,37.6,17.37,29.27,0,27.08
26.98,60.79,123.56,37.39,17.28,28.68,0,26.25
26.46,60.02,118.67,36.45,17.34,28.5,0,25.78
26.5,60.24,119.62,36.17,17.36,28.96,0,26.07
26.58,60.15,119.33,36.38,17.62,29.32,0,26.96
26.62,59.16,117.37,36.18,17.58,28.81,0,26.44
26.58,59.36,117,35.93,17.1,29.07,0,26.28
26.46,59.4,115.65,35.73,16.44,28.39,0,25.73
26.03,59.75,115.8,36.26,13.08,28.24,0,26.5
26.25,60.1,116.16,36.43,14.15,28.05,0,26.42
26.58,59.32,117.84,36.77,14.92,27.77,0,26.36
26.26,59.15,118.17,36.62,15.79,27.61,0,26.42
26.9,61.22,121.15,37,15.45,27.92,0,26.66
26.1,59.59,116.92,36.34,14.86,27.35,0,25.78
25.75,59.29,116.48,36.23,14.6,27.65,0,25.77
25.79,60.1,117.36,36.32,14.28,27.93,0,26.16
25.01,59.05,116.6,36.05,14,26.89,0,25.53
25.45,60.35,117.62,36.32,14.35,27.32,0,25.79
25.67,60.98,119.37,36.71,14.19,27.38,30.1,25.85
26.6,63.35,129.37,37.91,14.94,28.34,31,26.33
26.8,64.87,135.07,38.33,15.62,28.59,31,26.32
27.01,64.22,137.58,38.8,15.56,29.16,31,26.41
27.16,65.65,139.72,38.82,15.85,29.02,31,26.69
27.45,65.91,140.95,39,16.54,29.15,31.47,27.48
27.56,66.04,144.87,38.83,16.09,28.89,31.7,26.93
26.48,65.54,139.26,38.63,15.65,28.36,31.62,26.37
26.66,65.87,141.03,38.84,16,29.18,32.23,27.36
26.94,66.09,141.03,38.6,15.98,29.41,32.96,27.29
27.35,66.87,143.8,39.05,16.34,29.88,33.5,27.92
27.28,66.53,141.82,39.11,15.95,29.59,33.2,27.71
27.45,68.16,144.77,39.2,16.05,29.9,32.97,27.89
27.57,67.9,143.39,39.42,16.26,29.6,32.77,28.5
27.52,68.2,142.49,39.3,16.36,29.82,32.9,27.8
27.3,67.58,140.55,39.06,16.27,29.77,32.82,27.37
27.21,66.83,140.07,39.08,16.14,29.84,32.69,27.51
27.51,67.05,143.01,39.39,16.11,30.54,32.7,27.88
27.81,67.03,144.4,39.21,16.03,30.94,32.5,27.93
27.76,67.14,147.03,39.18,15.93,30.58,32.45,27.61
28.32,67.87,149.34,39.64,16.25,30.54,32.39,28.19
28.61,68.08,148.77,39.96,16.31,30.07,32.48,27.66
26.66,67.05,144.45,39.34,15.72,28.79,32.3,26.99
25.84,67.89,146.25,39.16,15.17,27.8,31.67,26.08
25.67,67.44,145.57,39.17,15.01,27.96,31.63,25.98
25.99,68.45,147.4,39.39,15.27,28.06,31.45,26.49
25.5,66.58,141.37,38.46,14.9,27.52,30.95,26.09
24.89,64.44,135.71,37.51,14.44,26.5,30.64,25.54
25.67,65.32,135.97,37.6,14.38,26.72,30.42,25.49
25.56,64.93,136.38,37.27,14.49,26.99,30.63,25.17
25.64,65.47,130.04,37.4,14.69,27.18,30.21,25.16
25.37,62.09,121.88,36.39,14.03,26.04,30,23.66
25.95,62.74,123.33,36.25,14.03,25.99,30.07,23.18
26.12,62.96,125.26,36.45,13.94,26.52,30.2,23.15
26.52,63.4,127.35,36.71,14.03,26.73,31,23.34
25.89,60.32,121.41,35.98,13.77,26.16,31.11,22.49
25.35,59.21,120.18,35.39,13.57,25.96,31.89,22.2
