"D.2TP.PA.","BATS.PA.","ID.GUD.PA.","U.VGR.PA.","U.STZ.PA.","U.TPB.PA.","U.RLX.PA.","U.PM.PA."
0.42,53.73,4.64,18.78,151.13,0,0,98.12
0.39,53.65,4.63,18.67,152.72,0,0,99.74
0.37,53.83,4.68,18.91,151.47,0,0,100.35
0.38,54.09,4.73,18.3,151.51,0,0,100.26
0.39,54.19,4.76,18.14,160.34,0,0,101.19
0.39,54.49,4.77,17.78,157.4,0,0,100.56
0.42,55.03,4.69,17.81,158.98,0,0,100.86
0.4,55.08,4.69,17.67,157.46,0,0,100.33
0.36,54.75,4.79,17.8,156.98,0,0,101.61
0.37,54.99,4.75,17.76,156.13,0,0,100.32
0.43,55.3,4.65,17.62,156.83,0,0,99.75
0.43,55.59,4.62,17.69,156.71,0,0,100.12
0.36,56.22,4.76,17.72,158.01,0,0,100.86
0.43,56.26,4.75,17.61,157.31,0,0,99.27
0.44,56.03,4.68,17.62,156.06,0,0,98.12
0.37,54.84,4.66,17.29,155.26,0,0,96.43
0.44,54.29,4.76,17.2,154.85,0,0,96.93
0.43,54.67,4.83,17.39,156.82,0,0,97.54
0.44,54.49,4.91,17.5,156.28,0,0,97.22
0.48,54.67,4.98,17.38,156.68,0,0,97.28
0.44,54.98,5.08,17.35,155.58,0,0,97.38
0.42,54.77,4.92,17.78,156.1,0,0,98.15
0.42,54.7,5.08,17.38,157.83,0,0,98.57
0.4,54.59,4.84,17.21,158.47,0,0,98.53
0.37,54.4,4.82,17.2,158.86,0,0,98.81
0.42,55.05,4.79,17.13,159.19,0,0,99.18
0.46,55.17,4.73,17.19,159.64,0,0,100.34
0.42,55.36,4.82,17.13,161.14,0,0,100.38
0.36,55.71,5.05,17.28,163.5,0,0,101.89
0.36,55.76,5.04,17.26,162.93,10.15,0,101.8
0.36,55.3,5.24,17.51,161.9,10.28,0,102.22
0.36,55.49,5.07,17.35,161.42,10.98,0,100.87
0.37,55.63,5.06,17.65,162.51,11.72,0,101.71
0.36,55.02,5.18,17.46,158.14,11.97,0,99.83
0.32,54.73,5.11,17.13,154.61,11.77,0,98.94
0.32,53.68,5.08,17.32,156.09,10.4,0,98.37
0.32,54.47,5.15,17.24,154.06,10.37,0,98.02
0.32,54.06,5.25,17.27,154.31,10.65,0,98.31
0.32,54.78,5.08,17.56,157.63,10.5,0,98.84
0.39,54.93,5.04,17.5,156.82,10.98,0,99.05
0.36,54.97,4.97,17.47,157.9,10.91,0,99.01
0.39,55.24,5.06,17.58,157.85,10.77,0,99.18
0.36,55.36,4.97,17.63,155.34,10.5,0,98.75
0.36,55.19,4.91,17.66,153.2,10.33,0,98.67
0.32,54.74,4.95,17.77,153.71,10.39,0,99.37
0.39,54.43,4.9,17.93,154.11,10.35,0,99.23
0.39,55.25,4.94,18.16,153.4,10.58,0,101.11
0.39,56.11,4.97,18.12,155.09,9.7,0,100.29
0.36,56.21,4.99,18.12,151.14,9.77,0,100.44
0.36,56.18,4.94,18.2,154.09,9.45,0,101.71
0.35,56.15,4.84,18.26,154.12,8.9,0,101.8
0.39,55.41,4.8,18.25,153.45,8.28,0,101.31
0.35,54.48,4.82,18.33,152.89,7.78,0,100.55
0.39,53.48,4.83,18.36,157.11,7.94,0,99.89
0.39,53.87,4.57,18.37,156.28,7.39,0,99.69
0.39,54.45,4.5,18.51,156.76,7.25,0,100.15
0.43,54.08,4.5,17.98,154.06,7.45,0,100.72
0.39,55.63,4.5,17.79,154.4,9.48,0,101.58
0.39,55.8,4.71,17.9,154.84,10.33,0,100.88
0.39,55.91,4.71,17.82,153.67,10.06,0,101.03
0.39,56.16,4.65,17.93,155.99,9.79,0,101.89
0.37,57.62,4.69,17.86,152.62,10.22,0,97.71
0.37,58.53,4.67,17.84,153.11,9.27,0,98.22
0.37,59.86,4.88,17.88,157.7,9.97,0,98.54
0.37,61.66,4.82,18.21,159.39,9.94,0,98.61
0.3,63.61,4.9,18.44,165.43,10.31,0,101.74
0.3,64.09,4.85,18.49,163.58,10.07,0,101.23
