"","X.AMRS.P.","X.GRWG.P.","U.YOLO.P.","U.CNBS.P.","U.MJ.P.","X.POTX.P.","U.STZ.P.","U.IIPR.P.","X.CARA.P.","X.TLRY.P.","X.SNDL.P.","X.CNTTQ.P.","total_market_cap","number_of_stocks","divisor","index"
"45",77924.7,0,0,0,2450,0,23937999,0,306086.56,0,0,0,24324460.26,4,2230.46092148298,10905.5756259685
"46",75646.2,0,0,0,2450,0,23924723.16,0,299820.52,0,0,0,24302639.88,4,2230.46092148298,10895.7927242418
"47",73823.4,0,0,0,2450,0,23637633.12,0,320137.68,0,0,0,24034044.2,4,2230.46092148298,10775.3711210597
"48",96957,0,0,0,2450,0,23637633.12,0,320137.68,0,0,0,24057177.8,4,2230.46092148298,10785.7427889859
"49",94563,0,0,0,2450,0,23347224.12,0,316909.72,0,0,0,23761146.84,4,2230.46092148298,10653.0209120193
"50",98752.5,0,0,0,2450,0,23833451.76,0,333049.52,0,0,0,24267703.78,4,2230.46092148298,10880.129549127
"51",98752.5,0,0,0,2450,0,23750477.76,0,321087.08,0,0,0,24172767.34,4,2230.46092148298,10837.5659520311
"52",93366,0,0,0,2450,0,24827480.28,0,285579.52,0,0,0,25208875.8,4,2230.46092148298,11302.0925662482
"53",91570.5,0,0,0,2450,0,24394356,0,283300.96,0,0,0,24771677.46,4,2230.46092148298,11106.0800130629
"54",90373.5,0,0,0,2450,0,24402653.4,0,256907.64,0,0,0,24752384.54,4,2230.46092148298,11097.4302672574
"55",84987,0,0,0,2450,0,24400993.92,0,256717.76,0,0,0,24745148.68,4,2230.46092148298,11094.1861575174
"56",77206.5,0,0,0,2450,0,23918085.24,0,214754.28,0,0,0,24212496.02,4,2230.46092148298,10855.377822043
"57",77206.5,0,0,0,2450,0,23772051,0,211716.2,0,0,0,24063423.7,4,2230.46092148298,10788.5430622119
"58",78403.5,0,0,0,2450,0,23689077,0,226906.6,0,0,0,23996837.1,4,2230.46092148298,10758.6897707426
"59",78403.5,0,0,0,2450,0,23689077,0,226906.6,0,0,0,23996837.1,4,2230.46092148298,10758.6897707426
"60",73017,0,0,0,2450,0,24165347.76,0,208298.36,0,0,0,24449113.12,4,2230.46092148298,10961.4622181967
"61",76608,0,0,0,2450,0,24085692.72,0,217412.6,0,0,0,24382163.32,4,2230.46092148298,10931.4460904291
"62",79600.5,0,0,0,2200,0,23805240.6,0,209057.88,0,0,0,24096098.98,4,2230.46092148298,10803.1926262035
"63",81396,0,0,0,2229,0,24686424.48,0,221210.2,0,0,0,24991259.68,4,2230.46092148298,11204.5270281552
"64",73615.5,0,0,0,2210,0,24601791,0,209437.64,0,0,0,24887054.14,4,2230.46092148298,11157.8077429185
"65",90972,0,0,0,2231,0,24623364.24,0,205640.04,0,0,0,24922207.28,4,2230.46092148298,11173.5682252751
