"A.TWEX.P.","B.ABI.P.","H.HB.P.","F.RCD.P.","I.CPR.P.","DGE.P.","K.BBCA.P.","K.CHRE.P.","DK.CAB.P.","DK.RBR.P.","CN.KCM.P.","CN.YWU.P.","CN.JYB.P.","CN.TTB.P.","IN.MLC.P.","IN.UBB.P.","MX.BEC.P.","BR.AVS.P.","CL.CVZ.P.","U.STZ.P.","U.BF.B.P.","U.TAP.P.","U.SAM.P.","U.MGM.P.","U.LVS.P.","X.WYNN.P.","X.BJK.P.","X.GDEN.P.","U.BYD.P.","U.BALY.P.","X.RRR.P.","D.2TP.P.","BATS.P.","ID.GUD.P.","X.IMBBY.P.","U.VGR.P.","U.TPB.P.","U.RLX.P.","U.PM.P.","A.ASBX.P.","D.RHM.P.","I.LDO.P.","F.CSF.P.","BA..P.","RR..P.","TK.ASE.P.","IS.ESLT.P.","U.NOC.P.","U.RTX.P.","U.HII.P.","U.LMT.P.","X.AXON.P.","X.MANT.P.","U.BWXT.P.","U.CW.P.","X.SWBI.P.","U.GD.P.","U.RGR.P.","X.POWW.P.","U.CACI.P.","X.HON.P.","total_market_cap","number_of_stocks","divisor","index","X.AMRS.P.","X.GRWG.P.","U.YOLO.P.","U.CNBS.P.","U.MJ.P.","X.POTX.P.","U.STZ.P.","U.IIPR.P.","X.CARA.P.","X.TLRY.P.","X.SNDL.P.","X.CNTTQ.P.","total_market_cap","number_of_stocks","divisor","index"
3477886.5,106739979,21078668.99,22634942.4,2623938.24,59083770.65,0,1125809.16,8931401,1874232.32,109469007.54,45441963.75,36771026.14,10561165.92,664378.65,1545661.4,0,22450352.4,682822.98,22097035.88,12289379.84,13033822.2,1634090.04,8504430.1,18640026.03,4473018.2,23046.66,108385.95,1593042.44,0,0,508116.83,524390.79,5782625.5,24898807.08,2058945.78,0,0,124481136.15,443982,2882299.03,5663091,8040683.42,16219186.56,4653780.2,0,1947588.96,33138991.1,51411737.16,5322571.38,59997835.87,780769.5,574172.25,2522973.2,2596017.24,647004.6,37003501.86,729884.76,80.8,1931607.83,75766632.21,1008081697.44,54,100405.525532,10040.1017981696,92657.25,0,0,0,0,0,22097035.88,0,234214.12,0,0,0,22423907.25,3,2252.741655,9954.05185509388
3497572.65,105615542.58,20990202.88,22392789.3,2623938.24,58562791.51,0,1160132.61,9150865,1871973.12,109397393.64,44758249.8,36462289.76,10523364.39,664378.65,1545661.4,0,22227630.65,672732,21835106.28,12146276.32,13023925.6,1603771.38,8321931.6,18455590.41,4398241.3,23004.54,109368.3,1566851.22,0,0,508116.83,516057.08,6025011,24724722.45,2037174.45,0,0,122973604.46,452054.4,2750750.85,5491245.48,7894696.25,16838669.38,3736133.4,0,1995879.76,32885478.73,51908468.92,5217000.39,59571092.86,762249.9,567975.45,2416823.2,2557372.5,647004.6,36626521.1,726949.96,80.8,1891675.46,74818682.28,1000143067.07,54,100405.525532,9961.0361259575,89160.75,0,0,0,0,0,21835106.28,0,221677.47,0,0,0,22145944.5,3,2252.741655,9830.66320580821
3504134.7,105477025.05,20452933.09,22245312.6,2618246.4,57497152.36,0,1160132.61,8931401,1919416.32,106962521.04,44724897.9,35368630.38,10357619.22,657807.15,1582892.66,0,22494896.75,668807.73,21641933.2,11965206.56,13262857.8,1573608.6,8216082.47,18319268.43,4228293.8,22695.66,105766.35,1532956.7,0,0,383484.4,513419.83,5834565.25,24588277.74,2038211.18,0,0,122066158.2,449363.6,2663632.85,5495151.06,7825326.46,16782352.76,3572267.9,0,1936671.04,32613728.06,50480365.11,5196619.89,59453947.72,732366,574946.85,2444846.8,2556614.76,629311.2,36303763.6,718292.3,80.8,1851550.18,74163594.93,989361407,54,100405.525532,9853.6549832079,87995.25,0,0,0,0,0,21641933.2,0,237753.88,0,0,0,21967682.33,3,2252.741655,9751.53199712996
3484448.55,107114791.14,20588868.82,22066884,2652397.44,57449790.62,0,1166997.3,8938259.25,1909024,106298898.9,44524786.5,35379096.02,10293647.4,645321.3,1551302.5,0,22405808.05,678898.71,22142873.56,12198844.96,13272754.4,1633388.58,8259882.11,18451580.94,4315986.71,22562.28,108058.5,1508306.14,0,0,383484.4,518377.86,5990384.5,25933904.88,2054798.86,0,0,123456600.05,443982,2859212.76,5643563.1,8083133.59,17176569.1,3686973.75,0,1977823.2,34034491.63,51181111.7,5358033.45,61548614.39,731524.2,587727.75,2481362.4,2624811.36,642222.6,36995755.68,732966.3,80.8,1871612.82,75543131.82,1001605713.63,54,100405.525532,9975.6035170672,90326.25,0,0,0,0,0,22142873.56,0,225954.68,0,0,0,22459154.49,3,2252.741655,9969.6982297777
3622251.6,110732543.1,21152031.13,22696846.2,2663781.12,58728557.6,0,1187591.37,9120492.75,1938393.6,106590128.76,45008389.05,35640737.02,10276200.54,660435.75,1598687.74,0,22494896.75,673292.61,22609435.66,12303982.24,13449479.4,1639935.54,8121183.25,18182946.45,4184787.24,22737.78,109695.75,1539119.34,0,0,297200.41,528188.43,6284709.75,25689245.4,2057909.05,0,0,122710152.32,468199.2,2914097.1,5948198.34,8370966.45,17514468.82,3867225.8,0,2025904.04,33948771.62,51039188.34,5370261.75,62028351.63,705428.4,593343.6,2454188,2624811.36,636006,36889891.22,728564.1,80.8,1869876.63,75049889.58,1009563677.48,54,100405.525532,10054.8617432239,90909,0,0,0,0,0,22609435.66,0,222414.92,0,0,0,22922759.58,3,2252.741655,10175.4941713456
3563193.15,110642914.11,21091615.25,22571217.9,2635321.92,58657514.99,0,1187591.37,9051910.25,1913994.24,106738130.82,45191824.5,35279672.44,10194781.86,661092.9,1549046.06,0,22539441.1,677216.88,22638902.74,12400358.08,13302444.2,1663239.6,8292731.84,18439552.53,4167792.49,22667.58,111114.7,1584568.81,0,0,258851.97,527660.98,6094264,25402241.01,2076570.19,0,0,125037312.89,460126.8,2915403.87,5940387.18,8242580.57,17627102.06,3785293.05,0,2056138.28,34313537.62,51119020.23,5357218.23,62259852.74,771509.7,603800.7,2494100.4,2658151.92,649873.8,37106784.26,740596.78,80.8,1888010.17,76352357.37,1013508679.88,54,100405.525532,10094.1524334434,89743.5,0,0,0,0,0,22638902.74,0,231706.79,0,0,0,22960353.03,3,2252.741655,10192.1820369589
3641937.75,109322923.53,21208131.59,22644045.9,2715007.68,59178494.13,0,1194456.06,9226305.75,1890046.72,106924326.96,45642075.15,35415725.76,10229675.58,672264.45,1558071.82,0,22762162.85,682262.37,22503026.76,12444165.28,13272754.4,1658952.9,8223382.41,18471628.29,4199742.62,22744.8,112424.5,1569162.21,0,0,287613.3,534939.79,6059637.5,25063481.73,2090047.68,0,0,126237483.75,452054.4,2947637.53,5959915.08,8186670.59,17908685.16,3768906.5,0,2002388.52,34335423.58,51429477.58,5465234.88,62477408,750043.8,601089.6,2489005.2,2674443.33,649395.6,37491511.2,735901.1,80.8,1882415.78,77069100,1016935890.2,54,100405.525532,10128.2861158462,90909,0,0,0,0,0,22503026.76,0,222857.39,0,0,0,22816793.15,3,2252.741655,10128.4552977292
3648499.8,110968837.71,21184396.78,22654970.1,2715007.68,59959962.84,0,1208185.44,9309584.5,1923934.72,106270253.34,45158472.6,35248275.52,10220952.15,673578.75,1574995.12,0,22762162.85,692353.35,22529219.72,12306902.72,13077650,1655133.84,8197832.62,18074690.76,4048829.24,22793.94,112424.5,1553755.61,0,0,306787.52,536205.67,6302023,25232861.37,2108708.82,0,0,125856941.77,478962.4,2944588.4,6108327.12,8279853.89,18190268.26,3850839.25,0,2027163.8,34557930.84,51385126.53,5483169.72,63051977.02,764354.4,610384.8,2497497.2,2703237.45,659916,37568973,753656.64,80.8,1905757.89,77500686.96,1019419936.72,54,100405.525532,10153.0262534715,89743.5,0,0,0,0,0,22529219.72,0,231854.28,0,0,0,22850817.5,3,2252.741655,10143.5588272105
3681310.05,111865127.61,21182239.07,22507493.4,2703624,59510026.31,0,1208185.44,9105796.5,1962341.12,105725987.7,44207943.45,35290138.08,10186058.43,641378.4,1550174.28,0,22450352.4,673853.22,23259348.48,12333187.04,13042305,1665577.8,8274481.99,18118794.93,4094375.17,22478.04,111223.85,1536808.35,0,0,335548.85,536100.18,6076950.75,25294026.24,2120112.85,0,0,126735115.57,478962.4,2986405.04,6049743.42,8324374.8,18387376.43,3965545.1,0,2041021.16,34256998.89,51314164.85,5448522.87,63043609.51,767721.6,613676.85,2531465.2,2688461.52,670914.6,37334005.54,763781.7,80.8,1908265.72,76737702.87,1018321265.42,54,100405.525532,10142.08391445,93240,0,0,0,0,0,23259348.48,0,233624.16,0,0,0,23586212.64,3,2252.741655,10470.00333467
3655061.85,112753269.42,20657915.54,22276264.5,2646705.6,58918004.56,0,1215050.13,8960793.5,1924386.56,105262884.48,43907776.35,34876745.3,10151164.71,631521.15,1537763.86,0,22272175,669928.95,23138206.04,12257254.56,13022511.8,1678749.66,8380331.12,18002520.3,4279278.05,22541.22,111551.3,1553755.61,0,0,268439.08,533462.93,6076950.75,25218746.4,2136700.53,0,0,127188838.7,465508.4,2931956.29,5909142.54,8266394.08,18500009.67,4096637.5,0,2079653.8,34288004,50932745.82,5455859.85,63155176.31,812757.9,625876.8,2574774.4,2702858.58,684782.4,37576719.18,771999.14,80.8,1923119.79,75697270.02,1015638576.78,54,100405.525532,10115.365378535,96736.5,0,0,0,0,0,23138206.04,0,242916.03,0,0,0,23477858.57,3,2252.741655,10421.9045792004
