"A.ASBX.P.","D.RHM.P.","I.LDO.P.","F.CSF.P.","BA..P.","RR..P.","TK.ASE.P.","IS.ESLT.P.","U.NOC.P.","U.RTX.P.","U.HII.P.","U.LMT.P.","X.AXON.P.","X.MANT.P.","U.BWXT.P.","U.CW.P.","X.SWBI.P.","U.GD.P.","U.RGR.P.","X.POWW.P.","U.CACI.P.","X.HON.P."
1.14,70.86,14.78,79.74,6.44,2.3,0.74,94.8,187.84,55.01,126.96,214.84,17,30.85,31.48,66.83,16.45,138.04,58.24,0.75,93.98,93.74
1.15,70.92,15.01,80.56,6.47,2.41,0.76,95.6,189.75,56.11,128.57,217.5,16.78,31.36,31.54,67.64,16.86,139.64,59.69,0.75,94.67,99.09
1.18,72.4,15.01,81.82,6.52,2.44,0.79,98.16,188.31,55.37,126.99,215.22,16.98,31,31.05,66.8,16.57,138.16,58.86,0.75,99.15,97.4
1.14,71.31,14.74,79.99,6.47,2.45,0.78,96.61,184.86,54.46,125.45,212.18,16.89,30.39,30.77,65.18,16.39,136.71,59.13,0.75,93.13,96.94
1.08,70.01,14.71,78.94,6.48,2.42,0.8,96.18,189.01,55.21,127.25,215.47,17.93,30.44,30.94,66.41,16.84,138.09,58.96,0.75,93.2,97.68
1.15,70.21,14.5,78.44,6.48,2.4,0.8,95.63,189.37,55.96,127.75,217.58,17.5,30.71,31.5,67.29,17.06,139.94,60.27,0.75,94.57,99.16
1.09,70.39,14.83,78.44,6.55,2.51,0.8,96.21,190,56.8,128.42,217.93,18.03,30.95,31.75,68.64,16.93,139.89,60.6,0.75,94.81,99.92
1.09,70.39,14.83,79.16,6.53,2.53,0.79,96.61,190.11,56.8,129.45,218.56,17.85,30.76,31.64,69.01,16.89,139.84,60.36,0.75,94.55,99.63
1.09,70.39,14.83,79.16,6.53,2.53,0.79,97.59,190.11,56.8,129.45,218.56,17.85,30.76,31.64,69.01,16.89,139.84,60.36,0.75,94.55,99.63
1.09,70.06,14.71,78.3,6.53,2.53,0.79,97.9,189.98,56.68,128.29,218.41,17.25,30.57,31.85,68.86,16.86,139.59,60.33,0.75,94.32,99.32
