"A.ASBX.P.","D.RHM.P.","I.LDO.P.","F.CSF.P.","BA..P.","RR..P.","TK.ASE.P.","IS.ESLT.P.","U.NOC.P.","U.RTX.P.","U.HII.P.","U.LMT.P.","X.AXON.P.","X.MANT.P.","U.BWXT.P.","U.CW.P.","X.SWBI.P.","U.GD.P.","U.RGR.P.","X.POWW.P.","U.CACI.P.","X.HON.P."
1.21,84.48,15.11,102.74,8.47,3.28,1.59,121.77,241.14,66.02,208.86,269.42,22.45,34.8,47.74,92.01,14.42,189.6,53.5,3.25,122.3,120.16
1.2,83.7,15.22,103.33,8.57,3.26,1.59,119.64,239.5,65.96,207.94,269.5,22.63,35.36,47.9,92.58,14.5,189.56,53.1,3.5,122.6,120.18
1.21,87.77,15.22,103.67,8.58,3.27,1.59,117.37,236.88,65.94,204.93,267.42,22.5,34.9,47.52,91.22,14.38,187.52,51.9,3.5,121,119.46
1.22,87.74,14.97,102.75,8.42,3.21,1.56,115.33,235.83,65.96,202.08,267.16,22.47,34.51,47.25,90.89,14.26,185.49,51.5,3.5,118.7,119.2
1.23,88.42,15.06,103.96,8.54,3.26,1.57,116.71,237.19,66.5,202.46,269.12,22.79,34.61,47.64,91.16,14.4,188.44,52.3,3.49,119.4,119.95
1.28,89.14,15.34,102.81,8.5,3.28,1.59,118.9,236.52,66.09,202.13,268.24,22.64,34.9,47.54,90.55,14.74,188.29,52.2,3.49,119.8,119.97
1.24,89.75,15.53,104.33,8.6,3.31,1.6,119.07,239.06,66.32,202.39,270.54,23.22,34.55,48.1,91.44,15.08,188.78,52.7,3.6,118.25,120.08
1.27,91.03,15.33,104.55,8.44,3.26,1.58,120.02,237.84,66.18,200.24,267.6,22.79,34.63,47.6,91.26,15.22,187.2,53.55,3.6,117.3,119.56
1.25,90.33,15.3,103.11,8.34,3.25,1.59,118.9,237.81,66.02,201.84,268.68,22.5,34.05,47.2,90.52,15.71,187.74,55.85,3.6,113.35,119.04
1.25,90.45,15.42,104.26,8.41,3.31,1.59,118.84,237.64,66.64,202.06,269.56,22,33.79,47.44,90.43,15.12,187.72,53.8,3.39,113.35,118.9
1.24,91.03,15.23,104.13,8.35,3.37,1.6,120.36,236.1,66.35,198.67,266.98,21.9,33.69,47.6,88.75,15.44,185.85,55.35,3.33,113.15,118.31
1.22,92.55,15.51,104.98,8.33,3.39,1.58,122.34,236.67,66.3,200.44,267.11,23.08,34.14,47.95,89.42,15.79,186.3,56.6,3.33,113.85,118.56
1.23,94.55,15.61,106.08,8.52,3.45,1.58,122.28,238.81,66.64,203.8,270.23,23.27,34.4,48.08,89.47,15.85,188.04,56,3.33,114.85,118.98
1.24,94.15,15.36,105.55,8.43,3.45,1.59,122.28,239.34,66.58,203.89,269.03,23.27,34.64,48.19,89.72,16.3,187.66,57.1,3.35,115.95,119.17
1.25,95.14,15.29,106.23,8.43,3.5,1.59,122.28,241.05,66.73,205.62,270.27,23.18,35.15,48.5,90.96,16.83,188.38,58.9,3.35,116.4,119.24
1.25,94.54,15.11,106.06,8.49,3.59,1.59,121.48,239.36,66.2,203.65,268.51,22.42,34.2,47.88,88.83,16.28,186.34,57.3,3.3,114.25,117.91
1.25,93.4,15.21,106.31,8.45,3.58,1.57,119.9,240.2,66.11,202.97,268,22.04,34.39,47.78,87.72,16.25,186.73,56.85,2,112.35,117.29
1.25,93.4,15.21,106.31,8.45,3.58,1.58,119.9,240.2,66.11,202.97,268,22.04,34.39,47.78,87.72,16.25,186.73,56.85,2,112.35,117.29
1.25,93.4,15.21,106.31,8.45,3.58,1.59,119.9,243.1,66.81,200.79,269.88,22.08,34.88,48.29,89.48,16.38,188.89,57.5,2.25,114.3,118.18
1.24,93.13,15.7,105.15,8.36,3.53,1.6,119.84,243.18,66.98,199.29,268.78,22.5,34.68,48.25,89.52,16.28,187.38,56.45,2.25,114.4,117.84
1.24,93.4,15.99,105.54,8.28,3.46,1.68,122.11,243.74,66.6,200.05,269.63,22.73,34.99,48.02,89.9,16.28,187.75,56.75,3.2,115.3,117.52
1.24,95.12,15.99,106.16,8.14,3.48,1.78,122.34,244.85,67.2,200.05,271.85,23.3,35.32,48.72,91.53,16.35,188.13,56.8,3.25,117.4,118.51
1.24,94.98,16.18,107.06,8.15,3.49,1.75,121.62,246.33,67.82,199.63,273.09,23.69,35.19,48.55,91.86,16.24,188.94,56.3,3.25,116,121.67
1.28,96.74,16.89,109.65,8.26,3.5,1.75,124.7,249.14,68.61,203.72,276.21,24.02,35.51,49.55,92.9,16.18,191.91,57.25,3.25,119.5,124.27
1.28,96.55,16.81,108.83,8.28,3.51,1.74,124.64,248.13,68.93,205,270.02,24.17,35.53,49.96,93.48,16.33,193.24,58.2,3.25,118.75,123.8
1.26,96.65,17.15,111.06,8.37,3.57,1.75,124.98,248.06,69.72,203.08,270.35,24.26,35.88,49.51,93.33,16.6,194.85,58.8,3.25,121.1,124.57
1.26,97.58,16.81,111.05,8.29,3.53,1.75,123.92,248.4,70.06,202.19,271.14,24.7,35.76,49.63,93.64,16.81,195.03,59.45,3.25,120.65,124.36
1.25,97.33,16.64,111.31,8.24,3.54,1.81,122.6,245.96,70.18,200.89,269.45,24.58,35.5,49.17,93.46,17.01,193.79,60.45,3.25,118,125.56
1.25,97.33,16.64,111.31,8.24,3.54,1.81,122.6,244.34,70.14,199.54,268.43,24.75,35.41,49.42,94.66,16.87,193.15,59.25,3.25,118.65,125.33
1.27,96.96,16.8,112.49,8.39,3.59,1.92,122.6,245.33,70.38,200.66,269.49,24.78,35.86,49.53,94.2,16.93,194.07,59.5,3.25,118,125.61
1.26,95.74,16.59,112.61,8.35,3.6,1.89,121.34,245.51,70.95,201.05,269.6,24.74,36.77,49.7,93.21,16.51,194.18,59.3,3.25,116.35,125.49
1.28,98.48,17.79,113.06,8.35,3.54,1.94,121.82,245.75,71.37,188.21,270.51,24.84,39.89,50.07,89.68,16.46,194.55,59.3,3.17,127.45,125.62
1.29,101.05,17.69,113.89,8.5,3.72,1.97,121.19,248.91,71.57,195.5,273.03,24.95,39.69,50.71,88.97,16.49,195.97,60,3.17,126.35,125.82
1.28,100.08,17.84,113.97,8.4,3.71,1.97,123.09,249.14,71.41,195.31,272.5,25.04,39.29,49.83,88.34,16.15,196.33,57.35,2.3,126.25,125.55
1.31,98.92,17.78,113.57,8.45,3.88,1.94,123.92,249.49,71.64,195.99,273.87,25.18,39.08,49.6,87.74,16.98,196.59,63,2.05,124.55,126.3
1.32,98.03,17.92,113.73,8.41,3.81,1.95,124.87,248.11,71.38,196.47,271.74,26.25,38.86,50.26,87.61,17.28,194.39,64.25,2.05,124.95,126.14
1.32,98.62,18.28,113.23,8.42,3.8,1.93,123.72,247.52,71.53,195.58,272.09,26,38.31,49.89,87.35,17.49,194.98,62.95,2.05,123.2,126.29
1.32,99.53,18.09,113.26,8.41,3.77,1.92,123.2,247.45,71.27,194.09,271.26,25.99,38.03,49.44,86.33,17.5,195.59,63,2.05,122.9,125.9
1.32,100.01,17.99,112.81,8.35,3.72,1.97,123.78,248.25,71.32,197.3,272.35,25.16,38.77,49.83,87.48,17.4,195.18,63.75,2.05,124.05,126.37
1.36,100.62,17.9,113.5,8.45,3.77,2.05,123.78,247.38,71.6,196.27,271.65,25.56,38.67,49.6,87.04,17.17,195.29,63.05,2.05,125,126.39
1.35,97.41,17.18,111.68,8.39,3.67,2.05,123.58,246.32,70.53,191.15,269.24,24.59,37.9,48.59,84,17.13,192.01,62.35,2.15,122.15,124.41
1.31,98.02,17.17,112.03,8.35,3.71,1.98,123.38,246.88,70.41,190.34,267.32,24.13,37.77,47.88,83.41,17.1,192.64,62.8,2.15,120.5,124.87
1.29,98.18,17.61,112.85,8.41,3.71,1.98,124.52,249.88,71.46,195.49,272.79,24.6,37.95,48.32,84.92,17.57,195.87,63.7,2.06,121.45,125.81
1.31,99.04,17.13,112.78,8.43,3.72,1.95,122.92,249.45,71.76,195.93,277.03,24.73,38.24,48.41,85.17,17.37,197.75,62.95,2.94,124.25,126.23
1.31,98.94,17.25,112.93,8.43,3.76,1.98,123.55,250.65,72,196.03,278.36,24.88,38.57,48.26,86.21,17.37,199.32,63.75,2.94,124.35,126.24
1.3,98.73,17.52,113.57,8.54,3.73,1.98,122.57,253.38,72,195.25,280.05,24.78,38.69,48.27,87.02,17.53,199.98,62.95,2.94,124.75,126.52
1.3,100.05,17.53,113.57,8.62,3.71,1.97,123.49,256.52,72.1,197.44,282.06,24.99,39.03,48.59,89.27,17.4,201.09,62.5,2.75,126.8,128.06
1.27,99.1,17.9,114.42,8.74,3.81,1.98,125.24,256.99,71.87,196.32,283.65,24.9,38.97,48.59,89.33,17.54,202.24,63.3,2.75,127.2,127.58
1.3,99.57,17.61,114.29,8.74,3.81,1.99,123.63,256.99,71.87,196.32,283.65,24.9,38.97,48.59,89.33,17.54,202.24,63.3,2.75,127.2,127.58
1.32,99,18,114.05,8.73,3.79,1.98,123.63,256.21,71.53,194.08,280.09,24.59,38.77,48.2,89.21,17.42,202.01,63.25,2.75,123.9,127.28
1.32,98.11,18.08,113.38,8.74,3.78,2.04,123.63,259.22,71.53,195.81,281.13,24.01,38.3,48.6,90.03,17.4,203.25,63.7,2.75,123.1,127.33
1.31,100.33,18.38,114.73,8.84,3.86,2.06,125.36,257.61,71.83,194.29,280.96,24.46,39.03,48.86,90.61,17.72,202.52,65.1,2.75,126.3,127.77
1.27,101.94,18.23,114.34,8.8,3.89,2.05,126.97,258.52,72.03,193.79,281.76,24.52,39.97,49.19,90.91,18.23,203.7,66.05,2.75,124.8,128.33
1.25,101.94,18.11,113.08,8.82,3.9,2.04,126.65,255.61,71.36,191.18,280.13,24.4,39.9,48.78,92.23,18.2,201.47,65.5,2.75,123.75,127.81
1.24,100.21,18.2,113.22,8.85,3.9,2.05,127.6,253.19,70.85,188.83,276.88,24.66,39.63,48.31,90.63,18.3,198.44,65.95,2.75,123.75,127.09
1.25,99.87,17.99,112.85,8.77,3.87,2.03,128.11,254.67,70.65,189.88,277.38,24.26,39.7,48.3,90.33,18.25,198.87,65.85,2.75,122.35,127.07
1.3,98.95,18.36,113.13,8.68,3.87,2.03,128.92,256.14,70.74,192.51,277.62,24.44,40.11,48.09,92.33,18.24,199.64,66.45,2.75,123.9,127.87
1.34,100.1,18.5,113.27,8.89,3.96,2.05,127.02,256.69,71.16,193.47,277,24.37,39.87,47.92,94.26,18.41,199.47,68,2.75,123.5,128.1
1.34,98.32,17.96,111.4,8.76,3.89,2.05,125.16,255.99,70.71,194.77,276.89,24.2,40.65,47.08,92.7,18.57,198.4,68.45,2.75,128.2,127.59
1.32,99.74,18.08,111.85,8.66,3.89,2.05,126.71,257.59,70.81,196.67,278.36,24.47,40.48,47.99,92.56,18.43,200.55,66.9,2.25,127.5,128.67
1.35,99.59,18.14,111.6,8.66,3.91,2.05,128.09,259.66,70.78,196.77,280.3,24.27,40.34,48.49,91.85,18.78,201.28,67.9,2.36,126.95,128.53
1.38,97.92,17.69,111.92,8.63,3.9,2.05,124.87,258.64,71.22,195.56,280.93,24.76,40.43,48.36,92.16,18.49,202.03,67.35,2.06,126.1,128.75
1.39,99.44,18.08,114.66,8.84,3.96,2.03,123.06,258.59,71.03,185.98,281.11,25.36,38.81,47.67,92.97,18.49,202.67,67.75,2.06,121.45,128.9
1.34,102.15,18.07,114.74,8.89,4.03,2.03,126.39,261.27,71.87,187.16,282.3,25.41,38.92,48.2,93.17,18.67,204.52,68.15,2.19,120.95,130.06
1.36,100.48,17.47,114.42,8.87,4.04,2.02,127.48,260.16,71.67,186.27,282.89,25.77,38.86,46.92,91.99,17.77,203.86,66.7,2.99,120,129.17
1.36,100.8,17.94,114.26,8.89,4.07,2.04,127.65,260.29,71.81,186.58,282.99,26.02,38.63,46.39,90.33,18.12,203.89,67.1,3,120.85,128.54
1.35,102.33,17.76,112.88,8.73,4.06,2.05,127.25,256.89,72.06,185.54,280.43,26.29,38.66,46.35,90.29,17.95,201.26,66.9,3,125.9,128.37
1.32,102.23,17.69,113.39,8.54,4.11,2.05,126.3,257.4,72.09,186.84,280.64,26.32,38.89,46.34,90.86,18.2,201.32,66.6,3,124.55,128.29
1.32,102.43,17.53,113.57,8.56,4.06,2.05,127.71,255.95,71.88,186.29,279.7,25.96,39.25,46.53,90.3,17.86,200.2,65.7,2.06,123.5,128.55
1.32,102.12,17.26,111.63,8.45,4.01,2.05,126.82,255.33,71.72,186.97,277.83,25.44,38.86,46.65,89.89,17.63,198.84,65.3,2.99,122.65,127.28
1.35,99.37,17.3,110.35,8.41,3.97,2.05,126.28,257.56,72.25,187.36,280.02,25.86,39.83,48.09,90.71,18.08,200.83,66.1,2.99,125.9,128.27
1.35,95.77,16.77,108.76,8.35,3.91,2.04,123.58,254.88,71.75,185.22,276.73,25.17,39.41,47.72,90.7,18.39,196.96,67.4,3,124.55,126.69
1.34,96.49,16.78,108.68,8.32,3.89,2.03,124.58,256.71,72.02,186.16,277.61,25.14,41.38,48.75,91.78,17.02,198.1,62.15,3,125.05,127.62
1.34,97.01,16.94,108.67,8.29,3.91,2.03,125.73,257.7,72,191.54,278.92,25.16,41.29,48.6,91.97,16.67,199.66,62.9,3,126.1,128.02
1.33,95.83,16.89,107.79,8.19,3.91,2.02,124.93,257.7,72,191.54,278.92,25.16,41.29,48.6,91.97,16.67,199.66,62.9,3,126.1,128.02
1.33,96.17,17.22,109.53,8.15,3.96,2,126.02,260.28,72.42,192.97,282.4,25.27,40.37,48.97,92.77,16.36,200.74,61.65,2.5,125.65,128.11
1.34,97.59,17.39,108.77,8.05,3.99,2.01,126.51,258.94,71.89,191.38,280.96,25.05,39.85,48.8,91.81,16.97,199.02,62.5,2.8,124.21,127.7
1.33,97.41,17.18,108.69,8.11,4.08,2,126.74,261.99,72.32,192.9,285.2,25.09,40.4,49.08,93.07,16.51,201.26,61.7,2.85,127.4,128.42
1.33,98.14,17.36,109.39,8.27,4.06,2,126.3,261.78,72.58,193.28,285.57,25.02,40.03,49.2,92.72,16.71,201.07,60.85,3.49,126.6,128.96
1.33,98.41,17.42,109.55,8.23,4.02,2.02,127.51,262.64,72.87,194.88,286.42,25.32,40.23,49.4,92.71,16.59,199.91,60.6,2.95,127.85,128.51
1.34,100.21,17.61,110.88,8.13,4.05,2.01,127.28,263.96,72.97,199.4,286.36,25.47,40.22,49.95,93.15,16.2,201.11,60.25,2.95,127.85,129.04
1.35,100.56,17.49,110.33,8.12,4.04,2.01,126.94,263.86,72.59,198.39,286.76,25.23,40.02,50.2,93.12,16.17,200.15,60.05,2.95,127.25,129.57
1.33,100.56,17.93,110.53,8.04,3.99,2.02,127.57,264.83,72.79,198.15,288.13,25.29,40.12,50.4,93.5,16.38,201.15,60.2,2.95,128.3,130.05
1.35,100.63,17.97,109.85,8.06,4,2.05,127.4,264.81,72.61,198.28,288.49,25.82,40.1,50.65,93.48,16.66,200.14,60.25,2.5,128.55,129.51
1.34,99.09,17.71,109.74,8.05,4,2.18,128.57,264.24,72.33,197.38,286.79,25.23,40.08,50.49,93.4,16.34,201.42,59.1,2.5,127.55,129.44
1.33,102.3,17.76,109.58,8.03,4.03,2.23,128.63,264.92,72.59,198.49,290.67,25.39,40.24,50.99,95,16.32,202.34,59.3,2.7,128.9,130.36
1.3,102.1,17.64,108.68,8.06,4,2.15,128.77,264.77,72.22,199.19,289.67,25.38,39.98,51.19,94.87,16.32,202.4,58.95,2.7,128.45,129.21
1.28,99.29,17.37,108.12,7.97,4.02,2.18,128.54,265.3,72.84,201.35,289.12,25.26,39.7,51.59,95.3,15.98,204.55,57.45,2.7,127.3,130.55
1.28,99.38,17.3,107.35,7.9,4.03,2.22,127.94,265.27,72.62,201.66,290.28,25.37,39.12,51.96,95.97,15.73,204.93,57,2.7,127.45,131.85
1.28,98.98,17.89,108.03,7.93,4.03,2.22,127.17,264.05,71.03,203.62,289.83,25.41,39.45,52.83,97.22,15.73,203.56,56.85,2.6,127.65,131.41
1.29,99.84,17.69,110.83,7.91,4.02,2.24,128.54,263.86,70.51,203.49,289.85,25.22,38.96,52.7,96.05,15.94,194.66,56.8,2.6,126.05,132.6
1.3,98.89,17.75,111.27,8,4.06,2.26,127.48,260.76,70.01,202.84,288.13,24.99,38.8,52.83,97.22,15.78,193.84,56.7,2.6,126.3,131.15
1.31,97.78,17.32,108.98,7.95,4.05,2.26,129.06,264.1,70.11,205.65,290.41,24.72,39.38,52.97,98.26,15.71,197.94,56.9,2.6,126.65,130.97
1.32,97.32,16.99,107.93,7.9,3.87,2.24,129.29,263.13,69.93,206.11,292.13,24.59,39.72,52.68,96.42,15.88,196.33,57.6,2.6,125.1,130.33
1.3,97.51,17.02,108.61,7.97,4.27,2.23,129.29,264.64,70.12,206.59,292.65,24.87,40.63,52.75,96.45,16.14,196.53,57.65,2.6,128.4,131.18
1.31,97.99,16.79,108.04,7.76,4.11,2.24,128.77,266.83,70.98,208.21,294.7,24.86,39.93,53.03,96.18,16.16,198.04,57.7,2.6,126.55,132.82
1.31,98.24,16.72,108.54,7.74,4.17,2.24,130.12,268.78,71.43,213.93,295.82,25,40.04,52.98,96.8,15.28,199.33,52.85,2.6,128.4,133.62
1.28,100.53,16.96,109.63,7.7,4.2,2.28,132.36,269.24,71.66,213.95,297,25.39,41.7,53.06,97,15.12,200.07,52.9,2.6,128.75,134.08
1.25,100.52,16.84,109.55,7.65,4.17,2.4,134.4,269.58,69.9,213.54,297.15,25.72,41.38,52.99,97.88,15.05,201.14,51,2.6,129.65,133.05
1.25,101.6,16.72,109.54,7.56,4.14,2.41,136.87,269.82,69.71,214,300.1,25.31,40.42,53.87,96.66,14.81,198.8,50.55,2.6,130.25,132.77
1.25,101.26,16.8,109.5,7.65,4.1,2.43,134.69,273.1,69.13,214.76,305.22,23.02,40.07,53.99,97.46,14.82,201,50.2,2.6,129.15,133.09
1.27,100.9,16.66,108.65,7.66,4.01,2.48,129.95,270.55,68.87,213.08,303.25,22.46,39.71,53.95,96.23,14.72,198.28,50.65,2.6,128.85,131.4
1.28,99.81,16.41,108.49,7.64,3.97,2.45,132.48,269.28,68.94,213.16,303.75,22.36,39.02,53.75,95.28,14.75,197.89,50,2.6,128.55,130.78
1.27,100.52,16.72,109.4,7.62,3.94,2.53,136.1,271.4,69.1,215.01,307.58,22.18,39.81,53.94,97.02,14.69,200.3,49.5,2.6,128.1,132.39
1.28,102.21,16.72,109.45,7.8,3.97,2.5,135.27,271.14,68.39,214.33,306.2,21.63,39.23,53.87,95.65,14.16,199.49,49,2.75,127.55,131.57
1.29,101.9,16.88,110.14,7.85,3.98,2.48,136.56,269.99,69.6,210.82,305.8,21.66,39.27,54.01,96.15,14.13,200.61,48.25,2.75,128.8,132.21
1.33,102.83,16.7,109.54,7.77,3.98,2.45,139.63,268.13,68.48,208.44,301.42,21.48,38.05,53.64,94.26,14.26,197.99,48.7,2.75,125.3,130.07
1.32,102.27,16.53,107.65,7.66,3.93,2.46,139.86,267.61,68.11,205.22,299.2,22.07,37.69,53.29,93.57,14.42,198.73,49.25,2.75,123,129.21
1.29,101.55,16.5,107.95,7.7,3.93,2.47,140.23,267.7,67.99,203.92,301.88,22.08,37.63,53.31,94.64,14.42,198.73,50.7,2.75,123.85,129.8
1.31,102,16.53,108.45,7.82,4,2.44,141.61,272.82,68.24,207.73,304.8,21.77,38.62,53.44,94.65,13.86,201.23,49.3,2.13,126.25,131.08
1.28,101.86,16.63,107.93,7.78,4,2.49,140.43,270.77,69.03,206.84,302.84,21.64,38.32,53.19,94.76,13.7,199.75,48.5,2.13,125.45,130.61
1.31,100.06,16.65,107.7,7.91,3.97,2.49,139.49,268.54,68.01,209.37,302.6,21.85,38.58,53.47,95.34,13.64,199.47,48.6,2.13,125.05,130.73
1.29,100.68,16.55,107.49,7.87,3.95,2.47,139.43,269.33,67.87,208.94,302.8,21.58,38.8,53.34,95.89,13.89,199.05,48.85,2.4,124.85,131
1.25,98.95,16.47,106.69,7.87,3.95,2.46,139.97,267.9,68.02,206.12,303.61,21.88,38.71,53.5,95.49,13.66,197.87,48,2.3,125.3,131.05
1.21,97.94,16.23,106.38,7.75,3.91,2.48,139.4,270.72,70.01,208.8,308.14,21.62,39.17,53.8,96.45,13.04,200.95,46.85,2.45,126,131.78
1.26,98.04,16.26,107.31,7.92,3.97,2.48,141.01,271.01,70.54,210.55,306.3,21.59,39.4,54.13,96.75,12.68,201.22,46.3,2.45,125.9,132.17
1.25,99.3,16.39,107.25,7.98,3.99,2.51,141.73,272.21,70.61,213.96,305.39,21.71,40.22,54.72,96.82,12.53,201.35,45.8,2.4,129.8,132.39
1.24,99.63,16.49,107.16,8.02,4.01,2.51,140.23,268.83,69.55,215.03,302.19,21.73,40.6,54.59,96.86,12.69,200,46.25,2.4,131.65,131.78
1.22,99.43,17.13,107.82,7.95,3.98,2.51,139.6,268.83,69.55,215.03,302.19,21.73,40.6,54.59,96.86,12.69,200,46.25,2.4,131.65,131.78
1.23,100.52,17.13,108.27,8.02,3.93,2.48,141.78,268.07,65.59,213.34,302.2,21.98,40.5,54.41,95.8,12.53,198.73,45.75,2.4,131.5,130.7
1.22,101.22,17.01,107.26,7.8,3.89,2.5,142.67,265.27,64.65,211.6,301.45,21.73,40.52,53.78,96.18,13.01,196.74,46.8,2.4,131.1,130.74
1.22,103.44,16.8,106.69,7.82,3.86,2.5,141.32,265.87,64.87,209.93,302.35,21.5,40.37,53.98,96.2,13.01,197.04,47.7,2.4,129.25,131.25
1.23,103.48,16.98,107.18,7.87,3.89,2.49,142.7,267.45,64.61,210.43,302.9,21.64,39.91,53.8,96.83,10.69,197.87,46.25,2.4,127.55,131.72
1.23,107.53,16.96,107.76,7.85,3.93,2.52,145,269.3,64.67,211.78,304.48,21.86,40.47,54.63,97.98,10.22,200.33,46.2,2.4,130.2,133.09
1.21,107.31,17.14,108.74,7.82,3.93,2.52,142.47,268.96,64.8,213.56,303.73,22.35,40.6,54.31,98.3,10.76,199,46.85,2.46,131.95,132.78
1.24,105.67,17.07,107.26,7.79,3.94,2.55,139.89,266.7,65.04,210.43,300.2,22.4,40.56,53.84,98.61,11.02,196.85,47.25,2.46,131.6,132.03
1.23,105.12,16.99,107.8,7.83,3.94,2.55,138.37,265.69,66.73,210.15,301.34,22.54,40.45,53.29,99.83,10.76,197.63,47.2,2.46,129,131.37
1.24,105.43,17.18,109.4,7.83,3.86,2.54,141.21,267.03,66.7,212.41,302.3,22.3,39.69,53.44,100.98,10.95,198.27,47.3,2.5,129.85,133.04
1.19,106.01,17.49,109.75,8.14,3.88,2.5,143.54,275.97,66.51,215.57,303.8,22.4,40.64,54.2,102.22,10.95,202.18,47.8,2.46,131.25,131.81
1.21,107.94,17.52,108.93,8.18,3.91,2.45,143.79,278.33,67.03,217.07,305.65,22.07,41.47,54.53,101.54,12.06,203.12,54.35,2.46,133.55,131.89
1.2,107.3,17.62,108.29,8.18,3.93,2.49,143.79,280.04,67.3,218.12,307.9,22.91,42.79,54.69,103.66,11.44,204.27,52,2.5,134.7,132.79
1.19,108.2,17.71,106.62,8.26,3.86,2.45,143.79,280.42,67.53,219.18,308.01,22.8,42.2,54.73,103.71,11.64,205.72,52.85,2.3,134.4,134.87
1.15,109.84,17.69,107.65,8.3,3.89,2.44,143.88,281.55,67.83,220.37,308.54,22.65,42.32,56.24,104.34,11.53,205.41,51,2.3,136.55,135.72
1.15,107.71,17.77,108.78,8.35,3.85,2.27,144.86,281.37,67.41,220.48,306.85,22.59,42.52,56.09,103.64,11.77,204.87,51.8,2.3,137.4,134.82
1.13,106.45,18.04,108.86,8.31,3.81,2.33,146.38,284.74,67.66,222.21,309.58,22.66,42.79,56.37,104.19,11.84,205.33,51.7,2.3,137.75,134.27
1.14,108.31,18.29,109.16,8.28,3.76,2.34,148.82,286.84,69.11,223.46,310.13,23.05,43.69,56.31,106.36,12.12,206.8,53.2,2.3,141.3,133.63
1.13,110.27,18.38,110.64,8.3,3.86,2.45,149.14,284.62,68.32,223.06,309.13,23.09,43.39,56.06,105.7,11.87,205.03,52.55,2.3,139.7,134.6
1.14,110.39,18.28,110.45,8.29,3.87,2.45,149.8,287.72,68.47,226.44,310.29,22.67,44.15,56.02,104.54,11.71,205.58,51.7,2.3,139.35,135.71
1.14,110.69,18.31,110.44,8.28,3.94,2.48,149.14,289.9,69.35,229.93,311.33,22.91,45.07,57.29,105.78,12.09,208.72,53.5,2.3,142.2,136.59
1.2,110.69,18.13,110.59,8.14,4.02,2.47,150.83,291.08,69.43,232,312.86,23.2,45.45,57.04,105.05,12.38,210.53,54.65,2.5,142.4,136.6
1.18,113.16,18.01,109.8,8.14,4.03,2.48,150.83,292.18,69.38,234.14,313.02,23.77,45.47,56.88,105.52,12.37,211.3,53.05,2.5,141.5,136.49
1.18,113.01,17.9,108.94,8.08,4.02,2.45,150.83,292.68,69.7,234.16,314.58,23.64,45.53,59.03,106.46,12.31,213.45,54.15,2.5,142.6,136.98
1.19,113.07,18.01,109.74,8.05,4.01,2.47,152.47,293.33,69.73,235.83,316.46,23.72,45.41,59.41,109.66,12.06,212.6,52.75,2.5,142.2,137.51
1.27,111.53,17.94,109.88,8.12,4.01,2.41,153.1,293.86,69.97,235.94,317.3,23.56,45.44,59.33,110.54,11.47,213.53,50.7,2.5,142.65,137.49
1.28,112.2,17.76,109.84,8.1,3.98,2.47,150.66,293.33,69.67,234.88,317.71,23.82,46.27,59.04,110.8,11.27,212.55,50.75,3,143.3,137.21
1.27,112.03,17.66,110.35,8.08,3.97,2.46,150.66,295.19,69.45,233.93,318.59,23.9,45.61,58.97,110.95,11.02,212.83,50.05,3,142.15,136.65
1.27,112.04,17.59,110.37,8.09,4.01,2.51,150.66,298.68,70.08,235.44,321.15,24.45,46.01,58.96,112.05,10.93,213.72,50.7,3,142.3,137.1
1.27,112.44,17.49,110.37,8.06,3.98,2.56,152.47,296.4,70.02,234.4,319.39,24.6,46.43,59.19,113.21,10.83,213.34,49.7,3,143.5,137.27
1.32,112.67,17.61,110.52,8.02,3.96,2.63,152.98,295.78,70.19,235.93,318.94,24.31,45.99,59.55,113.6,10.91,213.44,50.65,3,142.5,137.64
1.29,113.06,17.41,110.71,8.03,3.96,2.67,153.24,294.32,70.4,235.23,318.27,24.44,45.44,59.43,113.54,11.09,211.54,50.7,3,141.45,137.33
1.28,114.02,17.36,112.1,8.08,4.06,2.67,152.21,292,70.29,234.89,315.57,24.99,46.19,59.33,113.58,11.29,210.39,51.5,3,141.55,137.34
1.27,111.51,16.96,108.52,7.88,4.04,2.69,149.94,292.65,70.48,234.81,316.84,24.62,45.86,59.18,113.17,11.38,211.64,51.9,3,141.6,137.51
1.28,114.07,17.25,107.02,7.83,4.04,2.77,150.49,294.6,71.33,235.42,320,23.01,46.31,59.86,114.08,11.44,213.86,52.45,3,143.15,139.17
1.28,114.74,17.39,107.28,7.87,4.07,2.88,149.37,294.05,71.3,234.58,320.73,22.59,46.34,60.12,113.3,11.14,212.51,51.7,3,143.05,139.71
1.28,114.69,17.39,103.52,7.87,4.08,2.93,151.35,294.03,70.62,235.93,313.15,22.32,46.29,61.81,114.19,11.19,212.08,52,3,143.3,139.9
1.29,114.23,17.57,101.94,7.73,4.1,2.93,151.18,304.75,70.18,234,312.43,22.17,46.39,60.58,114.76,11.22,207.25,52.55,3,144.55,139.78
1.27,117.06,17.49,102.92,7.71,4.14,3,152.27,297.99,70.74,231.82,307.89,22.43,46.04,60.21,115.01,10.89,203.91,51.6,3,144.8,139.64
1.26,116.82,17.18,103.94,7.76,4.23,2.99,152.27,297.66,70.23,233.46,308,22.92,46.3,60.03,115.96,11.15,204.99,51.5,3,144.65,139.98
