"X.AMRS.P.","X.GRWG.P.","U.YOLO.P.","U.CNBS.P.","U.MJ.P.","X.POTX.P.","U.STZ.P.","U.IIPR.P.","X.CARA.P.","X.TLRY.P.","X.SNDL.P.","X.CNTTQ.P."
17.85,0,0,0,27.13,0,141.9,0,5.03,0,0,0
17.7,0,0,0,26.29,0,144.13,0,4.67,0,0,0
17.4,0,0,0,26.29,0,144.54,0,4.75,0,0,0
16.95,0,0,0,26.29,0,146.84,0,4.96,0,0,0
18,0,0,0,28.18,0,147.04,0,5.17,0,0,0
17.1,0,0,0,28.11,0,147.2,0,6.27,0,0,0
17.4,0,0,0,28.31,0,149.42,0,6.52,0,0,0
17.25,0,0,0,28.31,0,150.11,0,5.77,0,0,0
18.75,0,0,0,27.17,0,149.9,0,5.84,0,0,0
18.75,0,0,0,27.17,0,149.9,0,5.84,0,0,0
18.6,0,0,0,27.17,0,149.41,0,5.74,0,0,0
17.85,0,0,0,28.1,0,149.71,0,6.07,0,0,0
17.55,0,0,0,28.1,0,151.6,0,6,0,0,0
16.65,0,0,0,28.1,0,151.09,0,6.22,0,0,0
16.35,0,0,0,28.32,0,152.68,0,6.6,0,0,0
15.15,0,0,0,27.74,0,151.47,0,6.84,0,0,0
14.45,0,0,0,27.45,0,151.36,0,6.69,0,0,0
15.75,0,0,0,27.45,0,160.34,0,6.91,0,0,0
15.75,0,0,0,27.13,0,157.37,0,6.8,0,0,0
16.05,0,0,0,27.13,0,159.01,0,6.66,0,0,0
19.5,0,0,0,28.49,0,157.47,0,6.61,0,0,0
17.55,0,0,0,28.54,0,156.95,0,7.06,0,0,0
16.35,0,0,0,29.17,0,156.05,0,7.44,0,0,0
16.5,0,0,0,29.17,0,156.84,0,7.52,0,0,0
15.75,0,0,0,28.87,0,156.71,0,7.4,0,0,0
15.9,0,0,0,28.87,0,158.05,0,8.12,0,0,0
16.2,0,0,0,28.9,0,157.3,0,8.22,0,0,0
15.9,0,0,0,28.9,0,156.01,0,7.68,0,0,0
16.5,0,0,0,28.9,0,155.16,0,7.11,0,0,0
