"U.MGM.P.","U.LVS.P.","X.WYNN.P.","X.BJK.P.","X.GDEN.P.","U.BYD.P.","U.BALY.P.","X.RRR.P."
21.92,51.72,94.74,34.03,10.76,20.87,0,0
21.62,50.51,93.4,33.21,10.58,20.84,0,0
21.27,49.95,90.92,32.72,10.51,20.74,0,0
21.36,49.78,89.55,33.38,10.61,20.87,0,0
21.67,50.22,99.99,33.38,10.65,20.91,0,0
22.39,49.48,98.78,33.27,10.64,21.2,0,0
22.06,49.31,98.31,33.12,10.61,20.74,0,0
22.65,49.53,97.19,33.61,10.55,21.22,0,0
23.1,50.98,97.68,34.1,10.66,21.35,0,0
22.81,50.7,97.67,34.07,10.65,21.05,0,0
22.79,50.94,97.67,34.2,10.75,21.1,0,0
22.87,51.16,96.48,34.5,10.98,20.99,0,0
23.03,52.5,99.99,34.97,11.48,21.06,0,0
22.79,52.18,99.39,34.64,11.81,21.12,0,0
22.29,47.39,95.79,33.49,11.84,20.93,0,0
22.17,46.87,96,32.95,11.82,20.03,0,0
21.76,45.82,90.94,33.02,11.99,20.2,0,0
21.84,46.1,89.66,33.29,12.05,20.62,0,0
21.93,45.67,89.17,33.11,11.97,19.61,0,18.7
21.35,45.86,89.22,32.73,11.88,19.19,0,18.73
21.3,45.15,88.3,32.43,12.1,18.64,0,18.64
21.67,46.75,94.28,33.11,11.94,19.22,0,18.87
21.44,45.77,94.45,32.54,12.3,18.63,0,18.96
21.47,45.21,91.23,32.19,12.5,18.68,0,18.78
21.87,44.45,89.62,32.43,12.68,18.77,0,18.8
22.01,45.49,91.21,32.07,12.3,18.73,0,18.87
21.85,44.95,89.62,32.11,12.66,19.05,0,18.9
22.58,46.12,94.03,32.23,12.8,19.48,0,18.99
22.01,45.46,92.96,32.31,12.63,19.19,0,19.23
21.94,45.64,93.42,32.4,12.46,19.1,0,19.5
21.63,44.89,89.95,32.19,12.38,18.96,0,19.17
22.08,45.58,90.88,32.69,12.6,18.8,0,19.54
21.98,45.42,91.23,32.76,12.31,18.52,0,19.4
21.7,44.84,88.45,31.9,12,18.69,0,19.44
21.51,44.32,88.45,31.78,12.07,18.4,0,19.31
21.76,44.99,88.96,32.06,12.09,18.23,0,19.32
22.13,45.05,91.48,32.26,12.08,18.36,0,19.37
22.67,45.55,93.22,32.47,12.21,18.4,0,19.58
22.8,46.3,96.65,32.97,12.12,18.54,0,19.74
22.51,45.42,94.62,32.84,12.26,18.44,0,19.84
22.93,46.19,95.96,33.03,12.42,18.82,0,20.11
22.93,46.19,95.96,33.03,12.42,18.82,0,20.11
22.85,46.24,96.18,33.42,12.26,18.91,0,20.39
23.42,46.36,96.73,33.36,12.52,19.42,0,20.16
24.1,46.77,99.41,33.57,12.88,19.71,0,20.49
24.06,46.75,98.5,33.7,13.1,19.48,0,20.46
24.4,46.61,98.69,33.72,13.14,19.32,0,20.5
24.65,47.38,101.11,33.97,13.08,19.36,0,20.85
24.97,47.6,101.32,34.04,13.1,19.41,0,21.18
25.09,47.27,100.79,33.76,13.08,19.2,0,21.69
24.55,46.25,100.45,33.08,13.29,18.84,0,21.72
24.12,46.01,100.15,32.56,12.88,18.47,0,22.01
24.05,46.9,101.54,32.29,12.76,18.6,0,22.09
24.52,46.96,101.6,32.77,12.72,18.6,0,22.52
24.16,46.48,101.2,32.38,12.47,18.35,0,22.41
24.61,46.96,103.19,32.38,12.27,18.69,0,22.05
24.28,44.31,100.29,32.91,13.13,18.85,0,22.45
24.53,45.19,101.81,33.02,13.22,19.18,0,22.83
24.32,44.93,100.72,32.99,13.23,18.76,0,22.7
24.48,46.16,101.7,33.5,13.27,19.07,0,22.5
22.91,43.31,92.29,31.61,13.21,18.26,0,21.38
21.54,41.82,87.69,30.15,13.28,17.45,0,20.95
22.09,42.49,88.28,30.63,11.43,17.95,0,21.06
22.74,43.63,91.28,31.25,11.33,18.26,0,21.16
22.63,43.49,90.64,31.4,11.69,18.4,0,21.98
22.78,43.71,91.79,31.53,11.64,18.3,0,22.05
22.78,43.71,91.79,31.53,11.64,18.3,0,22.05
22.55,42.8,89.1,31.03,11.52,18.13,0,21.77
22.95,43.6,89.93,31,11.5,18.24,0,22.15
22.98,43.56,88.96,31,11.5,18.29,0,22.16
22.96,44.13,89.75,31.59,11.62,18.74,0,22.27
22.99,45.92,94.1,31.81,12.09,18.72,0,22.27
23.27,46.53,96.5,32.43,12.16,18.93,0,22.51
23.13,45.83,94.88,32.5,12.15,19.09,0,22.42
23.29,46.01,92.02,32.65,12.45,19.17,0,22.34
23.34,46.18,92.22,32.56,12.42,19.18,0,22.41
23.39,46.94,96.66,32.89,12.88,19.25,0,22.53
23.15,46.34,95.17,32.78,12.95,18.87,0,22.51
