"A.TWEX.P.","B.ABI.P.","H.HB.P.","F.RCD.P.","I.CPR.P.","DGE.P.","K.BBCA.P.","K.CHRE.P.","DK.CAB.P.","DK.RBR.P.","CN.KCM.P.","CN.YWU.P.","CN.JYB.P.","CN.TTB.P.","IN.MLC.P.","IN.UBB.P.","MX.BEC.P.","BR.AVS.P.","CL.CVZ.P.","U.STZ.P.","U.BF.B.P.","U.TAP.P.","U.SAM.P."
8.67,117.05,89.51,124.03,5.58,29.57,0,2.27,95.33,42.41,382.44,43.38,88.32,34.23,6.48,11.12,3.3,4.44,11.09,157.21,37.57,96.99,154.75
8.73,115.84,89.57,124.2,5.54,29.59,0,2.26,95.1,42.2,382.53,42.83,87.75,34.41,6.39,11.1,3.29,4.52,11.16,156.38,37.09,96.77,153.6
8.87,115.78,90.01,124.66,5.54,29.63,0,2.25,94.25,44.48,385.25,42.36,86.76,34.11,6.32,10.98,3.29,4.57,11.25,155.79,36.97,96.79,151.8
9.21,116.13,89.95,124.55,5.64,29.8,0,2.26,94.71,45.75,385.2,42.35,88.74,34.57,6.3,10.96,3.33,4.57,11.37,157.56,37.12,97.1,146.6
9.01,116.36,89.88,125.12,5.62,29.83,0,2.27,94.79,45.7,386.97,43.38,89.89,34.83,6.3,10.96,3.33,4.59,11.48,158.39,36.98,97.49,146.95
8.93,116.47,90.33,125.47,5.62,30.2,0,2.24,95.1,45.39,384.84,43.1,90.01,34.38,6.39,11.04,3.32,4.52,11.46,159.12,37.07,97.11,145.9
8.84,116.42,90.3,124.95,5.65,30.03,0,2.27,95.1,45.27,390.23,43.26,89.36,34.16,6.48,11.07,3.29,4.57,11.48,162.12,37.45,97.9,148.05
8.9,118.66,90.95,125.3,5.72,30.14,0,2.29,95.64,44.7,390.33,42.74,88.94,34.02,6.32,11,3.33,4.57,11.52,162.04,37.34,98.23,148.35
8.9,120.74,92.11,126.85,5.83,30.46,0,2.29,96.65,44.68,394.19,42.45,88.79,33.92,6.29,11.1,3.36,4.55,11.7,161.75,37.43,98.38,149.4
8.95,120.11,91.84,126.91,5.85,30.58,0,2.28,97.27,45.01,402.45,42.8,89.75,34.09,6.24,11.05,3.36,4.66,11.77,162.55,37.45,98.64,149.1
8.89,119.59,92.06,126.85,5.83,30.47,0,2.39,96.8,44.87,410.36,45.18,93.42,35.1,6.16,11.03,3.43,4.6,11.83,164.61,37.82,98.03,148.35
8.77,118.55,91.54,127.6,5.82,30.34,0,2.37,95.49,44.4,410.85,45.78,93.74,34.85,6.09,10.98,3.45,4.57,11.95,164.2,38.02,97.51,149.3
8.83,119.01,91.07,125.06,5.91,30.22,0,2.31,95.8,44,405.97,45.37,92.42,34.67,6.29,10.97,3.42,4.61,12.03,162.72,37.9,97.25,148.95
8.92,118.09,90.3,124.6,5.91,30.31,0,2.31,96.57,44.32,402.88,45.03,92.28,35.45,6.35,11.04,3.37,4.66,11.84,164.06,37.67,97.02,149.1
8.78,118.09,91.41,124.37,5.94,30.18,0,2.29,97.04,44.57,394.54,44.32,90.61,35.72,6.25,10.98,3.4,4.7,11.98,163.68,37.5,96.46,149.2
8.9,118.72,91.06,125.47,6.02,30.29,0,2.28,97.81,44.73,396.04,44.55,90.66,35.4,6.24,11.12,3.39,4.74,12.02,162.43,37.46,96.3,144.9
8.88,118.61,91.32,126.33,6.02,30.42,0,2.27,100.21,44.45,399.57,44.89,92.38,34.95,6.31,11.08,3.4,4.8,12.11,163.69,37.38,96.66,145.45
9.03,118.84,91.62,126.62,6.08,30.33,0,2.31,99.98,44.65,402.17,44.5,90.39,34.19,6.26,11.11,3.4,4.83,12.19,162.44,37.09,95.57,145.7
8.95,118.66,92.03,127.89,6.27,29.99,0,2.27,99.67,45.45,402.4,44.78,91.01,34.12,6.2,10.99,3.5,4.82,12.08,162.07,36.94,95.71,144.65
8.89,119.18,92.16,128.01,6.21,29.93,0,2.3,99.05,45.25,402.4,44.78,91.01,34.12,5.84,10.9,3.5,4.76,12.08,161.66,36.7,95.46,144.6
8.88,119.7,92.26,128.75,6.3,30.03,0,2.3,100.13,45.66,402.4,44.78,91.01,34.12,5.84,10.9,3.48,4.78,12.14,161.51,36.66,95.59,141.95
8.88,119.7,92.45,128.81,6.2,30.03,0,2.35,99.9,45.79,405.83,44.91,90.88,34.26,5.79,10.87,3.48,4.72,12.13,161.4,36.56,95.46,140.35
8.79,119.59,92.54,128.93,6.22,30.1,0,2.36,100.05,45.66,408.18,44.73,89.73,33.85,5.8,10.94,3.48,4.75,12.12,171.77,36.53,96,141.4
8.79,119.7,92.39,128.87,6.14,29.97,0,2.42,100.29,45.81,409.18,44.46,88.9,33.91,5.77,10.98,3.42,4.77,12.14,170.37,36.54,95.37,139.9
8.78,120.39,93.2,129.62,6.17,29.98,0,2.39,100.75,45.96,405.36,43.39,85.67,33.3,5.39,10.62,3.36,4.76,12.26,171.27,36.78,95.89,142.3
8.79,119.13,93.47,130.14,6.18,30.09,0,2.38,101.37,46.15,401.28,42.65,86.43,33.42,5.37,10.74,3.35,4.66,12.16,170.35,36.76,95.58,141.45
8.79,119.41,93.99,131.23,6.19,30.28,0,2.41,102.38,46.21,406.43,43.8,87.38,33.54,5.44,10.63,3.33,4.67,12.37,169.96,36.76,95.56,139.5
8.87,119.07,93.58,131.81,6.14,30.18,0,2.49,102.38,46.21,414.93,44.59,88.85,34.21,5.42,10.75,3.33,4.69,12.31,168.95,36.38,94.56,139.05
8.87,119.07,93.58,131.81,6.14,30.18,0,2.49,102.38,46.21,411.86,44.11,86.85,34.08,5.42,10.75,3.33,4.69,12.31,168.95,36.38,94.56,139.05
8.87,119.07,93.58,131.81,6.14,30.18,0,2.49,102.38,46.21,412.22,44.74,87.21,33.98,5.49,10.71,3.33,4.77,12.67,170.12,36.74,95.13,139.95
8.84,118.95,92.86,130.48,6.07,29.48,0,2.44,102.76,46.24,421.45,45.7,90.23,34.37,5.38,10.43,3.3,4.8,12.83,172.21,37.02,96.32,139.6
8.73,118.66,93.93,130.66,6.12,28.92,0,2.43,102.76,46.89,422.58,45.83,89.87,34.06,5.44,10.55,3.28,4.78,12.83,171.94,36.98,96.16,141.1
8.64,116.82,94.08,132.04,6.05,28.95,0,2.45,102.61,47.13,432.55,47.54,92.18,34.54,5.38,10.69,3.27,4.75,12.55,172.95,36.9,95.05,138.45
8.75,117.11,94.48,132.62,6.11,29,0,2.45,102.61,46.89,417.16,47.54,90.61,34.93,5.43,10.72,3.25,4.75,12.24,172.09,37.01,94.86,139.05
8.77,119.76,94.97,134.29,6.26,29.7,0,2.42,104.23,47.51,415.09,46.15,87.51,34.36,5.51,10.88,3.26,4.76,12.25,173.03,37.55,96.04,142.05
8.77,120.51,94.79,132.62,6.36,29.67,0,2.44,104.08,47.34,436.28,48.53,89.46,34.85,5.48,10.84,3.23,4.84,12.22,172.54,37.86,96.52,144.3
8.84,119.64,95.45,133.14,6.33,29.7,0,2.43,104.23,47.13,435.31,47.6,90.09,34.11,5.39,10.93,3.25,4.81,12.4,170.48,37.41,95.83,141.85
8.81,118.78,95.14,132.33,6.34,29.63,0,2.38,105.78,47.16,438.93,47.91,91.22,33.56,5.28,11.09,3.27,4.81,12.32,171.06,37.42,95.78,140.8
8.78,119.24,94.39,132.45,6.26,29.51,0,2.4,105.47,45.95,430.64,47.39,83.32,33.32,5.35,10.96,3.34,4.82,12.48,172.54,37.86,95.89,144.35
8.9,119.24,94.39,132.45,6.26,29.51,0,2.4,105.24,45.81,430.64,47.39,83.32,33.32,5.35,10.96,3.34,4.82,12.48,172.07,37.89,95.26,144.2
9.17,118.43,96.11,133.43,6.35,29.57,0,2.4,105.94,46.43,429.19,46.45,82.08,33.35,5.52,11,3.35,4.91,12.43,174.58,38,95.36,140.95
9.13,119.59,95.77,133.89,6.3,29.57,0,2.4,105.55,46.58,434.94,46.78,83.31,32.46,5.52,11.09,3.33,4.9,12.29,173.74,37.91,90.89,138.3
9.23,125.81,97.3,136.77,6.34,29.88,0,2.36,108.49,46.85,433.27,46.22,84.65,32.67,5.49,11.2,3.35,5.03,12.5,177.2,38.72,91.73,142.75
9.14,126.04,97.34,137.58,6.46,29.91,0,2.37,108.18,46.54,433.47,45.99,84.81,32.76,5.41,11.09,3.34,4.99,12.62,178.51,39.21,93.12,146.35
9.25,125.7,97.78,137.23,6.38,30.07,0,2.35,108.18,46.48,422.31,44.39,83.86,32.71,5.43,11.15,3.32,4.99,12.58,179.52,39.51,93.93,148.6
9.46,126.04,98.44,138.61,6.66,30.09,0,2.35,108.64,46.71,425.73,45.48,84.15,32.48,5.41,11.37,3.3,5.01,12.49,177.77,39.53,92.8,141.35
9.45,125.93,97.87,138.79,6.97,29.93,0,2.38,108.64,46.65,427.11,45.3,85.19,32.57,5.6,11.46,3.33,5.07,12.54,177.57,39.4,92.82,143.35
9.65,125.76,98.33,138.96,6.88,30.17,0,2.37,109.19,46.38,429.27,46.17,86.03,32.71,6.09,12.13,3.32,5.16,12.67,178.29,39.69,93.49,144.9
9.66,126.1,98.9,140,6.91,30.28,0,2.36,109.19,46.38,430.63,46.09,86.34,32.81,6.21,11.8,3.39,5.2,12.68,178.57,39.36,93.74,143.15
9.64,125.47,98.66,138.67,6.96,29.97,0,2.37,108.95,46.43,436.97,47.06,86.73,33.18,6.14,11.81,3.4,5.22,12.72,180.28,39.58,94.08,143.15
9.74,125.12,99.66,140.4,6.99,30.58,0,2.38,108.41,46.15,447.97,49.58,87.78,33.18,6.05,11.48,3.39,5.24,12.73,182.21,40.37,94.07,141.75
9.56,124.26,99.49,138.61,6.86,30.6,0,2.36,106.86,45.81,444.31,48.28,86.68,33.2,6.05,11.58,3.39,5.19,12.8,180.68,41.82,93.03,140.05
9.48,120.39,99.04,136.42,6.89,30.08,0,2.36,106.01,45.66,447.37,48.43,86.11,33.4,5.83,11.33,3.39,4.97,12.54,180.84,42.06,92.52,140.25
9.54,121.89,99.46,137.46,7.03,30.1,0,2.38,106.4,46.12,459.12,49.03,86.13,33.56,5.48,11.05,3.39,4.92,12.49,182.94,42.34,94.13,143.15
9.4,121.43,100.1,138.15,6.95,30.29,0,2.58,107.95,46.18,460.12,49.09,86.97,34.04,5.88,11.07,3.42,4.91,12.6,184.14,45.54,95.17,143.45
9.58,121.78,100.33,138.73,7.01,30.48,0,2.53,109.65,46.07,473.05,50.26,90,33.78,5.74,11.09,3.48,4.99,12.67,180.86,42.7,94.85,143.55
9.55,121.72,100.56,138.73,7.03,30.54,0,2.52,110.66,46.12,469.01,49.94,89.87,33.21,5.74,11.01,3.48,4.98,12.8,178.83,43.47,94.44,145.25
9.52,121.72,101.04,138.79,7.02,30.53,0,2.56,110.66,46.12,469.3,49.71,89.99,35.81,5.7,11.11,3.39,5,12.72,180.14,41.28,94.66,143.95
9.5,121.72,100.67,138.61,7.17,30.7,0,2.55,110.66,46.12,470.68,49.53,90.57,34.97,5.86,11.22,3.37,5.03,12.9,180.93,41.38,95.78,144.85
9.51,121.14,100.36,138.33,7.03,30.7,0,2.55,110.04,46.78,470.68,49.53,90.57,34.97,5.75,11.32,3.37,4.99,12.88,180.93,41.38,95.78,144.85
9.5,120.11,100.18,138.5,7.16,30.51,0,2.55,110.42,46.97,470.68,49.53,90.57,34.97,5.97,11.26,3.48,4.96,12.73,180.51,41.17,95.28,143.6
9.53,119.76,101.1,139.42,7.18,30.56,0,2.52,111.58,47.3,461.33,49.87,90.82,34.55,6.46,11.42,3.42,4.94,12.84,182.75,41.56,94.79,142.75
9.78,120.11,101.37,140.4,7.35,30.77,0,2.53,112.2,47.62,467.93,50.35,90.62,34.52,6.6,11.51,3.52,4.9,12.82,184.69,42.23,96.59,145.85
9.84,120.97,101.62,141.27,7.35,31.02,0,2.58,112.74,48.05,465.88,49.95,89.81,34.33,6.68,11.54,3.54,4.91,12.86,184.77,42.03,96.86,143.9
9.96,120.74,101.39,140.75,7.31,30.85,0,2.57,112.74,48.05,462.86,49.04,87.84,35.05,7.09,11.78,3.52,5,12.94,184.51,41.86,96.25,146.2
9.7,120.86,101.71,140.92,7.32,30.9,0,2.59,112.9,48.3,467.45,50.52,88.78,34.52,6.93,11.57,3.54,5.04,12.84,185.83,41.86,96.02,144.25
9.69,119.99,101.94,140.63,7.24,30.6,0,2.62,112.44,48.36,478.44,53.01,90.63,34.83,6.7,11.43,3.49,4.98,12.97,184.54,40.56,89.78,141.4
9.67,117.22,100.7,138.9,7.31,30.01,0,2.71,110.89,47.95,483.58,53.53,91.44,35.7,6.77,11.7,3.47,4.9,12.66,183.45,39.4,87.16,136.35
9.61,117.11,100.64,139.54,7.15,30.55,0,2.66,110.27,48.04,485.07,54.34,92.61,36.63,6.78,11.27,3.45,4.78,12.48,181,39.33,87.4,137.55
9.61,116.42,99.87,138.96,7.08,30.52,0,2.62,109.11,47.73,492.51,57.11,95.3,36.24,6.76,11.3,3.49,4.78,12.42,179.14,39.42,88.26,135.9
9.68,116.82,99.68,138.61,7.02,30.53,0,2.6,110.04,48.19,492.68,56.96,94.62,36.03,6.75,11.29,3.46,4.86,12.63,179.55,39.39,88.98,135.45
9.88,116.7,100.1,139.94,6.99,30.62,0,2.6,110.58,48.63,494.08,55.93,94.2,35.73,6.73,11.3,3.45,4.8,12.65,179.9,39.47,88.12,134.65
9.94,117.11,100.1,139.31,7.14,30.59,0,2.56,111.27,48.64,483.57,54.38,91.2,36.04,6.58,11.31,3.45,4.8,12.56,180.3,39.79,87.64,133.7
9.9,117.17,100.97,142.02,7.09,30.75,0,2.57,112.13,49.03,481.83,54.18,88.83,35.39,6.51,11.16,3.36,4.7,12.7,180.88,39.58,86.85,132.95
9.99,117.8,101.35,143,7.27,31.19,0,2.6,113.36,49.42,489.69,54.75,88.71,35.32,6.56,11.19,3.34,4.72,12.65,183.28,39.62,86.58,132.7
9.93,118.55,101.9,142.71,7.24,31.39,0,2.55,113.98,50.19,485.66,54.37,87.81,35.37,6.51,11.14,3.39,4.77,12.73,184.55,39.5,86.66,132.4
9.77,117.97,101.34,142.07,7.3,31.19,0,2.56,112.2,49.99,492.33,56.88,90.38,36.1,6.62,11.17,3.38,4.79,12.78,184.5,39.06,85.77,129.95
9.8,117.86,101.33,141.15,7.2,30.68,0,2.62,111.27,49.42,492.37,56.4,89.91,35.35,6.54,11.14,3.37,4.81,12.62,184.11,38.99,85.95,130.55
9.76,116.42,99.46,140.46,7.2,30.28,0,2.63,110.19,49.08,492.35,57.28,89.99,35.62,6.41,11.13,3.35,4.82,12.65,184.57,39.13,86.5,130.7
9.72,117.68,100.54,142.02,7.22,30.52,0,2.69,110.73,49.11,504.8,59.1,91.84,36.19,6.41,11.13,3.29,4.83,12.65,182.47,39.12,86.35,129.95
9.66,116.3,100.39,140,7.17,30.62,0,2.6,109.8,48.67,504.19,59.53,91.91,36.34,6.5,11.21,3.32,4.83,12.73,182.28,38.86,86.38,129.9
9.56,115.61,99.05,138.61,7.21,30.36,0,2.62,109.03,47.99,495.03,57.95,91.03,35.85,6.75,11.2,3.29,4.84,12.86,183.68,39.38,87.42,132.35
9.63,112.52,97.69,135.62,7.08,30.03,0,2.58,107.41,47.65,492.64,57.72,89.87,36.44,6.7,11.14,3.28,4.82,12.7,192.79,39,86.46,133.3
9.63,111.53,98.17,135.21,7.12,29.8,0,2.53,107.64,48.33,491.44,57.97,90.41,36.56,6.84,11.14,3.28,4.84,12.64,193.73,38.88,86.34,132.15
9.57,112.21,99.28,136.08,7.18,29.86,0,2.54,106.94,47.93,479.48,56.27,88.68,36.23,6.93,11.17,3.28,4.83,12.65,191.73,38.58,86.41,134.05
9.59,112.29,98.74,135.96,7.08,29.73,0,2.52,106.4,47.98,470.68,54.73,87.65,35.37,7.2,11.48,3.26,4.82,12.68,191.73,38.58,86.41,134.05
9.53,111.98,98.86,134.92,7.12,29.84,0,2.51,106.71,47.85,479.23,55.64,88.53,35.37,7.4,11.5,3.27,4.81,12.57,193.92,38.56,86.44,133.5
9.31,110.73,97.8,133.89,7.06,29.55,0,2.54,104.93,47.88,474.91,55.19,88.84,34.95,7.29,11.45,3.29,4.7,12.52,193.76,38.66,86.2,132.8
9.17,112.28,97.71,133.6,7.09,29.7,0,2.5,103.69,48.13,464.48,53.95,88.15,34.99,7.48,11.5,3.28,4.76,12.59,193.52,38.54,86.13,131.75
9.2,113.36,98.25,133.77,7.13,30,0,2.43,104.54,48.75,473.33,54.98,88.51,35.08,7.52,11.51,3.28,4.84,12.58,193.82,37.88,85.61,132.6
9.11,111.28,97.73,132.79,7.05,29.7,0,2.41,103.85,48.16,482.35,55.92,88.53,35.15,7.53,11.44,3.29,4.89,12.67,193.89,37.89,85.92,132.15
9.03,113.58,98.84,134.41,7.11,30.22,0,2.43,105.63,48.61,476.46,54.35,87.59,34.77,7.62,11.66,3.29,4.93,12.86,197.1,38.15,86.75,133
9.43,114.29,99.12,134.41,7.1,30.03,0,2.45,105.55,48.77,475.09,54.35,86.76,34.65,7.57,11.58,3.3,4.94,12.71,196.25,37.82,86.99,130.75
9.44,114.5,99.97,135.67,7.15,30.01,0,2.47,107.17,48.87,475.36,54.72,86.95,34.76,7.61,11.56,3.31,4.95,12.72,198.32,37.91,87.89,131.75
9.34,115.05,100.33,135.73,7.18,30.12,0,2.48,106.86,49.34,468.75,53.65,86.42,33.45,7.86,11.7,3.33,4.98,12.88,196.6,38.11,87.51,132.7
9.29,114.17,100.2,134.75,7.15,30.03,0,2.48,107.02,49.77,471.33,54.77,85.92,33.68,7.79,11.74,3.32,4.95,12.69,197.18,38.52,87.62,132.8
9.19,114.69,101.27,135.5,7.14,30.07,0,2.51,107.41,49.91,475.82,55.94,87.27,34.46,7.8,11.89,3.29,4.97,12.5,198.3,38.54,88.53,131.45
9.36,114.57,101.49,134.75,7.16,30.33,0,2.5,107.72,49.68,485.83,57.09,88.22,34.31,7.69,11.67,3.28,4.96,12.56,198.12,38.5,87.54,132.5
9.28,113.59,101.32,133.25,7.07,30.02,0,2.55,106.63,49.14,492.84,56.98,89.9,34.2,7.71,11.62,3.28,4.97,12.43,198.52,38.61,87.98,137.3
9.23,112.67,100.42,132.27,7.03,29.52,0,2.52,105.86,48.75,497.63,58.23,91.65,34.46,7.53,11.62,3.26,4.97,12.37,196,38.38,87.96,130.5
9.23,112.56,100.59,133.89,7.12,29.55,0,2.5,106.24,49.11,497.8,57.66,91.44,34.47,7.4,11.57,3.14,4.99,12.3,193.67,39.06,88.58,134.5
9.41,114.39,101.84,136.08,7.24,29.85,0,2.5,107.64,48.81,491.21,56.25,88.94,34.69,7.34,11.66,3.18,4.98,12.49,193.38,39.19,89.04,133.95
9.5,121.09,102.87,136.25,7.27,31.64,0,2.51,108.49,49.06,493.54,55.98,89.18,34.91,7.26,11.56,3.2,5.05,12.68,194.46,40.5,89.57,135.65
9.36,119.18,101.89,135.96,7.15,32.08,0,2.53,107.25,48.58,504.01,58.04,93.84,34.48,7.3,11.65,3.2,5.05,12.78,194.59,40.02,89.11,154.05
8.91,117.4,101.68,135.21,7.21,32.16,0,2.53,108.1,48.44,501.19,58.07,93.11,34.78,7.23,11.7,3.18,5.06,12.58,193.35,39.52,88.98,156.8
9.33,116.59,100.58,134.75,7.23,32.04,0,2.61,107.87,48.77,500.17,58.93,93.08,34.65,7.54,11.64,3.21,5.08,12.63,194.75,39.33,89.19,158.35
9.17,115.55,100.34,135.1,7.25,31.99,0,2.59,107.87,48.6,502.88,58.02,90.51,34.13,7.41,11.54,3.22,5.13,12.54,193.51,39.15,91.83,154.25
9.16,116.76,100.76,135.27,7.12,32.27,0,2.56,108.41,49.01,497.03,56.76,90.3,33.91,7.45,11.43,3.28,5.09,12.39,193.04,38.82,90.87,150.95
9.14,117.8,101.75,138.21,7.05,32.88,0,2.6,109.42,49.34,493.3,56.34,91.03,33.88,7.4,11.63,3.29,5.09,12.47,193.82,38.82,90.51,148.45
9.26,117.22,101.59,137.29,7.01,33.13,0,2.63,110.27,49.08,501.55,58.32,92.95,34.12,7.34,11.74,3.35,5.11,12.48,194.97,39.22,89.85,150.75
9.22,117.11,101.78,137.69,6.98,33.28,0,2.6,109.49,49.34,502.61,58.13,91.69,33.92,7.27,11.71,3.32,5.12,12.42,194.68,39.16,90.66,149.45
9.28,115.27,100.72,135.79,6.9,33.28,0,2.48,107.25,48.78,511.22,58.99,95.29,34.39,7.23,11.87,3.29,5.13,12.36,195.39,38.81,90.5,150.15
9.27,114.66,100.49,135.33,7.03,32.49,0,2.45,106.86,48.63,512.04,59.99,97.12,34.01,7.1,11.75,3.3,5.13,12.46,194.69,38.43,90.2,147.95
9.12,113.24,99.91,133.77,6.91,32.5,0,2.46,106.71,48.02,504.15,58.32,94.03,33.19,6.9,11.23,3.28,5.16,12.42,195.65,38.75,90.4,147.65
9.2,114.34,100.51,134.98,6.98,32.84,0,2.5,106.17,48.49,520.58,59.76,92.8,33.41,7.06,11.37,3.3,5.21,12.49,197.19,39.22,90.87,148.75
9.16,114.66,100.79,136.08,6.98,33.31,0,2.47,107.25,49.03,516.56,59.89,94.54,33.37,7.06,11.37,3.29,5.23,12.49,198.7,39.46,91.07,149.3
9.2,115.55,101.34,137.29,7.07,34.07,0,2.61,104.39,48.92,517.1,59.21,92.8,33.47,7.27,11.53,3.32,5.23,13.1,198.57,40.1,91.34,149.45
9.48,115.84,101.15,136.83,7.09,33.96,0,2.58,107.72,48.6,513.14,58.13,91.84,33.62,7.42,11.49,3.34,5.23,13.05,197.08,40.51,89.96,148
9.81,114.26,100.16,135.21,7.02,33.49,0,2.56,107.41,47.95,509.97,58.13,91.97,33.77,7.42,11.44,3.36,5.22,12.96,197.88,40.7,89.74,146
9.99,114.16,99.77,135.39,6.99,33.64,0,2.51,107.64,47.17,510.06,57.81,91.24,33.69,7.22,11.45,3.36,5.22,12.84,198.12,40.72,89.73,145.3
10.11,114.78,100.55,134.92,7.07,33.89,0,2.55,109.73,50.65,507.44,56.32,90.92,33.8,7.11,11.48,3.37,5.22,13.07,196.74,40.71,89.02,146.55
10.15,113.45,100.58,134.41,7.03,33.87,0,2.55,111.04,52.16,514.52,57.06,92.69,33.43,7.04,11.48,3.34,5.24,12.93,196.73,40.42,89.39,146.05
10.21,113.58,100.29,134.46,7.05,33.75,0,2.56,111.58,51.98,513.27,56.3,91.79,33.26,7.32,11.59,3.34,5.23,12.9,196.88,39.96,89.81,145.25
10.21,113.28,100.19,134.58,7.02,33.73,0,2.55,111.51,52.48,513.45,56.35,92.85,33.51,7.32,11.59,3.32,5.24,12.76,198.32,40.33,91,148.25
10.34,111.75,99.64,133.94,6.95,33.73,0,2.53,110.97,51.78,512.46,57.73,93.23,33.69,7.33,11.69,3.35,5.24,12.68,197.88,40.03,89.49,148.8
10.32,111.99,99.29,133.31,6.91,33.45,0,2.51,110.19,51.64,509.76,57.48,95.19,33.68,7.31,11.44,3.32,5.26,12.77,198.4,40.96,89.39,151.8
10.44,114.2,100.27,134.98,7.07,33.59,0,2.51,110.5,52.68,513.43,58.58,95.28,33.68,7.29,11.43,3.33,5.25,12.7,199.54,42.51,89.63,150.5
10.59,114.77,101.63,132.39,7.01,34.05,0,2.52,110.97,53.02,511.54,57.79,93.06,33.39,7.25,11.24,3.32,5.25,12.44,200.1,42.43,89.75,149
10.63,115.19,101.49,130.66,7,34.01,0,2.51,111.74,52.77,515.73,57.8,91.55,33.43,7.27,11.47,3.33,5.22,12.47,200.23,42.7,90.03,148.35
10.61,114.49,100.96,130.54,6.99,33.92,0,2.49,111.27,53.02,512.86,56.46,91.39,33.34,7.33,11.42,3.36,5.21,12.44,200.23,42.7,90.03,148.35
10.48,115.11,100.57,131.7,7.06,33.85,0,2.51,110.97,52.82,510.33,56.52,92.37,33.36,7.3,11.43,3.36,5.24,12.38,201.09,42.85,88.88,149.5
10.53,115.38,100.76,132.45,7.03,33.69,0,2.47,110.89,52.46,505.11,56.06,91.44,33.41,7.24,11.37,3.35,5.32,12.27,202.52,43.23,88.72,149.55
10.5,116.19,100.81,131.46,7.05,33.89,0,2.62,111.58,52.2,501.25,55.36,90.78,33.21,7.24,11.18,3.35,5.32,12.45,202.21,43.41,87.94,148.6
10.52,116.65,101.4,133.14,7.12,34.06,0,2.67,111.97,52.25,494.06,54,89.47,33.14,7.23,11.19,3.36,5.31,12.41,202.39,43.46,88.25,150.45
10.69,116.93,102.32,134.58,7.17,33.97,0,2.64,112.51,52.39,498.17,55.06,90.04,32.98,7.36,11.11,3.37,5.35,12.45,203.7,43.72,89.41,152.35
10.61,117.28,102.04,133.48,7.09,33.89,0,2.63,112.05,52.67,505.04,55.82,91.18,32.8,7.43,11.13,3.38,5.55,12.4,204.62,43.5,89.7,154.35
10.49,118.03,102.23,134.64,7.1,33.63,0,2.64,111.74,52.77,512.04,57.24,92.76,32.91,7.57,11.14,3.37,5.6,12.39,204.45,43.42,88.58,154.1
10.43,118.09,102.08,133.94,7.03,32.9,0,2.69,112.13,53.01,511.08,57.07,91.57,32.7,7.49,11.18,3.37,5.6,12.36,204.38,43.37,87.77,153.5
10.32,116.7,101.07,132.73,7.01,32.68,0,2.69,110.11,52.91,510.17,57.21,91.52,32.57,7.55,11.28,3.28,5.67,12.25,203.4,43.13,87.25,152.2
10.45,116.07,101.01,133.25,7.03,32.94,0,2.69,110.04,52.39,519.68,58.76,91.82,32.94,7.61,11.38,3.27,5.6,12.25,203.9,43.38,86.13,152.75
10.53,115.84,97.2,132.62,7.06,32.78,0,2.69,109.49,51.04,517.58,58.81,93.22,32.6,7.62,11.41,3.28,5.65,12.25,202.33,43.4,85.47,152.45
10.52,113.72,97.45,130.77,7.04,31.87,0,2.8,109.42,51.38,516.8,58.87,98.94,32.78,7.5,11.45,3.27,5.68,12.28,201.77,43.46,83.48,152.6
10.29,113.07,96.66,132.27,7.04,31.79,0,2.76,108.49,51.75,519.47,58.03,100.86,32.27,7.31,11.45,3.2,5.64,12.23,201.02,43.19,82.81,151.6
10.25,112.45,96.52,133.02,7.05,32,0,2.78,107.72,51.75,520.68,58.41,100.85,32.07,7.03,11.53,3.19,5.69,12.2,201.81,43.38,82.81,154.25
10.25,113.86,96.67,133.83,7.08,32,0,2.68,107.95,52.16,528.3,59.8,104.6,31.86,6.97,12.23,3.18,5.68,12.12,200.61,43.44,82.22,153
10.07,114.54,96.58,135.33,7.18,31.9,0,2.65,107.87,52.19,530.43,59.25,104.23,31.78,7.03,12.11,3.18,5.6,12.19,200.45,43.17,82.35,161.65
10,115.2,95.61,134.23,7.19,31.77,0,2.67,106.48,51.77,529.31,59.05,104.46,31.83,6.86,11.75,3.23,5.57,12.39,199.8,42.79,81.86,161.9
9.97,116.36,95.8,134.52,7.18,32.06,0,2.67,106.94,52.51,539.98,59.83,107.7,31.86,6.85,12.14,3.24,5.56,12.4,199.3,43.53,81.35,159
10.02,116.82,96.47,134.98,7.08,32.22,0,2.71,106.63,53.39,539.13,59.66,105.71,32.09,6.84,11.71,3.24,5.56,12.51,199.45,43.44,81.64,156.2
10.16,116.82,97.31,136.88,7.12,32.39,0,2.71,107.87,53.86,539.13,59.66,105.71,32.09,6.84,11.71,3.24,5.47,12.47,199.35,42.93,82.02,157.8
10.03,117.4,97.1,137,7.16,32.55,0,2.73,107.79,54,539.13,59.66,105.71,32.09,6.99,11.94,3.23,5.66,12.87,199.08,43.15,81.92,161.5
10.14,118.49,97.21,137.87,7.17,32.87,0,2.71,108.02,54.35,539.13,59.66,105.71,32.09,6.84,12.01,3.2,5.6,12.7,201.18,43.32,83.18,167.15
10.12,120.39,97.68,138.33,7.14,33.18,0,2.71,108.57,55.96,539.13,59.66,105.71,32.09,6.83,11.97,3.2,5.61,12.53,209.25,43.62,83.11,167.6
