"A.TWEX.P.","B.ABI.P.","H.HB.P.","F.RCD.P.","I.CPR.P.","DGE.P.","K.BBCA.P.","K.CHRE.P.","DK.CAB.P.","DK.RBR.P.","CN.KCM.P.","CN.YWU.P.","CN.JYB.P.","CN.TTB.P.","IN.MLC.P.","IN.UBB.P.","MX.BEC.P.","BR.AVS.P.","CL.CVZ.P.","U.STZ.P.","U.BF.B.P.","U.TAP.P.","U.SAM.P."
5.77,129.62,91.07,118.15,4.58,23.91,0,1.7,90.38,41.11,223.41,26.17,68.22,32.81,8.64,13.06,0,4.72,10.75,139.28,40.55,93.72,205.49
5.9,130.43,91.09,119.7,4.64,24.06,0,1.74,93.09,42.71,222.79,25.96,67.14,32.82,8.53,12.85,0,4.79,11.1,142.96,41.31,94.16,207.76
5.97,133.89,91.82,122.18,4.66,24.08,0,1.77,94.1,42.65,224.82,26.6,67.86,33.26,8.52,12.93,0,4.8,11.08,139.89,40.6,93.72,207.35
6.04,132.33,90.28,120.11,4.62,23.74,0,1.77,93.63,42.62,225.88,27.03,69.78,33.54,8.62,13.16,0,4.7,10.87,138.57,40.11,92.55,205.24
6.03,130.31,88.92,118.43,4.54,23.71,0,1.79,93.17,41.4,236.45,28.84,73.68,35.92,8.73,13.29,0,4.76,10.83,141.4,40.21,92.73,204.34
5.95,129.74,89.36,118.03,4.43,23.71,0,1.87,93.01,41.8,234.37,28.84,71.84,35.27,8.63,13.16,0,4.74,10.89,142.63,40.84,93.14,206.11
5.9,132.56,90.94,120.45,4.56,24.34,0,1.88,94.41,41.79,232.26,28.62,71.08,35.31,8.65,13.17,0,4.81,11.16,143.69,41.27,93.96,203.83
5.98,132.56,91.54,121.09,4.56,24.38,0,1.87,94.41,41.79,234.11,28.8,70.72,34.95,8.65,13.33,0,4.81,11.06,143.03,40.76,93.98,205.4
5.98,132.56,91.54,121.09,4.56,24.38,0,1.87,94.41,41.79,233.82,28.25,69.98,35.15,8.65,13.33,0,4.81,11.06,143.03,40.76,93.98,205.4
5.98,132.16,90.42,119.93,4.53,24.38,0,1.86,94.48,42.33,228.22,27.5,69.27,34.1,8.74,13.53,0,4.79,11.17,143.27,40.78,93.44,203.87
5.98,134.58,92.64,122.47,4.66,24.69,0,1.87,95.1,42.71,228.95,28.36,69.73,34.3,8.51,13.46,0,4.81,11.28,144.25,40.8,94.89,204.25
5.98,133.54,92,122.3,4.61,24.69,0,1.87,94.79,43.35,227.94,28.7,69.68,34.78,8.34,13.35,0,4.72,11.38,144.17,40.57,94.54,202.65
6.07,131.93,90.84,121.32,4.61,24.38,0,1.95,94.79,43.35,227.25,28.41,71.39,34.58,8.53,13.51,0,4.72,11.38,142.44,39.71,93.92,201.91
6.07,131.93,90.84,121.32,4.61,24.38,0,1.95,94.79,43.35,227.25,28.41,71.39,34.58,8.58,13.46,0,4.72,11.38,142.44,39.71,93.92,201.91
5.98,129.68,89.71,117.63,4.47,23.87,0,1.89,93.17,41.83,218.74,26.74,66.74,32.32,8.49,13.4,0,4.55,11.15,140.69,38.88,92.29,199.25
5.82,131.46,90.54,117.63,4.55,24.25,0,1.89,94.41,41.94,221.65,27.08,69.77,32.12,8.4,13.55,0,4.62,11.15,143.62,38.9,92.64,194.6
5.84,129.74,90.04,117.05,4.48,24.18,0,1.89,92.01,41.58,220.99,27.68,69.51,32.76,8.27,13.43,0,4.57,10.98,143.12,38.15,90.8,190.48
5.78,127.54,87.9,115.3,4.37,23.65,0,1.77,91.93,42.02,210.62,26.33,63.9,31.01,7.93,13.19,0,4.45,10.87,149.61,37.34,90.35,192.14
5.77,124.03,86.69,114.35,4.36,23.77,0,1.79,91,41.71,213.12,26.99,63.55,31.75,8.01,13.02,0,4.51,10.76,147,37.21,89.22,177.52
5.71,126.51,87.62,114.41,4.41,23.71,0,1.8,89.61,40.86,208.16,25.07,61.66,30.92,7.86,12.79,0,4.44,10.4,147.05,37.56,88.47,171.31
5.8,125.58,88.77,115.49,4.51,24.13,0,1.78,88.14,42.44,204.96,25.08,62.54,30.55,8.08,12.56,0,4.49,10.23,147.04,37.83,89.58,172.42
5.85,126.1,88.97,115.95,4.58,24.32,0,1.78,86.36,42.67,208.07,25.11,61.31,30.08,7.98,12.42,0,4.45,10.2,144.13,36.6,87.59,167.27
5.71,122.53,86.64,113.75,4.44,23.77,0,1.76,84.89,41.09,213.32,25.31,63.41,30.25,7.88,12.45,0,4.45,9.99,143.25,37.1,86.74,168.8
5.67,122.82,86.21,111.96,4.38,23.52,0,1.75,82.26,40.07,207.26,24.58,62.07,29.17,7.64,12.28,0,4.38,10.21,142.75,36.8,86.03,164
5.56,123.91,86.43,111.3,4.33,23.37,0,1.71,82.02,39.84,207.71,24.93,62.32,29.1,7.39,11.82,0,4.29,10.08,142.75,36.8,86.03,164
5.59,126.68,87.45,113.86,4.43,24.01,0,1.74,82.95,40.46,218.97,25.94,63.97,29.89,7.79,11.99,0,4.43,10.04,145.62,37.05,87.2,166.16
5.71,121.43,85.54,111.8,4.27,23.35,0,1.72,80.24,39.65,210.72,25.63,61.45,29.25,7.81,11.42,0,4.37,10.03,145.14,36.74,86.27,163.72
5.78,123.97,87.56,115.61,4.36,24,0,1.47,82.02,40.41,208.57,25.04,60.88,28.9,7.63,11.24,0,4.31,10,143.45,36.24,86.57,163.95
6.79,128.52,88.64,119.01,4.43,24.4,0,1.54,83.65,42.17,211.16,25.08,60.52,29.35,7.86,11.25,0,4.45,10.34,148.76,36.88,88.9,164.62
6.44,129.79,89.43,118.43,4.48,24.19,0,1.45,84.04,42.14,211.19,25.45,62.43,29.37,7.7,11.18,0,4.45,10.36,148.25,36.86,87.6,163.55
6.44,130.25,89.14,119.7,4.53,24.59,0,1.44,85.43,42.71,207.27,24.53,62.4,27.59,7.7,11.18,0,4.45,10.46,148.38,37.5,87.76,169.5
6.53,131.46,90.41,119.93,4.56,24.52,0,1.44,85.89,42.62,208.23,23.9,60.93,27.69,7.38,11.03,0,4.71,10.61,146.11,37.1,87.75,171.87
