"","A:ASBX(FFNOSH)","D:RHM(FFNOSH)","I:LDO(FFNOSH)","F:CSF(FFNOSH)","BA.(FFNOSH)","RR.(FFNOSH)","TK:AES(FFNOSH)","IS:ESLT(FFNOSH)","U:NOC(FFNOSH)","U:RTX(FFNOSH)","U:HII(FFNOSH)","U:LMT(FFNOSH)","@AXON(FFNOSH)","@MANT(FFNOSH)","U:BWXT(FFNOSH)","U:CW(FFNOSH)","@SWBI(FFNOSH)","U:GD(FFNOSH)","U:RGR(FFNOSH)","@POWW(FFNOSH)","U:CACI(FFNOSH)","@HON(FFNOSH)"
"10/28/15","269080","39599","390558","101976","2815350","1638646",NA,"20996","182383","887021","40761","278917","42090","19365","84920","37887","47820","258206","14674","101","19291","770691"
"10/29/15","269080","39599","390558","101976","2815350","1638646",NA,"20996","182383","887021","40761","278917","42090","19365","84920","37887","47820","258206","14674","101","19291","770691"
"10/30/15","269080","39599","390558","101976","2815350","1638646",NA,"20996","182383","887021","40761","278917","42090","19365","84920","37887","47820","258206","14674","101","19291","770691"
"11/02/15","269080","43559","390558","103537","2815831","1638655",NA,"20996","182383","887021","40761","278917","42090","19365","84920","37887","47820","258206","14674","101","19291","770691"
"11/03/15","269080","43559","390558","103537","2815831","1638655",NA,"20996","182383","887021","40761","278917","42090","19365","84920","37887","47820","258206","14674","101","19291","770691"
"11/04/15","269080","43559","390558","103537","2815831","1638655",NA,"20996","182383","887021","40761","278917","42090","19365","84920","37887","47820","258206","14674","101","19291","770691"
"11/05/15","269080","43559","390558","103537","2815831","1638655",NA,"20996","182383","887021","40761","278917","42090","19365","84920","37887","47820","258206","14674","101","19291","770691"
"11/06/15","269080","43559","390558","103537","2815831","1638655",NA,"20996","182383","887021","40761","278917","42090","19365","84920","37887","47820","258206","14674","101","19291","770691"
"11/09/15","269080","43559","390558","103537","2815831","1638655",NA,"20996","182383","887021","40761","278917","42090","19365","84920","37887","47820","258206","14674","101","19291","770691"
"11/10/15","269080","43559","390558","103537","2815831","1638655",NA,"20996","182383","887021","40761","278917","42090","19365","84920","37887","47820","258206","14674","101","19291","770691"
"11/11/15","269080","43559","390558","103537","2815831","1638655",NA,"20996","182383","887021","40761","278917","42090","19365","84920","37887","47820","258206","14674","101","19291","770691"
"11/12/15","269080","43559","390558","103537","2815831","1638655",NA,"20996","182383","887021","40761","278917","42090","19365","84920","37887","47820","258206","14674","101","19291","770691"
"11/13/15","269080","43559","390558","103537","2815831","1638655",NA,"20996","182383","887021","40761","278917","42090","19365","84920","37887","47820","258206","14674","101","19291","770691"
"11/16/15","269080","43559","390558","103537","2815831","1638655",NA,"20996","182383","887021","40761","278917","42090","19365","84920","37887","47820","258206","14674","101","19291","770691"
"11/17/15","269080","43559","390558","103537","2815831","1638655",NA,"20996","182383","887021","40761","278917","42090","19365","84920","37887","47820","258206","14674","101","19291","770691"
"11/18/15","269080","43559","390558","103537","2815831","1638655",NA,"20996","182383","887021","40761","278917","42090","19365","84920","37887","47820","258206","14674","101","19291","770691"
"11/19/15","269080","43559","390558","103537","2815831","1638655",NA,"20996","182383","887021","40761","278917","42090","19365","84920","37887","47820","258206","14674","101","19291","770691"
"11/20/15","269080","43559","390558","103537","2815831","1638655",NA,"20996","182383","887021","40761","278917","42090","19365","84920","37887","47820","258206","14674","101","19291","770691"
"11/23/15","269080","43559","390558","103537","2815831","1638655",NA,"20996","182383","887021","40761","278917","42090","19365","84920","37887","47820","258206","14674","101","19291","770691"
"11/24/15","269080","43559","390558","103537","2815831","1638655",NA,"20996","182383","887021","40761","278917","42090","19365","84920","37887","47820","258206","14674","101","19291","770691"
"11/25/15","269080","43559","390558","103537","2815831","1638655",NA,"20996","182383","887021","40761","278917","42090","19365","84920","37887","47820","258206","14674","101","19291","770691"
"11/26/15","269080","43559","390558","103537","2815831","1638655",NA,"20996","182383","887021","40761","278917","42090","19365","84920","37887","47820","258206","14674","101","19291","770691"
"11/27/15","269080","43559","390558","103537","2815831","1638655",NA,"20996","182383","887021","40761","278917","42090","19365","84920","37887","47820","258206","14674","101","19291","770691"
"11/30/15","269080","43559","390558","103537","2815831","1638655",NA,"20996","182383","887021","40761","278917","42090","19365","84920","37887","47820","258206","14674","101","19291","770691"
"12/01/15","265416","43559","390558","103537","2816292","1637289",NA,"23150","181303","887021","40887","278991","41088","20746","91952","37719","51350","258327","14654","101","18237","770691"
"12/02/15","265416","43559","390558","103537","2816292","1637289",NA,"23150","181303","887021","40887","278991","41088","20746","91952","37719","51350","258327","14654","101","18237","770691"
"12/03/15","265416","43559","390558","103537","2816292","1637289",NA,"23150","181303","887021","40887","278991","41088","20746","91952","37719","51350","258327","14654","101","18237","770691"
"12/04/15","265416","43559","390558","103537","2816292","1637289",NA,"23150","181303","887021","40887","278991","41088","20746","91952","37719","51350","258327","14654","101","18237","770691"
"12/07/15","265416","43559","390558","103537","2816292","1637289",NA,"23150","181303","887021","40887","278991","41088","20746","91952","37719","51350","258327","14654","101","18237","770691"
"12/08/15","265416","43559","390558","103537","2816292","1637289",NA,"23150","181303","887021","40887","278991","41088","20746","91952","37719","51350","258327","14654","101","18237","770691"
"12/09/15","265416","43559","390558","103537","2816292","1637289",NA,"23150","181303","887021","40887","278991","41088","20746","91952","37719","51350","258327","14654","101","18237","770691"
"12/10/15","265416","43559","390558","103537","2816292","1637289",NA,"23150","181303","887021","40887","278991","41088","20746","91952","37719","51350","258327","14654","101","18237","770691"
"12/11/15","265416","43559","390558","103537","2816292","1637289",NA,"23150","181303","887021","40887","278991","41088","20746","91952","37719","51350","258327","14654","101","18237","770691"
"12/14/15","265416","43559","390558","103537","2816292","1637289",NA,"23150","181303","887021","40887","278991","41088","20746","91952","37719","51350","258327","14654","101","18237","770691"
"12/15/15","265416","43559","390558","103537","2816292","1637289",NA,"23150","181303","887021","40887","278991","41088","20746","91952","37719","51350","258327","14654","101","18237","770691"
"12/16/15","265416","43559","390558","103537","2816292","1637289",NA,"23150","181303","887021","40887","278991","41088","20746","91952","37719","51350","258327","14654","101","18237","770691"
"12/17/15","265416","43559","390558","103537","2816292","1637289",NA,"23150","181303","887021","40887","278991","41088","20746","91952","37719","51350","258327","14654","101","18237","770691"
"12/18/15","265416","43559","390558","103537","2816292","1637289",NA,"23150","181303","887021","40887","278991","41088","20746","91952","37719","51350","258327","14654","101","18237","770691"
"12/21/15","265416","43559","390558","103537","2816292","1637289",NA,"23150","181303","887021","40887","278991","41088","20746","91952","37719","51350","258327","14654","101","18237","770691"
"12/22/15","265416","43559","390558","103537","2816292","1637289",NA,"23150","181303","887021","40887","278991","41088","20746","91952","37719","51350","258327","14654","101","18237","770691"
"12/23/15","265416","43559","390558","103537","2816292","1637289",NA,"23150","181303","887021","40887","278991","41088","20746","91952","37719","51350","258327","14654","101","18237","770691"
"12/24/15","265416","43559","390558","103537","2816292","1637289",NA,"23150","181303","887021","40887","278991","41088","20746","91952","37719","51350","258327","14654","101","18237","770691"
"12/25/15","265416","43559","390558","103537","2816292","1637289",NA,"23150","181303","887021","40887","278991","41088","20746","91952","37719","51350","258327","14654","101","18237","770691"
"12/28/15","265416","43559","390558","103537","2816292","1637289",NA,"23150","181303","887021","40887","278991","41088","20746","91952","37719","51350","258327","14654","101","18237","770691"
"12/29/15","265416","43559","390558","103537","2816292","1637289",NA,"23150","181303","887021","40887","278991","41088","20746","91952","37719","51350","258327","14654","101","18237","770691"
"12/30/15","265416","43559","390558","103537","2816292","1637289",NA,"23150","181303","887021","40887","278991","41088","20746","91952","37719","51350","258327","14654","101","18237","770691"
"12/31/15","265416","43559","390558","103537","2816292","1637289",NA,"23150","181303","887021","40887","278991","41088","20746","91952","37719","51350","258327","14654","101","18237","770691"
"01/01/16","236883","43559","390558","103643","2816628","1547815",NA,"23150","180943","836432","40887","277183","41088","20746","90262","36527","51900","253361","14654","101","18237","769323"
"01/04/16","236883","43559","390558","103643","2816628","1547815",NA,"23150","180943","836432","40887","277183","41088","20746","90262","36527","51900","253361","14654","101","18237","769323"
"01/05/16","236883","43559","390558","103643","2816628","1547815",NA,"23150","180943","836432","40887","277183","41088","20746","90262","36527","51900","253361","14654","101","18237","769323"
"01/06/16","236883","43559","390558","103643","2816628","1547815",NA,"23150","180943","836432","40887","277183","41088","20746","90262","36527","51900","253361","14654","101","18237","769323"
"01/07/16","236883","43559","390558","103643","2816628","1547815",NA,"23150","180943","836432","40887","277183","41088","20746","90262","36527","51900","253361","14654","101","18237","769323"
"01/08/16","236883","43559","390558","103643","2816628","1547815",NA,"23150","180943","836432","40887","277183","41088","20746","90262","36527","51900","253361","14654","101","18237","769323"
"01/11/16","236883","43559","390558","103643","2816628","1547815",NA,"23150","180943","836432","40887","277183","41088","20746","90262","36527","51900","253361","14654","101","18237","769323"
"01/12/16","236883","43559","390558","103643","2816628","1547815",NA,"23150","180943","836432","40887","277183","41088","20746","90262","36527","51900","253361","14654","101","18237","769323"
"01/13/16","236883","43559","390558","103643","2816628","1547815",NA,"23150","180943","836432","40887","277183","41088","20746","90262","36527","51900","253361","14654","101","18237","769323"
"01/14/16","236883","43559","390558","103643","2816628","1547815",NA,"23150","180943","836432","40887","277183","41088","20746","90262","36527","51900","253361","14654","101","18237","769323"
"01/15/16","236883","43559","390558","103643","2816628","1547815",NA,"23150","180943","836432","40887","277183","41088","20746","90262","36527","51900","253361","14654","101","18237","769323"
"01/18/16","236883","43559","390558","103643","2816628","1547815",NA,"23150","180943","836432","40887","277183","41088","20746","90262","36527","51900","253361","14654","101","18237","769323"
"01/19/16","236883","43559","390558","103643","2816628","1547815",NA,"23150","180943","836432","40887","277183","41088","20746","90262","36527","51900","253361","14654","101","18237","769323"
"01/20/16","236883","43559","390558","103643","2816628","1547815",NA,"23150","180943","836432","40887","277183","41088","20746","90262","36527","51900","253361","14654","101","18237","769323"
"01/21/16","236883","43559","390558","103643","2816628","1547815",NA,"23150","180943","836432","40887","277183","41088","20746","90262","36527","51900","253361","14654","101","18237","769323"
"01/22/16","236883","43559","390558","103643","2816628","1547815",NA,"23150","180943","836432","40887","277183","41088","20746","90262","36527","51900","253361","14654","101","18237","769323"
"01/25/16","236883","43559","390558","103643","2816628","1547815",NA,"23150","180943","836432","40887","277183","41088","20746","90262","36527","51900","253361","14654","101","18237","769323"
"01/26/16","236883","43559","390558","103643","2816628","1547815",NA,"23150","180943","836432","40887","277183","41088","20746","90262","36527","51900","253361","14654","101","18237","769323"
"01/27/16","236883","43559","390558","103643","2816628","1547815",NA,"23150","180943","836432","40887","277183","41088","20746","90262","36527","51900","253361","14654","101","18237","769323"
"01/28/16","236883","43559","390558","103643","2816628","1547815",NA,"23150","180943","836432","40887","277183","41088","20746","90262","36527","51900","253361","14654","101","18237","769323"
"01/29/16","236883","43559","390558","103643","2816628","1547815",NA,"23150","180943","836432","40887","277183","41088","20746","90262","36527","51900","253361","14654","101","18237","769323"
"02/01/16","215808","43559","390558","103643","2816948","1648784",NA,"23150","180943","836730","40726","276470","41140","20753","90262","36527","51900","253361","14899","101","18247","761335"
"02/02/16","215808","43559","390558","103643","2816948","1648784",NA,"23150","180943","836730","40726","276470","41140","20753","90262","36527","51900","253361","14899","101","18247","761335"
"02/03/16","215808","43559","390558","103643","2816948","1648784",NA,"23150","180943","836730","40726","276470","41140","20753","90262","36527","51900","253361","14899","101","18247","761335"
"02/04/16","215808","43559","390558","103643","2816948","1648784",NA,"23150","180943","836730","40726","276470","41140","20753","90262","36527","51900","253361","14899","101","18247","761335"
"02/05/16","215808","43559","390558","103643","2816948","1648784",NA,"23150","180943","836730","40726","276470","41140","20753","90262","36527","51900","253361","14899","101","18247","761335"
"02/08/16","215808","43559","390558","103643","2816948","1648784",NA,"23150","180943","836730","40726","276470","41140","20753","90262","36527","51900","253361","14899","101","18247","761335"
"02/09/16","215808","43559","390558","103643","2816948","1648784",NA,"23150","180943","836730","40726","276470","41140","20753","90262","36527","51900","253361","14899","101","18247","761335"
"02/10/16","215808","43559","390558","103643","2816948","1648784",NA,"23150","180943","836730","40726","276470","41140","20753","90262","36527","51900","253361","14899","101","18247","761335"
"02/11/16","215808","43559","390558","103643","2816948","1648784",NA,"23150","180943","836730","40726","276470","41140","20753","90262","36527","51900","253361","14899","101","18247","761335"
"02/12/16","215808","43559","390558","103643","2816948","1648784",NA,"23150","180943","836730","40726","276470","41140","20753","90262","36527","51900","253361","14899","101","18247","761335"
"02/15/16","215808","43559","390558","103643","2816948","1648784",NA,"23150","180943","836730","40726","276470","41140","20753","90262","36527","51900","253361","14899","101","18247","761335"
"02/16/16","215808","43559","390558","103643","2816948","1648784",NA,"23150","180943","836730","40726","276470","41140","20753","90262","36527","51900","253361","14899","101","18247","761335"
"02/17/16","215808","43559","390558","103643","2816948","1648784",NA,"23150","180943","836730","40726","276470","41140","20753","90262","36527","51900","253361","14899","101","18247","761335"
"02/18/16","215808","43559","390558","103643","2816948","1648784",NA,"23150","180943","836730","40726","276470","41140","20753","90262","36527","51900","253361","14899","101","18247","761335"
"02/19/16","215808","43559","390558","103643","2816948","1648784",NA,"23150","180943","836730","40726","276470","41140","20753","90262","36527","51900","253361","14899","101","18247","761335"
"02/22/16","215808","43559","390558","103643","2816948","1648784",NA,"23150","180943","836730","40726","276470","41140","20753","90262","36527","51900","253361","14899","101","18247","761335"
"02/23/16","215808","43559","390558","103643","2816948","1648784",NA,"23150","180943","836730","40726","276470","41140","20753","90262","36527","51900","253361","14899","101","18247","761335"
"02/24/16","215808","43559","390558","103643","2816948","1648784",NA,"23150","180943","836730","40726","276470","41140","20753","90262","36527","51900","253361","14899","101","18247","761335"
"02/25/16","215808","43559","390558","103643","2816948","1648784",NA,"23150","180943","836730","40726","276470","41140","20753","90262","36527","51900","253361","14899","101","18247","761335"
"02/26/16","215808","43559","390558","103643","2816948","1648784",NA,"23150","180943","836730","40726","276470","41140","20753","90262","36527","51900","253361","14899","101","18247","761335"
"02/29/16","215808","43559","390558","103643","2816948","1648784",NA,"23150","180943","836730","40726","276470","41140","20753","90262","36527","51900","253361","14899","101","18247","761335"
"03/01/16","215808","43559","390558","103643","2977077","1647992",NA,"23155","181172","836866","41067","278225","41165","20737","93473","37213","52080","232900","14974","101","18828","762115"
"03/02/16","215808","43559","390558","103643","2977077","1647992",NA,"23155","181172","836866","41067","278225","41165","20737","93473","37213","52080","232900","14974","101","18828","762115"
"03/03/16","215808","43559","390558","103643","2977077","1647992",NA,"23155","181172","836866","41067","278225","41165","20737","93473","37213","52080","232900","14974","101","18828","762115"
"03/04/16","215808","43559","390558","103643","2977077","1647992",NA,"23155","181172","836866","41067","278225","41165","20737","93473","37213","52080","232900","14974","101","18828","762115"
"03/07/16","215808","43559","390558","103643","2977077","1647992",NA,"23155","181172","836866","41067","278225","41165","20737","93473","37213","52080","232900","14974","101","18828","762115"
"03/08/16","215808","43559","390558","103643","2977077","1647992",NA,"23155","181172","836866","41067","278225","41165","20737","93473","37213","52080","232900","14974","101","18828","762115"
"03/09/16","215808","43559","390558","103643","2977077","1647992",NA,"23155","181172","836866","41067","278225","41165","20737","93473","37213","52080","232900","14974","101","18828","762115"
"03/10/16","215808","43559","390558","103643","2977077","1647992",NA,"23155","181172","836866","41067","278225","41165","20737","93473","37213","52080","232900","14974","101","18828","762115"
"03/11/16","215808","43559","390558","103643","2977077","1647992",NA,"23155","181172","836866","41067","278225","41165","20737","93473","37213","52080","232900","14974","101","18828","762115"
"03/14/16","215808","43559","390558","103643","2977077","1647992",NA,"23155","181172","836866","41067","278225","41165","20737","93473","37213","52080","232900","14974","101","18828","762115"
"03/15/16","215808","43559","390558","103643","2977077","1647992",NA,"23155","181172","836866","41067","278225","41165","20737","93473","37213","52080","232900","14974","101","18828","762115"
"03/16/16","215808","43559","390558","103643","2977077","1647992",NA,"23155","181172","836866","41067","278225","41165","20737","93473","37213","52080","232900","14974","101","18828","762115"
"03/17/16","215808","43559","390558","103643","2977077","1647992",NA,"23155","181172","836866","41067","278225","41165","20737","93473","37213","52080","232900","14974","101","18828","762115"
"03/18/16","215808","43559","390558","103643","2977077","1647992",NA,"23155","181172","836866","41067","278225","41165","20737","93473","37213","52080","232900","14974","101","18828","762115"
"03/21/16","215808","43559","390558","103643","2977077","1647992",NA,"23155","181172","836866","41067","278225","41165","20737","93473","37213","52080","232900","14974","101","18828","762115"
"03/22/16","215808","43559","390558","103643","2977077","1647992",NA,"23155","181172","836866","41067","278225","41165","20737","93473","37213","52080","232900","14974","101","18828","762115"
"03/23/16","215808","43559","390558","103643","2977077","1647992",NA,"23155","181172","836866","41067","278225","41165","20737","93473","37213","52080","232900","14974","101","18828","762115"
"03/24/16","215808","43559","390558","103643","2977077","1647992",NA,"23155","181172","836866","41067","278225","41165","20737","93473","37213","52080","232900","14974","101","18828","762115"
"03/25/16","215808","43559","390558","103643","2977077","1647992",NA,"23155","181172","836866","41067","278225","41165","20737","93473","37213","52080","232900","14974","101","18828","762115"
"03/28/16","215808","43559","390558","103643","2977077","1647992",NA,"23155","181172","836866","41067","278225","41165","20737","93473","37213","52080","232900","14974","101","18828","762115"
"03/29/16","215808","43559","390558","103643","2977077","1647992",NA,"23155","181172","836866","41067","278225","41165","20737","93473","37213","52080","232900","14974","101","18828","762115"
"03/30/16","215808","43559","390558","103643","2977077","1647992",NA,"23155","181172","836866","41067","278225","41165","20737","93473","37213","52080","232900","14974","101","18828","762115"
"03/31/16","215808","43559","390558","103643","2977077","1647992",NA,"23155","181172","836866","41067","278225","41165","20737","93473","37213","52080","232900","14974","101","18828","762115"
"04/01/16","216536","43559","390558","103643","2981107","1648278",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18828","762115"
"04/04/16","216536","43559","390558","103643","2981107","1648278",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18828","762115"
"04/05/16","216536","43559","390558","103643","2981107","1648278",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18828","762115"
"04/06/16","216536","43559","390558","103643","2981107","1648278",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18828","762115"
"04/07/16","216536","43559","390558","103643","2981107","1648278",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18828","762115"
"04/08/16","216536","43559","390558","103643","2981107","1648278",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18828","762115"
"04/11/16","216536","43559","390558","103643","2981107","1648278",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18828","762115"
"04/12/16","216536","43559","390558","103643","2981107","1648278",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18828","762115"
"04/13/16","216536","43559","390558","103643","2981107","1648278",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18828","762115"
"04/14/16","216536","43559","390558","103643","2981107","1648278",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18828","762115"
"04/15/16","216536","43559","390558","103643","2981107","1648278",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18828","762115"
"04/18/16","216536","43559","390558","103643","2981107","1648278",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18828","762115"
"04/19/16","216536","43559","390558","103643","2981107","1648278",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18828","762115"
"04/20/16","216536","43559","390558","103643","2981107","1648278",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18828","762115"
"04/21/16","216536","43559","390558","103643","2981107","1648278",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18828","762115"
"04/22/16","216536","43559","390558","103643","2981107","1648278",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18828","762115"
"04/25/16","216536","43559","390558","103643","2981107","1648278",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18828","762115"
"04/26/16","216536","43559","390558","103643","2981107","1648278",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18828","762115"
"04/27/16","216536","43559","390558","103643","2981107","1648278",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18828","762115"
"04/28/16","216536","43559","390558","103643","2981107","1648278",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18828","762115"
"04/29/16","216536","43559","390558","103643","2981107","1648278",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18828","762115"
"05/02/16","230351","43559","390558","104177","2981486","1740243",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18895","762115"
"05/03/16","230351","43559","390558","104177","2981486","1740243",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18895","762115"
"05/04/16","230351","43559","390558","104177","2981486","1740243",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18895","762115"
"05/05/16","230351","43559","390558","104177","2981486","1740243",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18895","762115"
"05/06/16","230351","43559","390558","104177","2981486","1740243",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18895","762115"
"05/09/16","230351","43559","390558","104177","2981486","1740243",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18895","762115"
"05/10/16","230351","43559","390558","104177","2981486","1740243",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18895","762115"
"05/11/16","230351","43559","390558","104177","2981486","1740243",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18895","762115"
"05/12/16","230351","43559","390558","104177","2981486","1740243",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18895","762115"
"05/13/16","230351","43559","390558","104177","2981486","1740243",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18895","762115"
"05/16/16","230351","43559","390558","104177","2981486","1740243",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18895","762115"
"05/17/16","230351","43559","390558","104177","2981486","1740243",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18895","762115"
"05/18/16","230351","43559","390558","104177","2981486","1740243",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18895","762115"
"05/19/16","230351","43559","390558","104177","2981486","1740243",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18895","762115"
"05/20/16","230351","43559","390558","104177","2981486","1740243",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18895","762115"
"05/23/16","230351","43559","390558","104177","2981486","1740243",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18895","762115"
"05/24/16","230351","43559","390558","104177","2981486","1740243",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18895","762115"
"05/25/16","230351","43559","390558","104177","2981486","1740243",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18895","762115"
"05/26/16","230351","43559","390558","104177","2981486","1740243",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18895","762115"
"05/27/16","230351","43559","390558","104177","2981486","1740243",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18895","762115"
"05/30/16","230351","43559","390558","104177","2981486","1740243",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18895","762115"
"05/31/16","230351","43559","390558","104177","2981486","1740243",NA,"23155","180452","836866","40834","278225","40310","20763","92967","37112","52080","231887","14974","101","18895","762115"
"06/01/16","230351","43559","390558","104175","2981901","1645361",NA,"23155","178957","836927","40758","276312","40459","19732","97324","36945","52924","236741","14978","101","18731","760875"
"06/02/16","230351","43559","390558","104175","2981901","1645361",NA,"23155","178957","836927","40758","276312","40459","19732","97324","36945","52924","236741","14978","101","18731","760875"
"06/03/16","230351","43559","390558","104175","2981901","1645361",NA,"23155","178957","836927","40758","276312","40459","19732","97324","36945","52924","236741","14978","101","18731","760875"
"06/06/16","230351","43559","390558","104175","2981901","1645361",NA,"23155","178957","836927","40758","276312","40459","19732","97324","36945","52924","236741","14978","101","18731","760875"
"06/07/16","230351","43559","390558","104175","2981901","1645361",NA,"23155","178957","836927","40758","276312","40459","19732","97324","36945","52924","236741","14978","101","18731","760875"
"06/08/16","230351","43559","390558","104175","2981901","1645361",NA,"23155","178957","836927","40758","276312","40459","19732","97324","36945","52924","236741","14978","101","18731","760875"
"06/09/16","230351","43559","390558","104175","2981901","1645361",NA,"23155","178957","836927","40758","276312","40459","19732","97324","36945","52924","236741","14978","101","18731","760875"
"06/10/16","230351","43559","390558","104175","2981901","1645361",NA,"23155","178957","836927","40758","276312","40459","19732","97324","36945","52924","236741","14978","101","18731","760875"
"06/13/16","230351","43559","390558","104175","2981901","1645361",NA,"23155","178957","836927","40758","276312","40459","19732","97324","36945","52924","236741","14978","101","18731","760875"
"06/14/16","230351","43559","390558","104175","2981901","1645361",NA,"23155","178957","836927","40758","276312","40459","19732","97324","36945","52924","236741","14978","101","18731","760875"
"06/15/16","230351","43559","390558","104175","2981901","1645361",NA,"23155","178957","836927","40758","276312","40459","19732","97324","36945","52924","236741","14978","101","18731","760875"
"06/16/16","230351","43559","390558","104175","2981901","1645361",NA,"23155","178957","836927","40758","276312","40459","19732","97324","36945","52924","236741","14978","101","18731","760875"
"06/17/16","230351","43559","390558","104175","2981901","1645361",NA,"23155","178957","836927","40758","276312","40459","19732","97324","36945","52924","236741","14978","101","18731","760875"
"06/20/16","230351","43559","390558","104175","2981901","1645361",NA,"23155","178957","836927","40758","276312","40459","19732","97324","36945","52924","236741","14978","101","18731","760875"
"06/21/16","230351","43559","390558","104175","2981901","1645361",NA,"23155","178957","836927","40758","276312","40459","19732","97324","36945","52924","236741","14978","101","18731","760875"
"06/22/16","230351","43559","390558","104175","2981901","1645361",NA,"23155","178957","836927","40758","276312","40459","19732","97324","36945","52924","236741","14978","101","18731","760875"
"06/23/16","230351","43559","390558","104175","2981901","1645361",NA,"23155","178957","836927","40758","276312","40459","19732","97324","36945","52924","236741","14978","101","18731","760875"
"06/24/16","230351","43559","390558","104175","2981901","1645361",NA,"23155","178957","836927","40758","276312","40459","19732","97324","36945","52924","236741","14978","101","18731","760875"
"06/27/16","230351","43559","390558","104175","2981901","1645361",NA,"23155","178957","836927","40758","276312","40459","19732","97324","36945","52924","236741","14978","101","18731","760875"
"06/28/16","230351","43559","390558","104175","2981901","1645361",NA,"23155","178957","836927","40758","276312","40459","19732","97324","36945","52924","236741","14978","101","18731","760875"
"06/29/16","230351","43559","390558","104175","2981901","1645361",NA,"23155","178957","836927","40758","276312","40459","19732","97324","36945","52924","236741","14978","101","18731","760875"
"06/30/16","230351","43559","390558","104175","2981901","1645361",NA,"23155","178957","836927","40758","276312","40459","19732","97324","36945","52924","236741","14978","101","18731","760875"
"07/01/16","212610","43559","390558","104385","2982538","1645364",NA,"23155","178575","836927","40524","276312","40061","19750","96925","36945","53077","236373","14987","101","18731","760875"
"07/04/16","212610","43559","390558","104385","2982538","1645364",NA,"23155","178575","836927","40524","276312","40061","19750","96925","36945","53077","236373","14987","101","18731","760875"
"07/05/16","212610","43559","390558","104385","2982538","1645364",NA,"23155","178575","836927","40524","276312","40061","19750","96925","36945","53077","236373","14987","101","18731","760875"
