"A.TWEX.P.","B.ABI.P.","H.HB.P.","F.RCD.P.","I.CPR.P.","DGE.P.","K.BBCA.P.","K.CHRE.P.","DK.CAB.P.","DK.RBR.P.","CN.KCM.P.","CN.YWU.P.","CN.JYB.P.","CN.TTB.P.","IN.MLC.P.","IN.UBB.P.","MX.BEC.P.","BR.AVS.P.","CL.CVZ.P.","U.STZ.P.","U.BF.B.P.","U.TAP.P.","U.SAM.P.","U.MGM.P.","U.LVS.P.","X.WYNN.P.","X.BJK.P.","X.GDEN.P.","U.BYD.P.","U.BALY.P.","X.RRR.P.","D.2TP.P.","BATS.P.","ID.GUD.P.","X.IMBBY.P.","U.VGR.P.","U.TPB.P.","U.RLX.P.","U.PM.P.","A.ASBX.P.","D.RHM.P.","I.LDO.P.","F.CSF.P.","BA..P.","RR..P.","TK.ASE.P.","IS.ESLT.P.","U.NOC.P.","U.RTX.P.","U.HII.P.","U.LMT.P.","X.AXON.P.","X.MANT.P.","U.BWXT.P.","U.CW.P.","X.SWBI.P.","U.GD.P.","U.RGR.P.","X.POWW.P.","U.CACI.P.","X.HON.P."
9.46,126.04,98.44,138.61,6.66,30.09,0,2.35,108.64,46.71,425.73,45.48,84.15,32.48,5.41,11.37,3.3,5.01,12.49,177.77,39.53,92.8,141.35,30.96,58.04,123.46,39.13,15.18,24.6,0,22.92,1.43,69.75,5.06,48.66,18.22,15.09,0,111.93,1.31,98.92,17.78,113.57,8.45,3.88,1.94,123.92,249.49,71.64,195.99,273.87,25.18,39.08,49.6,87.74,16.98,196.59,63,2.05,124.55,126.3
9.45,125.93,97.87,138.79,6.97,29.93,0,2.38,108.64,46.65,427.11,45.3,85.19,32.57,5.6,11.46,3.33,5.07,12.54,177.57,39.4,92.82,143.35,31.23,58.33,123.27,39.39,16.24,24.85,0,23.33,1.4,69.84,5.04,48.74,18.43,16.07,0,110.83,1.32,98.03,17.92,113.73,8.41,3.81,1.95,124.87,248.11,71.38,196.47,271.74,26.25,38.86,50.26,87.61,17.28,194.39,64.25,2.05,124.95,126.14
9.65,125.76,98.33,138.96,6.88,30.17,0,2.37,109.19,46.38,429.27,46.17,86.03,32.71,6.09,12.13,3.32,5.16,12.67,178.29,39.69,93.49,144.9,30.98,57.46,122.23,38.91,16.19,24.65,0,23.38,1.46,70.13,5.04,48.42,18.38,16.1,0,111.19,1.32,98.62,18.28,113.23,8.42,3.8,1.93,123.72,247.52,71.53,195.58,272.09,26,38.31,49.89,87.35,17.49,194.98,62.95,2.05,123.2,126.29
9.66,126.1,98.9,140,6.91,30.28,0,2.36,109.19,46.38,430.63,46.09,86.34,32.81,6.21,11.8,3.39,5.2,12.68,178.57,39.36,93.74,143.15,31.15,58.65,125.29,39.03,17.92,24.8,0,24.03,1.45,71.03,5.25,48.7,18.36,15.4,0,111.71,1.32,99.53,18.09,113.26,8.41,3.77,1.92,123.2,247.45,71.27,194.09,271.26,25.99,38.03,49.44,86.33,17.5,195.59,63,2.05,122.9,125.9
9.64,125.47,98.66,138.67,6.96,29.97,0,2.37,108.95,46.43,436.97,47.06,86.73,33.18,6.14,11.81,3.4,5.22,12.72,180.28,39.58,94.08,143.15,31.68,58.3,125.69,39.18,17.13,24.95,0,24.01,1.44,70.85,5.23,48.05,18.44,15.45,0,112.36,1.32,100.01,17.99,112.81,8.35,3.72,1.97,123.78,248.25,71.32,197.3,272.35,25.16,38.77,49.83,87.48,17.4,195.18,63.75,2.05,124.05,126.37
9.74,125.12,99.66,140.4,6.99,30.58,0,2.38,108.41,46.15,447.97,49.58,87.78,33.18,6.05,11.48,3.39,5.24,12.73,182.21,40.37,94.07,141.75,32.2,58.1,127.91,39.35,16.92,25.38,0,24.32,1.31,72.31,5.01,48.74,18.38,15.51,0,113.52,1.36,100.62,17.9,113.5,8.45,3.77,2.05,123.78,247.38,71.6,196.27,271.65,25.56,38.67,49.6,87.04,17.17,195.29,63.05,2.05,125,126.39
9.56,124.26,99.49,138.61,6.86,30.6,0,2.36,106.86,45.81,444.31,48.28,86.68,33.2,6.05,11.58,3.39,5.19,12.8,180.68,41.82,93.03,140.05,31.15,56.84,122.62,38.75,16.44,24.77,0,23.6,1.29,71.98,4.98,48.33,18.11,15.41,0,113.75,1.35,97.41,17.18,111.68,8.39,3.67,2.05,123.58,246.32,70.53,191.15,269.24,24.59,37.9,48.59,84,17.13,192.01,62.35,2.15,122.15,124.41
9.48,120.39,99.04,136.42,6.89,30.08,0,2.36,106.01,45.66,447.37,48.43,86.11,33.4,5.83,11.33,3.39,4.97,12.54,180.84,42.06,92.52,140.25,30.96,56.85,122.42,38.51,16.38,24.76,0,23.59,1.15,70.74,5.11,47.92,17.96,15.46,0,113.58,1.31,98.02,17.17,112.03,8.35,3.71,1.98,123.38,246.88,70.41,190.34,267.32,24.13,37.77,47.88,83.41,17.1,192.64,62.8,2.15,120.5,124.87
9.54,121.89,99.46,137.46,7.03,30.1,0,2.38,106.4,46.12,459.12,49.03,86.13,33.56,5.48,11.05,3.39,4.92,12.49,182.94,42.34,94.13,143.15,31.25,56.77,121.73,39,16.11,25.01,0,23.73,1.18,70.94,5.43,48.69,18.1,15.6,0,114.74,1.29,98.18,17.61,112.85,8.41,3.71,1.98,124.52,249.88,71.46,195.49,272.79,24.6,37.95,48.32,84.92,17.57,195.87,63.7,2.06,121.45,125.81
9.4,121.43,100.1,138.15,6.95,30.29,0,2.58,107.95,46.18,460.12,49.09,86.97,34.04,5.88,11.07,3.42,4.91,12.6,184.14,45.54,95.17,143.45,31.57,57.7,125.16,39.31,16.5,25.22,0,23.73,1.22,71.81,5.27,49.02,18.37,16.94,0,116.22,1.31,99.04,17.13,112.78,8.43,3.72,1.95,122.92,249.45,71.76,195.93,277.03,24.73,38.24,48.41,85.17,17.37,197.75,62.95,2.94,124.25,126.23
9.58,121.78,100.33,138.73,7.01,30.48,0,2.53,109.65,46.07,473.05,50.26,90,33.78,5.74,11.09,3.48,4.99,12.67,180.86,42.7,94.85,143.55,31.3,57.53,124.15,39.43,16.37,25.04,0,23.69,1.22,71.19,5.19,48.1,18.5,16.77,0,116.46,1.31,98.94,17.25,112.93,8.43,3.76,1.98,123.55,250.65,72,196.03,278.36,24.88,38.57,48.26,86.21,17.37,199.32,63.75,2.94,124.35,126.24
9.55,121.72,100.56,138.73,7.03,30.54,0,2.52,110.66,46.12,469.01,49.94,89.87,33.21,5.74,11.01,3.48,4.98,12.8,178.83,43.47,94.44,145.25,31.19,57.53,124,39.5,16.14,25.16,0,23.64,1.22,71.35,5.23,47.97,18.73,16.62,0,117.43,1.3,98.73,17.52,113.57,8.54,3.73,1.98,122.57,253.38,72,195.25,280.05,24.78,38.69,48.27,87.02,17.53,199.98,62.95,2.94,124.75,126.52
9.52,121.72,101.04,138.79,7.02,30.53,0,2.56,110.66,46.12,469.3,49.71,89.99,35.81,5.7,11.11,3.39,5,12.72,180.14,41.28,94.66,143.95,31.6,57.95,124.44,39.66,16.05,25.06,0,23.54,1.15,72.18,5.23,48.21,18.81,16.18,0,119.48,1.3,100.05,17.53,113.57,8.62,3.71,1.97,123.49,256.52,72.1,197.44,282.06,24.99,39.03,48.59,89.27,17.4,201.09,62.5,2.75,126.8,128.06
9.5,121.72,100.67,138.61,7.17,30.7,0,2.55,110.66,46.12,470.68,49.53,90.57,34.97,5.86,11.22,3.37,5.03,12.9,180.93,41.38,95.78,144.85,31.82,58.02,125.73,39.68,16.3,25.19,0,23.75,1.01,73.44,5.27,48.01,18.86,16.32,0,119.83,1.27,99.1,17.9,114.42,8.74,3.81,1.98,125.24,256.99,71.87,196.32,283.65,24.9,38.97,48.59,89.33,17.54,202.24,63.3,2.75,127.2,127.58
9.51,121.14,100.36,138.33,7.03,30.7,0,2.55,110.04,46.78,470.68,49.53,90.57,34.97,5.75,11.32,3.37,4.99,12.88,180.93,41.38,95.78,144.85,31.82,58.02,125.73,39.68,16.3,25.19,0,23.75,0.95,73.44,5.21,48.01,18.86,16.32,0,119.83,1.3,99.57,17.61,114.29,8.74,3.81,1.99,123.63,256.99,71.87,196.32,283.65,24.9,38.97,48.59,89.33,17.54,202.24,63.3,2.75,127.2,127.58
9.5,120.11,100.18,138.5,7.16,30.51,0,2.55,110.42,46.97,470.68,49.53,90.57,34.97,5.97,11.26,3.48,4.96,12.73,180.51,41.17,95.28,143.6,31.87,58.7,126.58,39.65,16.53,25.22,0,23.55,0.95,72.25,5.22,47.17,18.74,16.34,0,119.95,1.32,99,18,114.05,8.73,3.79,1.98,123.63,256.21,71.53,194.08,280.09,24.59,38.77,48.2,89.21,17.42,202.01,63.25,2.75,123.9,127.28
9.53,119.76,101.1,139.42,7.18,30.56,0,2.52,111.58,47.3,461.33,49.87,90.82,34.55,6.46,11.42,3.42,4.94,12.84,182.75,41.56,94.79,142.75,31.72,59.13,128.7,39.77,16.61,25.41,0,23.64,0.96,72.64,5.25,47.59,18.78,16.75,0,119.8,1.32,98.11,18.08,113.38,8.74,3.78,2.04,123.63,259.22,71.53,195.81,281.13,24.01,38.3,48.6,90.03,17.4,203.25,63.7,2.75,123.1,127.33
9.78,120.11,101.37,140.4,7.35,30.77,0,2.53,112.2,47.62,467.93,50.35,90.62,34.52,6.6,11.51,3.52,4.9,12.82,184.69,42.23,96.59,145.85,32.26,62.05,133.59,40.35,17.16,25.8,0,23.8,0.97,72.35,5.25,48.04,18.94,16.65,0,120.9,1.31,100.33,18.38,114.73,8.84,3.86,2.06,125.36,257.61,71.83,194.29,280.96,24.46,39.03,48.86,90.61,17.72,202.52,65.1,2.75,126.3,127.77
9.84,120.97,101.62,141.27,7.35,31.02,0,2.58,112.74,48.05,465.88,49.95,89.81,34.33,6.68,11.54,3.54,4.91,12.86,184.77,42.03,96.86,143.9,32.52,62.55,134.68,40.54,17.43,25.32,0,23.57,0.84,73.27,5.29,47.89,19.14,16.62,0,121.79,1.27,101.94,18.23,114.34,8.8,3.89,2.05,126.97,258.52,72.03,193.79,281.76,24.52,39.97,49.19,90.91,18.23,203.7,66.05,2.75,124.8,128.33
9.96,120.74,101.39,140.75,7.31,30.85,0,2.57,112.74,48.05,462.86,49.04,87.84,35.05,7.09,11.78,3.52,5,12.94,184.51,41.86,96.25,146.2,32.19,62.41,133.28,40.47,16.89,25.19,0,23.7,0.84,73.29,5.28,47.8,19.12,16.36,0,121.97,1.25,101.94,18.11,113.08,8.82,3.9,2.04,126.65,255.61,71.36,191.18,280.13,24.4,39.9,48.78,92.23,18.2,201.47,65.5,2.75,123.75,127.81
9.7,120.86,101.71,140.92,7.32,30.9,0,2.59,112.9,48.3,467.45,50.52,88.78,34.52,6.93,11.57,3.54,5.04,12.84,185.83,41.86,96.02,144.25,32.49,63.66,132.6,40.33,17.26,25.38,0,23.9,0.97,74.12,5.28,48.01,18.97,16.77,0,122,1.24,100.21,18.2,113.22,8.85,3.9,2.05,127.6,253.19,70.85,188.83,276.88,24.66,39.63,48.31,90.63,18.3,198.44,65.95,2.75,123.75,127.09
9.69,119.99,101.94,140.63,7.24,30.6,0,2.62,112.44,48.36,478.44,53.01,90.63,34.83,6.7,11.43,3.49,4.98,12.97,184.54,40.56,89.78,141.4,32.76,63.86,132.31,40.35,17.12,25.83,0,24.2,0.93,73.33,5.36,47.85,19.01,16.82,0,122.3,1.25,99.87,17.99,112.85,8.77,3.87,2.03,128.11,254.67,70.65,189.88,277.38,24.26,39.7,48.3,90.33,18.25,198.87,65.85,2.75,122.35,127.07
9.67,117.22,100.7,138.9,7.31,30.01,0,2.71,110.89,47.95,483.58,53.53,91.44,35.7,6.77,11.7,3.47,4.9,12.66,183.45,39.4,87.16,136.35,32.77,64.63,134.73,40.85,17.14,25.93,0,24.15,0.88,72.33,5.32,46.63,19.3,16.76,0,121.11,1.3,98.95,18.36,113.13,8.68,3.87,2.03,128.92,256.14,70.74,192.51,277.62,24.44,40.11,48.09,92.33,18.24,199.64,66.45,2.75,123.9,127.87
9.61,117.11,100.64,139.54,7.15,30.55,0,2.66,110.27,48.04,485.07,54.34,92.61,36.63,6.78,11.27,3.45,4.78,12.48,181,39.33,87.4,137.55,31.98,63.69,129.59,40.59,16.93,24.89,0,23.76,0.99,72.48,5.36,46.02,19.36,16.61,0,120.12,1.34,100.1,18.5,113.27,8.89,3.96,2.05,127.02,256.69,71.16,193.47,277,24.37,39.87,47.92,94.26,18.41,199.47,68,2.75,123.5,128.1
9.61,116.42,99.87,138.96,7.08,30.52,0,2.62,109.11,47.73,492.51,57.11,95.3,36.24,6.76,11.3,3.49,4.78,12.42,179.14,39.42,88.26,135.9,31.59,63.95,130.25,40.32,20,24.83,0,23.79,0.88,71.74,5.52,46.31,19.13,15.36,0,119.17,1.34,98.32,17.96,111.4,8.76,3.89,2.05,125.16,255.99,70.71,194.77,276.89,24.2,40.65,47.08,92.7,18.57,198.4,68.45,2.75,128.2,127.59
9.68,116.82,99.68,138.61,7.02,30.53,0,2.6,110.04,48.19,492.68,56.96,94.62,36.03,6.75,11.29,3.46,4.86,12.63,179.55,39.39,88.98,135.45,32.09,64.87,134.16,41.25,20.06,25.2,0,24.4,1,71.11,5.51,46.18,19.16,15.71,0,118.69,1.32,99.74,18.08,111.85,8.66,3.89,2.05,126.71,257.59,70.81,196.67,278.36,24.47,40.48,47.99,92.56,18.43,200.55,66.9,2.25,127.5,128.67
9.88,116.7,100.1,139.94,6.99,30.62,0,2.6,110.58,48.63,494.08,55.93,94.2,35.73,6.73,11.3,3.45,4.8,12.65,179.9,39.47,88.12,134.65,32.35,65.24,133.49,41.31,20.27,25.05,0,24.05,0.92,71.53,5.61,46.52,19.21,15.25,0,119.75,1.35,99.59,18.14,111.6,8.66,3.91,2.05,128.09,259.66,70.78,196.77,280.3,24.27,40.34,48.49,91.85,18.78,201.28,67.9,2.36,126.95,128.53
9.94,117.11,100.1,139.31,7.14,30.59,0,2.56,111.27,48.64,483.57,54.38,91.2,36.04,6.58,11.31,3.45,4.8,12.56,180.3,39.79,87.64,133.7,32.58,64.77,134.04,40.97,20.56,25.13,0,23.77,0.96,71.45,5.68,46.22,19.19,15.37,0,120.51,1.38,97.92,17.69,111.92,8.63,3.9,2.05,124.87,258.64,71.22,195.56,280.93,24.76,40.43,48.36,92.16,18.49,202.03,67.35,2.06,126.1,128.75
9.9,117.17,100.97,142.02,7.09,30.75,0,2.57,112.13,49.03,481.83,54.18,88.83,35.39,6.51,11.16,3.36,4.7,12.7,180.88,39.58,86.85,132.95,32.61,64.99,134.46,41.1,20.73,25.19,0,23.92,0.99,72.23,5.61,46.19,18.64,15.54,0,121.84,1.39,99.44,18.08,114.66,8.84,3.96,2.03,123.06,258.59,71.03,185.98,281.11,25.36,38.81,47.67,92.97,18.49,202.67,67.75,2.06,121.45,128.9
9.99,117.8,101.35,143,7.27,31.19,0,2.6,113.36,49.42,489.69,54.75,88.71,35.32,6.56,11.19,3.34,4.72,12.65,183.28,39.62,86.58,132.7,33.15,66.12,138.42,41.51,20.48,25.68,0,24.3,0.86,73.12,5.67,46.46,18.88,15.53,0,122.9,1.34,102.15,18.07,114.74,8.89,4.03,2.03,126.39,261.27,71.87,187.16,282.3,25.41,38.92,48.2,93.17,18.67,204.52,68.15,2.19,120.95,130.06
9.93,118.55,101.9,142.71,7.24,31.39,0,2.55,113.98,50.19,485.66,54.37,87.81,35.37,6.51,11.14,3.39,4.77,12.73,184.55,39.5,86.66,132.4,33.18,64.62,137.13,41.42,20.47,25.22,0,23.75,0.81,73.07,5.64,45.91,18.73,15.24,0,122.11,1.36,100.48,17.47,114.42,8.87,4.04,2.02,127.48,260.16,71.67,186.27,282.89,25.77,38.86,46.92,91.99,17.77,203.86,66.7,2.99,120,129.17
9.77,117.97,101.34,142.07,7.3,31.19,0,2.56,112.2,49.99,492.33,56.88,90.38,36.1,6.62,11.17,3.38,4.79,12.78,184.5,39.06,85.77,129.95,32.96,64.57,137.46,41.33,20.4,24.74,0,23.3,0.71,72.94,5.57,45.73,18.61,16.28,0,120.19,1.36,100.8,17.94,114.26,8.89,4.07,2.04,127.65,260.29,71.81,186.58,282.99,26.02,38.63,46.39,90.33,18.12,203.89,67.1,3,120.85,128.54
9.8,117.86,101.33,141.15,7.2,30.68,0,2.62,111.27,49.42,492.37,56.4,89.91,35.35,6.54,11.14,3.37,4.81,12.62,184.11,38.99,85.95,130.55,33.25,64.34,137.05,41.26,20.38,24.5,0,23.33,0.67,72.04,5.56,46.11,18.63,15.98,0,119.71,1.35,102.33,17.76,112.88,8.73,4.06,2.05,127.25,256.89,72.06,185.54,280.43,26.29,38.66,46.35,90.29,17.95,201.26,66.9,3,125.9,128.37
9.76,116.42,99.46,140.46,7.2,30.28,0,2.63,110.19,49.08,492.35,57.28,89.99,35.62,6.41,11.13,3.35,4.82,12.65,184.57,39.13,86.5,130.7,34.16,64.97,138.32,41.25,21.09,25.11,0,24,0.77,72,5.56,46.27,18.81,16.3,0,119.56,1.32,102.23,17.69,113.39,8.54,4.11,2.05,126.3,257.4,72.09,186.84,280.64,26.32,38.89,46.34,90.86,18.2,201.32,66.6,3,124.55,128.29
9.72,117.68,100.54,142.02,7.22,30.52,0,2.69,110.73,49.11,504.8,59.1,91.84,36.19,6.41,11.13,3.29,4.83,12.65,182.47,39.12,86.35,129.95,33.85,64.49,137.15,41.59,20.73,25.25,0,23.87,0.86,71.94,5.56,46.54,18.87,15.52,0,119.51,1.32,102.43,17.53,113.57,8.56,4.06,2.05,127.71,255.95,71.88,186.29,279.7,25.96,39.25,46.53,90.3,17.86,200.2,65.7,2.06,123.5,128.55
9.66,116.3,100.39,140,7.17,30.62,0,2.6,109.8,48.67,504.19,59.53,91.91,36.34,6.5,11.21,3.32,4.83,12.73,182.28,38.86,86.38,129.9,33.73,64.14,135.63,41.12,20.36,24.83,0,23.56,0.81,71.3,5.56,46.51,18.61,15.52,0,118.14,1.32,102.12,17.26,111.63,8.45,4.01,2.05,126.82,255.33,71.72,186.97,277.83,25.44,38.86,46.65,89.89,17.63,198.84,65.3,2.99,122.65,127.28
9.56,115.61,99.05,138.61,7.21,30.36,0,2.62,109.03,47.99,495.03,57.95,91.03,35.85,6.75,11.2,3.29,4.84,12.86,183.68,39.38,87.42,132.35,33.7,64.95,135.94,41.26,20.62,25.25,0,23.77,0.74,70.28,5.56,46.55,18.8,15.79,0,118.93,1.35,99.37,17.3,110.35,8.41,3.97,2.05,126.28,257.56,72.25,187.36,280.02,25.86,39.83,48.09,90.71,18.08,200.83,66.1,2.99,125.9,128.27
9.63,112.52,97.69,135.62,7.08,30.03,0,2.58,107.41,47.65,492.64,57.72,89.87,36.44,6.7,11.14,3.28,4.82,12.7,192.79,39,86.46,133.3,32.89,63.51,132.76,40.72,20.68,24.93,0,23.51,0.74,68.76,5.56,46.17,18.43,15.53,0,117.08,1.35,95.77,16.77,108.76,8.35,3.91,2.04,123.58,254.88,71.75,185.22,276.73,25.17,39.41,47.72,90.7,18.39,196.96,67.4,3,124.55,126.69
9.63,111.53,98.17,135.21,7.12,29.8,0,2.53,107.64,48.33,491.44,57.97,90.41,36.56,6.84,11.14,3.28,4.84,12.64,193.73,38.88,86.34,132.15,31.29,63.89,134.12,40.72,20.71,24.81,0,23.55,0.74,68.75,5.56,45.74,18.42,15.34,0,117.45,1.34,96.49,16.78,108.68,8.32,3.89,2.03,124.58,256.71,72.02,186.16,277.61,25.14,41.38,48.75,91.78,17.02,198.1,62.15,3,125.05,127.62
9.57,112.21,99.28,136.08,7.18,29.86,0,2.54,106.94,47.93,479.48,56.27,88.68,36.23,6.93,11.17,3.28,4.83,12.65,191.73,38.58,86.41,134.05,30.56,62.63,131.01,39.93,21.3,24.54,0,23.41,0.77,68.77,5.77,45.49,18.29,15.18,0,116.9,1.34,97.01,16.94,108.67,8.29,3.91,2.03,125.73,257.7,72,191.54,278.92,25.16,41.29,48.6,91.97,16.67,199.66,62.9,3,126.1,128.02
9.59,112.29,98.74,135.96,7.08,29.73,0,2.52,106.4,47.98,470.68,54.73,87.65,35.37,7.2,11.48,3.26,4.82,12.68,191.73,38.58,86.41,134.05,30.56,62.63,131.01,39.93,21.3,24.54,0,23.41,0.77,68,5.57,45.49,18.29,15.18,0,116.9,1.33,95.83,16.89,107.79,8.19,3.91,2.02,124.93,257.7,72,191.54,278.92,25.16,41.29,48.6,91.97,16.67,199.66,62.9,3,126.1,128.02
9.53,111.98,98.86,134.92,7.12,29.84,0,2.51,106.71,47.85,479.23,55.64,88.53,35.37,7.4,11.5,3.27,4.81,12.57,193.92,38.56,86.44,133.5,30.98,62.77,132.42,39.78,21.62,24.75,0,23.12,0.73,69.05,5.38,45,18.13,14.96,0,118.54,1.33,96.17,17.22,109.53,8.15,3.96,2,126.02,260.28,72.42,192.97,282.4,25.27,40.37,48.97,92.77,16.36,200.74,61.65,2.5,125.65,128.11
9.31,110.73,97.8,133.89,7.06,29.55,0,2.54,104.93,47.88,474.91,55.19,88.84,34.95,7.29,11.45,3.29,4.7,12.52,193.76,38.66,86.2,132.8,30.3,61.55,130.91,39.55,20.33,24.4,0,23.09,0.73,68.09,5.53,45.12,17.86,14.77,0,118.35,1.34,97.59,17.39,108.77,8.05,3.99,2.01,126.51,258.94,71.89,191.38,280.96,25.05,39.85,48.8,91.81,16.97,199.02,62.5,2.8,124.21,127.7
9.17,112.28,97.71,133.6,7.09,29.7,0,2.5,103.69,48.13,464.48,53.95,88.15,34.99,7.48,11.5,3.28,4.76,12.59,193.52,38.54,86.13,131.75,30.84,61.77,132.46,39.68,20.66,24.8,0,23.47,0.74,68.55,5.42,45.32,18.04,14.95,0,117.9,1.33,97.41,17.18,108.69,8.11,4.08,2,126.74,261.99,72.32,192.9,285.2,25.09,40.4,49.08,93.07,16.51,201.26,61.7,2.85,127.4,128.42
9.2,113.36,98.25,133.77,7.13,30,0,2.43,104.54,48.75,473.33,54.98,88.51,35.08,7.52,11.51,3.28,4.84,12.58,193.82,37.88,85.61,132.6,31.18,62.17,134.95,39.84,20.81,25.18,0,23.78,0.71,68.43,5.43,45.05,17.92,14.9,0,118.16,1.33,98.14,17.36,109.39,8.27,4.06,2,126.3,261.78,72.58,193.28,285.57,25.02,40.03,49.2,92.72,16.71,201.07,60.85,3.49,126.6,128.96
9.11,111.28,97.73,132.79,7.05,29.7,0,2.41,103.85,48.16,482.35,55.92,88.53,35.15,7.53,11.44,3.29,4.89,12.67,193.89,37.89,85.92,132.15,31.43,61.89,134.29,39.8,20.88,25.26,0,24.01,0.68,68.04,5.38,44.52,17.99,15.09,0,117.21,1.33,98.41,17.42,109.55,8.23,4.02,2.02,127.51,262.64,72.87,194.88,286.42,25.32,40.23,49.4,92.71,16.59,199.91,60.6,2.95,127.85,128.51
9.03,113.58,98.84,134.41,7.11,30.22,0,2.43,105.63,48.61,476.46,54.35,87.59,34.77,7.62,11.66,3.29,4.93,12.86,197.1,38.15,86.75,133,31.74,62.28,135.27,39.9,21.13,25.77,0,24.19,0.68,69.33,5.55,45.38,18.21,15.18,0,118.23,1.34,100.21,17.61,110.88,8.13,4.05,2.01,127.28,263.96,72.97,199.4,286.36,25.47,40.22,49.95,93.15,16.2,201.11,60.25,2.95,127.85,129.04
9.43,114.29,99.12,134.41,7.1,30.03,0,2.45,105.55,48.77,475.09,54.35,86.76,34.65,7.57,11.58,3.3,4.94,12.71,196.25,37.82,86.99,130.75,31.93,62.17,134.98,40,20.95,25.36,0,23.98,0.69,69.48,5.6,45.93,18.04,14.98,0,117.51,1.35,100.56,17.49,110.33,8.12,4.04,2.01,126.94,263.86,72.59,198.39,286.76,25.23,40.02,50.2,93.12,16.17,200.15,60.05,2.95,127.25,129.57
9.44,114.5,99.97,135.67,7.15,30.01,0,2.47,107.17,48.87,475.36,54.72,86.95,34.76,7.61,11.56,3.31,4.95,12.72,198.32,37.91,87.89,131.75,31.91,61.07,130.42,40.1,20.4,25.53,0,23.97,0.69,69.31,5.41,46.62,18.18,15.15,0,119.13,1.33,100.56,17.93,110.53,8.04,3.99,2.02,127.57,264.83,72.79,198.15,288.13,25.29,40.12,50.4,93.5,16.38,201.15,60.2,2.95,128.3,130.05
9.34,115.05,100.33,135.73,7.18,30.12,0,2.48,106.86,49.34,468.75,53.65,86.42,33.45,7.86,11.7,3.33,4.98,12.88,196.6,38.11,87.51,132.7,31.85,61.14,129.85,39.8,20.58,25.27,0,23.58,0.69,69.68,5.38,45.59,18.18,15.04,0,119,1.35,100.63,17.97,109.85,8.06,4,2.05,127.4,264.81,72.61,198.28,288.49,25.82,40.1,50.65,93.48,16.66,200.14,60.25,2.5,128.55,129.51
9.29,114.17,100.2,134.75,7.15,30.03,0,2.48,107.02,49.77,471.33,54.77,85.92,33.68,7.79,11.74,3.32,4.95,12.69,197.18,38.52,87.62,132.8,32.55,62.47,133.55,40.1,20.71,25.72,0,23.78,0.95,68.79,5.45,45.25,18.05,15.11,0,119.64,1.34,99.09,17.71,109.74,8.05,4,2.18,128.57,264.24,72.33,197.38,286.79,25.23,40.08,50.49,93.4,16.34,201.42,59.1,2.5,127.55,129.44
9.19,114.69,101.27,135.5,7.14,30.07,0,2.51,107.41,49.91,475.82,55.94,87.27,34.46,7.8,11.89,3.29,4.97,12.5,198.3,38.54,88.53,131.45,32.79,61.92,133.17,40.38,20.84,26,0,23.86,0.95,69.46,5.41,45.5,18.25,15.5,0,121.62,1.33,102.3,17.76,109.58,8.03,4.03,2.23,128.63,264.92,72.59,198.49,290.67,25.39,40.24,50.99,95,16.32,202.34,59.3,2.7,128.9,130.36
9.36,114.57,101.49,134.75,7.16,30.33,0,2.5,107.72,49.68,485.83,57.09,88.22,34.31,7.69,11.67,3.28,4.96,12.56,198.12,38.5,87.54,132.5,33.73,62.16,132,40.37,20.99,25.98,0,24.06,0.95,71.26,5.41,46.16,18.28,15.39,0,119.86,1.3,102.1,17.64,108.68,8.06,4,2.15,128.77,264.77,72.22,199.19,289.67,25.38,39.98,51.19,94.87,16.32,202.4,58.95,2.7,128.45,129.21
9.28,113.59,101.32,133.25,7.07,30.02,0,2.55,106.63,49.14,492.84,56.98,89.9,34.2,7.71,11.62,3.28,4.97,12.43,198.52,38.61,87.98,137.3,34.03,62.36,134.14,40.63,20.54,25.86,0,23.94,1.26,72.04,5.37,46.17,18.41,15.06,0,119.58,1.28,99.29,17.37,108.12,7.97,4.02,2.18,128.54,265.3,72.84,201.35,289.12,25.26,39.7,51.59,95.3,15.98,204.55,57.45,2.7,127.3,130.55
9.23,112.67,100.42,132.27,7.03,29.52,0,2.52,105.86,48.75,497.63,58.23,91.65,34.46,7.53,11.62,3.26,4.97,12.37,196,38.38,87.96,130.5,33.99,62.71,138.53,40.81,20.82,26.19,0,24.51,1.19,71.1,5.46,45.83,18.31,14.52,0,118.89,1.28,99.38,17.3,107.35,7.9,4.03,2.22,127.94,265.27,72.62,201.66,290.28,25.37,39.12,51.96,95.97,15.73,204.93,57,2.7,127.45,131.85
9.23,112.56,100.59,133.89,7.12,29.55,0,2.5,106.24,49.11,497.8,57.66,91.44,34.47,7.4,11.57,3.14,4.99,12.3,193.67,39.06,88.58,134.5,34.27,62.62,138.98,41.19,21.25,26.23,0,24.72,1.55,69.39,5.44,45.56,18.36,14.78,0,117.82,1.28,98.98,17.89,108.03,7.93,4.03,2.22,127.17,264.05,71.03,203.62,289.83,25.41,39.45,52.83,97.22,15.73,203.56,56.85,2.6,127.65,131.41
