"","A:TWEX(P)","A:TWEX(EPS)","A:TWEX(PA)","A:TWEX(PB)","B:ABI(P)","B:ABI(EPS)","B:ABI(PA)","B:ABI(PB)","H:HB(P)","H:HB(EPS)","H:HB(PA)","H:HB(PB)","F:RCD(P)","F:RCD(EPS)","F:RCD(PA)","F:RCD(PB)","I:CPR(P)","I:CPR(EPS)","I:CPR(PA)","I:CPR(PB)","DGE(P)","DGE(EPS)","DGE(PA)","DGE(PB)","K:BBCA(P)","K:BBCA(EPS)","K:BBCA(PA)","K:BBCA(PB)","K:CHRE(P)","K:CHRE(EPS)","K:CHRE(PA)","K:CHRE(PB)","DK:CAB(P)","DK:CAB(EPS)","DK:CAB(PA)","DK:CAB(PB)","DK:RBR(P)","DK:RBR(EPS)","DK:RBR(PA)","DK:RBR(PB)","CN:KCM(P)","CN:KCM(EPS)","CN:KCM(PA)","CN:KCM(PB)","CN:YWU(P)","CN:YWU(EPS)","CN:YWU(PA)","CN:YWU(PB)","CN:JYB(P)","CN:JYB(EPS)","CN:JYB(PA)","CN:JYB(PB)","CN:TTB(P)","CN:TTB(EPS)","CN:TTB(PA)","CN:TTB(PB)","IN:MLC(P)","IN:MLC(EPS)","IN:MLC(PA)","IN:MLC(PB)","IN:UBB(P)","IN:UBB(EPS)","IN:UBB(PA)","IN:UBB(PB)","MX:BEC(P)","MX:BEC(EPS)","MX:BEC(PA)","MX:BEC(PB)","BR:AVS(P)","BR:AVS(EPS)","BR:AVS(PA)","BR:AVS(PB)","CL:CVZ(P)","CL:CVZ(EPS)","CL:CVZ(PA)","CL:CVZ(PB)","U:STZ(P)","U:STZ(EPS)","U:STZ(PA)","U:STZ(PB)","U:BF.B(P)","U:BF.B(EPS)","U:BF.B(PA)","U:BF.B(PB)","U:TAP(P)","U:TAP(EPS)","U:TAP(PA)","U:TAP(PB)","U:SAM(P)","U:SAM(EPS)","U:SAM(PA)","U:SAM(PB)"
"10/28/15",5.25,0.09,5.3,5.23,124.08,5.69,124.08,124.03,96.12,4.07,96.13,96.06,122.24,3.76,122.35,122.24,4.57,0.15,4.57,4.56,24.56,1.25,24.56,24.55,0,0,0,0,1.76,0,1.76,1.76,86.44,3.82,86.51,86.44,41.48,1.9,41.48,41.45,221.26,13.33,221.3,221.22,26.8,1.57,25.2,25.19,63.33,3.34,63.39,63.33,35.26,1.2,35.27,35.26,8.95,0,9.01,8.98,13.64,0.14,13.63,13.59,0,0,0,0,5.13,0.21,5.13,5.13,11.99,0.46,12.02,11.91,135.61,4.33,135.58,135.56,43.02,1.31,43,43,87.97,1.97,87.97,87.96,245.95,7.38,245.95,245.76
"10/29/15",5.19,0.09,5.23,4.94,123.91,5.69,123.97,123.91,95.58,4.07,95.59,95.58,124.32,3.76,124.32,124.26,4.48,0.15,4.48,4.47,24.77,1.25,24.77,24.77,0,0,0,0,1.71,0,1.71,1.71,85.43,3.82,85.43,85.35,41.28,1.9,41.28,41.2,221.84,13.33,221.66,221.64,26.8,1.57,25.08,25.07,65.46,3.45,65.47,65.46,35.32,1.2,35.34,35.33,8.99,0,8.99,8.99,13.61,0.14,13.74,13.69,0,0,0,0,5.02,0.21,5.03,5.02,11.97,0.46,11.98,11.57,135.11,4.33,135.09,135.06,42.69,1.31,42.69,42.69,87.49,1.97,87.49,87.48,244.94,7.38,245.31,244.87
"10/30/15",5.18,0.09,5.19,5.16,125.35,5.69,125.41,125.35,95.85,4.07,95.88,95.83,123.62,3.76,123.62,123.57,4.49,0.15,4.51,4.49,24.67,1.25,24.67,24.67,0,0,0,0,1.73,0,1.74,1.73,86.05,3.82,86.05,85.89,41.52,1.9,41.52,41.49,222.74,13.33,222.85,222.62,26.8,1.57,26.54,26.53,65.12,3.45,65.16,65.12,35.3,1.2,35.32,35.31,8.97,0,8.95,8.95,13.38,0.14,13.42,13.41,0,0,0,0,5.04,0.21,5.04,5.02,12.05,0.46,12.14,11.57,134.8,4.33,134.78,134.76,42.47,1.31,42.46,42.45,88.1,1.97,88.11,88.1,219.59,7.38,219.45,219.28
"11/02/15",5.14,0.09,5.16,5.08,125.3,5.69,125.3,125.18,94.74,4.07,94.79,94.74,122.41,3.76,122.64,122.41,4.49,0.15,4.5,4.49,24.55,1.25,24.55,24.54,0,0,0,0,1.7,0,1.7,1.69,85.74,3.82,85.82,85.74,41.01,1.9,41.03,41.01,221.38,13.33,221.42,221.39,25.2,1.57,25.2,25.19,66.03,3.45,66.04,66.03,34.89,1.2,34.9,34.89,9.27,0,9.34,9.31,13.72,0.14,13.69,13.67,0,0,0,0,5.04,0.21,5.12,5.09,11.92,0.46,11.92,11.72,135.08,4.33,135.07,135.04,42.75,1.31,42.77,42.76,88.71,1.97,88.68,88.67,224.8,7.38,224.96,224.87
"11/03/15",5.19,0.09,5.2,5.08,125.18,5.69,125.18,125.12,94.9,4.07,94.9,94.65,123.33,3.76,123.39,123.28,4.52,0.15,4.52,4.51,24.64,1.25,24.65,24.64,0,0,0,0,1.7,0,1.7,1.7,85.89,3.82,86.05,85.89,41.06,1.9,41.06,41.03,218.41,13.33,218.56,218.49,25.07,1.57,25.08,25.07,67.67,3.45,67.68,67.67,34.95,1.2,34.95,34.94,9.8,0,9.77,9.76,13.59,0.14,13.55,13.54,0,0,0,0,5.18,0.21,5.18,5.17,12.45,0.48,12.46,11.92,134.41,4.33,134.46,134.42,42.64,1.31,42.64,42.64,87.9,1.97,87.91,87.9,217.94,7.43,218.02,217.88
"11/04/15",5.33,0.09,5.34,5.12,126.28,5.69,126.28,126.16,95.15,4.07,95.17,95.14,123.97,3.76,124.03,123.85,4.47,0.15,4.48,4.47,24.88,1.25,24.88,24.86,0,0,0,0,1.73,0,1.73,1.72,87.75,3.82,87.83,87.75,41.32,1.9,41.32,41.29,223.9,13.33,224.13,223.92,26.54,1.57,26.55,26.54,71.15,3.45,71.17,71.15,36.08,1.2,36.09,36.08,10.02,0,10.03,10.02,14.21,0.14,14.24,14.23,0,0,0,0,5.18,0.21,5.18,5.18,12.56,0.48,12.7,11.72,133.2,4.33,133.26,133.24,42.74,1.31,42.75,42.73,87.42,1.97,87.46,87.44,215.84,7.43,215.84,215.79
"11/05/15",5.22,0.09,5.34,5.14,127.08,5.69,127.14,127.08,96.87,4.07,96.9,96.83,125.58,3.76,125.64,125.58,4.55,0.15,4.56,4.55,24.92,1.25,24.92,24.92,0,0,0,0,1.72,0,1.72,1.71,87.52,3.82,87.6,87.52,41.21,1.9,41.24,41.18,225.55,13.33,225.66,225.65,26.89,1.57,26.89,26.88,70.93,3.45,71,70.93,36.18,1.2,36.19,36.18,9.85,0,9.79,9.79,13.6,0.14,13.57,13.56,0,0,0,0,5.14,0.21,5.14,5.14,12.61,0.48,12.64,11.96,133.26,4.33,133.26,133.23,42.75,1.31,42.77,42.77,87.82,1.97,87.8,87.76,211.27,7.43,211.52,211.25
"11/06/15",5.33,0.09,5.35,5.27,128.99,5.69,128.99,128.87,96.27,4.07,96.27,96.2,123.97,3.76,123.97,123.91,4.53,0.15,4.53,4.53,24.73,1.25,24.73,24.73,0,0,0,0,1.68,0,1.68,1.68,86.05,3.82,86.05,85.97,40.46,1.9,40.47,40.46,227.49,13.33,227.51,227.49,27,1.57,27.01,27,71.58,3.45,71.58,71.57,36.68,1.2,36.7,36.68,9.84,0,9.81,9.76,13.67,0.14,13.76,13.72,0,0,0,0,5.01,0.21,5.04,5.04,12.59,0.48,12.6,12.2,132.11,4.33,132.06,132.04,41.78,1.31,41.76,41.76,87.57,1.97,87.56,87.54,210,7.43,210,209.89
"11/09/15",5.22,0.09,5.3,5.19,127.95,5.69,128.01,127.95,94.76,4.07,94.84,94.76,122.35,3.76,122.53,122.24,4.41,0.15,4.42,4.41,24.5,1.25,24.5,24.5,0,0,0,0,1.64,0,1.64,1.63,85.27,3.82,85.35,85.27,41.32,1.9,41.34,41.31,230,13.33,229.97,229.94,27.9,1.57,27.9,27.89,72.51,3.45,72.54,72.51,36.77,1.2,36.81,36.8,10.26,0,10.28,10.26,13.87,0.14,13.94,13.86,0,0,0,0,4.94,0.21,4.94,4.94,12.55,0.48,12.56,12.24,132.27,4.33,132.25,132.22,41.54,1.31,41.55,41.54,87.36,1.93,87.36,87.35,213.83,7.43,213.72,213.65
"11/10/15",5.24,0.09,5.25,5.17,128.24,5.69,128.29,128.18,96,4.07,96.02,95.99,123.1,3.76,123.16,123.05,4.58,0.15,4.58,4.58,24.59,1.25,24.59,24.58,0,0,0,0,1.61,0,1.62,1.61,85.82,3.82,85.82,85.74,40.98,1.9,41,40.98,231.61,13.33,231.68,231.67,27.55,1.57,27.55,27.54,71.12,3.45,71.12,70.93,36.45,1.2,36.49,36.46,9.97,0,9.91,9.89,13.62,0.14,13.62,13.57,0,0,0,0,4.93,0.21,4.93,4.93,12.07,0.48,12.3,12.05,134.78,4.33,134.8,134.79,41.64,1.31,41.64,41.62,88.31,1.93,88.34,88.33,208.51,7.43,208.42,208.39
"11/11/15",5.3,0.09,5.33,5.27,131,5.69,131,130.83,97.69,4.07,97.69,97.66,124.32,3.76,124.37,124.32,4.61,0.15,4.62,4.61,24.95,1.25,24.95,24.94,0,0,0,0,1.64,0,1.65,1.64,91.16,0,91.16,91.08,41.48,1.9,41.52,41.46,229.29,13.33,229.64,229.48,27.25,1.57,27.25,27.24,70.27,3.45,70.27,70.25,36.32,1.2,36.32,36.31,10.11,0,10.09,10.08,13.7,0.14,13.66,13.62,0,0,0,0,5.04,0.21,5.04,5.02,12.18,0.48,12.19,11.81,134.98,4.33,135.01,134.99,42.08,1.31,42.1,42.09,92.19,1.93,92.21,92.19,209.66,7.43,209.97,209.78
"11/12/15",5.33,0.09,5.36,5.17,129.62,5.69,129.68,129.56,97.28,4.07,97.3,97.27,122.99,3.76,123.05,122.93,4.61,0.15,4.61,4.61,24.73,1.25,24.74,24.73,0,0,0,0,1.69,0,1.7,1.69,93.4,0,93.48,93.32,41.43,1.9,41.43,41.35,229.14,13.33,229.34,228.73,26.84,1.57,26.85,26.84,69.68,3.45,69.69,69.68,36.19,1.2,36.22,36.2,10.11,0,10.16,10.15,13.7,0.14,13.98,13.93,0,0,0,0,4.99,0.21,5,4.99,12,0.48,12.05,11.83,133.38,4.33,133.4,133.38,41.59,1.31,41.59,41.59,92.12,1.93,92.11,92.09,205.77,7.43,206,205.86
"11/13/15",5.34,0.09,5.37,5.27,129.45,5.69,129.5,129.45,94.79,4.07,94.98,94.79,122.18,3.76,122.24,122.12,4.6,0.15,4.6,4.59,24.28,1.25,24.29,24.28,0,0,0,0,1.69,0,1.69,1.69,91.16,0,91.16,91.08,42.48,1.9,42.48,42.47,224.04,13.33,224.03,223.93,26.82,1.57,26.83,26.82,67.59,3.45,67.59,67.55,35.62,1.2,35.62,35.61,10.01,0,9.98,9.96,14.03,0.14,14.04,14,0,0,0,0,5.05,0.21,5.05,5.04,11.93,0.48,12.02,11.33,132.2,4.33,132.24,132.22,40.97,1.31,40.98,40.97,93.81,1.93,93.81,93.78,201.9,7.43,202.17,201.98
"11/16/15",5.31,0.09,5.35,5.3,131.46,5.69,131.46,131.41,95.42,4.07,95.43,95.39,121.2,3.76,121.26,121.2,4.66,0.15,4.66,4.66,24.26,1.25,24.27,24.26,0,0,0,0,1.7,0,1.7,1.7,91.23,0,91.16,91.08,42.25,1.9,42.42,42.33,222.65,13.33,222.95,222.89,26.7,1.57,26.71,26.7,67.61,3.45,67.63,67.61,35.4,1.2,35.4,35.38,9.82,0,9.82,9.81,13.75,0.14,13.77,13.77,0,0,0,0,5.03,0.21,5.04,5.03,12.11,0.48,12.63,12.1,135.26,4.33,135.26,135.21,41.77,1.31,41.76,41.75,93.88,1.93,93.9,93.88,209.57,7.43,209.57,209.41
"11/17/15",5.52,0.09,5.55,5.34,135.9,5.69,135.9,135.73,98.03,4.07,98.06,98.02,124.66,3.76,124.72,124.6,4.68,0.15,4.68,4.67,24.8,1.25,24.8,24.79,0,0,0,0,1.73,0,1.73,1.72,93.09,0,93.17,93.09,42.9,1.9,42.88,42.81,223.26,13.33,223.14,223.07,26.99,1.57,26.99,26.98,68.11,3.45,68.11,68.06,35.34,1.2,35.38,35.37,10.05,0,10,9.99,14.17,0.14,14.15,14.14,0,0,0,0,5.05,0.21,5.06,5.05,12.01,0.48,12.05,11.95,138.11,4.33,138.15,138.14,42.13,1.31,42.12,42.11,95.13,1.93,95.14,95.12,210.41,7.43,210.41,210.34
"11/18/15",5.43,0.09,5.45,5.43,135.79,5.69,135.79,135.73,97.75,4.07,97.77,97.66,123.97,3.76,123.97,123.91,4.63,0.15,4.63,4.63,24.77,1.25,24.77,24.77,0,0,0,0,1.73,0,1.73,1.72,92.39,0,92.47,92.39,42.36,1.9,42.39,42.3,223.57,13.33,224.15,224.08,27.1,1.57,27.11,27.1,67.42,3.45,67.42,67.41,35.06,1.2,35.06,35.05,10.06,0,10.05,10.04,13.73,0.14,13.76,13.75,0,0,0,0,5.06,0.21,5.07,5.06,12.08,0.48,12.07,11.98,138.29,4.33,138.28,138.27,42.46,1.31,42.46,42.44,94.09,1.93,94.12,94.11,213.4,7.43,213.34,213.16
"11/19/15",5.55,0.09,5.55,5.49,134.17,5.69,134.29,134.17,98.29,4.07,98.36,98.29,124.37,3.76,124.37,124.32,4.77,0.15,4.77,4.76,24.99,1.25,25,24.99,0,0,0,0,1.74,0,1.74,1.74,94.17,0,94.41,94.25,41.83,1.9,41.91,41.82,223.96,13.33,224.01,224,27.37,1.57,27.38,27.37,67.68,3.45,67.68,67.67,35.18,1.2,35.2,35.19,10.23,0,10.22,10.21,13.81,0.14,13.83,13.8,0,0,0,0,5.11,0.21,5.12,5.11,12.17,0.48,12.2,12.07,137.46,4.33,137.44,137.41,42.61,1.31,42.6,42.59,93.88,1.93,93.83,93.81,212.85,7.43,213,212.85
"11/20/15",5.56,0.09,5.57,5.53,136.19,5.69,136.25,136.19,98.18,4.07,98.21,98.17,124.43,3.76,124.6,124.43,4.77,0.15,4.77,4.77,25.32,1.25,25.32,25.32,0,0,0,0,1.76,0,1.76,1.76,95.02,0,95.1,94.95,42.58,1.9,42.56,42.41,222.59,13.33,222.76,222.72,27.08,1.57,27.08,27.07,67.36,3.45,67.38,67.36,35.15,1.2,35.16,35.14,10.25,0,10.25,10.23,13.96,0.14,13.96,13.94,0,0,0,0,5.11,0.21,5.09,5.09,12.35,0.48,12.49,12.34,137.62,4.33,137.64,137.62,42.14,1.31,42.16,42.15,92.5,1.93,92.53,92.5,212.36,7.43,212.57,212.4
"11/23/15",5.61,0.09,5.62,5.6,137.29,5.69,137.35,137.29,98.17,4.07,98.28,98.17,123.62,3.76,123.68,123.62,4.75,0.15,4.75,4.74,25.13,1.25,25.14,25.13,0,0,0,0,1.76,0,1.76,1.75,92.94,0,93.01,92.86,43.43,1.9,43.43,43.33,221.45,13.33,221.72,221.34,26.51,1.57,26.51,26.5,67.44,3.45,67.44,67.42,35.03,1.2,35.05,35.04,9.76,0,9.79,9.78,13.74,0.14,13.75,13.74,0,0,0,0,5.04,0.21,5.04,5.04,12.02,0.48,12.34,11.98,142.08,4.33,142.11,142.09,42.23,1.31,42.22,42.21,92.25,1.93,92.23,92.22,213.7,7.43,213.7,213.55
"11/24/15",5.57,0.09,5.58,5.56,138.38,5.69,138.38,138.1,95.74,4.07,95.8,95.74,122.35,3.76,122.41,122.35,4.65,0.15,4.65,4.64,24.88,1.25,24.88,24.87,0,0,0,0,1.77,0,1.78,1.77,91.46,0,91.46,91.39,42.59,1.9,42.5,42.44,220.48,13.33,220.45,220.44,26.33,1.57,26.34,26.33,66.65,3.45,66.66,66.65,34.91,1.2,34.97,34.93,9.61,0,9.59,9.59,13.63,0.14,13.68,13.66,0,0,0,0,5,0.21,5,5,11.95,0.48,12.01,11.95,141.34,4.33,141.37,141.35,41.97,1.31,42,41.98,92.11,1.93,92.1,92.09,215.39,7.43,215.49,215.39
"11/25/15",5.63,0.09,5.63,5.63,140.34,5.69,140.34,140.29,97.9,4.07,97.95,97.9,125.06,3.76,125.06,125.01,4.8,0.15,4.8,4.8,25.29,1.25,25.29,25.28,0,0,0,0,1.76,0,1.76,1.76,91.16,0,91.08,90.92,42.59,1.9,42.56,42.48,221.82,13.33,221.84,221.7,26.38,1.57,26.39,26.38,67.18,3.45,67.26,67.18,35.24,1.2,35.26,35.24,9.61,0,9.37,9.36,13.63,0.14,13.7,13.65,0,0,0,0,4.91,0.21,4.92,4.91,12.02,0.48,12.05,12.01,143.19,4.33,143.21,143.2,42.03,1.31,42.04,42.03,92.5,1.93,92.51,92.5,212.92,7.43,212.96,212.92
"11/26/15",5.62,0.09,5.63,5.6,142.13,5.69,142.13,142.07,97.84,4.07,97.88,97.84,123.97,3.76,124.26,123.91,4.75,0.15,4.75,4.75,25.29,1.25,25.29,25.28,0,0,0,0,1.76,0,1.76,1.75,91.46,0,91.7,91.54,45.89,1.9,45.89,45.76,221.67,13.33,221.66,221.62,26.21,1.57,26.23,26.21,66.14,3.45,66.22,66.14,35.08,1.2,35.08,35.07,9.17,0,9.17,9.15,13.68,0.14,13.83,13.78,0,0,0,0,4.97,0.21,4.97,4.97,12.13,0.48,12.33,12.01,143.19,4.33,145.04,145.02,42.03,1.31,42.79,42.78,92.5,1.93,93.47,93.46,212.92,7.43,216.24,216.15
"11/27/15",5.55,0.09,5.57,5.54,141.44,5.69,141.44,141.38,97.99,4.07,98,97.86,124.32,3.76,124.37,124.26,4.75,0.15,4.75,4.74,25.28,1.25,25.28,25.27,0,0,0,0,1.72,0,1.73,1.72,91,0,91.16,91,44.18,1.9,44.14,44.08,216.36,13.33,216.61,216.31,25.27,1.57,25.27,25.26,65.09,3.45,65.09,65.08,33.24,1.2,33.28,33.26,9.08,0,9.08,9.08,13.91,0.14,13.97,13.94,0,0,0,0,4.91,0.21,4.91,4.91,12.02,0.48,12.04,12.01,143.79,4.33,143.87,143.83,42.6,1.31,42.63,42.62,93.37,1.93,93.39,93.37,218.49,7.43,218.43,218.28
"11/30/15",5.54,0.09,5.55,5.51,140.63,5.69,140.69,140.58,97.05,4.07,97.12,97.04,124.2,3.76,124.2,124.14,4.79,0.15,4.81,4.79,25.09,1.25,25.09,25.09,0,0,0,0,1.77,0,1.77,1.76,92.94,0,93.09,92.94,45.1,1.9,45.08,45.02,223.21,13.33,222.09,222.06,25.03,1.57,25.04,25.03,65.62,3.45,65.62,65.6,32.94,1.2,32.95,32.92,8.89,0,8.85,8.85,13.52,0.14,13.77,13.76,0,0,0,0,4.92,0.21,4.93,4.92,11.53,0.48,11.55,10.89,140.26,4.33,140.7,140.64,41.02,1.31,41.05,41.04,92.03,1.93,92.03,92.01,213.62,7.43,213.52,213.38
"12/01/15",5.69,0.09,5.71,5.68,139.36,5.69,139.36,139.31,97.13,4.07,97.17,97.04,124.55,3.76,124.66,124.55,4.82,0.15,4.83,4.82,25.12,1.25,25.12,25.11,0,0,0,0,1.77,0,1.78,1.77,92.78,0,92.78,92.7,44.88,1.9,44.8,44.77,222.67,13.33,222.72,222.67,25.82,1.57,25.82,25.81,67.7,3.45,67.7,67.65,33.35,1.2,33.37,33.36,8.93,0,8.94,8.94,13.95,0.14,13.99,13.95,0,0,0,0,4.95,0.21,4.95,4.94,11.44,0.48,11.62,10.96,142.85,4.33,142.75,142.73,41.56,1.31,41.52,41.45,93.17,1.93,93.18,93.17,214.72,7.43,214.89,214.74
"12/02/15",5.79,0.09,5.8,5.78,140.06,5.69,140.06,139.88,97.7,4.07,97.75,97.68,125.53,3.76,125.53,125.41,4.85,0.15,4.85,4.85,25.54,1.25,25.54,25.53,0,0,0,0,1.79,0,1.79,1.79,93.24,0,93.32,93.24,44.93,1.9,44.93,44.8,230.78,13.33,230.69,230.49,26.75,1.57,26.76,26.75,70.3,3.45,70.3,70.19,33.9,1.2,33.97,33.96,8.88,0,8.9,8.89,13.75,0.14,13.76,13.75,0,0,0,0,4.87,0.21,4.89,4.87,11.55,0.48,11.57,11.41,141.84,4.33,141.81,141.79,40.81,1.31,40.82,40.82,92.75,1.93,92.75,92.73,214.43,7.43,214.61,214.46
"12/03/15",5.76,0.09,5.78,5.75,135.04,5.69,135.33,135.04,93.47,4.07,93.47,93.42,120.74,3.76,120.91,120.74,4.61,0.15,4.62,4.61,24.96,1.25,24.96,24.96,0,0,0,0,1.8,0,1.8,1.79,92.24,0,92.7,92.63,43.72,1.9,43.66,43.63,229.34,13.33,229.65,229.64,26.67,1.57,26.67,26.66,69.69,3.45,69.73,69.69,33.88,1.2,33.89,33.88,8.81,0,8.85,8.85,13.52,0.14,13.54,13.53,0,0,0,0,4.95,0.21,4.96,4.95,11.37,0.48,11.4,11.38,140.5,4.33,140.52,140.5,40.61,1.31,40.68,40.67,91.96,1.93,91.96,91.95,207.53,7.43,207.57,207.53
"12/04/15",5.83,0.09,5.85,5.82,134.23,5.69,134.29,134.23,92.43,4.07,92.49,92.39,120.05,3.76,120.11,119.99,4.6,0.15,4.6,4.6,24.84,1.25,24.84,24.84,0,0,0,0,1.76,0,1.76,1.76,92.08,0,91.85,91.7,43.38,1.9,43.33,43.3,224.25,13.33,224.38,224.24,26.35,1.57,26.36,26.35,69.15,3.45,69.15,69.14,33.34,1.2,33.35,33.33,8.94,0,8.96,8.95,13.31,0.14,13.36,13.32,0,0,0,0,4.9,0.21,4.9,4.9,11.4,0.48,11.55,11.33,144.67,4.33,144.65,144.63,41.88,1.31,41.88,41.87,95.14,1.93,95.14,95.13,212.85,7.43,212.84,212.68
"12/07/15",5.85,0.09,5.85,5.82,137.12,5.69,137.12,137,94.42,4.07,94.45,94.4,121.37,3.76,121.55,121.37,4.72,0.15,4.72,4.72,24.96,1.25,24.96,24.94,0,0,0,0,1.77,0,1.77,1.76,92.01,0,91.85,91.77,43.32,1.9,43.26,43.19,223.41,13.33,223.43,223.22,26.61,1.57,26.62,26.61,68.48,3.45,68.68,68.48,33.67,1.2,33.7,33.65,9.11,0,9.11,9.09,13.14,0.14,13.16,13.16,0,0,0,0,4.91,0.21,4.91,4.91,11.48,0.48,11.47,11.33,141.8,4.33,141.82,141.8,41.25,1.31,41.24,41.24,94.75,1.93,94.76,94.75,214,7.43,214.47,214
"12/08/15",5.79,0.09,5.82,5.79,135.21,5.69,135.44,135.21,93.16,4.07,93.42,93.16,120.16,3.76,120.28,120.16,4.65,0.15,4.66,4.65,24.6,1.25,24.6,24.59,0,0,0,0,1.76,0,1.77,1.76,89.76,0,89.53,89.45,43.18,1.9,43.18,43.09,220.74,13.33,220.78,220.47,25.88,1.57,25.89,25.88,66.96,3.45,66.96,66.93,32.94,1.2,32.97,32.94,8.89,0,8.87,8.86,13.21,0.14,13.25,13.22,0,0,0,0,4.79,0.21,4.8,4.79,11.48,0.48,11.37,11.24,142.99,4.33,143.01,142.99,41.21,1.31,41.22,41.21,94.59,1.93,94.62,94.61,220.41,7.43,220.64,220.41
"12/09/15",5.77,0.09,5.78,5.76,134.17,5.69,134.17,134.12,92.96,4.07,92.97,92.96,118.2,3.76,118.26,118.15,4.56,0.15,4.56,4.56,24.33,1.25,24.33,24.33,0,0,0,0,1.74,0,1.74,1.74,90.61,0,90.46,90.3,42.14,1.9,42.17,42.06,223.37,13.33,223.38,223.29,25.9,1.57,25.9,25.89,67.07,3.45,67.08,67.07,32.43,1.2,32.46,32.44,8.51,0,8.49,8.49,12.74,0.14,12.73,12.71,0,0,0,0,4.88,0.21,4.91,4.88,11.12,0.48,11.13,11.12,140.18,4.33,140.18,140.16,41.06,1.31,41.08,41.07,93.72,1.93,93.75,93.73,214.6,7.43,215.05,214.6
"12/10/15",5.77,0.09,5.79,5.76,133.83,5.69,133.94,133.83,92.8,4.07,92.84,92.8,118.72,3.76,118.78,118.72,4.56,0.15,4.56,4.56,24.06,1.25,24.07,24.06,0,0,0,0,1.74,0,1.74,1.74,89.99,0,90.15,90.07,41.79,1.9,41.86,41.8,221.8,13.33,222.16,221.84,25.54,1.57,25.55,25.54,67.2,3.45,67.29,67.2,32.31,1.2,32.31,32.3,8.87,0,8.9,8.89,12.7,0.14,12.83,12.82,0,0,0,0,4.84,0.21,4.84,4.83,11.04,0.48,11.18,11.07,139.98,4.33,139.96,139.92,40.19,1.31,40.22,40.21,93.39,1.93,93.39,93.37,217.71,7.43,217.96,217.71
"12/11/15",5.85,0.09,5.86,5.85,129.62,5.69,129.62,129.56,91.16,4.07,91.22,91.14,117.63,3.76,117.68,117.57,4.53,0.15,4.53,4.53,23.73,1.25,23.74,23.73,0,0,0,0,1.73,0,1.73,1.73,88.52,0,88.68,88.6,41.09,1.9,41.17,41.09,220.19,13.33,220.57,220.13,25.62,1.57,25.62,25.61,67.59,3.45,67.59,67.42,32.55,1.2,32.55,32.54,8.79,0,8.76,8.76,12.74,0.14,12.81,12.78,0,0,0,0,4.83,0.21,4.84,4.83,11.03,0.48,12.49,11.04,138.3,4.33,138.3,138.27,40.02,1.31,40.04,40.04,92.68,1.93,92.7,92.69,213.62,7.43,213.8,213.64
"12/14/15",5.7,0.09,5.71,5.68,127.31,5.69,127.37,127.31,89.34,4.07,89.43,89.34,115.84,3.76,115.84,115.78,4.41,0.15,4.41,4.41,23.59,1.25,23.6,23.59,0,0,0,0,1.72,0,1.72,1.72,87.75,0,87.67,87.6,41.43,1.9,41.41,41.4,222.99,13.33,223.24,223.08,25.95,1.57,25.96,25.95,68.55,3.45,68.79,68.55,32.84,1.2,32.86,32.85,8.73,0,8.75,8.74,13.05,0.14,13.1,13.05,0,0,0,0,4.77,0.21,4.77,4.77,10.83,0.48,11.04,10.7,137.69,4.33,137.67,137.65,40.4,1.31,40.39,40.38,91.91,1.93,91.91,91.9,206.54,7.43,206.94,206.55
"12/15/15",5.77,0.09,5.79,5.75,129.62,5.69,129.68,129.62,91.07,4.07,91.15,91.07,118.15,3.76,118.32,118.03,4.58,0.15,4.58,4.58,23.91,1.25,23.91,23.91,0,0,0,0,1.7,0,1.7,1.69,90.38,0,90.61,90.46,41.11,1.9,41.24,41.09,223.41,13.33,223.41,223.4,26.17,1.57,26.17,26.16,68.22,3.45,68.22,68.17,32.81,1.2,32.81,32.8,8.64,0,8.62,8.62,13.06,0.14,12.98,12.96,0,0,0,0,4.72,0.21,4.72,4.71,10.75,0.48,10.84,10.83,139.28,4.33,139.28,139.23,40.55,1.31,40.54,40.53,93.72,1.93,93.75,93.72,205.49,7.43,205.49,205.19
"12/16/15",5.9,0.09,5.91,5.86,130.43,5.69,130.43,130.31,91.09,4.07,91.09,91,119.7,3.76,119.7,119.64,4.64,0.15,4.65,4.64,24.06,1.25,24.06,24.05,0,0,0,0,1.74,0,1.75,1.74,93.09,0,93.24,93.17,42.71,1.9,42.87,42.7,222.79,13.33,222.78,222.36,25.96,1.57,25.96,25.95,67.14,3.45,67.15,67.14,32.82,1.2,32.83,32.82,8.53,0,8.53,8.52,12.85,0.14,12.85,12.82,0,0,0,0,4.79,0.21,4.81,4.79,11.1,0.48,11.13,11.11,142.96,4.33,142.94,142.93,41.31,1.31,41.31,41.31,94.16,1.93,94.15,94.14,207.76,7.43,208.12,207.78
"12/17/15",5.97,0.09,5.98,5.95,133.89,5.69,133.94,133.89,91.82,4.07,91.85,91.82,122.18,3.76,122.18,122.12,4.66,0.15,4.66,4.66,24.08,1.25,24.09,24.08,0,0,0,0,1.77,0,1.77,1.76,94.1,0,93.86,93.79,42.65,1.9,42.59,42.56,224.82,13.33,224.89,224.84,26.6,1.57,26.61,26.6,67.86,3.45,67.89,67.86,33.26,1.2,33.26,33.24,8.52,0,8.52,8.52,12.93,0.14,12.93,12.9,0,0,0,0,4.8,0.21,4.8,4.79,11.08,0.48,11.17,10.89,139.89,4.33,139.93,139.92,40.6,1.31,40.6,40.58,93.72,1.93,93.74,93.72,207.35,7.43,207.66,207.35
