"","U:MGM(FFNOSH)","U:LVS(FFNOSH)","@WYNN(FFNOSH)","@BJK(FFNOSH)","@GDEN(FFNOSH)","U:BYD(FFNOSH)","U:BALY(FFNOSH)","@RRR(FFNOSH)"
"04/03/20","455716","331368","79772","807","21833","67906","30432","66775"
"04/06/20","455716","331368","79772","807","21833","67906","30432","66775"
"04/07/20","455716","331368","79772","807","21833","67906","30432","66775"
"04/08/20","455716","331368","79772","807","21833","67906","30432","66775"
"04/09/20","455716","331368","79772","807","21833","67906","30432","66775"
"04/10/20","455716","331368","79772","807","21833","67906","30432","66775"
"04/13/20","455716","331368","79772","807","21833","67906","30432","66775"
"04/14/20","455716","331368","79772","807","21833","67906","30432","66775"
"04/15/20","455716","331368","79772","807","21833","67906","30432","66775"
"04/16/20","455716","331368","79772","807","21833","67906","30432","66775"
"04/17/20","455716","331368","79772","807","21833","67906","30432","66775"
"04/20/20","455716","331368","79772","807","21833","67906","30432","66775"
"04/21/20","455716","331368","79772","807","21833","67906","30432","66775"
"04/22/20","455716","331368","79772","807","21833","67906","30432","66775"
"04/23/20","455716","331368","79772","807","21833","67906","30432","66775"
"04/24/20","455716","331368","79772","807","21833","67906","30432","66775"
"04/27/20","455716","331368","79772","807","21833","67906","30432","66775"
"04/28/20","455716","331368","79772","807","21833","67906","30432","66775"
"04/29/20","455716","331368","79772","807","21833","67906","30432","66775"
"04/30/20","455716","331368","79772","807","21833","67906","30432","66775"
"05/01/20","455716","331368","79772","807","21833","67550","30432","66775"
"05/04/20","455716","331368","79772","807","21833","67550","30432","66775"
"05/05/20","455716","331368","79772","807","21833","67550","30432","66775"
"05/06/20","455716","331368","79772","807","21833","67550","30432","66775"
"05/07/20","455716","331368","79772","807","21833","67550","30432","66775"
"05/08/20","455716","331368","79772","807","21833","67550","30432","66775"
"05/11/20","455716","331368","79772","807","21833","67550","30432","66775"
"05/12/20","455716","331368","79772","807","21833","67550","30432","66775"
"05/13/20","455716","331368","79772","807","21833","67550","30432","66775"
"05/14/20","455716","331368","79772","807","21833","67550","30432","66775"
"05/15/20","455716","331368","79772","807","21833","67550","30432","66775"
"05/18/20","455716","331368","79772","807","21833","67550","30432","66775"
"05/19/20","455716","331368","79772","807","21833","67550","30432","66775"
"05/20/20","455716","331368","79772","807","21833","67550","30432","66775"
"05/21/20","455716","331368","79772","807","21833","67550","30432","66775"
"05/22/20","455716","331368","79772","807","21833","67550","30432","66775"
"05/25/20","455716","331368","79772","807","21833","67550","30432","66775"
"05/26/20","455716","331368","79772","807","21833","67550","30432","66775"
"05/27/20","455716","331368","79772","807","21833","67550","30432","66775"
"05/28/20","455716","331368","79772","807","21833","67550","30432","66775"
"05/29/20","455716","331368","79772","807","21833","67550","30432","66775"
"06/01/20","460394","331367","89841","1350","21833","67187","30456","66891"
"06/02/20","460394","331367","89841","1350","21833","67187","30456","66891"
"06/03/20","460394","331367","89841","1350","21833","67187","30456","66891"
"06/04/20","460394","331367","89841","1350","21833","67187","30456","66891"
"06/05/20","460394","331367","89841","1350","21833","67187","30456","66891"
"06/08/20","460394","331367","89841","1350","21833","67187","30456","66891"
"06/09/20","460394","331367","89841","1350","21833","67187","30456","66891"
"06/10/20","460394","331367","89841","1350","21833","67187","30456","66891"
"06/11/20","460394","331367","89841","1350","21833","67187","30456","66891"
"06/12/20","460394","331367","89841","1350","21833","67187","30456","66891"
"06/15/20","460394","331367","89841","1350","21833","67187","30456","66891"
"06/16/20","460394","331367","89841","1350","21833","67187","30456","66891"
"06/17/20","460394","331367","89841","1350","21833","67187","30456","66891"
"06/18/20","460394","331367","89841","1350","21833","67187","30456","66891"
"06/19/20","460394","331367","89841","1350","21833","67187","30456","66891"
"06/22/20","460394","331367","89841","1350","21833","67187","30456","66891"
"06/23/20","460394","331367","89841","1350","21833","67187","30456","66891"
"06/24/20","460394","331367","89841","1350","21833","67187","30456","66891"
"06/25/20","460394","331367","89841","1350","21833","67187","30456","66891"
"06/26/20","460394","331367","89841","1350","21833","67187","30456","66891"
"06/29/20","460394","331367","89841","1350","21833","67187","30456","66891"
"06/30/20","460394","331367","89841","1350","21833","67187","30456","66891"
"07/01/20","460394","331440","89821","1350","21833","67187","30456","66896"
"07/02/20","460394","331440","89821","1350","21833","67187","30456","66896"
"07/03/20","460394","331440","89821","1350","21833","67187","30456","66896"
"07/06/20","460394","331440","89821","1350","21833","67187","30456","66896"
"07/07/20","460394","331440","89821","1350","21833","67187","30456","66896"
"07/08/20","460394","331440","89821","1350","21833","67187","30456","66896"
"07/09/20","460394","331440","89821","1350","21833","67187","30456","66896"
"07/10/20","460394","331440","89821","1350","21833","67187","30456","66896"
"07/13/20","460394","331440","89821","1350","21833","67187","30456","66896"
"07/14/20","460394","331440","89821","1350","21833","67187","30456","66896"
"07/15/20","460394","331440","89821","1350","21833","67187","30456","66896"
"07/16/20","460394","331440","89821","1350","21833","67187","30456","66896"
"07/17/20","460394","331440","89821","1350","21833","67187","30456","66896"
"07/20/20","460394","331440","89821","1350","21833","67187","30456","66896"
"07/21/20","460394","331440","89821","1350","21833","67187","30456","66896"
"07/22/20","460394","331440","89821","1350","21833","67187","30456","66896"
"07/23/20","460394","331440","89821","1350","21833","67187","30456","66896"
"07/24/20","460394","331440","89821","1350","21833","67187","30456","66896"
"07/27/20","460394","331440","89821","1350","21833","67187","30456","66896"
"07/28/20","460394","331440","89821","1350","21833","67187","30456","66896"
"07/29/20","460394","331440","89821","1350","21833","67187","30456","66896"
"07/30/20","460394","331440","89821","1350","21833","67187","30456","66896"
"07/31/20","460394","331440","89821","1350","21833","67187","30456","66896"
"08/03/20","401375","331440","89821","1350","21907","67322","30456","62633"
"08/04/20","401375","331440","89821","1350","21907","67322","30456","62633"
"08/05/20","401375","331440","89821","1350","21907","67322","30456","62633"
"08/06/20","401375","331440","89821","1350","21907","67322","30456","62633"
"08/07/20","401375","331440","89821","1350","21907","67322","30456","62633"
"08/10/20","401375","331440","89821","1350","21907","67322","30456","62633"
"08/11/20","401375","331440","89821","1350","21907","67322","30456","62633"
"08/12/20","401375","331440","89821","1350","21907","67322","30456","62633"
"08/13/20","401375","331440","89821","1350","21907","67322","30456","62633"
"08/14/20","401375","331440","89821","1350","21907","67322","30456","62633"
"08/17/20","401375","331440","89821","1350","21907","67322","30456","62633"
"08/18/20","401375","331440","89821","1350","21907","67322","30456","62633"
"08/19/20","401375","331440","89821","1350","21907","67322","30456","62633"
"08/20/20","401375","331440","89821","1350","21907","67322","30456","62633"
"08/21/20","401375","331440","89821","1350","21907","67322","30456","62633"
"08/24/20","401375","331440","89821","1350","21907","67322","30456","62633"
"08/25/20","401375","331440","89821","1350","21907","67322","30456","62633"
"08/26/20","401375","331440","89821","1350","21907","67322","30456","62633"
"08/27/20","401375","331440","89821","1350","21907","67322","30456","62633"
"08/28/20","401375","331440","89821","1350","21907","67322","30456","62633"
"08/31/20","401375","331440","89821","1350","21907","67322","30456","62633"
"09/01/20","395170","331440","87926","1255","21907","67367","30476","62746"
"09/02/20","395170","331440","87926","1255","21907","67367","30476","62746"
"09/03/20","395170","331440","87926","1255","21907","67367","30476","62746"
"09/04/20","395170","331440","87926","1255","21907","67367","30476","62746"
"09/07/20","395170","331440","87926","1255","21907","67367","30476","62746"
"09/08/20","395170","331440","87926","1255","21907","67367","30476","62746"
"09/09/20","395170","331440","87926","1255","21907","67367","30476","62746"
"09/10/20","395170","331440","87926","1255","21907","67367","30476","62746"
"09/11/20","395170","331440","87926","1255","21907","67367","30476","62746"
"09/14/20","395170","331440","87926","1255","21907","67367","30476","62746"
"09/15/20","395170","331440","87926","1255","21907","67367","30476","62746"
"09/16/20","395170","331440","87926","1255","21907","67367","30476","62746"
"09/17/20","395170","331440","87926","1255","21907","67367","30476","62746"
"09/18/20","395170","331440","87926","1255","21907","67367","30476","62746"
"09/21/20","395170","331440","87926","1255","21907","67367","30476","62746"
"09/22/20","395170","331440","87926","1255","21907","67367","30476","62746"
"09/23/20","395170","331440","87926","1255","21907","67367","30476","62746"
"09/24/20","395170","331440","87926","1255","21907","67367","30476","62746"
"09/25/20","395170","331440","87926","1255","21907","67367","30476","62746"
"09/28/20","395170","331440","87926","1255","21907","67367","30476","62746"
"09/29/20","395170","331440","87926","1255","21907","67367","30476","62746"
"09/30/20","395170","331440","87926","1255","21907","67367","30476","62746"
"10/01/20","395296","331466","87949","1255","21907","67367","30476","62745"
"10/02/20","395296","331466","87949","1255","21907","67367","30476","62745"
"10/05/20","395296","331466","87949","1255","21907","67367","30476","62745"
"10/06/20","395296","331466","87949","1255","21907","67367","30476","62745"
"10/07/20","395296","331466","87949","1255","21907","67367","30476","62745"
"10/08/20","395296","331466","87949","1255","21907","67367","30476","62745"
"10/09/20","395296","331466","87949","1255","21907","67367","30476","62745"
"10/12/20","395296","331466","87949","1255","21907","67367","30476","62745"
"10/13/20","395296","331466","87949","1255","21907","67367","30476","62745"
"10/14/20","395296","331466","87949","1255","21907","67367","30476","62745"
"10/15/20","395296","331466","87949","1255","21907","67367","30476","62745"
"10/16/20","395296","331466","87949","1255","21907","67367","30476","62745"
"10/19/20","395296","331466","87949","1255","21907","67367","30476","62745"
"10/20/20","395296","331466","87949","1255","21907","67367","30476","62745"
"10/21/20","395296","331466","87949","1255","21907","67367","30476","62745"
"10/22/20","395296","331466","87949","1255","21907","67367","30476","62745"
"10/23/20","395296","331466","87949","1255","21907","67367","30476","62745"
"10/26/20","395296","331466","87949","1255","21907","67367","30476","62745"
"10/27/20","395296","331466","87949","1255","21907","67367","30476","62745"
"10/28/20","395296","331466","87949","1255","21907","67367","30476","62745"
"10/29/20","395296","331466","87949","1255","21907","67367","30476","62745"
"10/30/20","395296","331466","87949","1255","21907","67367","30476","62745"
"11/02/20","395296","331466","87949","1255","21963","67674","30476","62745"
"11/03/20","395296","331466","87949","1255","21963","67674","30476","62745"
"11/04/20","395296","331466","87949","1255","21963","67674","30476","62745"
"11/05/20","395296","331466","87949","1255","21963","67674","30476","62745"
"11/06/20","395296","331466","87949","1255","21963","67674","30476","62745"
"11/09/20","395296","331466","87949","1255","21963","67674","30476","62745"
"11/10/20","395296","331466","87949","1255","21963","67674","30476","62745"
"11/11/20","395296","331466","87949","1255","21963","67674","30476","62745"
"11/12/20","395296","331466","87949","1255","21963","67674","30476","62745"
"11/13/20","395296","331466","87949","1255","21963","67674","30476","62745"
"11/16/20","395296","331466","87949","1255","21963","67674","30476","62745"
"11/17/20","395296","331466","87949","1255","21963","67674","30476","62745"
"11/18/20","395296","331466","87949","1255","21963","67674","30476","62745"
"11/19/20","395296","331466","87949","1255","21963","67674","30476","62745"
"11/20/20","395296","331466","87949","1255","21963","67674","30476","62745"
"11/23/20","395296","331466","87949","1255","21963","67674","30476","62745"
"11/24/20","395296","331466","87949","1255","21963","67674","30476","62745"
"11/25/20","395296","331466","87949","1255","21963","67674","30476","62745"
"11/26/20","395296","331466","87949","1255","21963","67674","30476","62745"
"11/27/20","395296","331466","87949","1255","21963","67674","30476","62745"
"11/30/20","395296","331466","87949","1255","21963","67674","30476","62745"
"12/01/20","434215","331466","80814","1238","21963","67616","30686","62432"
"12/02/20","434215","331466","80814","1238","21963","67616","30686","62432"
"12/03/20","434215","331466","80814","1238","21963","67616","30686","62432"
"12/04/20","434215","331466","80814","1238","21963","67616","30686","62432"
"12/07/20","434215","331466","80814","1238","21963","67616","30686","62432"
"12/08/20","434215","331466","80814","1238","21963","67616","30686","62432"
"12/09/20","434215","331466","80814","1238","21963","67616","30686","62432"
"12/10/20","434215","331466","80814","1238","21963","67616","30686","62432"
"12/11/20","434215","331466","80814","1238","21963","67616","30686","62432"
"12/14/20","434215","331466","80814","1238","21963","67616","30686","62432"
"12/15/20","434215","331466","80814","1238","21963","67616","30686","62432"
"12/16/20","434215","331466","80814","1238","21963","67616","30686","62432"
"12/17/20","434215","331466","80814","1238","21963","67616","30686","62432"
"12/18/20","434215","331466","80814","1238","21963","67616","30686","62432"
"12/21/20","434215","331466","80814","1238","21963","67616","30686","62432"
"12/22/20","434215","331466","80814","1238","21963","67616","30686","62432"
"12/23/20","434215","331466","80814","1238","21963","67616","30686","62432"
"12/24/20","434215","331466","80814","1238","21963","67616","30686","62432"
"12/25/20","434215","331466","80814","1238","21963","67616","30686","62432"
"12/28/20","434215","331466","80814","1238","21963","67616","30686","62432"
"12/29/20","434215","331466","80814","1238","21963","67616","30686","62432"
"12/30/20","434215","331466","80814","1238","21963","67616","30686","62432"
"12/31/20","434215","331466","80814","1238","21963","67616","30686","62432"
"01/01/21","434303","331466","80814","1238","21963","67616","30686","62432"
"01/04/21","434303","331466","80814","1238","21963","67616","30686","62432"
"01/05/21","434303","331466","80814","1238","21963","67616","30686","62432"
"01/06/21","434303","331466","80814","1238","21963","67616","30686","62432"
"01/07/21","434303","331466","80814","1238","21963","67616","30686","62432"
"01/08/21","434303","331466","80814","1238","21963","67616","30686","62432"
"01/11/21","434303","331466","80814","1238","21963","67616","30686","62432"
"01/12/21","434303","331466","80814","1238","21963","67616","30686","62432"
"01/13/21","434303","331466","80814","1238","21963","67616","30686","62432"
"01/14/21","434303","331466","80814","1238","21963","67616","30686","62432"
"01/15/21","434303","331466","80814","1238","21963","67616","30686","62432"
"01/18/21","434303","331466","80814","1238","21963","67616","30686","62432"
"01/19/21","434303","331466","80814","1238","21963","67616","30686","62432"
"01/20/21","434303","331466","80814","1238","21963","67616","30686","62432"
"01/21/21","434303","331466","80814","1238","21963","67616","30686","62432"
"01/22/21","434303","331466","80814","1238","21963","67616","30686","62432"
"01/25/21","434303","331466","80814","1238","21963","67616","30686","62432"
"01/26/21","434303","331466","80814","1238","21963","67616","30686","62432"
"01/27/21","434303","331466","80814","1238","21963","67616","30686","62432"
"01/28/21","434303","331466","80814","1238","21963","67616","30686","62432"
"01/29/21","434303","331466","80814","1238","21963","67616","30686","62432"
"02/01/21","434324","331402","88559","1888","21963","67921","30913","62433"
"02/02/21","434324","331402","88559","1888","21963","67921","30913","62433"
"02/03/21","434324","331402","88559","1888","21963","67921","30913","62433"
"02/04/21","434324","331402","88559","1888","21963","67921","30913","62433"
"02/05/21","434324","331402","88559","1888","21963","67921","30913","62433"
"02/08/21","434324","331402","88559","1888","21963","67921","30913","62433"
"02/09/21","434324","331402","88559","1888","21963","67921","30913","62433"
"02/10/21","434324","331402","88559","1888","21963","67921","30913","62433"
"02/11/21","434324","331402","88559","1888","21963","67921","30913","62433"
"02/12/21","434324","331402","88559","1888","21963","67921","30913","62433"
"02/15/21","434324","331402","88559","1888","21963","67921","30913","62433"
"02/16/21","434324","331402","88559","1888","21963","67921","30913","62433"
"02/17/21","434324","331402","88559","1888","21963","67921","30913","62433"
"02/18/21","434324","331402","88559","1888","21963","67921","30913","62433"
"02/19/21","434324","331402","88559","1888","21963","67921","30913","62433"
"02/22/21","434324","331402","88559","1888","21963","67921","30913","62433"
"02/23/21","434324","331402","88559","1888","21963","67921","30913","62433"
"02/24/21","434324","331402","88559","1888","21963","67921","30913","62433"
"02/25/21","434324","331402","88559","1888","21963","67921","30913","62433"
"02/26/21","434324","331402","88559","1888","21963","67921","30913","62433"
"03/01/21","434342","331424","87384","1601","21813","68735","31894","62632"
"03/02/21","434342","331424","87384","1601","21813","68735","31894","62632"
"03/03/21","434342","331424","87384","1601","21813","68735","31894","62632"
"03/04/21","434342","331424","87384","1601","21813","68735","31894","62632"
"03/05/21","434342","331424","87384","1601","21813","68735","31894","62632"
"03/08/21","434342","331424","87384","1601","21813","68735","31894","62632"
"03/09/21","434342","331424","87384","1601","21813","68735","31894","62632"
"03/10/21","434342","331424","87384","1601","21813","68735","31894","62632"
"03/11/21","434342","331424","87384","1601","21813","68735","31894","62632"
"03/12/21","434342","331424","87384","1601","21813","68735","31894","62632"
"03/15/21","434342","331424","87384","1601","21813","68735","31894","62632"
"03/16/21","434342","331424","87384","1601","21813","68735","31894","62632"
"03/17/21","434342","331424","87384","1601","21813","68735","31894","62632"
"03/18/21","434342","331424","87384","1601","21813","68735","31894","62632"
"03/19/21","434342","331424","87384","1601","21813","68735","31894","62632"
"03/22/21","434342","331424","87384","1601","21813","68735","31894","62632"
"03/23/21","434342","331424","87384","1601","21813","68735","31894","62632"
"03/24/21","434342","331424","87384","1601","21813","68735","31894","62632"
"03/25/21","434342","331424","87384","1601","21813","68735","31894","62632"
"03/26/21","434342","331424","87384","1601","21813","68735","31894","62632"
"03/29/21","434342","331424","87384","1601","21813","68735","31894","62632"
"03/30/21","434342","331424","87384","1601","21813","68735","31894","62632"
"03/31/21","434342","331424","87384","1601","21813","68735","31894","62632"
"04/01/21","433806","331524","87402","1738","22163","68735","31313","62611"
"04/02/21","433806","331524","87402","1738","22163","68735","31313","62611"
"04/05/21","433806","331524","87402","1738","22163","68735","31313","62611"
"04/06/21","433806","331524","87402","1738","22163","68735","31313","62611"
"04/07/21","433806","331524","87402","1738","22163","68735","31313","62611"
"04/08/21","433806","331524","87402","1738","22163","68735","31313","62611"
"04/09/21","433806","331524","87402","1738","22163","68735","31313","62611"
"04/12/21","433806","331524","87402","1738","22163","68735","31313","62611"
"04/13/21","433806","331524","87402","1738","22163","68735","31313","62611"
"04/14/21","433806","331524","87402","1738","22163","68735","31313","62611"
"04/15/21","433806","331524","87402","1738","22163","68735","31313","62611"
"04/16/21","433806","331524","87402","1738","22163","68735","31313","62611"
"04/19/21","433806","331524","87402","1738","22163","68735","31313","62611"
"04/20/21","433806","331524","87402","1738","22163","68735","31313","62611"
"04/21/21","433806","331524","87402","1738","22163","68735","31313","62611"
"04/22/21","433806","331524","87402","1738","22163","68735","31313","62611"
"04/23/21","433806","331524","87402","1738","22163","68735","31313","62611"
"04/26/21","433806","331524","87402","1738","22163","68735","31313","62611"
"04/27/21","433806","331524","87402","1738","22163","68735","31313","62611"
"04/28/21","433806","331524","87402","1738","22163","68735","31313","62611"
"04/29/21","433806","331524","87402","1738","22163","68735","31313","62611"
"04/30/21","433806","331524","87402","1738","22163","68735","31313","62611"
"05/03/21","433806","331521","87402","1738","22169","68735","31316","62601"
"05/04/21","433806","331521","87402","1738","22169","68735","31316","62601"
"05/05/21","433806","331521","87402","1738","22169","68735","31316","62601"
"05/06/21","433806","331521","87402","1738","22169","68735","31316","62601"
"05/07/21","433806","331521","87402","1738","22169","68735","31316","62601"
"05/10/21","433806","331521","87402","1738","22169","68735","31316","62601"
"05/11/21","433806","331521","87402","1738","22169","68735","31316","62601"
"05/12/21","433806","331521","87402","1738","22169","68735","31316","62601"
"05/13/21","433806","331521","87402","1738","22169","68735","31316","62601"
"05/14/21","433806","331521","87402","1738","22169","68735","31316","62601"
"05/17/21","433806","331521","87402","1738","22169","68735","31316","62601"
"05/18/21","433806","331521","87402","1738","22169","68735","31316","62601"
"05/19/21","433806","331521","87402","1738","22169","68735","31316","62601"
"05/20/21","433806","331521","87402","1738","22169","68735","31316","62601"
"05/21/21","433806","331521","87402","1738","22169","68735","31316","62601"
"05/24/21","433806","331521","87402","1738","22169","68735","31316","62601"
"05/25/21","433806","331521","87402","1738","22169","68735","31316","62601"
"05/26/21","433806","331521","87402","1738","22169","68735","31316","62601"
"05/27/21","433806","331521","87402","1738","22169","68735","31316","62601"
"05/28/21","433806","331521","87402","1738","22169","68735","31316","62601"
"05/31/21","433806","331521","87402","1738","22169","68735","31316","62601"
"06/01/21","433806","331521","88192","1819","22169","73012","33447","63274"
"06/02/21","433806","331521","88192","1819","22169","73012","33447","63274"
"06/03/21","433806","331521","88192","1819","22169","73012","33447","63274"
"06/04/21","433806","331521","88192","1819","22169","73012","33447","63274"
"06/07/21","433806","331521","88192","1819","22169","73012","33447","63274"
"06/08/21","433806","331521","88192","1819","22169","73012","33447","63274"
"06/09/21","433806","331521","88192","1819","22169","73012","33447","63274"
"06/10/21","433806","331521","88192","1819","22169","73012","33447","63274"
"06/11/21","433806","331521","88192","1819","22169","73012","33447","63274"
"06/14/21","433806","331521","88192","1819","22169","73012","33447","63274"
"06/15/21","433806","331521","88192","1819","22169","73012","33447","63274"
"06/16/21","433806","331521","88192","1819","22169","73012","33447","63274"
"06/17/21","433806","331521","88192","1819","22169","73012","33447","63274"
"06/18/21","433806","331521","88192","1819","22169","73012","33447","63274"
"06/21/21","433806","331521","88192","1819","22169","73012","33447","63274"
"06/22/21","433806","331521","88192","1819","22169","73012","33447","63274"
"06/23/21","433806","331521","88192","1819","22169","73012","33447","63274"
"06/24/21","433806","331521","88192","1819","22169","73012","33447","63274"
"06/25/21","433806","331521","88192","1819","22169","73012","33447","63274"
"06/28/21","433806","331521","88192","1819","22169","73012","33447","63274"
"06/29/21","433806","331521","88192","1819","22169","73012","33447","63274"
"06/30/21","433806","331521","88192","1819","22169","73012","33447","63274"
"07/01/21","433806","331546","88206","1669","22169","73155","33446","63207"
"07/02/21","433806","331546","88206","1669","22169","73155","33446","63207"
"07/05/21","433806","331546","88206","1669","22169","73155","33446","63207"
"07/06/21","433806","331546","88206","1669","22169","73155","33446","63207"
"07/07/21","433806","331546","88206","1669","22169","73155","33446","63207"
"07/08/21","433806","331546","88206","1669","22169","73155","33446","63207"
"07/09/21","433806","331546","88206","1669","22169","73155","33446","63207"
"07/12/21","433806","331546","88206","1669","22169","73155","33446","63207"
"07/13/21","433806","331546","88206","1669","22169","73155","33446","63207"
"07/14/21","433806","331546","88206","1669","22169","73155","33446","63207"
"07/15/21","433806","331546","88206","1669","22169","73155","33446","63207"
"07/16/21","433806","331546","88206","1669","22169","73155","33446","63207"
"07/19/21","433806","331546","88206","1669","22169","73155","33446","63207"
"07/20/21","433806","331546","88206","1669","22169","73155","33446","63207"
"07/21/21","433806","331546","88206","1669","22169","73155","33446","63207"
"07/22/21","433806","331546","88206","1669","22169","73155","33446","63207"
"07/23/21","433806","331546","88206","1669","22169","73155","33446","63207"
"07/26/21","433806","331546","88206","1669","22169","73155","33446","63207"
"07/27/21","433806","331546","88206","1669","22169","73155","33446","63207"
"07/28/21","433806","331546","88206","1669","22169","73155","33446","63207"
"07/29/21","433806","331546","88206","1669","22169","73155","33446","63207"
"07/30/21","433806","331546","88206","1669","22169","73155","33446","63207"
"08/02/21","432740","331546","88206","1669","22570","73155","33447","63207"
"08/03/21","432740","331546","88206","1669","22570","73155","33447","63207"
"08/04/21","432740","331546","88206","1669","22570","73155","33447","63207"
"08/05/21","432740","331546","88206","1669","22570","73155","33447","63207"
"08/06/21","432740","331546","88206","1669","22570","73155","33447","63207"
"08/09/21","432740","331546","88206","1669","22570","73155","33447","63207"
"08/10/21","432740","331546","88206","1669","22570","73155","33447","63207"
"08/11/21","432740","331546","88206","1669","22570","73155","33447","63207"
"08/12/21","432740","331546","88206","1669","22570","73155","33447","63207"
"08/13/21","432740","331546","88206","1669","22570","73155","33447","63207"
"08/16/21","432740","331546","88206","1669","22570","73155","33447","63207"
"08/17/21","432740","331546","88206","1669","22570","73155","33447","63207"
"08/18/21","432740","331546","88206","1669","22570","73155","33447","63207"
"08/19/21","432740","331546","88206","1669","22570","73155","33447","63207"
"08/20/21","432740","331546","88206","1669","22570","73155","33447","63207"
"08/23/21","432740","331546","88206","1669","22570","73155","33447","63207"
"08/24/21","432740","331546","88206","1669","22570","73155","33447","63207"
"08/25/21","432740","331546","88206","1669","22570","73155","33447","63207"
"08/26/21","432740","331546","88206","1669","22570","73155","33447","63207"
"08/27/21","432740","331546","88206","1669","22570","73155","33447","63207"
"08/30/21","432740","331546","88206","1669","22570","73155","33447","63207"
"08/31/21","432740","331546","88206","1669","22570","73155","33447","63207"
"09/01/21","432740","331546","88206","1556","22570","73155","33447","63207"
"09/02/21","432740","331546","88206","1556","22570","73155","33447","63207"
"09/03/21","432740","331546","88206","1556","22570","73155","33447","63207"
"09/06/21","432740","331546","88206","1556","22570","73155","33447","63207"
"09/07/21","432740","331546","88206","1556","22570","73155","33447","63207"
"09/08/21","432740","331546","88206","1556","22570","73155","33447","63207"
"09/09/21","432740","331546","88206","1556","22570","73155","33447","63207"
"09/10/21","432740","331546","88206","1556","22570","73155","33447","63207"
"09/13/21","432740","331546","88206","1556","22570","73155","33447","63207"
"09/14/21","432740","331546","88206","1556","22570","73155","33447","63207"
"09/15/21","432740","331546","88206","1556","22570","73155","33447","63207"
"09/16/21","432740","331546","88206","1556","22570","73155","33447","63207"
"09/17/21","432740","331546","88206","1556","22570","73155","33447","63207"
"09/20/21","432740","331546","88206","1556","22570","73155","33447","63207"
"09/21/21","432740","331546","88206","1556","22570","73155","33447","63207"
"09/22/21","432740","331546","88206","1556","22570","73155","33447","63207"
"09/23/21","432740","331546","88206","1556","22570","73155","33447","63207"
"09/24/21","432740","331546","88206","1556","22570","73155","33447","63207"
"09/27/21","432740","331546","88206","1556","22570","73155","33447","63207"
"09/28/21","432740","331546","88206","1556","22570","73155","33447","63207"
"09/29/21","432740","331546","88206","1556","22570","73155","33447","63207"
"09/30/21","432740","331546","88206","1556","22570","73155","33447","63207"
"10/01/21","432740","331546","88206","1556","22570","73277","37910","63207"
"10/04/21","432740","331546","88206","1556","22570","73277","37910","63207"
"10/05/21","432740","331546","88206","1556","22570","73277","37910","63207"
"10/06/21","432740","331546","88206","1556","22570","73277","37910","63207"
"10/07/21","432740","331546","88206","1556","22570","73277","37910","63207"
"10/08/21","432740","331546","88206","1556","22570","73277","37910","63207"
"10/11/21","432740","331546","88206","1556","22570","73277","37910","63207"
"10/12/21","432740","331546","88206","1556","22570","73277","37910","63207"
"10/13/21","432740","331546","88206","1556","22570","73277","37910","63207"
"10/14/21","432740","331546","88206","1556","22570","73277","37910","63207"
"10/15/21","432740","331546","88206","1556","22570","73277","37910","63207"
"10/18/21","432740","331546","88206","1556","22570","73277","37910","63207"
"10/19/21","432740","331546","88206","1556","22570","73277","37910","63207"
"10/20/21","432740","331546","88206","1556","22570","73277","37910","63207"
"10/21/21","432740","331546","88206","1556","22570","73277","37910","63207"
"10/22/21","432740","331546","88206","1556","22570","73277","37910","63207"
"10/25/21","432740","331546","88206","1556","22570","73277","37910","63207"
"10/26/21","432740","331546","88206","1556","22570","73277","37910","63207"
"10/27/21","432740","331546","88206","1556","22570","73277","37910","63207"
"10/28/21","432740","331546","88206","1556","22570","73277","37910","63207"
