"","A:TWEX(FFNOSH)","B:ABI(FFNOSH)","H:HB(FFNOSH)","F:RCD(FFNOSH)","I:CPR(FFNOSH)","DGE(FFNOSH)","K:BBCA(FFNOSH)","K:CHRE(FFNOSH)","DK:CAB(FFNOSH)","DK:RBR(FFNOSH)","CN:KCM(FFNOSH)","CN:YWU(FFNOSH)","CN:JYB(FFNOSH)","CN:TTB(FFNOSH)","IN:MLC(FFNOSH)","IN:UBB(FFNOSH)","MX:BEC(FFNOSH)","BR:AVS(FFNOSH)","CL:CVZ(FFNOSH)","U:STZ(FFNOSH)","U:BF.B(FFNOSH)","U:TAP(FFNOSH)","U:SAM(FFNOSH)"
"09/23/16","681465","814809","215771","184083","569184","2368641","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","281045","160731","7825"
"09/26/16","681465","814809","215771","184083","569184","2368641","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","281045","160731","7825"
"09/27/16","681465","814809","215771","184083","569184","2368641","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","281045","160731","7825"
"09/28/16","681465","814809","215771","184083","569184","2368641","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","281045","160731","7825"
"09/29/16","681465","814809","215771","184083","569184","2368641","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","281045","160731","7825"
"09/30/16","681465","814809","215771","184083","569184","2368641","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","281045","160731","7825"
"10/03/16","681465","899809","215771","184083","569184","2368811","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","281045","160838","7956"
"10/04/16","681465","899809","215771","184083","569184","2368811","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","281045","160838","7956"
"10/05/16","681465","899809","215771","184083","569184","2368811","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","281045","160838","7956"
"10/06/16","681465","899809","215771","184083","569184","2368811","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","281045","160838","7956"
"10/07/16","681465","899809","215771","184083","569184","2368811","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","281045","160838","7956"
"10/10/16","681465","899809","215771","184083","569184","2368811","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","281045","160838","7956"
"10/11/16","681465","899809","215771","184083","569184","2368811","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","281045","160838","7956"
"10/12/16","681465","899809","215771","184083","569184","2368811","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","281045","160838","7956"
"10/13/16","681465","899809","215771","184083","569184","2368811","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","281045","160838","7956"
"10/14/16","681465","899809","215771","184083","569184","2368811","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","281045","160838","7956"
"10/17/16","681465","899809","215771","184083","569184","2368811","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","281045","160838","7956"
"10/18/16","681465","899809","215771","184083","569184","2368811","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","281045","160838","7956"
"10/19/16","681465","899809","215771","184083","569184","2368811","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","281045","160838","7956"
"10/20/16","681465","899809","215771","184083","569184","2368811","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","281045","160838","7956"
"10/21/16","681465","899809","215771","184083","569184","2368811","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","281045","160838","7956"
"10/24/16","681465","899809","215771","184083","569184","2368811","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","281045","160838","7956"
"10/25/16","681465","899809","215771","184083","569184","2368811","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","281045","160838","7956"
"10/26/16","681465","899809","215771","184083","569184","2368811","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","281045","160838","7956"
"10/27/16","681465","899809","215771","184083","569184","2368811","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","281045","160838","7956"
"10/28/16","681465","899809","215771","184083","569184","2368811","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","281045","160838","7956"
"10/31/16","681465","899809","215771","184083","569184","2368811","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","281045","160838","7956"
"11/01/16","681465","899809","215771","184083","569184","2368871","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","269647","160838","7956"
"11/02/16","681465","899809","215771","184083","569184","2368871","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","269647","160838","7956"
"11/03/16","681465","899809","215771","184083","569184","2368871","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","269647","160838","7956"
"11/04/16","681465","899809","215771","184083","569184","2368871","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","269647","160838","7956"
"11/07/16","681465","899809","215771","184083","569184","2368871","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","269647","160838","7956"
"11/08/16","681465","899809","215771","184083","569184","2368871","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","269647","160838","7956"
"11/09/16","681465","899809","215771","184083","569184","2368871","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","269647","160838","7956"
"11/10/16","681465","899809","215771","184083","569184","2368871","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","269647","160838","7956"
"11/11/16","681465","899809","215771","184083","569184","2368871","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","269647","160838","7956"
"11/14/16","681465","899809","215771","184083","569184","2368871","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","269647","160838","7956"
"11/15/16","681465","899809","215771","184083","569184","2368871","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","269647","160838","7956"
"11/16/16","681465","899809","215771","184083","569184","2368871","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","269647","160838","7956"
"11/17/16","681465","899809","215771","184083","569184","2368871","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","269647","160838","7956"
"11/18/16","681465","899809","215771","184083","569184","2368871","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","269647","160838","7956"
"11/21/16","681465","899809","215771","184083","569184","2368871","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","269647","160838","7956"
"11/22/16","681465","899809","215771","184083","569184","2368871","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","269647","160838","7956"
"11/23/16","681465","899809","215771","184083","569184","2368871","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","269647","160838","7956"
"11/24/16","681465","899809","215771","184083","569184","2368871","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","269647","160838","7956"
"11/25/16","681465","899809","215771","184083","569184","2368871","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","269647","160838","7956"
"11/28/16","681465","899809","215771","184083","569184","2368871","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","269647","160838","7956"
"11/29/16","681465","899809","215771","184083","569184","2368871","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","269647","160838","7956"
"11/30/16","681465","899809","215771","184083","569184","2368871","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","0","4423943","33689","168363","269647","160838","7956"
"12/01/16","681465","899809","215828","184083","569184","2369381","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","38686","172705","269647","160511","7592"
"12/02/16","681465","899809","215828","184083","569184","2369381","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","38686","172705","269647","160511","7592"
"12/05/16","681465","899809","215828","184083","569184","2369381","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","38686","172705","269647","160511","7592"
"12/06/16","681465","899809","215828","184083","569184","2369381","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","38686","172705","269647","160511","7592"
"12/07/16","681465","899809","215828","184083","569184","2369381","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","38686","172705","269647","160511","7592"
"12/08/16","681465","899809","215828","184083","569184","2369381","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","38686","172705","269647","160511","7592"
"12/09/16","681465","899809","215828","184083","569184","2369381","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","38686","172705","269647","160511","7592"
"12/12/16","681465","899809","215828","184083","569184","2369381","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","38686","172705","269647","160511","7592"
"12/13/16","681465","899809","215828","184083","569184","2369381","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","38686","172705","269647","160511","7592"
"12/14/16","681465","899809","215828","184083","569184","2369381","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","38686","172705","269647","160511","7592"
"12/15/16","681465","899809","215828","184083","569184","2369381","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","38686","172705","269647","160511","7592"
"12/16/16","681465","899809","215828","184083","569184","2369381","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","38686","172705","269647","160511","7592"
"12/19/16","681465","899809","215828","184083","569184","2369381","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","38686","172705","269647","160511","7592"
"12/20/16","681465","899809","215828","184083","569184","2369381","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","38686","172705","269647","160511","7592"
"12/21/16","681465","899809","215828","184083","569184","2369381","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","38686","172705","269647","160511","7592"
"12/22/16","681465","899809","215828","184083","569184","2369381","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","38686","172705","269647","160511","7592"
"12/23/16","681465","899809","215828","184083","569184","2369381","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","38686","172705","269647","160511","7592"
"12/26/16","681465","899809","215828","184083","569184","2369381","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","38686","172705","269647","160511","7592"
"12/27/16","681465","899809","215828","184083","569184","2369381","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","38686","172705","269647","160511","7592"
"12/28/16","681465","899809","215828","184083","569184","2369381","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","38686","172705","269647","160511","7592"
"12/29/16","681465","899809","215828","184083","569184","2369381","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","38686","172705","269647","160511","7592"
"12/30/16","681465","899809","215828","184083","569184","2369381","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","38686","172705","269647","160511","7592"
"01/02/17","681465","899809","215828","184083","569184","2369966","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","67385","172705","269647","160511","7592"
"01/03/17","681465","899809","215828","184083","569184","2369966","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","67385","172705","269647","160511","7592"
"01/04/17","681465","899809","215828","184083","569184","2369966","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","67385","172705","269647","160511","7592"
"01/05/17","681465","899809","215828","184083","569184","2369966","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","67385","172705","269647","160511","7592"
"01/06/17","681465","899809","215828","184083","569184","2369966","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","67385","172705","269647","160511","7592"
"01/09/17","681465","899809","215828","184083","569184","2369966","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","67385","172705","269647","160511","7592"
"01/10/17","681465","899809","215828","184083","569184","2369966","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","67385","172705","269647","160511","7592"
"01/11/17","681465","899809","215828","184083","569184","2369966","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","67385","172705","269647","160511","7592"
"01/12/17","681465","899809","215828","184083","569184","2369966","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","67385","172705","269647","160511","7592"
"01/13/17","681465","899809","215828","184083","569184","2369966","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","67385","172705","269647","160511","7592"
"01/16/17","681465","899809","215828","184083","569184","2369966","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","67385","172705","269647","160511","7592"
"01/17/17","681465","899809","215828","184083","569184","2369966","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","67385","172705","269647","160511","7592"
"01/18/17","681465","899809","215828","184083","569184","2369966","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","67385","172705","269647","160511","7592"
"01/19/17","681465","899809","215828","184083","569184","2369966","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","67385","172705","269647","160511","7592"
"01/20/17","681465","899809","215828","184083","569184","2369966","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","67385","172705","269647","160511","7592"
"01/23/17","681465","899809","215828","184083","569184","2369966","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","67385","172705","269647","160511","7592"
"01/24/17","681465","899809","215828","184083","569184","2369966","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","67385","172705","269647","160511","7592"
"01/25/17","681465","899809","215828","184083","569184","2369966","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","67385","172705","269647","160511","7592"
"01/26/17","681465","899809","215828","184083","569184","2369966","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","67385","172705","269647","160511","7592"
"01/27/17","681465","899809","215828","184083","569184","2369966","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","67385","172705","269647","160511","7592"
"01/30/17","681465","899809","215828","184083","569184","2369966","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","67385","172705","269647","160511","7592"
"01/31/17","681465","899809","215828","184083","569184","2369966","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","3654040","4423943","67385","172705","269647","160511","7592"
"02/01/17","681465","899809","215828","184082","569184","2370258","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","67385","172705","268562","160902","7711"
"02/02/17","681465","899809","215828","184082","569184","2370258","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","67385","172705","268562","160902","7711"
"02/03/17","681465","899809","215828","184082","569184","2370258","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","67385","172705","268562","160902","7711"
"02/06/17","681465","899809","215828","184082","569184","2370258","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","67385","172705","268562","160902","7711"
"02/07/17","681465","899809","215828","184082","569184","2370258","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","67385","172705","268562","160902","7711"
"02/08/17","681465","899809","215828","184082","569184","2370258","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","67385","172705","268562","160902","7711"
"02/09/17","681465","899809","215828","184082","569184","2370258","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","67385","172705","268562","160902","7711"
"02/10/17","681465","899809","215828","184082","569184","2370258","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","67385","172705","268562","160902","7711"
"02/13/17","681465","899809","215828","184082","569184","2370258","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","67385","172705","268562","160902","7711"
"02/14/17","681465","899809","215828","184082","569184","2370258","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","67385","172705","268562","160902","7711"
"02/15/17","681465","899809","215828","184082","569184","2370258","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","67385","172705","268562","160902","7711"
"02/16/17","681465","899809","215828","184082","569184","2370258","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","67385","172705","268562","160902","7711"
"02/17/17","681465","899809","215828","184082","569184","2370258","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","67385","172705","268562","160902","7711"
"02/20/17","681465","899809","215828","184082","569184","2370258","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","67385","172705","268562","160902","7711"
"02/21/17","681465","899809","215828","184082","569184","2370258","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","67385","172705","268562","160902","7711"
"02/22/17","681465","899809","215828","184082","569184","2370258","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","67385","172705","268562","160902","7711"
"02/23/17","681465","899809","215828","184082","569184","2370258","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","67385","172705","268562","160902","7711"
"02/24/17","681465","899809","215828","184082","569184","2370258","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","67385","172705","268562","160902","7711"
"02/27/17","681465","899809","215828","184082","569184","2370258","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","67385","172705","268562","160902","7711"
"02/28/17","681465","899809","215828","184082","569184","2370258","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","67385","172705","268562","160902","7711"
"03/01/17","643998","899809","215828","184082","569184","2369909","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","172705","268562","156966","7683"
"03/02/17","643998","899809","215828","184082","569184","2369909","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","172705","268562","156966","7683"
"03/03/17","643998","899809","215828","184082","569184","2369909","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","172705","268562","156966","7683"
"03/06/17","643998","899809","215828","184082","569184","2369909","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","172705","268562","156966","7683"
"03/07/17","643998","899809","215828","184082","569184","2369909","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","172705","268562","156966","7683"
"03/08/17","643998","899809","215828","184082","569184","2369909","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","172705","268562","156966","7683"
"03/09/17","643998","899809","215828","184082","569184","2369909","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","172705","268562","156966","7683"
"03/10/17","643998","899809","215828","184082","569184","2369909","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","172705","268562","156966","7683"
"03/13/17","643998","899809","215828","184082","569184","2369909","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","172705","268562","156966","7683"
"03/14/17","643998","899809","215828","184082","569184","2369909","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","172705","268562","156966","7683"
"03/15/17","643998","899809","215828","184082","569184","2369909","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","172705","268562","156966","7683"
"03/16/17","643998","899809","215828","184082","569184","2369909","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","172705","268562","156966","7683"
"03/17/17","643998","899809","215828","184082","569184","2369909","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","172705","268562","156966","7683"
"03/20/17","643998","899809","215828","184082","569184","2369909","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","172705","268562","156966","7683"
"03/21/17","643998","899809","215828","184082","569184","2369909","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","172705","268562","156966","7683"
"03/22/17","643998","899809","215828","184082","569184","2369909","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","172705","268562","156966","7683"
"03/23/17","643998","899809","215828","184082","569184","2369909","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","172705","268562","156966","7683"
"03/24/17","643998","899809","215828","184082","569184","2369909","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","172705","268562","156966","7683"
"03/27/17","643998","899809","215828","184082","569184","2369909","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","172705","268562","156966","7683"
"03/28/17","643998","899809","215828","184082","569184","2369909","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","172705","268562","156966","7683"
"03/29/17","643998","899809","215828","184082","569184","2369909","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","172705","268562","156966","7683"
"03/30/17","643998","899809","215828","184082","569184","2369909","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","172705","268562","156966","7683"
"03/31/17","643998","899809","215828","184082","569184","2369909","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","172705","268562","156966","7683"
"04/03/17","638866","899809","215828","184082","569184","2369991","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","171447","268562","156985","7577"
"04/04/17","638866","899809","215828","184082","569184","2369991","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","171447","268562","156985","7577"
"04/05/17","638866","899809","215828","184082","569184","2369991","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","171447","268562","156985","7577"
"04/06/17","638866","899809","215828","184082","569184","2369991","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","171447","268562","156985","7577"
"04/07/17","638866","899809","215828","184082","569184","2369991","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","171447","268562","156985","7577"
"04/10/17","638866","899809","215828","184082","569184","2369991","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","171447","268562","156985","7577"
"04/11/17","638866","899809","215828","184082","569184","2369991","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","171447","268562","156985","7577"
"04/12/17","638866","899809","215828","184082","569184","2369991","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","171447","268562","156985","7577"
"04/13/17","638866","899809","215828","184082","569184","2369991","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","171447","268562","156985","7577"
"04/14/17","638866","899809","215828","184082","569184","2369991","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","171447","268562","156985","7577"
"04/17/17","638866","899809","215828","184082","569184","2369991","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","171447","268562","156985","7577"
"04/18/17","638866","899809","215828","184082","569184","2369991","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","171447","268562","156985","7577"
"04/19/17","638866","899809","215828","184082","569184","2369991","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","171447","268562","156985","7577"
"04/20/17","638866","899809","215828","184082","569184","2369991","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","171447","268562","156985","7577"
"04/21/17","638866","899809","215828","184082","569184","2369991","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","171447","268562","156985","7577"
"04/24/17","638866","899809","215828","184082","569184","2369991","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","171447","268562","156985","7577"
"04/25/17","638866","899809","215828","184082","569184","2369991","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","171447","268562","156985","7577"
"04/26/17","638866","899809","215828","184082","569184","2369991","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","171447","268562","156985","7577"
"04/27/17","638866","899809","215828","184082","569184","2369991","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","171447","268562","156985","7577"
"04/28/17","638866","899809","215828","184082","569184","2369991","0","1560099","98328","44547","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","171447","268562","156985","7577"
"05/01/17","638866","899809","215828","184082","569184","2370150","0","1560099","98328","43147","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","171904","268973","156985","7577"
"05/02/17","638866","899809","215828","184082","569184","2370150","0","1560099","98328","43147","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","171904","268973","156985","7577"
"05/03/17","638866","899809","215828","184082","569184","2370150","0","1560099","98328","43147","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","171904","268973","156985","7577"
"05/04/17","638866","899809","215828","184082","569184","2370150","0","1560099","98328","43147","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","171904","268973","156985","7577"
"05/05/17","638866","899809","215828","184082","569184","2370150","0","1560099","98328","43147","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","171904","268973","156985","7577"
"05/08/17","638866","899809","215828","184082","569184","2370150","0","1560099","98328","43147","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","171904","268973","156985","7577"
"05/09/17","638866","899809","215828","184082","569184","2370150","0","1560099","98328","43147","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","171904","268973","156985","7577"
"05/10/17","638866","899809","215828","184082","569184","2370150","0","1560099","98328","43147","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","171904","268973","156985","7577"
"05/11/17","638866","899809","215828","184082","569184","2370150","0","1560099","98328","43147","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","171904","268973","156985","7577"
"05/12/17","638866","899809","215828","184082","569184","2370150","0","1560099","98328","43147","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","171904","268973","156985","7577"
"05/15/17","638866","899809","215828","184082","569184","2370150","0","1560099","98328","43147","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","171904","268973","156985","7577"
"05/16/17","638866","899809","215828","184082","569184","2370150","0","1560099","98328","43147","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","171904","268973","156985","7577"
"05/17/17","638866","899809","215828","184082","569184","2370150","0","1560099","98328","43147","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","171904","268973","156985","7577"
"05/18/17","638866","899809","215828","184082","569184","2370150","0","1560099","98328","43147","477426","1667595","523282","290781","65715","92886","548106","4423943","65604","171904","268973","156985","7577"
