"","A:TWEX(FFNOSH)","B:ABI(FFNOSH)","H:HB(FFNOSH)","F:RCD(FFNOSH)","I:CPR(FFNOSH)","DGE(FFNOSH)","K:BBCA(FFNOSH)","K:CHRE(FFNOSH)","DK:CAB(FFNOSH)","DK:RBR(FFNOSH)","CN:KCM(FFNOSH)","CN:YWU(FFNOSH)","CN:JYB(FFNOSH)","CN:TTB(FFNOSH)","IN:MLC(FFNOSH)","IN:UBB(FFNOSH)","MX:BEC(FFNOSH)","BR:AVS(FFNOSH)","CL:CVZ(FFNOSH)","U:STZ(FFNOSH)","U:BF.B(FFNOSH)","U:TAP(FFNOSH)","U:SAM(FFNOSH)"
"12/10/15","656205","814809","215771","182070","569184","2368778","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","141380","7715"
"12/11/15","656205","814809","215771","182070","569184","2368778","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","141380","7715"
"12/14/15","656205","814809","215771","182070","569184","2368778","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","141380","7715"
"12/15/15","656205","814809","215771","182070","569184","2368778","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","141380","7715"
"12/16/15","656205","814809","215771","182070","569184","2368778","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","141380","7715"
"12/17/15","656205","814809","215771","182070","569184","2368778","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","141380","7715"
"12/18/15","656205","814809","215771","182070","569184","2368778","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","141380","7715"
"12/21/15","656205","814809","215771","182070","569184","2368778","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","141380","7715"
"12/22/15","656205","814809","215771","182070","569184","2368778","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","141380","7715"
"12/23/15","656205","814809","215771","182070","569184","2368778","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","141380","7715"
"12/24/15","656205","814809","215771","182070","569184","2368778","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","141380","7715"
"12/25/15","656205","814809","215771","182070","569184","2368778","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","141380","7715"
"12/28/15","656205","814809","215771","182070","569184","2368778","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","141380","7715"
"12/29/15","656205","814809","215771","182070","569184","2368778","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","141380","7715"
"12/30/15","656205","814809","215771","182070","569184","2368778","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","141380","7715"
"12/31/15","656205","814809","215771","182070","569184","2368778","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","141380","7715"
"01/01/16","641554","814809","215771","182070","569184","2369178","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","168697","7715"
"01/04/16","641554","814809","215771","182070","569184","2369178","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","168697","7715"
"01/05/16","641554","814809","215771","182070","569184","2369178","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","168697","7715"
"01/06/16","641554","814809","215771","182070","569184","2369178","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","168697","7715"
"01/07/16","641554","814809","215771","182070","569184","2369178","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","168697","7715"
"01/08/16","641554","814809","215771","182070","569184","2369178","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","168697","7715"
"01/11/16","641554","814809","215771","182070","569184","2369178","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","168697","7715"
"01/12/16","641554","814809","215771","182070","569184","2369178","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","168697","7715"
"01/13/16","641554","814809","215771","182070","569184","2369178","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","168697","7715"
"01/14/16","641554","814809","215771","182070","569184","2369178","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","168697","7715"
"01/15/16","641554","814809","215771","182070","569184","2369178","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","168697","7715"
"01/18/16","641554","814809","215771","182070","569184","2369178","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","168697","7715"
"01/19/16","641554","814809","215771","182070","569184","2369178","0","1170074","97975","45184","477426","1667595","523282","290781","65715","112822","0","4454435","27674","165948","292048","168697","7715"
