"X.AMRS.PB.","X.GRWG.PB.","U.YOLO.PB.","U.CNBS.PB.","U.MJ.PB.","X.POTX.PB.","U.STZ.PB.","U.IIPR.PB.","X.CARA.PB.","X.TLRY.PB.","X.SNDL.PB.","X.CNTTQ.PB."
16.95,0,0,0,27.18,0,142.04,0,4.78,0,0,0
17.55,0,0,0,26.67,0,141.86,0,5.02,0,0,0
16.95,0,0,0,25.91,0,144.11,0,4.66,0,0,0
16.65,0,0,0,26.35,0,144.57,0,4.73,0,0,0
16.95,0,0,0,27.5,0,146.89,0,4.95,0,0,0
17.4,0,0,0,27.83,0,147.05,0,5.16,0,0,0
16.95,0,0,0,27.86,0,147.18,0,6.27,0,0,0
17.25,0,0,0,27.97,0,149.41,0,6.51,0,0,0
17.1,0,0,0,27.14,0,150.12,0,5.74,0,0,0
18.45,0,0,0,27.04,0,149.94,0,5.83,0,0,0
19.06,0,0,0,27.29,0,149.66,0,5.76,0,0,0
18.6,0,0,0,27.6,0,149.38,0,5.73,0,0,0
17.85,0,0,0,27.87,0,149.72,0,6.07,0,0,0
17.7,0,0,0,27.91,0,151.6,0,6,0,0,0
16.8,0,0,0,27.86,0,151.12,0,6.22,0,0,0
16.35,0,0,0,28.14,0,152.68,0,6.59,0,0,0
15,0,0,0,27.63,0,151.43,0,6.84,0,0,0
14.36,0,0,0,27.12,0,151.42,0,6.69,0,0,0
15.75,0,0,0,27.23,0,160.31,0,6.9,0,0,0
15.45,0,0,0,26.94,0,157.39,0,6.8,0,0,0
15.75,0,0,0,27.84,0,158.95,0,6.66,0,0,0
19.5,0,0,0,28.36,0,157.43,0,6.6,0,0,0
17.4,0,0,0,28.63,0,156.96,0,7.06,0,0,0
16.5,0,0,0,29.01,0,156.09,0,7.43,0,0,0
16.2,0,0,0,28.96,0,156.81,0,7.51,0,0,0
15.75,0,0,0,28.72,0,156.7,0,7.4,0,0,0
16.05,0,0,0,28.58,0,158,0,8.11,0,0,0
16.05,0,0,0,29.19,0,157.3,0,8.21,0,0,0
15.75,0,0,0,28.93,0,156.02,0,7.66,0,0,0
15.75,0,0,0,28.45,0,155.22,0,7.09,0,0,0
15.75,0,0,0,28.42,0,154.82,0,6.62,0,0,0
16.05,0,0,0,28.45,0,156.8,0,6.86,0,0,0
15.9,0,0,0,28.91,0,156.25,0,6.34,0,0,0
15.75,0,0,0,29.39,0,156.66,0,6.04,0,0,0
15.15,0,0,0,29.42,0,155.53,0,6.51,0,0,0
15.15,0,0,0,29.74,0,156.08,0,6.1,0,0,0
14.36,0,0,0,29.26,0,157.8,0,6.11,0,0,0
14.25,0,0,0,28.79,0,158.45,0,6.13,0,0,0
13.05,0,0,0,28.85,0,158.84,0,5.8,0,0,0
12.15,0,0,0,28.79,0,159.17,0,5.55,0,0,0
12.33,0,0,0,28.87,0,159.61,0,5.55,0,0,0
12.3,0,0,0,28.5,0,161.12,0,5.47,0,0,0
12.18,0,0,0,29.17,0,163.46,0,5.77,0,0,0
10.35,0,0,0,29.3,0,162.91,0,5.62,0,0,0
9.48,0,0,0,29.54,0,161.89,0,5.2,0,0,0
9.48,0,0,0,29.15,0,161.41,0,5.21,0,0,0
8.7,0,0,0,29.1,0,162.49,0,5.47,0,0,0
8.46,0,0,0,28.83,0,158.13,0,5.5,0,0,0
7.95,0,0,0,28.17,0,154.6,0,5.65,0,0,0
8.18,0,0,0,27.89,0,156.08,0,5.49,0,0,0
8.12,0,0,0,28.21,0,154.04,0,5.79,0,0,0
8.24,0,0,0,27.69,0,154.29,0,6.14,0,0,0
7.7,0,0,0,27.39,0,157.61,0,6.18,0,0,0
7.61,0,0,0,27.42,0,156.81,0,6.24,0,0,0
8.21,0,0,0,27.42,0,157.89,0,6.25,0,0,0
8.7,0,0,0,27.22,0,157.84,0,6.37,0,0,0
8.89,0,0,0,27.09,0,155.3,0,6.55,0,0,0
8.62,0,0,0,27.12,0,153.15,0,6.46,0,0,0
8.11,0,0,0,27.24,0,153.7,0,6.13,0,0,0
8.19,0,0,0,27.36,0,154.1,0,6.44,0,0,0
8.1,0,0,0,27.78,0,153.39,0,6.22,0,0,0
9.6,0,0,0,27.99,0,155.08,0,6.31,0,0,0
8.71,0,0,0,28.38,0,151.13,0,6.07,0,0,0
8.4,0,0,0,28.98,0,154.06,0,6.11,0,0,0
8.01,0,0,0,28.7,0,154.1,0,5.8,0,0,0
7.82,0,0,0,28.19,0,153.41,0,5.43,0,0,0
8.47,0,0,0,27.71,0,152.88,0,5.36,0,0,0
7.76,0,0,0,27.57,0,157.09,0,5.26,0,0,0
7.65,0,0,0,27.72,0,156.25,0,5.33,0,0,0
7.5,0,0,0,27.72,0,156.73,0,5.26,0,0,0
7.7,0,0,0,28.02,0,154.05,0,5.01,0,0,0
7.38,0,0,0,28.46,0,154.38,0,5.13,0,0,0
6.75,0,0,0,28.43,0,154.83,0,4.96,0,0,0
6.21,0,0,0,28.59,0,153.65,0,4.88,0,0,0
5.96,0,0,0,29.19,0,155.97,0,5.05,0,0,0
6.12,0,0,0,27.83,0,152.6,0,4.83,0,0,0
5.25,0,0,0,27.45,0,153.1,0,4.46,0,0,0
5.62,0,0,0,28.28,0,157.69,0,4.78,0,0,0
6.04,0,0,0,29.09,0,159.35,0,4.92,0,0,0
6.81,0,0,0,29.48,0,165.4,0,4.8,0,0,0
6.8,0,0,0,29.36,0,163.56,0,5.1,0,0,0
6.5,0,0,0,29.03,0,164.07,0,5.06,0,0,0
6.21,0,0,0,28.74,0,165.91,0,4.93,0,0,0
6,0,0,0,28.53,0,165.34,0,5.08,0,0,0
5.94,0,0,0,28.36,0,166.01,0,5.08,0,0,0
6.16,0,0,0,29.13,0,165.96,0,5.17,0,0,0
6.17,0,0,0,29.22,0,164.18,0,5.1,0,0,0
6.09,0,0,0,29.42,0,163.69,0,5.16,0,0,0
6.07,0,0,0,29.43,0,163.51,0,5.04,0,0,0
6.02,0,0,0,29.85,0,162.84,0,4.95,0,0,0
6.15,0,0,0,29.89,0,163.06,0,4.93,0,0,0
5.95,0,0,0,30.5,0,163.12,0,4.99,0,0,0
6,0,0,0,30.68,0,164.03,0,4.82,0,0,0
5.9,0,0,0,30.76,0,166.33,0,5.01,0,0,0
5.81,0,0,0,30.81,0,165.35,0,4.99,0,0,0
5.82,0,0,0,31.11,0,167.65,0,6.08,0,0,0
5.3,0,0,0,30.71,0,166.3,0,6.07,0,0,0
5.55,0,0,0,30.67,0,165.38,0,5.85,0,0,0
5.33,0,0,0,30.63,0,163.01,0,6.21,0,0,0
5.43,0,0,0,30.4,0,163.55,0,5.99,0,0,0
5.23,0,0,0,30.96,0,164.64,0,5.93,0,0,0
5.06,0,0,0,30.73,0,163.98,0,6.03,0,0,0
4.92,0,0,0,30.62,0,162.62,0,5.77,0,0,0
5.28,0,0,0,30.88,0,162.64,0,6.07,0,0,0
5.7,0,0,0,31.34,0,163.64,0,5.94,0,0,0
5.7,0,0,0,31.73,0,163.05,0,5.98,0,0,0
5.96,0,0,0,31.65,0,162.6,0,5.86,0,0,0
5.73,0,0,0,32.02,0,164.62,0,6.03,0,0,0
6.04,0,0,0,31.88,0,166.11,0,5.91,0,0,0
5.84,0,0,0,32,0,165.16,0,6,0,0,0
5.73,0,0,0,31.59,0,165.46,0,6.17,0,0,0
5.7,0,0,0,31.76,0,164.94,0,6.55,0,0,0
6.66,0,0,0,31.49,0,164.47,0,6.28,0,0,0
6.36,0,0,0,31.21,0,165.27,0,6.02,0,0,0
6.46,0,0,0,31.23,0,165.28,0,6.12,0,0,0
6.4,0,0,0,31.35,0,165.48,0,5.9,0,0,0
6.58,0,0,0,31.26,0,165.79,0,6.05,0,0,0
6.82,0,0,0,30.75,0,166.36,0,5.98,0,0,0
6.54,0,0,0,30.98,0,166.61,0,5.56,0,0,0
6.53,0,0,0,30.96,0,166.65,0,5.49,0,0,0
6.39,0,0,0,30.56,0,165.67,0,5.51,0,0,0
6.15,0,0,0,30.82,0,166.8,0,5.52,0,0,0
6.16,0,0,0,30.76,0,166.17,0,5.49,0,0,0
6.01,0,0,0,30.7,0,164.13,0,5.41,0,0,0
6.2,0,0,0,30.72,0,164.84,0,5.37,0,0,0
6.15,0,0,0,31.1,0,167.01,0,5.31,0,0,0
6.12,0,0,0,31.41,0,167.67,0,5.39,0,0,0
6.08,0,0,0,31.48,0,166.92,0,5.66,0,0,0
6.05,0,0,0,31.37,0,166.07,0,6.01,0,0,0
6.3,0,0,0,31.13,0,165.53,0,5.98,0,0,0
6.38,0,0,0,30.18,0,162.37,0,5.62,0,0,0
6.56,0,0,0,30.24,0,164.8,0,6,0,0,0
6.45,0,0,0,29.49,0,161.31,0,5.97,0,0,0
6.45,0,0,0,29.34,0,162.66,0,6.08,0,0,0
6.6,0,0,0,29.56,0,166.42,0,6.22,0,0,0
6.94,0,0,0,29.46,0,164.63,0,6.5,0,0,0
7.12,0,0,0,29.46,0,162.68,0,6.86,0,0,0
7.65,0,0,0,29.48,0,162.85,0,7.26,0,0,0
8.25,0,0,0,30,0,165.74,0,7.5,0,0,0
7.83,0,0,0,30.18,0,166.02,0,7.5,0,0,0
7.2,0,0,0,29.86,0,166.63,0,7.32,0,0,0
7.36,0,0,0,29.27,0,165.64,0,7.75,0,0,0
7.35,0,0,0,30.25,0,165.95,0,8.61,0,0,0
7.94,0,0,0,30.44,0,165.28,0,8.56,0,0,0
7.57,0,0,0,30.03,0,163.68,0,8.17,0,0,0
8.7,0,0,0,30.21,0,166.47,0,8.34,0,0,0
9,0,0,0,30.61,0,165.44,0,8.6,0,0,0
8.71,0,0,0,30.38,0,165.66,0,8.65,0,0,0
8.85,0,0,0,30.64,0,168.58,0,9.67,0,0,0
8.93,0,0,0,30.55,0,171,0,8.91,0,0,0
8.72,0,0,0,30.48,0,168.72,0,8.67,0,0,0
9.66,0,0,0,30.85,0,171.25,0,8.71,0,0,0
9.52,0,0,0,30.88,0,169.73,0,8.16,0,0,0
11.55,0,0,0,30.81,0,170,0,7.55,0,0,0
12.15,0,0,0,30.85,0,168.98,0,8.07,0,0,0
11.62,0,0,0,30.83,0,169.48,0,7.74,0,0,0
