"X.AMRS.PA.","X.GRWG.PA.","U.YOLO.PA.","U.CNBS.PA.","U.MJ.PA.","X.POTX.PA.","U.STZ.PA.","U.IIPR.PA.","X.CARA.PA.","X.TLRY.PA.","X.SNDL.PA.","X.CNTTQ.PA."
17.85,0,0,0,26.89,0,141.9,0,5.03,0,0,0
17.25,0,0,0,26.13,0,144.12,0,4.67,0,0,0
17.1,0,0,0,26.58,0,144.58,0,4.74,0,0,0
17.25,0,0,0,27.73,0,146.9,0,4.97,0,0,0
17.7,0,0,0,28.06,0,147.06,0,5.17,0,0,0
17.1,0,0,0,28.09,0,147.19,0,6.28,0,0,0
17.4,0,0,0,28.19,0,149.42,0,6.52,0,0,0
17.25,0,0,0,27.36,0,150.14,0,5.75,0,0,0
18.75,0,0,0,27.26,0,149.95,0,5.84,0,0,0
19.33,0,0,0,27.5,0,149.67,0,5.77,0,0,0
18.75,0,0,0,27.81,0,149.39,0,5.74,0,0,0
18,0,0,0,28.09,0,149.74,0,6.09,0,0,0
17.85,0,0,0,28.13,0,151.63,0,6.01,0,0,0
16.95,0,0,0,28.07,0,151.13,0,6.23,0,0,0
16.65,0,0,0,28.36,0,152.72,0,6.6,0,0,0
15.15,0,0,0,27.87,0,151.47,0,6.85,0,0,0
14.55,0,0,0,27.35,0,151.51,0,6.7,0,0,0
15.9,0,0,0,27.45,0,160.34,0,6.91,0,0,0
15.75,0,0,0,27.16,0,157.4,0,6.81,0,0,0
16.05,0,0,0,28.07,0,158.98,0,6.68,0,0,0
19.8,0,0,0,28.58,0,157.46,0,6.61,0,0,0
17.55,0,0,0,28.85,0,156.98,0,7.07,0,0,0
16.65,0,0,0,29.22,0,156.13,0,7.44,0,0,0
16.35,0,0,0,29.18,0,156.83,0,7.52,0,0,0
15.9,0,0,0,28.99,0,156.71,0,7.41,0,0,0
16.2,0,0,0,28.8,0,158.01,0,8.12,0,0,0
16.2,0,0,0,29.4,0,157.31,0,8.22,0,0,0
15.9,0,0,0,29.14,0,156.06,0,7.67,0,0,0
16.05,0,0,0,28.68,0,155.26,0,7.12,0,0,0
15.9,0,0,0,28.66,0,154.85,0,6.63,0,0,0
16.2,0,0,0,28.68,0,156.82,0,6.87,0,0,0
16.05,0,0,0,29.13,0,156.28,0,6.35,0,0,0
15.9,0,0,0,29.48,0,156.68,0,6.05,0,0,0
15.3,0,0,0,29.64,0,155.58,0,6.52,0,0,0
15.3,0,0,0,30,0,156.1,0,6.11,0,0,0
14.38,0,0,0,29.87,0,157.83,0,6.12,0,0,0
14.47,0,0,0,29,0,158.47,0,6.14,0,0,0
13.2,0,0,0,29,0,158.86,0,5.81,0,0,0
12.23,0,0,0,29.02,0,159.19,0,5.56,0,0,0
12.33,0,0,0,29.09,0,159.64,0,5.56,0,0,0
12.75,0,0,0,28.71,0,161.14,0,5.48,0,0,0
12.45,0,0,0,29.39,0,163.5,0,5.78,0,0,0
10.45,0,0,0,29.51,0,162.93,0,5.64,0,0,0
9.52,0,0,0,29.79,0,161.9,0,5.21,0,0,0
9.56,0,0,0,29.36,0,161.42,0,5.22,0,0,0
8.85,0,0,0,29.33,0,162.51,0,5.48,0,0,0
8.7,0,0,0,29.06,0,158.14,0,5.51,0,0,0
8.07,0,0,0,28.4,0,154.61,0,5.66,0,0,0
8.18,0,0,0,28.12,0,156.09,0,5.5,0,0,0
8.28,0,0,0,28.43,0,154.06,0,5.8,0,0,0
8.25,0,0,0,27.9,0,154.31,0,6.15,0,0,0
7.85,0,0,0,27.6,0,157.63,0,6.19,0,0,0
7.8,0,0,0,27.43,0,156.82,0,6.25,0,0,0
8.4,0,0,0,27.63,0,157.9,0,6.26,0,0,0
8.84,0,0,0,27.43,0,157.85,0,6.38,0,0,0
8.91,0,0,0,27.29,0,155.34,0,6.57,0,0,0
8.7,0,0,0,27.34,0,153.2,0,6.48,0,0,0
8.4,0,0,0,27.46,0,153.71,0,6.14,0,0,0
8.27,0,0,0,27.57,0,154.11,0,6.45,0,0,0
8.17,0,0,0,27.99,0,153.4,0,6.23,0,0,0
9.68,0,0,0,28.22,0,155.09,0,6.32,0,0,0
8.85,0,0,0,28.45,0,151.14,0,6.09,0,0,0
8.58,0,0,0,29.16,0,154.09,0,6.12,0,0,0
8.07,0,0,0,28.92,0,154.12,0,5.81,0,0,0
7.95,0,0,0,28.4,0,153.45,0,5.44,0,0,0
8.55,0,0,0,27.94,0,152.89,0,5.37,0,0,0
7.76,0,0,0,27.79,0,157.11,0,5.27,0,0,0
7.7,0,0,0,27.93,0,156.28,0,5.34,0,0,0
7.58,0,0,0,27.94,0,156.76,0,5.27,0,0,0
7.75,0,0,0,28.24,0,154.06,0,5.02,0,0,0
7.47,0,0,0,28.68,0,154.4,0,5.14,0,0,0
6.76,0,0,0,28.65,0,154.84,0,4.97,0,0,0
6.28,0,0,0,28.8,0,153.67,0,4.89,0,0,0
6,0,0,0,29.4,0,155.99,0,5.07,0,0,0
6.15,0,0,0,28.05,0,152.62,0,4.84,0,0,0
