"A.ASBX.PA.","D.RHM.PA.","I.LDO.PA.","F.CSF.PA.","BA..PA.","RR..PA.","TK.ASE.PA.","IS.ESLT.PA.","U.NOC.PA.","U.RTX.PA.","U.HII.PA.","U.LMT.PA.","X.AXON.PA.","X.MANT.PA.","U.BWXT.PA.","U.CW.PA.","X.SWBI.PA.","U.GD.PA.","U.RGR.PA.","X.POWW.PA.","U.CACI.PA.","X.HON.PA."
1.26,85.64,14.88,102.47,8.39,3.32,1.67,125.62,243.77,65.98,211.48,267.98,22.91,36.1,46.43,95.36,14.75,189.81,52.9,9.19,123.75,120.36
1.24,85.55,16.03,102.13,8.42,3.34,1.65,124.06,243.83,66.7,211.63,269.41,23.02,36.88,46.91,96.29,14.92,191.66,53.1,9.17,125.5,121.59
1.24,85.37,16.06,103.1,8.48,3.35,1.63,124.35,240.18,66.24,210.16,267.75,22.76,36.5,46.74,95.93,15.02,190.63,53.25,9.13,124.25,120.99
1.2,85.34,15.7,102.97,8.49,3.34,1.61,125.47,243.92,66.96,213.72,271.6,23.38,36.14,47.02,95.75,14.92,193.21,53.55,9.07,127.1,121.82
1.21,86.49,15.14,103.38,8.52,3.35,1.63,125.7,242.99,66.97,211.39,272.08,22.94,36,46.86,94.81,14.92,191.98,53.1,8.99,125.4,121.14
1.21,84.73,14.91,103.11,8.47,3.36,1.59,123.86,239.72,66.15,207.11,269,22.46,35.08,47.15,93.09,14.75,188.69,53.4,8.86,122.25,120.32
1.21,84.8,15.12,102.89,8.47,3.28,1.59,121.77,241.15,66.02,208.84,269.41,22.45,34.81,47.77,92,14.42,189.6,53.6,8.71,122.35,120.17
1.21,84.92,15.23,103.41,8.57,3.26,1.59,119.76,239.58,65.97,207.94,269.58,22.63,35.36,47.92,92.6,14.5,189.6,53.15,8.54,122.7,120.2
1.23,87.72,15.22,103.72,8.58,3.27,1.6,117.4,236.9,65.95,205.11,267.6,22.5,34.92,47.56,91.23,14.39,187.52,52,8.37,121.05,119.53
1.23,87.75,14.99,102.85,8.43,3.21,1.56,115.33,235.9,65.96,202.17,267.22,22.48,34.51,47.26,90.89,14.26,185.53,51.55,8.19,118.7,119.22
1.24,88.46,15.07,103.97,8.54,3.26,1.57,116.71,237.17,66.5,202.53,269.21,22.8,34.62,47.67,91.2,14.41,188.44,52.3,8.04,119.4,119.96
1.29,89.16,15.34,102.81,8.5,3.28,1.59,118.9,236.55,66.1,202.13,268.21,22.64,34.9,47.56,90.56,14.75,188.3,52.3,7.9,119.75,119.97
1.27,89.95,15.56,104.33,8.61,3.31,1.6,119.07,239.06,66.32,202.38,270.63,23.22,34.57,48.11,91.44,15.08,188.8,52.7,7.81,118.25,120.09
1.27,91.37,15.35,104.71,8.45,3.26,1.58,120.02,237.91,66.18,200.32,267.66,22.79,34.63,47.68,91.23,15.22,187.22,53.5,7.74,117.3,119.53
1.27,90.34,15.31,103.15,8.34,3.25,1.59,118.9,237.81,66.02,201.84,268.81,22.5,34.05,47.24,90.48,15.71,187.77,55.85,7.7,113.3,119.08
1.27,90.99,15.42,104.3,8.41,3.31,1.59,118.84,237.75,66.67,201.97,269.63,22,33.79,47.45,90.43,15.13,187.74,53.85,7.67,113.35,118.92
1.27,91.54,15.25,104.17,8.35,3.37,1.6,120.36,236.11,66.35,198.62,267.05,21.9,33.69,47.6,88.75,15.45,185.87,55.35,7.65,113.15,118.32
1.24,92.55,15.52,105.08,8.33,3.39,1.58,122.34,236.7,66.3,200.44,267.13,23.08,34.15,47.95,89.42,15.79,186.34,56.6,7.64,113.85,118.6
1.23,94.71,15.63,106.09,8.53,3.45,1.58,122.4,238.85,66.64,203.8,270.28,23.28,34.42,48.08,89.44,15.85,188.05,56.1,7.62,114.85,118.98
1.26,94.33,15.37,105.7,8.43,3.45,1.6,122.71,239.34,66.57,203.85,269.09,23.28,34.66,48.19,89.7,16.3,187.69,57.1,7.6,115.95,119.17
1.25,95.36,15.3,106.24,8.43,3.51,1.59,123.07,241.04,66.74,205.62,270.3,23.19,35.16,48.53,91,16.84,188.43,58.95,7.58,116.45,119.26
1.25,94.67,15.13,106.37,8.5,3.59,1.59,122.28,239.36,66.2,203.64,268.49,22.43,34.21,47.88,88.85,16.28,186.33,57.3,7.56,114.35,117.89
1.25,93.84,15.33,106.37,8.45,3.58,1.57,119.99,240.36,66.13,202.96,268.12,22.05,34.4,47.8,87.72,16.25,186.77,56.9,7.56,112.4,117.32
1.26,93.34,15.46,105.97,8.4,3.57,1.58,118.47,242.07,66.39,202.22,269.28,21.92,34.82,48.06,88.46,16.38,188.48,57.55,7.58,113.08,117.73
1.28,93.13,15.53,105.4,8.38,3.56,1.59,118.41,243.03,66.77,200.7,269.83,22.08,34.89,48.3,89.47,16.38,188.89,57.55,7.63,114.4,118.15
1.27,93.26,15.71,105.16,8.36,3.53,1.6,119.87,243.17,66.98,199.26,268.88,22.5,34.69,48.24,89.52,16.28,187.38,56.45,7.71,114.4,117.86
1.25,93.97,16.01,105.61,8.29,3.47,1.68,122.17,243.74,66.6,199.96,269.73,22.74,35,48.02,89.87,16.28,187.7,56.75,7.82,115.35,117.53
1.24,95.26,16.02,106.33,8.14,3.48,1.78,122.43,244.88,67.21,200.1,271.94,23.3,35.33,48.72,91.55,16.36,188.15,56.85,7.94,117.4,118.53
1.25,95.25,16.18,107.06,8.16,3.49,1.75,121.77,246.38,67.83,199.64,273.09,23.7,35.19,48.58,91.86,16.24,188.97,56.4,8.05,116,121.67
1.28,97.41,16.89,109.9,8.26,3.5,1.75,124.7,249.19,68.61,203.61,276.27,24.03,35.51,49.55,92.92,16.18,191.81,57.3,8.14,119.5,124.24
1.29,96.59,16.81,108.93,8.29,3.51,1.74,124.73,248.65,68.93,205.02,270.01,24.18,35.53,49.97,93.49,16.34,193.23,58.2,8.2,118.75,123.78
1.28,97.19,17.17,111.19,8.37,3.57,1.75,125.01,248.08,69.76,203.19,270.35,24.28,35.89,49.54,93.33,16.6,194.91,58.85,8.21,121.1,124.58
1.28,97.64,16.84,111.09,8.29,3.53,1.75,124.06,248.36,70.07,202.19,271.22,24.71,35.77,49.66,93.65,16.81,195.14,59.45,8.16,120.65,124.37
1.28,97.68,16.65,111.42,8.24,3.54,1.82,122.6,246.05,70.17,200.88,269.43,24.58,35.51,49.16,93.46,17.02,193.85,60.45,8.07,117.95,125.56
1.28,97.63,16.86,112.05,8.31,3.57,1.9,121.48,244.46,70.18,199.6,268.54,24.77,35.42,49.42,94.66,16.87,193.23,59.35,7.95,118.6,125.39
1.27,96.96,16.83,112.52,8.39,3.59,1.92,120.99,245.32,70.36,200.61,269.49,24.78,35.86,49.54,94.22,16.93,193.94,59.55,7.81,118,125.6
1.26,96.13,16.61,112.81,8.35,3.6,1.89,121.34,245.51,70.95,201.04,269.61,24.75,36.82,49.71,93.24,16.51,194.18,59.35,7.68,116.3,125.44
1.28,98.48,17.81,113.18,8.35,3.55,1.94,121.91,245.76,71.37,188.26,270.58,24.85,39.89,50.08,89.71,16.46,194.55,59.3,7.56,127.55,125.62
1.29,101.24,17.7,113.92,8.5,3.72,1.97,121.19,248.94,71.57,195.59,273.03,24.95,39.72,50.72,88.99,16.49,195.97,60.05,7.48,126.35,125.81
1.29,100.2,17.84,113.97,8.41,3.71,1.97,123.09,249.14,71.44,195.38,272.5,25.05,39.31,49.86,88.36,16.16,196.33,57.3,7.43,126.3,125.55
1.32,99.5,17.79,113.64,8.45,3.88,1.94,123.92,249.48,71.64,196.06,273.78,25.18,39.1,49.6,87.74,16.99,196.58,63,7.41,124.6,126.3
1.34,98.61,17.92,113.8,8.41,3.81,1.95,124.87,248.11,71.38,196.51,271.77,26.26,38.85,50.27,87.63,17.29,194.36,64.25,7.41,125,126.12
1.33,99.06,18.28,113.24,8.42,3.8,1.93,123.75,247.6,71.53,195.61,272.09,26.01,38.32,49.89,87.35,17.5,195,62.95,7.42,123.15,126.3
1.32,99.53,18.11,113.27,8.41,3.77,1.92,123.26,247.45,71.27,194.11,271.16,25.97,38.04,49.44,86.33,17.51,195.58,63,7.44,122.9,125.92
1.32,100.74,17.99,112.82,8.35,3.72,1.97,123.81,248.23,71.33,197.34,272.36,25.17,38.77,49.85,87.48,17.4,195.2,63.8,7.46,124,126.39
1.36,100.57,17.9,113.65,8.45,3.77,2.05,123.89,247.37,71.6,196.29,271.65,25.56,38.68,49.61,87.05,17.17,195.28,63.05,7.47,125,126.39
1.35,97.82,17.19,111.69,8.39,3.68,2.05,123.55,246.33,70.56,191.24,269.24,24.59,37.91,48.59,84,17.13,192.07,62.4,7.47,122.25,124.45
1.35,98.64,17.18,112.06,8.37,3.71,1.98,123.38,246.97,70.41,190.34,267.31,24.14,37.77,47.83,83.42,17.11,192.64,62.8,7.47,120.6,124.88
1.32,98.71,17.61,112.85,8.41,3.71,1.94,124.52,249.84,71.46,195.55,272.76,24.61,37.98,48.31,84.92,17.59,195.87,63.75,7.45,121.55,125.79
1.31,99.04,17.14,112.91,8.43,3.73,1.95,122.92,249.57,71.76,195.98,277.03,24.73,38.25,48.45,85.18,17.38,197.84,63.05,7.43,124.35,126.22
1.32,99.08,17.26,112.94,8.43,3.76,1.98,123.75,250.64,71.99,195.97,278.43,24.9,38.57,48.27,86.22,17.37,199.32,63.8,7.39,124.4,126.25
1.31,98.95,17.53,113.57,8.54,3.73,1.99,122.57,253.41,72,195.34,280.09,24.8,38.69,48.27,87.02,17.54,199.98,63,7.34,124.75,126.52
1.31,100.21,17.56,113.6,8.62,3.71,1.97,123.49,256.52,72.1,197.55,282.04,24.99,39.03,48.59,89.27,17.4,201.07,62.5,7.29,126.9,128.1
1.3,99.02,17.91,114.43,8.75,3.81,1.98,125.24,257.03,71.86,196.32,283.72,24.9,38.97,48.6,89.33,17.55,202.24,63.3,7.22,127.25,127.57
1.3,99.86,17.62,114.32,8.78,3.83,1.99,123.78,255.93,71.65,194.27,282.02,24.87,38.97,48.3,88.99,17.56,202.01,63.48,7.16,125.91,127.22
1.33,98.96,18,114.13,8.74,3.79,1.99,123.01,256.35,71.53,194.15,280.13,24.59,38.77,48.2,89.21,17.43,202.06,63.3,7.1,123.85,127.3
1.32,98.68,18.08,113.39,8.74,3.78,2.04,123.78,258.91,71.52,195.76,280.97,24.02,38.32,48.59,90.03,17.4,203.23,63.7,7.04,123.15,127.35
1.32,100.72,18.38,114.73,8.85,3.86,2.06,125.5,257.72,71.85,194.11,281,24.46,39.03,48.87,90.63,17.73,202.48,65.1,7,126.35,127.8
1.29,102.46,18.24,114.34,8.81,3.89,2.05,127.02,258.24,72.02,193.79,281.51,24.52,39.97,49.21,90.91,18.23,203.75,66.1,6.97,124.85,128.2
1.26,102.24,18.11,113.09,8.82,3.9,2.04,126.71,255.72,71.37,191.17,280.22,24.41,39.94,48.79,92.22,18.2,201.5,65.55,6.96,123.85,127.84
1.25,100.74,18.21,113.22,8.85,3.9,2.05,127.71,253.31,70.86,188.83,276.98,24.66,39.64,48.34,90.63,18.3,198.48,66.05,6.97,123.8,127.13
1.25,99.54,18,112.93,8.77,3.87,2.03,128.11,254.59,70.66,189.86,277.46,24.26,39.72,48.3,90.34,18.26,198.85,65.95,7,122.35,127.08
1.32,100.38,18.36,113.15,8.69,3.87,2.03,128.89,256.11,70.75,192.5,277.7,24.44,40.12,48.09,92.33,18.24,199.65,66.45,7.05,124,127.82
1.34,100.4,18.5,113.27,8.89,3.96,2.05,127.22,256.64,71.13,193.5,277,24.38,39.87,47.94,94.25,18.42,199.42,68,7.12,123.55,128.08
1.33,98.78,17.96,111.41,8.77,3.89,2.06,125.16,256.13,70.71,194.9,276.91,24.2,40.67,47.07,92.76,18.59,198.4,68.5,7.2,128.35,127.61
1.33,100.39,18.15,111.85,8.67,3.89,2.05,126.71,257.64,70.8,196.74,278.44,24.48,40.48,48,92.57,18.43,200.55,66.95,7.3,127.55,128.65
1.36,100.17,18.14,111.79,8.67,3.91,2.05,128.09,259.57,70.8,196.8,280.36,24.28,40.34,48.5,91.86,18.78,201.26,67.9,7.41,127,128.55
1.38,98.32,17.72,112.07,8.63,3.9,2.05,124.9,258.73,71.24,195.58,280.97,24.77,40.43,48.37,92.19,18.5,202.02,67.45,7.52,126.1,128.75
1.42,99.61,18.09,114.66,8.84,3.96,2.04,123.12,258.69,71.03,185.95,281.07,25.38,38.84,47.68,92.97,18.49,202.64,67.85,7.62,121.45,128.91
1.36,102.18,18.07,114.92,8.89,4.03,2.03,126.39,261.29,71.84,187.12,282.3,25.42,38.92,48.19,93.18,18.67,204.42,68.2,7.7,120.95,130.01
1.39,100.66,17.47,114.42,8.88,4.04,2.02,127.45,260.32,71.69,185.78,282.89,25.78,38.86,46.93,92.01,17.77,203.93,66.7,7.74,120,129.2
1.39,101.46,17.94,114.27,8.89,4.07,2.05,127.63,260.39,71.85,186.55,283.07,26.03,38.63,46.4,90.35,18.13,203.89,67.15,7.75,120.9,128.57
1.36,102.31,17.81,112.88,8.73,4.06,2.05,127.31,257,72.07,185.54,280.46,26.3,38.69,46.35,90.3,17.96,201.37,66.9,7.71,125.95,128.4
1.35,102.32,17.69,113.58,8.55,4.11,2.05,126.51,257.4,72.08,186.87,280.7,26.32,38.89,46.36,90.86,18.21,201.32,66.7,7.64,124.6,128.26
1.35,103.12,17.54,113.71,8.56,4.06,2.05,127.68,256.01,71.89,186.29,279.61,25.96,39.26,46.56,90.32,17.86,200.24,65.7,7.54,123.55,128.55
1.35,100.06,17.26,111.64,8.45,4.01,2.05,126.82,255.4,71.75,186.98,278.02,25.46,38.86,46.66,89.89,17.63,198.86,65.35,7.42,122.65,127.29
1.35,100.38,17.3,110.62,8.41,3.97,2.05,126.28,257.56,72.23,187.37,280.09,25.86,39.83,48.09,90.72,18.09,200.76,66.15,7.29,125.9,128.21
1.36,95.83,16.79,108.76,8.35,3.91,2.04,123.72,254.97,71.75,185.26,276.8,25.17,39.43,47.72,90.7,18.39,196.96,67.45,7.15,124.65,126.7
1.36,96.56,16.78,108.69,8.33,3.89,2.03,124.64,256.71,72.04,186.15,277.73,25.13,41.41,48.75,91.76,17.02,198.14,62.15,7.02,125.05,127.63
1.34,97.47,16.94,108.78,8.29,3.91,2.03,125.73,257.86,72.01,191.61,278.99,25.16,41.31,48.61,91.97,16.67,199.77,62.9,6.9,126.1,128.05
1.36,96.24,16.93,107.85,8.19,3.91,2.02,124.9,259.73,72.36,194.04,281.52,25.27,40.84,48.76,92.68,16.34,201.12,62.56,6.8,126.62,128.23
1.33,96.52,17.23,109.59,8.16,3.96,2,126.02,260.32,72.46,192.98,282.47,25.27,40.37,49.01,92.78,16.37,200.81,61.65,6.71,125.65,128.14
1.36,97.77,17.39,108.94,8.05,4,2.01,126.51,259,71.91,191.36,281.08,25.06,39.86,48.81,91.82,16.98,199.04,62.55,6.66,124.35,127.76
1.36,97.45,17.21,108.69,8.11,4.08,2,126.82,261.95,72.3,192.91,285.19,25.09,40.4,49.1,93.1,16.51,201.32,61.65,6.63,127.5,128.42
1.36,99.77,17.36,109.39,8.28,4.07,2.01,126.39,261.82,72.59,193.28,285.76,25.03,40.06,49.21,92.73,16.71,201.11,60.9,6.65,126.6,129
1.35,98.93,17.44,109.57,8.24,4.03,2.02,127.54,262.8,72.88,194.99,286.6,25.32,40.25,49.41,92.73,16.6,199.92,60.6,6.7,127.95,128.52
1.34,100.29,17.61,110.94,8.13,4.05,2.01,127.28,264.01,73,199.51,286.61,25.46,40.22,49.96,93.16,16.2,201.11,60.25,6.77,127.9,129.06
1.36,101.11,17.49,110.34,8.12,4.04,2.02,126.94,264.06,72.62,198.44,286.86,25.22,40.02,50.21,93.13,16.17,200.09,60.05,6.85,127.25,129.58
1.36,101.17,17.97,110.58,8.04,3.99,2.02,127.8,264.82,72.79,198.16,288.2,25.29,40.1,50.41,93.51,16.38,201.18,60.2,6.91,128.25,130.03
1.35,100.04,17.99,109.85,8.07,4,2.05,127.48,264.88,72.64,198.29,288.49,25.82,40.1,50.64,93.48,16.67,200.11,60.2,6.94,128.4,129.54
1.35,99.99,17.74,109.9,8.06,4,2.18,128.52,264.35,72.33,197.38,286.78,25.24,40.08,50.57,93.4,16.34,201.4,59.1,6.93,127.55,129.48
1.33,102.71,17.76,109.63,8.03,4.03,2.23,128.63,264.82,72.59,198.49,290.54,25.39,40.23,51,95.01,16.33,202.27,59.3,6.85,128.95,130.33
1.32,101.8,17.64,108.76,8.06,4,2.15,128.77,264.77,72.26,199.19,289.72,25.38,39.98,51.24,94.88,16.33,202.38,58.95,6.72,128.55,129.27
1.29,99.37,17.39,108.12,7.97,4.02,2.18,128.66,265.24,72.82,201.48,289.19,25.25,39.72,51.59,95.31,15.98,204.3,57.45,6.56,127.25,130.6
1.29,99.41,17.33,107.36,7.9,4.04,2.22,127.94,265.52,72.71,201.79,290.73,25.37,39.12,51.82,95.95,15.73,205.25,57.05,6.39,127.5,131.6
1.29,99.47,17.9,108.03,7.93,4.04,2.22,127.34,264.21,71.03,203.63,290.11,25.42,39.48,52.85,97.25,15.73,203.77,56.9,6.23,127.7,131.44
1.29,100.23,17.69,110.83,7.92,4.02,2.24,128.54,264.14,70.5,203.49,289.95,25.22,38.96,52.72,96.16,15.94,194.68,56.85,6.11,126.2,132.63
1.31,99.09,17.75,111.27,8.01,4.06,2.26,127.48,260,70.01,202.87,291.2,24.99,38.8,52.86,97.21,15.78,193.42,56.7,6.04,126.3,131.19
1.32,98.46,17.32,108.99,7.95,4.05,2.26,129.12,261.28,70.08,205.8,290.43,24.73,39.39,52.99,98.29,15.71,197.88,56.9,6.04,126.7,130.94
1.32,97.16,16.99,107.93,7.91,3.88,2.24,129.29,263.41,69.98,206.17,292.26,24.6,39.72,52.69,96.43,15.88,196.67,57.55,6.09,125.05,130.36
1.31,99.29,17.02,108.61,7.97,4.27,2.23,128.84,263.46,70.12,206.74,292.52,24.88,40.65,52.8,96.44,16.14,196.37,57.7,6.18,128.5,131.19
1.31,98.49,16.8,108.05,7.76,4.11,2.24,128.92,266.71,70.97,208.37,294.55,24.87,39.97,53.05,96.18,16.16,198,57.85,6.28,126.6,132.74
1.31,100.01,16.73,108.67,7.75,4.17,2.24,130.12,268.78,71.43,214.05,295.8,25.02,40.04,53,96.82,15.29,199.33,52.85,6.38,128.4,133.57
1.29,99.92,16.96,109.7,7.7,4.2,2.28,132.36,269.13,71.63,213.98,296.96,25.4,41.71,53.05,97,15.13,199.85,52.9,6.46,128.75,133.96
1.26,100.83,16.85,109.55,7.65,4.18,2.4,134.4,269.57,69.9,213.54,297.09,25.72,41.4,52.99,97.9,15.05,201.14,51.05,6.49,129.7,133.04
1.25,101.89,16.73,109.54,7.56,4.14,2.41,136.96,269.81,69.73,213.99,300.07,25.33,40.43,53.87,96.67,14.81,198.79,50.55,6.48,130.35,132.78
1.26,101.68,16.83,109.5,7.66,4.1,2.44,134.69,273.07,69.1,215.01,305.17,23.02,40.08,54,97.46,14.82,200.99,50.25,6.44,129.2,133.09
1.27,100.9,16.68,108.68,7.67,4.01,2.48,129.98,270.6,68.88,213.15,303.37,22.46,39.71,53.96,96.25,14.73,198.31,50.7,6.38,128.9,131.37
1.29,100.18,16.44,108.49,7.64,3.97,2.45,132.51,269.33,68.95,213.25,303.88,22.37,39,53.79,95.28,14.75,197.99,50.05,6.34,128.55,130.81
1.29,101.17,16.72,109.48,7.63,3.94,2.53,136.1,271.31,69.07,214.96,307.48,22.18,39.81,53.96,97.02,14.7,200.27,49.5,6.31,128.15,132.42
1.29,102.58,16.92,109.62,7.81,3.97,2.51,135.27,271.1,68.42,214.34,306.15,21.64,39.23,53.87,95.66,14.16,199.49,49,6.32,127.5,131.57
1.29,102.31,16.89,110.33,7.85,3.98,2.48,136.73,270.02,69.61,210.89,305.85,21.67,39.27,54.02,96.14,14.13,200.76,48.3,6.37,128.8,132.24
1.33,102.13,16.71,109.55,7.78,3.98,2.45,139.63,268.18,68.5,208.46,301.45,21.49,38.03,53.64,94.26,14.27,198.01,48.75,6.47,125.2,130.15
1.32,102.07,16.53,107.7,7.67,3.93,2.47,140.15,267.61,68.07,205.2,299.15,22.08,37.69,53.32,93.56,14.43,198.74,49.3,6.58,123,129.17
1.32,101.54,16.51,107.97,7.7,3.93,2.47,140.49,267.72,68.02,203.99,301.89,22.08,37.63,53.31,94.65,14.43,198.8,50.75,6.69,123.85,129.8
1.31,102.59,16.55,108.54,7.83,4,2.44,141.61,272.82,68.21,207.73,304.92,21.78,38.63,53.47,94.68,13.86,201.23,49.3,6.77,126.25,131.1
1.28,101.77,16.64,107.99,7.78,4,2.49,140.43,270.79,69.01,206.88,302.82,21.66,38.33,53.19,94.79,13.71,199.73,48.55,6.8,125.45,130.64
1.32,100.36,16.66,107.79,7.91,3.97,2.49,139.54,268.56,67.99,209.37,302.51,21.85,38.59,53.46,95.34,13.64,199.49,48.6,6.76,125.1,130.78
1.32,100.51,16.58,107.5,7.87,3.96,2.47,139.49,269.42,67.92,208.96,302.96,21.6,38.81,53.34,95.89,13.89,199.11,48.9,6.65,124.85,131.02
1.31,98.96,16.47,106.77,7.76,3.92,2.47,140.06,267.89,68.03,206.18,303.61,21.9,38.72,53.5,95.51,13.66,197.87,48.05,6.49,125.35,131
1.21,98,16.23,106.43,7.76,3.91,2.48,139.4,270.71,70.02,208.85,308.08,21.62,39.16,53.8,96.45,13.04,200.92,46.85,6.31,126.05,131.79
1.27,98.34,16.26,107.35,7.92,3.97,2.5,141.01,270.99,70.55,210.55,306.15,21.61,39.43,54.12,96.73,12.68,201.17,46.3,6.13,125.95,132.19
1.29,99.52,16.42,107.29,7.99,3.99,2.51,141.76,272.05,70.6,214.02,305.48,21.72,40.23,54.72,96.83,12.54,201.39,45.85,5.97,129.8,132.33
1.24,100.78,16.5,107.18,8.02,4.01,2.5,140.87,269.08,69.56,215.03,302.28,21.73,40.64,54.6,96.87,12.69,200.06,46.25,5.88,131.75,131.8
1.24,99.44,17.16,107.82,7.95,3.98,2.48,139.6,268.47,67.56,214.56,301.7,21.89,40.62,54.62,96.23,12.57,199.54,45.97,5.86,131.88,131.15
1.24,100.39,17.14,108.34,8.02,3.93,2.48,141.78,268.1,65.6,213.37,302.24,21.98,40.51,54.42,95.78,12.53,198.74,45.8,5.92,131.55,130.75
1.25,101.48,17.01,107.26,7.8,3.89,2.5,142.67,265.34,64.67,211.6,301.5,21.75,40.52,53.78,96.18,13.02,196.8,46.85,6.03,131.2,130.81
1.25,103.64,16.81,106.69,7.83,3.86,2.5,141.47,265.87,64.87,210.03,302.46,21.49,40.37,53.98,96.21,13.03,197.05,47.75,6.17,129.35,131.24
1.25,103.78,16.99,107.27,7.87,3.89,2.49,142.59,267.44,64.62,210.38,303.19,21.64,39.91,53.75,96.83,10.69,197.94,46.25,6.31,127.55,131.75
1.25,107.59,16.96,107.76,7.85,3.94,2.52,145,269.3,64.63,211.77,304.38,21.86,40.48,54.63,97.98,10.22,200.39,46.2,6.44,130.25,133.08
1.24,107.49,17.14,108.74,7.82,3.93,2.53,142.73,268.96,64.79,213.58,303.76,22.35,40.59,54.32,98.32,10.77,199.04,46.9,6.53,131.95,132.77
1.26,106.22,17.07,107.55,7.79,3.94,2.56,139.95,266.79,65.03,210.46,300.24,22.41,40.59,53.85,98.63,11.03,196.88,47.35,6.56,131.7,131.97
1.26,105.65,16.99,107.84,7.83,3.94,2.55,138.4,265.85,66.74,210.15,301.33,22.55,40.48,53.3,99.83,10.76,197.66,47.3,6.54,129.1,131.48
1.26,105.99,17.19,109.4,7.84,3.86,2.54,141.21,267,66.7,212.41,302.45,22.3,39.7,53.45,101,10.95,198.18,47.35,6.49,129.9,132.98
1.22,106.31,17.51,109.75,8.14,3.88,2.5,143.56,276.04,66.53,215.47,303.93,22.4,40.64,54.22,102.31,10.95,202.19,47.8,6.41,131.2,131.77
1.21,108.05,17.52,108.94,8.18,3.91,2.46,144.08,278.32,66.99,217.1,305.68,22.09,41.47,54.54,101.56,12.06,203.13,54.35,6.32,133.6,131.9
1.22,107.86,17.62,108.29,8.19,3.93,2.49,143.91,280.19,67.29,218.16,307.89,22.92,42.8,54.69,103.66,11.44,204.33,52.05,6.24,134.75,132.78
1.21,108.33,17.74,106.83,8.26,3.86,2.45,143.71,280.43,67.53,219.23,308,22.8,42.21,54.74,103.72,11.65,205.75,52.85,6.17,134.5,134.89
1.15,110.2,17.69,107.66,8.3,3.89,2.44,143.94,281.52,67.79,220.36,308.53,22.65,42.34,56.25,104.35,11.53,205.4,51.05,6.13,136.55,135.72
1.16,107.65,17.81,108.86,8.35,3.86,2.28,144.86,281.42,67.39,220.49,306.94,22.59,42.54,56.09,103.65,11.77,204.96,51.85,6.1,137.45,134.74
1.16,107.08,18.05,108.87,8.31,3.81,2.33,146.44,284.76,67.67,222.23,309.73,22.67,42.82,56.37,104.35,11.84,205.36,51.75,6.08,137.85,134.32
1.16,108.9,18.29,109.24,8.28,3.76,2.34,148.94,286.95,69.11,223.58,310.13,23.05,43.69,56.32,106.35,12.12,206.84,53.2,6.07,141.3,133.62
1.16,110.27,18.39,110.64,8.3,3.86,2.45,149.14,284.65,68.32,223.05,309.12,23.09,43.44,56.06,105.69,11.87,205.03,52.6,6.05,139.75,134.6
1.16,110.37,18.28,110.51,8.29,3.87,2.45,149.8,287.7,68.45,226.51,310.28,22.68,44.15,56.04,104.55,11.72,205.61,51.75,6.02,139.4,135.7
1.16,110.71,18.31,110.48,8.28,3.94,2.48,149.34,289.88,69.34,229.93,311.35,22.91,45.08,57.3,105.79,12.09,208.72,53.55,5.97,142.2,136.59
1.22,112.08,18.13,110.74,8.15,4.02,2.47,150.83,291.05,69.42,232,312.82,23.21,45.48,57.04,105.1,12.38,210.53,54.65,5.92,142.4,136.6
1.19,113.22,18.05,109.81,8.14,4.04,2.48,151.71,292.11,69.38,234.14,312.85,23.77,45.49,56.88,105.7,12.37,211.27,53.05,5.86,141.55,136.5
1.2,113.24,17.91,109,8.08,4.02,2.45,151.88,292.65,69.69,234.25,314.53,23.64,45.54,59.03,106.48,12.31,213.45,54.15,5.8,142.7,136.98
1.21,113.31,18.04,109.75,8.05,4.01,2.47,152.47,293.3,69.68,235.84,316.2,23.72,45.4,59.39,109.67,12.07,212.6,52.75,5.76,142.25,137.51
1.28,112.09,17.97,109.88,8.13,4.01,2.41,153.16,293.97,69.97,236.02,317.25,23.57,45.43,59.34,110.54,11.47,213.57,50.65,5.74,142.7,137.43
1.28,112.93,17.77,109.91,8.1,3.98,2.47,150.77,293.43,69.69,234.88,317.68,23.83,46.29,59.05,110.8,11.27,212.59,50.75,5.76,143.35,137.23
1.28,112.6,17.66,110.35,8.08,3.98,2.46,150.02,295.18,69.44,233.92,318.5,23.92,45.6,58.97,110.95,11.02,212.82,50.05,5.8,142.25,136.66
1.29,112.95,17.6,110.37,8.09,4.01,2.51,151.12,298.65,70.09,235.46,321,24.46,46.02,58.97,112.07,10.93,213.78,50.75,5.87,142.4,137.11
1.28,113.33,17.49,110.37,8.06,3.98,2.56,152.47,296.43,70.1,234.41,319.48,24.61,46.46,59.21,113.22,10.84,213.45,49.75,5.96,143.65,137.32
1.32,113.07,17.61,110.56,8.02,3.96,2.63,152.98,295.8,70.22,235.94,318.83,24.31,45.99,59.53,113.61,10.91,213.37,50.65,6.06,142.5,137.67
1.29,113.48,17.42,110.83,8.03,3.96,2.67,153.24,294.2,70.38,235.28,318.28,24.46,45.44,59.42,113.55,11.1,211.55,50.7,6.16,141.45,137.32
1.28,114.64,17.37,112.1,8.09,4.06,2.67,152.3,291.88,70.29,234.87,315.55,25.01,46.19,59.33,113.6,11.3,210.42,51.6,6.26,141.6,137.35
