"A.ASBX.PA.","D.RHM.PA.","I.LDO.PA.","F.CSF.PA.","BA..PA.","RR..PA.","TK.ASE.PA.","IS.ESLT.PA.","U.NOC.PA.","U.RTX.PA.","U.HII.PA.","U.LMT.PA.","X.AXON.PA.","X.MANT.PA.","U.BWXT.PA.","U.CW.PA.","X.SWBI.PA.","U.GD.PA.","U.RGR.PA.","X.POWW.PA.","U.CACI.PA.","X.HON.PA."
1.17,70.93,14.78,79.78,6.44,2.3,0.74,94.8,187.88,55.02,126.94,214.84,17,30.85,31.5,66.85,16.45,138,58.24,3.32,93.97,93.73
1.16,70.92,15.01,80.57,6.47,2.41,0.76,95.6,189.76,56.12,128.68,217.49,16.78,31.36,31.57,67.64,16.85,139.62,59.71,3.43,94.67,99.1
1.2,72.89,15.03,81.82,6.52,2.44,0.79,98.16,188.36,55.37,126.99,215.25,17,31.03,31.05,66.8,16.57,138.19,58.88,3.53,99.22,97.39
1.16,71.45,14.77,79.99,6.47,2.45,0.78,96.61,184.82,54.49,125.44,212.19,16.9,30.41,30.79,65.15,16.39,136.65,59.1,3.61,93.12,96.92
1.08,70.68,14.73,79.07,6.48,2.42,0.8,96.29,188.98,55.19,127.25,215.47,17.94,30.47,30.94,66.43,16.84,138.1,58.96,3.68,93.24,97.67
1.16,70.43,14.51,78.49,6.48,2.4,0.8,95.69,189.51,55.98,127.81,217.56,17.5,30.73,31.52,67.31,17.07,139.97,60.27,3.72,94.61,99.2
1.11,70.76,14.83,78.6,6.55,2.51,0.8,96.27,190.04,56.79,128.46,217.93,18.04,30.95,31.75,68.64,16.92,139.89,60.59,3.73,94.84,99.94
1.1,70.47,14.96,79.16,6.53,2.53,0.79,96.61,190.16,56.81,129.53,218.64,17.85,30.79,31.66,69.05,16.89,139.84,60.37,3.71,94.54,99.61
1.11,69.94,14.85,78.43,6.56,2.52,0.79,97.59,189.66,56.53,128.73,218.21,17.45,30.57,31.64,68.78,16.82,139.53,60.2,3.66,94.12,99.1
1.1,70.07,14.76,78.36,6.62,2.51,0.79,97.82,190.02,56.69,128.32,218.46,17.25,30.57,31.85,68.86,16.86,139.61,60.35,3.6,94.33,99.36
1.09,71.05,14.86,80.14,6.67,2.49,0.79,98.65,191.42,57.38,129.51,220.47,17.41,30.84,32.23,69.75,17.08,140.29,60.67,3.54,95.23,100.31
1.1,71.06,14.88,79.96,6.64,2.47,0.78,97.07,190.14,57.15,127.61,219.82,17.82,30.8,32.19,69.79,17,139.24,60.08,3.49,94.57,99.43
1.16,70.5,14.53,79.79,6.56,2.45,0.78,98.45,188.84,56.65,126.85,217.19,17.29,30.2,31.77,68.5,16.88,137.33,59.66,3.45,92.75,98.58
1.16,70.04,14.17,78.88,6.52,2.41,0.79,100.75,186.68,56.3,125,213.45,16.92,29.5,31.44,66.91,16.83,136.17,59.34,3.43,90.24,97.77
1.16,70.22,14.29,78.46,6.48,2.38,0.8,97.67,187.55,56.38,124.35,213.25,16.83,29.14,31.51,67.28,17.89,136.09,61.41,3.44,89.65,97.69
1.17,71.12,14.84,79.34,6.49,2.4,0.81,98.59,192.45,56.48,127.02,218.26,17.02,29.23,31.86,70.81,19.87,136.64,65.56,3.46,91.7,98.5
1.12,70.29,14.52,78.99,6.73,2.39,0.81,97.47,190.5,54.92,127.53,217.65,17.65,29.08,31.42,73.14,18.98,135.25,63.27,3.49,90.48,97.35
1.09,66.39,14.48,79.21,6.64,2.32,0.81,97.44,188.09,54.22,124.89,213.37,16.61,28.71,30.61,70.47,18.13,130.78,60.55,3.52,89.21,94.49
1.09,68.09,14.29,79.87,6.83,2.38,0.83,96.93,186.09,53.3,127.22,212.81,16.28,28.19,30.31,69.62,17.38,130.16,58.26,3.55,86.83,93.7
0.87,67.37,14.36,82.88,6.92,2.35,0.84,97.82,188.13,53.35,126.47,215.3,15.86,28.43,30.25,69.55,17.13,131.3,56,3.57,88.14,93.69
0.82,68.32,14.53,83.6,6.86,2.37,0.87,97.39,188.95,53.39,129.11,217.93,16.04,28.6,30.5,70.52,17.37,132.51,56.75,3.58,87.94,94.4
0.83,68.25,14.63,83.21,6.9,2.38,0.86,96.7,184.93,52.39,122.9,214.47,15.42,28.96,30.43,69.06,16.18,129.05,51.93,3.57,86.57,92.44
0.83,66.06,13.99,80.78,6.81,2.37,0.85,94.8,185.55,52.48,125.02,216.27,15.48,29.64,29.5,68.67,16,129.03,52.36,3.56,87.71,94
0.77,63.16,13.31,78.89,6.74,2.31,0.84,94.74,184.16,50.52,123.64,216.03,14.64,29.47,28.79,67.95,15.78,125.98,53.26,3.54,87.7,92.56
0.77,64.35,13.08,78.12,6.69,2.29,0.83,96.06,185.84,49.96,121.97,216.61,14.23,29.36,28.67,66.66,15.57,126.6,52.85,3.51,86.43,92.38
0.78,66.79,13.35,79.73,6.65,2.34,0.85,96.29,186.69,50.27,121.77,215.39,14.5,29.1,28.45,65.75,15.51,127.37,52.8,3.48,86.56,92.69
0.78,64.64,12.71,77.08,6.44,2.26,0.83,94.2,182.57,50.03,122,210.64,15.11,28.23,27.77,65.66,15.59,124.21,53.98,3.46,87.95,91.63
0.82,65.4,12.95,78.24,6.3,2.27,0.81,93.16,181.28,50.46,121.41,210.74,15.66,27.62,27.87,65.44,15.77,124.31,54.57,3.43,84.59,91.92
0.89,68.61,13.2,80.65,6.47,2.31,0.83,93.94,184.11,50.94,122.84,212.05,15.43,28.29,28.29,66.69,15.98,126.38,56.13,3.41,86.19,93.12
0.94,69.68,13.02,81.87,6.51,2.31,0.87,93.57,181.94,50.08,121.96,211.01,15.03,27.78,28.2,67.72,16.05,124.65,56.45,3.38,83.6,91.89
0.94,71.55,13.02,79.92,6.61,2.31,0.86,93.57,182.49,50.54,124.87,209.97,15.86,27.82,28.62,69.4,16.31,127.38,57.52,3.36,84.58,93.75
0.92,72.66,12.52,79.95,6.66,2.29,0.85,94.08,178.16,50.64,122.2,207.83,15.16,27.67,28.87,68.01,15.45,128.94,55.19,3.35,82.36,92.31
0.91,71.95,12.42,78.24,6.64,2.31,0.84,96.78,179.99,50.98,122.53,206.57,14.8,27.84,29.21,69.24,15.68,128.65,56.41,3.33,81.8,93.21
0.97,75.78,12.62,80.93,6.78,2.36,0.84,97.64,185.11,51.71,127.88,210.92,15.39,28.84,29.94,69.61,16.56,133.75,58.85,3.32,83.07,97.81
0.95,74.97,12.65,81.02,6.69,2.36,0.83,96.58,188.62,51.63,126.79,209.82,15.43,28.05,29.99,69.1,16.65,133.58,59.18,3.31,81.62,97.91
0.91,75,12.27,79.34,6.58,2.26,0.84,96.87,187.49,50.38,124.68,210.42,14.76,27.48,29.81,66.4,16.93,133.53,60.32,3.29,80.95,95.86
0.9,75.3,12.04,78.35,6.39,2.18,0.84,96.52,189.73,50.7,125.61,212.97,15.07,27.84,30.14,66.96,16.62,133.83,60.33,3.28,80.78,97.31
0.91,71.66,11.82,76.08,6.43,2.22,0.83,95.92,186.36,51.98,125.97,210.26,15.8,28.17,29.4,67.71,16.78,135.38,61.42,3.27,92.94,97.66
0.9,70.59,11.12,73.18,6.29,2.25,0.83,93.88,186.47,51.8,125.36,211.99,15.54,27.51,28.61,65.86,16.44,134.2,61.99,3.26,91.11,97.23
0.88,65.57,10.64,71.33,6.14,2.19,0.81,92.76,185.6,51.21,125.17,214.62,15.38,27.8,27.85,65.23,16.35,132.28,63.79,3.25,93.58,96.65
0.89,65.23,10.28,70.83,6.17,2.18,0.81,93.31,187.42,51.46,125.45,216.01,15.37,27.33,27.54,64.88,16.17,132.16,62.48,3.23,93.84,97.82
0.87,67.31,10.7,71.86,6.18,2.25,0.81,92.85,188.33,51.28,129.44,213.94,15.48,26.9,27.51,65.27,16.78,133.08,62.84,3.21,93.8,97.68
0.89,65.06,9.96,69.47,6.04,2.26,0.8,89.66,183.88,49.93,128.41,207.17,15.41,26.58,27.08,63.7,16.97,128.55,62.6,3.2,92.75,96.67
0.9,65.97,10.22,70.8,6.14,2.58,0.8,91.18,181.25,50.69,131.37,206.08,15.43,26.67,27.4,63.68,17.54,130.17,63.8,3.19,94.03,98.5
0.84,69.76,10.72,73.01,6.33,2.62,0.78,92.36,181.14,50.92,133.52,207.04,15.68,27.03,27.51,64.1,18.03,130.68,65.51,3.19,94.91,99.41
0.82,70.42,10.6,73.8,6.41,2.69,0.78,91.78,184.2,51.02,134.39,209.21,16.32,27.2,28.04,64.63,18.06,131.49,65.62,3.19,94.77,99.88
0.87,72.5,10.74,75.19,6.56,2.88,0.8,91.47,190.11,51.97,134.86,212.7,17.14,27.04,29.32,65.44,17.81,135.02,64.3,3.2,93.75,101.04
0.86,73.17,10.89,75.72,6.64,2.81,0.81,91.67,192.76,52.1,132.99,214.17,17.12,27.44,29.38,65.87,18.29,135.1,66.48,3.22,92.08,101.37
0.9,71.98,10.74,76.26,6.64,2.73,0.8,93.48,190.82,52,132.99,213.62,17.12,28.22,29.8,65.79,18.13,135.26,65.72,3.24,93.27,102.14
0.88,73.08,10.89,76.94,6.7,2.8,0.81,95.35,192.3,54.51,134.59,214.98,17.27,28.82,30.1,66.7,17.87,136.64,64.98,3.27,94.81,100.2
0.95,72.64,10.96,81.76,6.69,2.82,0.82,94.23,191.31,54.03,132.83,215.21,17.01,28.82,31,66.72,18.12,135.91,65.22,3.3,94.07,98.69
0.91,70.26,10.53,82.26,6.61,2.78,0.82,93.57,189.99,55.22,132.9,216.58,17.23,29.01,30.71,66.04,18.39,135.12,64.21,3.33,94.63,98.28
