"A.TWEX.PA.","B.ABI.PA.","H.HB.PA.","F.RCD.PA.","I.CPR.PA.","DGE.PA.","K.BBCA.PA.","K.CHRE.PA.","DK.CAB.PA.","DK.RBR.PA.","CN.KCM.PA.","CN.YWU.PA.","CN.JYB.PA.","CN.TTB.PA.","IN.MLC.PA.","IN.UBB.PA.","MX.BEC.PA.","BR.AVS.PA.","CL.CVZ.PA.","U.STZ.PA.","U.BF.B.PA.","U.TAP.PA.","U.SAM.PA."
5.71,127.37,89.43,115.84,4.41,23.6,0,1.72,87.67,41.41,223.24,25.96,68.79,32.86,8.75,13.1,0,4.77,11.04,137.67,40.39,91.91,206.94
5.79,129.68,91.15,118.32,4.58,23.91,0,1.7,90.61,41.24,223.41,26.17,68.22,32.81,8.62,12.98,0,4.72,10.84,139.28,40.54,93.75,205.49
5.91,130.43,91.09,119.7,4.65,24.06,0,1.75,93.24,42.87,222.78,25.96,67.15,32.83,8.53,12.85,0,4.81,11.13,142.94,41.31,94.15,208.12
5.98,133.94,91.85,122.18,4.66,24.09,0,1.77,93.86,42.59,224.89,26.61,67.89,33.26,8.52,12.93,0,4.8,11.17,139.93,40.6,93.74,207.66
6.05,132.39,90.54,120.34,4.62,23.75,0,1.78,93.71,42.48,226.82,27.04,69.78,33.55,8.62,13.19,0,4.77,11.08,138.6,40.1,92.56,205.86
6.04,130.43,88.92,118.61,4.55,23.71,0,1.8,93.17,41.43,236.32,28.85,73.69,35.92,8.69,13.3,0,4.76,10.85,141.4,40.24,92.76,204.54
5.95,129.85,89.43,118.15,4.43,23.71,0,1.87,93.24,41.94,234.36,28.85,71.85,35.2,8.62,13.19,0,4.74,10.85,142.63,40.87,93.11,206.49
5.92,132.56,91.03,120.62,4.56,24.35,0,1.88,94.33,41.79,232.78,28.62,71.08,35.31,8.66,13.17,0,4.81,11.18,143.68,41.27,93.95,203.79
5.99,132.56,91.58,121.14,4.59,24.38,0,1.87,94.61,41.73,234.21,28.8,70.81,34.98,8.61,13.36,0,4.84,11.18,143.02,40.77,93.95,205.49
6.03,131.57,90.51,119.95,4.53,24.4,0,1.86,94.31,42.02,233.82,28.26,69.98,35.15,8.71,13.53,0,4.82,11.1,142.7,40.63,93.29,205.14
6.03,132.21,90.48,120.05,4.54,24.55,0,1.86,94.33,42.39,228.24,27.5,69.28,34.11,8.74,13.56,0,4.81,11.18,143.25,40.78,93.46,203.87
5.99,134.58,92.64,122.47,4.66,24.69,0,1.88,95.02,42.78,229.07,28.37,69.74,34.3,8.5,13.42,0,4.81,11.47,144.2,40.79,94.87,204.24
5.98,133.54,92.03,122.3,4.62,24.69,0,1.88,94.95,43.33,227.87,28.71,69.76,34.78,8.33,13.39,0,4.73,11.62,144.17,40.58,94.55,202.72
6.08,132.21,91.07,121.66,4.53,24.4,0,1.95,93.93,43.06,227.26,28.41,71.4,34.58,8.58,13.5,0,4.62,11.52,142.43,39.72,93.93,202.02
6.11,130.23,90.04,119.53,4.46,23.98,0,1.95,93.01,42.29,222.54,27.64,71.62,33.61,8.58,13.5,0,4.54,11.32,140.29,39.06,92.75,201.54
6.01,129.74,89.73,117.63,4.47,23.87,0,1.9,93.4,41.83,218.72,27.98,70.59,32.47,8.48,13.39,0,4.55,11.18,140.73,38.88,92.24,199.53
5.84,131.46,90.54,117.63,4.55,24.25,0,1.89,94.48,41.93,221.17,27.09,69.78,32.16,8.36,13.55,0,4.62,11.18,143.67,38.9,92.66,194.7
5.84,129.79,90.05,117.05,4.48,24.19,0,1.89,92.08,41.58,221,27.69,69.52,32.79,8.25,13.46,0,4.58,11.18,143.14,38.14,90.79,190.54
5.81,127.83,87.98,115.38,4.37,23.65,0,1.77,91.93,42.02,210.38,25.05,66.94,30.81,7.9,13.25,0,4.48,11.18,149.54,37.35,90.38,192.24
5.79,124.26,86.7,114.49,4.36,23.77,0,1.79,91.08,41.74,212.99,27,63.55,31.73,8.06,13,0,4.51,10.83,147,37.21,89.21,177.38
5.73,126.56,87.62,114.41,4.42,23.72,0,1.8,89.69,41,208.28,25.08,62.06,30.98,7.84,12.76,0,4.44,11.18,147.07,37.56,88.47,171.31
5.82,125.58,88.85,115.49,4.51,24.14,0,1.78,87.91,42.33,205.09,25.08,62.56,30.59,8.08,12.57,0,4.49,10.4,147.03,37.82,89.56,172.42
5.86,126.16,88.99,116.07,4.58,24.33,0,1.78,86.36,42.67,208.2,25.12,61.32,30.09,7.98,12.4,0,4.45,10.22,144.12,36.6,87.6,167.27
5.73,122.53,86.64,113.89,4.45,23.78,0,1.77,85.04,41.12,213.3,25.31,63.41,30.28,7.87,12.53,0,4.45,9.98,143.36,37.09,86.74,168.77
