"A.TWEX.PA.","B.ABI.PA.","H.HB.PA.","F.RCD.PA.","I.CPR.PA.","DGE.PA.","K.BBCA.PA.","K.CHRE.PA.","DK.CAB.PA.","DK.RBR.PA.","CN.KCM.PA.","CN.YWU.PA.","CN.JYB.PA.","CN.TTB.PA.","IN.MLC.PA.","IN.UBB.PA.","MX.BEC.PA.","BR.AVS.PA.","CL.CVZ.PA.","U.STZ.PA.","U.BF.B.PA.","U.TAP.PA.","U.SAM.PA."
8.92,119.14,95.44,133.27,6.29,29.54,0,2.41,105.08,45.93,425.44,46.68,80.46,33.52,5.49,10.91,3.38,4.88,12.55,172.13,37.9,95.28,144.2
9.18,118.43,96.12,133.48,6.35,29.57,0,2.4,106.17,46.43,429.29,46.45,82.08,33.36,5.52,11,3.39,4.91,12.44,174.61,37.99,95.39,140.9
9.15,119.64,95.78,133.89,6.31,29.57,0,2.38,105.63,46.57,435,46.78,83.32,32.54,5.52,11.09,3.38,4.9,12.31,173.77,37.91,90.88,138.3
9.25,125.87,97.3,136.83,6.34,29.89,0,2.37,108.49,46.82,433.32,46.22,84.65,32.76,5.49,11.18,3.35,5.03,12.78,177.24,38.72,91.74,142.7
9.22,126.04,97.34,137.58,6.46,29.91,0,2.37,107.95,46.57,433.58,46,84.81,32.78,5.41,11.09,3.35,4.99,12.63,178.53,39.21,93.12,146.4
9.25,125.76,97.79,137.29,6.38,30.07,0,2.35,108.33,46.57,421.92,44.4,83.92,32.84,5.44,11.11,3.32,4.99,12.58,179.52,39.51,93.92,148.7
9.47,126.1,98.45,138.73,6.69,30.09,0,2.35,108.41,46.74,425.98,45.49,84.16,32.54,5.39,11.35,3.3,5.01,12.55,177.78,39.54,92.81,141.4
9.5,125.93,97.87,138.9,6.98,29.95,0,2.38,108.72,46.66,427.44,45.3,85.19,32.57,5.59,11.52,3.34,5.07,12.63,177.57,39.39,92.85,143.35
9.66,125.81,98.36,139.02,6.89,30.18,0,2.37,109.11,46.48,429.33,46.18,86.03,32.71,6.09,12.05,3.33,5.16,12.67,178.31,39.7,93.51,145
9.69,126.16,98.9,140,6.91,30.28,0,2.36,109.05,46.45,430.66,46.09,86.34,32.8,6.21,11.73,3.38,5.2,12.7,178.56,39.39,93.75,143.15
9.84,125.7,98.73,138.73,6.96,29.98,0,2.37,108.8,46.37,437.02,47.06,86.73,33.18,6.11,11.83,3.4,5.22,12.75,180.27,39.57,94.09,143.25
9.74,125.12,99.71,140.4,6.99,30.58,0,2.38,108.33,46.07,448.06,49.59,87.78,33.2,6.05,11.45,3.4,5.24,12.78,182.21,40.36,94.09,141.75
9.73,124.32,99.51,138.61,6.86,30.61,0,2.36,106.79,45.86,444.3,48.29,86.68,33.2,6.05,11.49,3.4,5.19,12.81,180.72,41.87,93.07,140.05
9.56,120.57,99.06,136.48,6.9,30.09,0,2.36,105.94,45.72,447.43,48.43,86.22,33.42,5.84,11.43,3.39,4.97,12.54,180.84,42.08,92.56,140.3
9.56,121.95,99.49,137.46,7.03,30.12,0,2.38,106.32,46.12,459.12,49.03,86.13,33.55,5.49,11.06,3.39,4.92,12.59,182.9,42.34,94.13,143.2
9.56,121.55,100.19,138.15,6.95,30.3,0,2.58,107.72,46.12,460.17,49.1,86.98,34.04,5.86,11.08,3.43,4.91,12.63,184.09,45.5,95.14,143.55
9.73,121.84,100.39,138.73,7.01,30.48,0,2.53,109.49,46.04,473.15,50.27,90,33.78,5.77,11.11,3.45,5,12.7,180.9,42.7,94.84,143.65
9.65,121.78,100.56,138.73,7.03,30.55,0,2.53,110.42,46.12,469.37,49.95,89.88,33.2,5.76,11.03,3.47,4.99,12.81,178.82,43.48,94.44,145.35
9.53,121.72,101.09,138.85,7.02,30.54,0,2.56,110.39,46.32,469.61,49.72,89.99,35.81,5.68,11.18,3.4,5,12.77,180.04,41.25,94.66,144.05
9.58,121.78,100.67,138.67,7.19,30.7,0,2.55,109.99,46.56,470.74,49.53,90.57,35.15,5.86,11.18,3.37,5.03,13.24,180.93,41.39,95.78,144.95
9.57,121.43,100.36,138.44,7.06,30.65,0,2.55,109.88,46.77,466.67,49.99,90.89,34.34,5.77,11.4,3.38,4.99,12.88,180.42,41.46,96,145.06
9.55,120.16,100.2,138.56,7.17,30.52,0,2.54,110.5,46.92,461.47,50.37,90.93,34.33,5.95,11.25,3.48,4.96,12.73,180.53,41.18,95.28,143.6
9.57,120.28,101.19,139.48,7.18,30.57,0,2.52,111.43,47.19,461.39,49.87,90.82,34.57,6.44,11.43,3.43,4.94,12.91,182.76,41.56,94.84,142.8
9.84,120.16,101.4,140.4,7.35,30.78,0,2.53,112.44,47.53,467.51,50.36,90.63,34.54,6.6,11.5,3.53,4.9,12.82,184.65,42.22,96.57,145.85
9.88,120.97,101.64,141.32,7.35,31.03,0,2.58,112.59,48.04,466.26,49.95,89.83,34.33,6.66,11.55,3.54,4.91,13.24,184.55,42,96.85,143.9
9.99,120.74,101.41,140.81,7.34,30.86,0,2.57,112.62,48.22,462.79,49.06,87.84,35.07,7.12,11.79,3.53,5,13.21,184.46,41.87,96.26,146.2
9.74,120.91,101.75,140.98,7.32,30.91,0,2.6,112.74,48.32,467.52,50.53,88.79,34.52,6.87,11.55,3.54,5.04,12.85,185.79,41.86,96.02,144.25
9.73,120.11,101.95,140.75,7.25,30.61,0,2.62,112.51,48.41,478.4,53.01,90.63,34.84,6.7,11.41,3.5,4.98,12.95,184.5,40.55,89.79,141.4
9.73,117.28,100.79,139.08,7.31,30.03,0,2.71,110.97,47.88,483.57,53.53,91.44,35.72,6.77,11.66,3.47,4.9,12.75,183.45,39.43,87.17,136.3
9.63,117.11,100.64,139.54,7.15,30.55,0,2.66,110.27,47.96,485.19,54.34,92.67,36.66,6.78,11.27,3.45,4.79,12.51,181.03,39.32,87.4,137.6
9.6,116.47,99.87,138.96,7.08,30.53,0,2.63,109.34,47.74,492.62,57.12,95.51,36.24,6.78,11.3,3.49,4.79,12.41,179.14,39.43,88.27,135.9
9.69,116.88,99.75,138.61,7.02,30.53,0,2.6,110.04,48.15,492.73,56.96,94.62,36.06,6.75,11.27,3.46,4.86,12.66,179.56,39.42,89,135.5
9.9,116.82,100.1,140.11,7.03,30.63,0,2.6,110.81,48.56,494.1,55.94,94.21,35.72,6.73,11.28,3.45,4.8,12.71,179.95,39.49,88.12,134.75
9.97,117.17,100.11,139.36,7.14,30.59,0,2.57,111.04,48.53,483.45,54.39,91.2,36.03,6.57,11.31,3.45,4.73,13.07,180.32,39.81,87.66,133.8
9.99,117.22,100.97,142.02,7.13,30.76,0,2.57,112.13,48.91,482.08,54.19,88.83,35.41,6.51,11.17,3.33,4.7,12.73,180.85,39.6,86.86,132.95
10.06,117.86,101.38,143.05,7.28,31.19,0,2.6,113.29,49.32,489.8,54.76,88.72,35.34,6.55,11.19,3.35,4.74,12.75,183.35,39.61,86.59,132.65
10.02,118.61,101.91,142.77,7.24,31.4,0,2.55,113.83,50.14,486.18,54.37,87.81,35.37,6.52,11.16,3.4,4.78,12.73,184.61,39.53,86.66,132.45
9.84,117.97,101.34,142.07,7.3,31.19,0,2.56,112.28,50.07,492.63,56.89,90.39,36.1,6.62,11.17,3.38,4.79,12.77,184.57,39.09,85.76,130
10.02,117.91,101.33,141.32,7.2,30.69,0,2.62,111.12,49.52,492.43,56.4,89.91,35.34,6.53,11.15,3.37,4.81,12.7,184.13,38.99,85.99,130.6
9.8,116.59,99.46,140.69,7.2,30.28,0,2.64,110.27,49.06,492.49,57.28,89.99,35.6,6.42,11.13,3.35,4.82,12.65,184.58,39.13,86.48,130.7
9.73,117.74,100.59,142.07,7.22,30.52,0,2.69,110.58,49.23,504.97,59.1,91.84,36.2,6.4,11.19,3.28,4.83,13.05,182.5,39.12,86.36,129.95
9.73,116.42,100.43,140,7.18,30.62,0,2.6,110.04,48.63,504.19,59.53,91.92,36.33,6.53,11.23,3.32,4.83,13.27,182.35,38.87,86.37,130
9.66,115.67,99.12,138.73,7.21,30.36,0,2.62,108.95,48.04,495.09,57.95,91.03,35.86,6.75,11.17,3.3,4.84,12.86,183.93,39.38,87.43,132.4
9.83,112.52,97.69,135.67,7.09,30.03,0,2.58,107.64,47.53,492.7,57.72,89.87,36.44,6.72,11.1,3.29,4.82,12.7,193.97,39.02,86.45,133.4
9.71,111.71,98.17,135.27,7.13,29.8,0,2.54,107.56,48.35,491.48,57.97,90.41,36.6,6.86,11.19,3.28,4.84,12.68,193.75,38.88,86.34,132.15
9.71,112.21,99.28,136.08,7.18,29.86,0,2.54,107.02,47.99,479.43,56.28,88.68,36.21,6.95,11.19,3.29,4.83,13.07,191.86,38.7,86.37,134.05
9.61,112.32,98.91,136.02,7.09,29.73,0,2.53,106.4,47.96,470.64,54.74,87.65,35.39,7.23,11.5,3.27,4.83,12.68,192.6,38.57,86.5,134.46
9.61,111.98,98.89,134.92,7.13,29.84,0,2.51,106.71,47.85,479.25,55.65,88.54,35.39,7.43,11.53,3.27,4.81,12.57,193.9,38.58,86.49,133.6
9.47,110.73,97.8,133.94,7.06,29.57,0,2.54,105.24,47.93,474.93,55.19,88.85,34.94,7.29,11.47,3.28,4.7,12.52,193.8,38.66,86.2,132.9
9.28,112.31,97.78,133.77,7.09,29.7,0,2.51,104.08,48.08,464.52,53.96,88.16,34.99,7.49,11.48,3.28,4.77,12.59,193.56,38.53,86.14,131.8
9.29,113.36,98.26,133.89,7.14,30.01,0,2.44,104.62,48.75,473.36,54.98,88.51,35.1,7.54,11.55,3.28,4.84,12.6,193.85,37.9,85.62,132.6
9.2,111.3,97.73,132.79,7.06,29.7,0,2.41,103.92,48.1,482.43,55.93,88.54,35.15,7.53,11.45,3.29,4.9,12.78,193.98,37.91,85.94,132.2
9.11,113.6,98.88,134.41,7.12,30.24,0,2.44,105.63,48.72,476.54,54.36,87.63,34.77,7.63,11.67,3.29,4.93,12.86,197.11,38.18,86.78,132.95
9.44,114.29,99.14,134.46,7.11,30.05,0,2.46,105.55,48.73,475.21,54.35,86.76,34.68,7.59,11.57,3.31,4.94,12.78,196.32,37.82,86.95,130.75
9.51,114.51,100.01,135.67,7.16,30.01,0,2.47,107.1,48.97,475.4,54.72,86.95,34.78,7.62,11.51,3.3,4.95,12.77,198.32,37.92,87.86,131.7
9.36,115.09,100.34,135.79,7.19,30.12,0,2.49,106.86,49.35,468.64,53.65,86.43,33.46,7.86,11.67,3.33,4.98,13.04,196.6,38.11,87.52,132.75
9.44,114.18,100.31,134.87,7.16,30.03,0,2.48,106.94,49.68,471.38,54.77,85.92,33.68,7.79,11.72,3.33,4.96,12.7,197.18,38.53,87.62,132.85
9.25,114.69,101.3,135.5,7.14,30.08,0,2.51,107.56,49.83,475.77,55.94,87.27,34.46,7.78,11.89,3.3,4.97,12.63,198.3,38.52,88.53,131.45
9.39,114.57,101.49,134.75,7.16,30.33,0,2.51,107.87,49.82,485.92,57.1,88.22,34.32,7.67,11.64,3.28,4.96,12.59,198.17,38.49,87.56,132.5
9.36,113.62,101.33,133.48,7.08,30.03,0,2.55,106.71,49.06,492.84,56.98,89.9,34.2,7.81,11.61,3.28,4.97,12.55,198.49,38.6,88,137.3
9.28,112.68,100.43,132.33,7.03,29.53,0,2.52,105.86,48.75,497.52,58.23,91.65,34.46,7.58,11.67,3.26,4.97,12.4,196.33,38.4,87.97,130.55
9.36,112.67,100.64,134,7.13,29.55,0,2.5,106.55,49.03,497.83,57.67,91.44,34.47,7.41,11.55,3.16,4.99,12.31,193.96,39.07,88.6,131.95
9.43,114.42,101.89,136.14,7.25,29.85,0,2.5,107.79,48.8,491.36,56.26,88.94,34.69,7.33,11.68,3.19,4.98,12.52,193.49,39.2,89.05,134.05
9.53,121.09,102.91,136.37,7.27,31.64,0,2.52,108.72,49.09,493.37,55.98,89.18,34.91,7.3,11.58,3.2,5.05,12.68,194.41,40.54,89.6,135
9.4,119.36,101.89,135.96,7.16,32.08,0,2.53,107.41,48.58,504.17,58.04,93.84,34.48,7.3,11.75,3.19,5.05,12.85,194.83,40.03,89.11,154.65
8.93,117.51,101.71,135.21,7.22,32.17,0,2.53,108.26,48.63,500.97,58.07,93.11,34.83,7.22,11.64,3.19,5.06,12.63,193.64,39.88,89.01,157.35
9.47,116.65,100.58,134.98,7.23,32.04,0,2.61,107.87,48.81,500.33,58.93,93.09,34.66,7.56,11.68,3.21,5.08,12.64,194.78,39.34,89.18,157.65
9.38,115.61,100.35,135.16,7.26,31.99,0,2.59,107.79,48.53,503.28,58.02,90.52,34.14,7.4,11.58,3.23,5.13,12.68,193.57,39.2,91.87,154.4
9.47,116.76,100.78,135.39,7.12,32.27,0,2.57,108.18,49.14,497.01,56.76,90.3,33.92,7.45,11.42,3.28,5.09,12.46,193.06,38.85,90.91,150.95
9.22,117.8,101.78,138.27,7.05,32.88,0,2.6,109.26,49.29,493.41,56.34,91.05,33.88,7.39,11.63,3.29,5.09,12.49,193.82,38.81,90.53,148.45
9.47,117.22,101.6,137.35,7.01,33.13,0,2.63,110.19,49.28,501.62,58.32,92.95,34.11,7.33,11.75,3.35,5.12,12.53,194.97,39.22,89.86,150.75
9.4,117.17,101.78,137.75,6.98,33.29,0,2.61,109.42,49.31,502.61,58.13,91.8,33.93,7.29,11.72,3.32,5.13,12.47,194.69,39.18,90.65,149.5
9.33,115.38,100.77,135.9,6.91,33.28,0,2.48,107.41,48.86,511.28,59,95.3,34.4,7.21,11.89,3.29,5.13,12.38,195.48,38.8,90.5,150.25
9.39,114.66,100.58,135.44,7.04,32.5,0,2.45,106.94,48.66,511.9,59.99,97.12,34.02,7.12,11.86,3.3,5.13,12.44,194.69,38.44,90.2,148.1
9.28,113.3,99.96,134,6.92,32.5,0,2.46,107.02,48.07,504.19,58.32,94.04,33.19,6.9,11.18,3.29,5.16,12.47,195.66,38.75,90.4,147.65
9.22,114.39,100.52,135.1,6.98,32.84,0,2.5,106.4,48.5,520.57,59.76,92.85,33.43,7.1,11.35,3.29,5.21,12.53,197.06,39.2,90.87,148.75
9.23,114.67,100.8,136.14,7.06,33.31,0,2.47,107.48,48.98,516.61,59.89,94.56,33.37,7.21,11.6,3.3,5.23,12.91,198.66,39.48,91.09,149.4
9.23,115.61,101.39,137.35,7.09,34.07,0,2.62,104.62,48.95,517.02,59.21,92.8,33.48,7.29,11.61,3.33,5.23,13.2,198.57,40.14,91.34,149.5
9.54,115.9,101.18,137,7.1,33.96,0,2.58,107.79,48.64,513.96,58.13,91.84,33.62,7.46,11.49,3.34,5.23,13.07,197.08,40.52,89.98,148
9.91,114.26,100.16,135.33,7.02,33.49,0,2.56,107.33,47.93,510.08,58.14,91.97,33.74,7.44,11.53,3.37,5.22,13.07,197.92,40.73,89.73,146.05
10.06,114.21,99.81,135.39,7,33.64,0,2.51,107.87,47.28,510.12,57.81,91.26,33.7,7.18,11.44,3.36,5.22,12.92,198.1,40.73,89.74,145.3
10.13,114.79,100.56,135.04,7.08,33.89,0,2.55,109.57,50.82,507.2,56.32,90.98,33.8,7.14,11.46,3.38,5.22,13.14,196.76,40.71,89.01,146.55
10.21,113.5,100.63,134.58,7.06,33.88,0,2.58,111.04,52.16,514.57,57.06,92.69,33.43,7.04,11.45,3.35,5.24,12.95,196.8,40.44,89.4,146.05
10.21,113.58,100.47,134.58,7.05,33.76,0,2.56,111.58,51.94,513.36,56.31,91.8,33.26,7.32,11.61,3.34,5.23,12.95,196.9,39.98,89.79,145.25
10.24,113.29,100.31,134.64,7.03,33.73,0,2.56,111.74,52.39,513.46,56.35,92.85,33.52,7.41,11.75,3.33,5.24,13.06,198.34,40.34,91.01,148.25
10.39,111.85,99.69,133.94,6.97,33.58,0,2.54,111.04,51.89,512.59,57.73,93.27,33.68,7.33,11.66,3.34,5.24,13,197.73,40.02,89.47,148.8
10.33,112,99.31,133.31,6.92,33.45,0,2.51,110.04,51.72,510.03,57.49,95.19,33.71,7.29,11.38,3.33,5.26,12.9,198.4,40.98,89.42,151.8
10.61,114.2,100.28,134.98,7.07,33.59,0,2.51,110.19,52.62,513.46,58.58,95.28,33.69,7.27,11.42,3.33,5.26,12.76,199.47,42.51,89.64,150.5
10.97,114.8,101.63,132.39,7.02,34.05,0,2.52,111.12,53.07,511.38,57.8,93.09,33.39,7.25,11.28,3.33,5.25,12.63,200.13,42.44,89.74,149.05
10.97,115.26,101.5,130.77,7,34.03,0,2.52,112.05,52.73,515.76,57.8,91.55,33.44,7.26,11.52,3.34,5.22,13.02,200.03,42.7,90,148.35
10.67,114.49,101.18,130.6,6.99,33.93,0,2.5,111.2,53.02,512.93,56.47,91.41,33.34,7.33,11.42,3.36,5.21,12.49,200.12,42.78,89.52,148.72
10.53,115.15,100.66,131.75,7.06,33.89,0,2.51,110.97,52.81,510.33,56.53,92.38,33.36,7.3,11.43,3.37,5.24,12.46,201.06,42.85,88.89,149.5
10.64,115.38,100.77,132.56,7.05,33.69,0,2.48,110.81,52.43,505.18,56.07,91.44,33.41,7.24,11.39,3.36,5.33,12.28,202.51,43.23,88.64,149.5
10.64,116.24,100.94,131.75,7.05,33.89,0,2.62,111.51,52.22,501.08,55.37,90.86,33.24,7.23,11.22,3.36,5.34,12.46,202.22,43.41,87.94,148.55
10.61,116.7,101.4,133.14,7.12,34.06,0,2.67,111.97,52.23,493.97,54,89.48,33.15,7.21,11.22,3.36,5.31,12.41,202.47,43.48,88.27,150.45
10.72,116.93,102.36,134.69,7.17,33.98,0,2.64,112.51,52.39,498.26,55.06,90.04,33,7.37,11.14,3.37,5.36,12.47,203.7,43.71,89.41,152.35
10.64,117.34,102.06,133.66,7.1,33.89,0,2.64,111.97,52.74,504.82,55.82,91.18,32.81,7.47,11.15,3.39,5.56,12.39,204.62,43.51,89.7,154.4
10.51,118.03,102.27,134.64,7.11,33.64,0,2.64,111.97,52.73,512.21,57.24,92.76,32.92,7.59,11.12,3.37,5.6,12.47,204.48,43.42,88.59,154.15
10.49,118.09,102.17,133.94,7.06,32.9,0,2.69,112.13,52.96,510.86,57.07,91.58,32.71,7.49,11.19,3.37,5.6,12.36,204.41,43.36,87.76,153.5
10.5,116.7,101.24,132.79,7.02,32.69,0,2.7,110.11,52.67,510.21,57.21,91.57,32.58,7.54,11.29,3.27,5.67,12.44,203.47,43.17,87.26,152.2
10.49,116.13,101.01,133.31,7.05,32.94,0,2.69,110.11,52.45,519.71,58.76,91.82,32.94,7.61,11.39,3.27,5.6,12.51,203.95,43.38,86.14,152.75
10.57,115.84,97.32,132.68,7.07,32.8,0,2.7,109.49,51.1,517.28,58.82,93.22,32.62,7.63,11.45,3.28,5.66,12.49,202.28,43.38,85.5,152.5
10.57,113.75,97.45,130.89,7.06,31.88,0,2.81,109.26,51.43,516.9,58.88,98.94,32.79,7.47,11.45,3.28,5.68,12.36,201.76,43.46,83.47,152.7
10.39,113.07,96.73,132.39,7.05,31.79,0,2.76,108.57,51.74,519.36,58.04,100.87,32.26,7.31,11.52,3.2,5.65,12.23,201.05,43.19,82.84,151.65
10.39,112.45,96.55,133.08,7.06,32,0,2.78,107.95,51.81,520.7,58.41,100.86,32.06,7.05,11.59,3.19,5.7,12.34,201.69,43.38,82.76,154.25
10.31,113.86,96.68,133.89,7.08,32.02,0,2.69,108.02,52.09,528.23,59.81,104.6,31.85,6.98,12.33,3.18,5.69,12.2,200.55,43.46,82.2,153.1
10.21,114.55,96.64,135.33,7.18,31.9,0,2.65,108.18,52.28,530.44,59.26,104.23,31.8,7.02,12.06,3.18,5.6,12.19,200.45,43.16,82.38,161.7
10.21,115.22,95.62,134.69,7.2,31.79,0,2.67,106.63,51.85,529.15,59.05,104.47,31.84,6.87,11.86,3.23,5.58,12.47,199.84,42.79,81.88,161.9
10.02,116.42,95.82,134.58,7.18,32.06,0,2.68,107.02,52.57,539.9,59.85,107.76,31.87,6.87,12.11,3.25,5.57,12.48,199.29,43.52,81.35,159.05
10.13,116.82,96.48,134.98,7.09,32.23,0,2.72,106.79,53.36,538.99,59.66,105.71,32.09,6.85,11.7,3.24,5.56,12.56,199.46,43.43,81.64,156.25
10.24,116.82,97.32,136.94,7.12,32.4,0,2.74,107.72,53.75,534.73,59.92,103.08,32.28,6.97,11.74,3.24,5.48,12.59,199.45,42.98,82.1,157.8
10.24,117.4,97.19,137.06,7.16,32.56,0,2.73,107.72,54.01,531.88,60.33,101.63,32.39,7.02,12.03,3.24,5.66,12.89,199.13,43.14,81.93,161.45
10.22,118.55,97.23,137.92,7.18,32.87,0,2.71,107.79,54.37,531.21,60.72,101.17,32.44,6.86,12.06,3.2,5.6,12.81,201.28,43.31,83.19,167.15
10.22,120.45,97.69,138.38,7.14,33.18,0,2.76,108.49,56.1,533.44,60.97,101.56,32.44,6.83,12.06,3.21,5.61,12.5,209.3,43.64,83.12,167.6
10.32,119.53,97.45,137.69,7.14,33.3,0,2.81,108.41,55.75,539.32,61.7,102.61,32.42,6.72,12.19,3.19,5.57,12.4,210.11,43.62,83.2,165.25
10.4,120.51,98.24,139.31,7.18,33.39,0,2.82,108.49,55.7,549.6,60.97,104.15,32.39,6.72,11.98,3.19,5.57,12.48,208.19,43.45,82.26,166.8
10.4,120.68,98.52,140.69,7.19,33.57,0,2.87,109.96,56.36,562.62,61.65,107.17,32.5,6.76,12.13,3.15,5.7,12.56,207.98,43.96,84.02,167.95
10.37,120.86,99.01,140.46,7.29,33.61,0,2.81,110.73,56.21,568.31,63.72,112.48,32.77,6.88,12.02,3.13,5.72,12.53,207.75,44.23,84.16,171.15
10.46,120.86,98.69,140.46,7.51,33.75,0,2.82,109.57,56.47,567.24,63.38,110.4,32.59,6.96,12.11,3.11,5.79,12.61,207.5,44.15,84.37,172.4
10.56,122.47,98.9,140.46,7.51,33.51,0,2.79,110.04,56.46,579.59,64.18,110.33,34.22,6.92,12.03,3.1,5.85,12.66,208.56,44.21,83.55,173.85
10.61,122.53,99.12,140.11,7.67,33.38,0,2.82,110.73,56.32,584.03,62.14,108.83,33.95,6.91,11.95,3.08,5.79,12.61,210.46,44.36,82.73,176.75
10.64,122.99,98.88,139.94,7.5,33.35,0,2.8,110.89,55.71,579.8,62.59,109.73,33.53,7.14,11.85,3.16,5.75,12.6,213.63,44.86,82.72,178.9
10.57,123.62,99.67,140.98,7.47,33.71,0,2.81,113.36,56.55,584.39,63.91,115.23,33.42,7.15,12.02,3.15,5.76,12.88,211.83,44.62,82.59,178.6
10.84,122.64,99.5,145.76,7.36,33.77,0,2.82,113.44,55.7,606.79,65.62,121.43,34.01,7.03,11.94,3.15,5.77,12.92,211.99,44.63,83.6,178.25
11.04,122.93,99.43,147.61,7.45,33.72,0,2.82,115.14,55.81,598.44,65.12,118.72,33.54,7.06,11.93,3.17,5.69,13.19,211.25,44.88,83.24,172.9
11.16,123.22,98.98,147.78,7.52,33.87,0,2.8,114.6,55.79,597.5,65.2,121.19,33.8,7.14,11.98,3.09,5.63,13.28,211.72,45.1,83.62,175.65
11,121.84,98,147.78,7.51,33.72,0,2.87,112.51,55.84,591.14,66.23,122.87,33.84,7.16,12.22,3.07,5.64,13.24,212.69,44.74,83.61,178.1
10.97,118.9,94.69,145.48,7.48,33.38,0,2.88,111.51,55.45,589.47,65.64,120.69,33.63,7.24,13.2,3.06,5.6,13.01,212.5,44.53,82.25,180.05
11.12,118.09,95.02,146.05,7.71,33.7,0,2.92,111.35,55.7,631.68,67.77,120.97,33.81,7.4,13.42,3.03,5.57,13.07,211.77,45.08,80.37,176.35
11.38,119.3,96.11,147.67,7.74,34.26,0,2.83,112.98,56.41,675.42,70.82,121.87,34.17,8.67,14.05,3.2,5.52,13.26,211.9,44.7,78.43,167.25
11.36,119.53,95.99,148.53,7.84,33.99,0,2.86,112.44,56.27,648.83,69.79,117.68,34.9,8.76,14.97,3.2,5.54,13.36,213.02,44.56,78.96,172
11.54,121.2,96.5,148.47,7.93,33.78,0,2.89,112.98,57.18,645.15,69.4,114.82,36.02,8.7,14.67,3.24,5.52,13.24,219.07,45.62,80.86,178.1
11.39,121.61,96.83,148.71,7.84,33.43,0,2.9,113.13,57.18,649.67,69.8,117.94,35.56,8.72,15.03,3.32,5.49,13.04,216,44.35,81.05,178.4
11.52,119.64,96.7,148.36,7.7,33.78,0,2.84,113.83,56.69,653.04,70.44,118.96,35.33,8.86,15.36,3.4,5.46,12.85,214.35,44.74,79.08,174.75
11.25,121.37,97.81,148.88,7.91,34.08,0,2.86,116.54,56.5,665.99,71.18,117.81,34.86,8.86,16.11,3.44,5.44,12.75,215.94,44.49,79.77,173.6
11.49,121.37,97.58,149.34,7.71,34.13,0,2.91,116.15,56.33,680.31,73.07,121.87,35.36,8.85,16.23,3.4,5.43,12.74,215.76,44.08,78.9,173.1
11.7,118.84,96.75,148.36,7.74,33.65,0,2.94,115.07,56.46,669.07,73.97,119.96,36.54,8.71,16.43,3.39,5.34,12.74,215.38,44.59,78.9,173.55
11.71,117.57,97.9,148.94,7.78,33.76,0,2.98,115.84,57.42,677.5,73.41,116.95,35.91,8.76,16.32,3.38,5.36,12.62,217.7,45.17,79.64,174.8
11.73,117.11,98.4,148.01,7.54,33.76,0,3.01,115.92,57.08,677.38,74.11,117.67,36.23,8.87,15.68,3.32,5.35,12.46,218.12,45.38,80.53,176.2
11.71,115.9,97.79,147.32,7.47,33.62,0,2.97,116.15,56.89,706.16,77.71,120.71,37.04,8.64,15.88,3.31,5.34,12.7,218.65,45.84,80.34,176.45
11.6,115.95,97.87,146,7.45,33.9,0,2.97,116.85,56.6,716.56,77.53,119.77,36.7,8.53,15.85,3.31,5.36,12.69,220.73,46.54,80.84,173.35
11.57,112.68,97.7,145.82,7.61,33.97,0,2.98,116.69,57.25,707.06,75.2,114.57,36.13,8.61,15.92,3.3,5.34,12.74,218.15,47.3,80.52,173.05
11.57,111,96.97,145.76,7.37,33.65,0,2.89,115.07,56.49,716.54,77.92,116.75,35.64,8.49,15.58,3.32,5.36,12.5,217.21,46,78.8,170.25
11.57,112.76,96.77,147.32,7.43,33.87,0,2.86,115.61,55.81,748.81,79.37,119.87,36.13,8.92,16.17,3.31,5.4,12.54,217.37,46.67,79.49,172
11.67,112.31,96.68,147.78,7.44,33.82,0,2.79,114.29,55.61,718.88,77.97,120.36,34.06,9.1,15.6,3.32,5.43,12.45,216.39,46.85,79.7,174.65
11.6,113.13,96.95,147.61,7.5,34.01,0,2.8,114.22,55.54,707.52,75.97,118.74,34.6,9.29,15.33,3.33,5.46,12.02,217.54,47.09,79.2,176.55
11.57,113.35,97.5,148.42,7.46,34.17,0,2.81,114.37,54.62,705.1,77.03,126.36,34.99,9.12,15.27,3.34,5.5,12.31,219.84,47.1,79.32,178.6
11.67,112.81,97.93,148.65,7.33,33.91,0,2.78,114.37,54.93,677.92,74.89,120.4,34.8,9.4,15.89,3.35,5.51,12.29,220.45,46.96,79.54,177.25
11.71,113.54,98.43,148.88,7.37,34.35,0,2.77,113.83,57.56,659.8,70.39,116.37,33.66,9.34,15.33,3.33,5.47,11.98,221.68,46.9,79.7,177.28
11.68,113.51,98.52,149.57,7.46,34.45,0,2.73,113.83,54.03,656.33,71.3,116.75,33.36,9.28,15.47,3.33,5.46,12.1,221.82,47.1,79.66,177.85
11.71,113.31,97.68,149.17,7.44,34.26,0,2.72,113.36,54.03,647.86,70.41,113.24,32.48,9.43,15.51,3.31,5.48,12.07,220.14,47.55,79.37,178.05
11.23,114.19,98.77,150.32,7.51,34.81,0,2.76,114.22,55.88,675.12,71.54,112.98,32.51,9.62,16.11,3.26,5.5,12.48,220.02,47.58,78.58,180.8
11.41,112.89,98.6,150.61,7.4,34.08,0,2.78,113.6,55.17,664.69,68.98,109.2,32.18,9.57,15.71,3.26,5.43,12.99,214.41,47.36,76.5,178.65
