"","A:ASBX(P)","A:ASBX(EPS)","A:ASBX(PA)","A:ASBX(PB)","D:RHM(P)","D:RHM(EPS)","D:RHM(PA)","D:RHM(PB)","I:LDO(P)","I:LDO(EPS)","I:LDO(PA)","I:LDO(PB)","F:CSF(P)","F:CSF(EPS)","F:CSF(PA)","F:CSF(PB)","BA.(P)","BA.(EPS)","BA.(PA)","BA.(PB)","IS:ESLT(P)","IS:ESLT(EPS)","IS:ESLT(PA)","IS:ESLT(PB)","RR.(P)","RR.(EPS)","RR.(PA)","RR.(PB)","TK:ASE(P)","TK:ASE(EPS)","TK:ASE(PA)","TK:ASE(PB)","U:NOC(P)","U:NOC(EPS)","U:NOC(PA)","U:NOC(PB)","U:RTX(P)","U:RTX(EPS)","U:RTX(PA)","U:RTX(PB)","U:HII(P)","U:HII(EPS)","U:HII(PA)","U:HII(PB)","U:LMT(P)","U:LMT(EPS)","U:LMT(PA)","U:LMT(PB)","@AXON(P)","@AXON(EPS)","@AXON(PA)","@AXON(PB)","@MANT(P)","@MANT(EPS)","@MANT(PA)","@MANT(PB)","U:BWXT(P)","U:BWXT(EPS)","U:BWXT(PA)","U:BWXT(PB)","U:CW(P)","U:CW(EPS)","U:CW(PA)","U:CW(PB)","@SWBI(P)","@SWBI(EPS)","@SWBI(PA)","@SWBI(PB)","U:GD(P)","U:GD(EPS)","U:GD(PA)","U:GD(PB)","U:RGR(P)","U:RGR(EPS)","U:RGR(PA)","U:RGR(PB)","@POWW(P)","@POWW(EPS)","@POWW(PA)","@POWW(PB)","U:CACI(P)","U:CACI(EPS)","U:CACI(PA)","U:CACI(PB)","@HON(P)","@HON(EPS)","@HON(PA)","@HON(PB)"
"10/28/15",1.61,0.12,1.62,1.57,64.18,1.68,64.58,64.12,14.28,0.23,14.28,14.27,75.42,2.99,75.44,75.42,581.21,49.12,581.34,581.21,413.09,5.25,413.35,413.22,286.42,24.4,286.63,286.42,0.65,0.02,0.65,0.65,190.5,9.9,190.44,190.41,58.58,3.91,58.57,58.56,112.71,8.01,112.67,112.62,221.04,11.27,221,220.99,23.48,0.48,23.48,23.47,28.1,1.44,28.08,28.06,28.09,0,28.1,28.09,69.29,1.62,69.22,69.12,13.92,0.69,13.92,13.92,150.78,8.54,150.78,150.77,58.61,1.32,58.6,58.56,0.8,0,2.25,2.21,89.21,5.17,89.2,89.05,98.61,5.44,98.63,98.62
"10/29/15",1.59,0.12,1.61,1.59,65.04,1.68,65.11,64.65,14.06,0.23,14.06,14.05,76,2.99,76,75.82,576.62,49.12,576.75,576.62,402.84,5.25,402.84,402.71,288.75,24.4,288.96,288.75,0.65,0.02,0.62,0.62,190.07,9.9,190.07,190.06,58.42,3.91,58.42,58.4,113.82,8.01,113.86,113.82,218.25,11.27,218.25,218.24,23.39,0.48,23.41,23.39,29.09,1.44,29.09,29.08,28.04,0,28.04,28.03,68.95,1.62,68.95,68.91,13.97,0.69,13.98,13.97,149.97,8.54,150.02,149.98,57.89,1.32,57.93,57.88,0.8,0,2.26,2.23,96,5.17,96,95.97,98,5.44,97.98,97.97
"10/30/15",1.67,0.12,1.67,1.65,65.71,1.68,66.2,65.74,13.72,0.23,13.73,13.72,76.03,2.99,76.04,76.03,578.32,49.12,578.32,578.19,402.97,5.25,402.97,402.84,292.37,24.4,292.58,292.37,0.65,0.02,0.65,0.65,187.75,10.37,187.77,187.75,58.04,3.91,58.06,58.05,119.94,8.01,119.93,119.92,219.83,11.27,219.79,219.74,23.41,0.48,23.41,23.4,28.9,1.44,28.93,28.9,28.3,0,28.3,28.28,69.56,1.62,69.54,69.49,13.72,0.69,13.72,13.71,148.58,8.54,148.6,148.59,56.94,1.32,56.89,56.85,0.8,0,2.27,2.24,97.04,5.17,97.04,97.01,98.32,5.44,98.31,98.31
"11/02/15",1.62,0.12,1.68,1.61,67.16,1.68,67.62,67.16,13.77,0.23,13.82,13.77,76.47,2.99,76.54,76.43,583.05,49.12,583.18,583.05,407.05,5.25,407.31,407.05,294.06,24.4,294.06,293.85,0.69,0.02,0.69,0.69,189.54,10.37,189.56,189.54,58.62,3.91,58.63,58.63,121.08,8.01,121.05,120.98,220.59,11.27,220.56,220.53,23.88,0.48,23.9,23.88,29.43,1.44,29.45,29.42,28.27,0,28.3,28.28,69.9,1.91,69.91,69.88,13.76,0.69,13.76,13.75,148.72,8.77,148.77,148.74,55.7,1.32,55.69,55.66,0.8,0,2.28,2.25,98.75,5.17,98.79,98.75,99.18,5.44,99.2,99.19
"11/03/15",1.68,0.12,1.73,1.67,66.7,1.68,66.96,66.5,13.6,0.3,13.62,13.6,75.96,2.99,75.96,75.81,583.18,49.12,583.31,583.18,408.49,5.25,409.15,408.49,295.56,24.4,295.77,295.56,0.68,0.02,0.69,0.68,186.64,10.37,186.64,186.63,58.98,3.91,58.99,58.99,121.63,8.01,121.62,121.57,218.9,11.27,218.96,218.91,20.91,0.48,20.91,20.9,29.83,1.38,29.84,29.82,28.66,0,28.68,28.67,70.55,1.91,70.54,70.52,13.79,0.69,13.79,13.78,147.17,8.77,147.16,147.13,56.36,1.32,56.36,56.33,0.8,0,2.28,2.26,99.32,5.25,99.31,99.26,98.68,5.44,98.68,98.67
"11/04/15",1.67,0.12,1.7,1.65,66.64,1.68,65.14,64.67,13.82,0.3,13.83,13.82,76.65,2.99,76.65,76.56,588.04,49.12,588.17,588.04,409.8,5.25,409.8,408.49,301.72,24.4,301.72,301.51,0.69,0.02,0.69,0.68,186.17,10.37,186.21,186.17,59.18,3.91,59.19,59.18,120.37,8.01,120.46,120.33,218.83,11.27,218.85,218.83,20.58,0.48,20.58,20.57,29.57,1.38,29.6,29.57,28.62,0,28.62,28.61,70.08,1.91,70.12,70.09,13.55,0.69,13.55,13.54,147.28,8.77,147.29,147.28,54.54,1.32,54.54,54.42,0.8,0,2.28,2.26,100.58,5.25,100.59,100.56,98.41,5.44,98.44,98.42
"11/05/15",1.65,0.12,1.68,1.64,68.75,3.09,69.11,68.65,13.7,0.3,13.72,13.7,76.71,2.99,76.71,76.63,575.17,49.12,575.17,575.04,415.45,5.25,415.45,415.06,297.69,24.4,297.9,297.69,0.68,0.02,0.68,0.68,186.42,10.37,186.44,186.42,59.45,3.91,59.48,59.46,130.13,8.01,130.08,130.05,218.6,11.27,218.7,218.63,20.16,0.37,20.16,20.15,29.73,1.38,29.73,29.71,29.22,0,29.22,29.2,70.24,1.91,70.26,70.24,13.34,0.69,13.35,13.34,147.07,8.77,147.1,147.09,49.14,1.32,49.16,49.13,0.8,0,2.28,2.26,100.32,5.25,100.4,100.32,98.63,5.44,98.67,98.65
"11/06/15",1.62,0.12,1.7,1.61,71.87,3.09,72.36,71.9,14.15,0.3,14.16,14.15,77.48,2.99,77.56,77.47,584.5,49.12,584.63,584.5,410.85,5.25,411.25,410.85,297.25,24.4,297.25,297.04,0.67,0,0.67,0.67,184.01,10.37,184.13,184.08,59.45,3.91,59.45,59.44,129,8.01,129.05,129,216.63,11.27,216.65,216.61,20.19,0.37,20.19,20.18,30.01,1.38,30.04,30.02,29.12,0,29.12,29.11,70.1,1.91,70.11,70.07,13.96,0.69,13.96,13.95,145.92,8.77,145.91,145.88,52.87,1.32,52.87,52.86,0.8,0,2.28,2.26,100.59,5.25,100.63,100.59,99.01,5.44,99.01,98.98
"11/09/15",1.66,0.12,1.7,1.65,70.36,3.09,70.66,70.19,13.93,0.3,13.94,13.93,76.7,2.99,76.7,76.53,579.5,49.12,579.5,579.37,409.54,5.25,409.54,407.57,297.04,24.4,297.04,296.83,0.68,0,0.69,0.68,181.66,10.37,181.7,181.66,58.78,3.91,58.79,58.79,127.58,8.34,127.58,127.5,214.7,11.27,214.67,214.66,19.24,0.37,19.25,19.24,29.69,1.38,29.72,29.69,29.06,0,29.09,29.07,68.72,1.91,68.79,68.74,13.56,0.69,13.57,13.56,144.29,8.77,144.3,144.28,50.77,1.58,50.81,50.78,0.8,0,2.28,2.26,99.52,5.25,99.61,99.54,97.78,5.44,97.81,97.79
"11/10/15",1.62,0.12,1.69,1.6,68.04,3.09,68.04,67.29,14.42,0.3,14.42,14.4,77.06,2.99,77.15,77.06,575.3,49.12,575.56,575.3,412.43,5.25,413.09,412.43,285.77,24.4,285.77,285.56,0.68,0,0.68,0.68,181.49,10.37,181.5,181.49,58.2,3.91,58.23,58.21,128.16,8.34,128.19,128.16,214.07,11.27,214.13,214.07,18.81,0.37,18.8,18.79,29.97,1.38,30,29.97,29.35,0.28,29.35,29.33,68.58,1.91,68.62,68.59,13.76,0.69,13.76,13.75,143.94,8.77,143.97,143.95,50.93,1.58,50.97,50.93,0.8,0,2.28,2.26,101.5,5.25,101.5,101.47,97.49,5.44,97.51,97.5
"11/11/15",1.65,0.12,1.65,1.65,66.17,3.09,66.17,65.73,14.5,0.3,14.51,14.5,77.66,2.99,77.68,77.66,575.7,49.12,575.7,575.3,424.25,5.49,424.25,423.99,283.64,24.4,283.64,283.43,0.68,0,0.68,0.68,181.7,10.37,181.75,181.72,57.96,3.91,57.94,57.93,130.58,8.34,130.58,130.51,215.11,11.27,215.12,215.11,18.55,0.37,18.55,18.54,29.65,1.38,29.67,29.64,29.71,0.28,29.69,29.67,68.52,1.91,68.56,68.52,13.53,0.69,13.53,13.53,143.31,8.77,143.35,143.33,49.74,1.58,49.73,49.71,0.8,0,2.28,2.26,100.13,5.25,100.15,100.13,98.31,5.44,98.32,98.31
"11/12/15",1.68,0.12,1.69,1.65,63.15,3.09,63.23,62.77,14.06,0.3,14.07,14.06,76.25,2.99,76.32,76.23,597.63,49.12,598.02,597.63,434.76,5.49,435.02,434.76,228.15,24.4,228.15,227.94,0.69,0,0.69,0.69,180.31,10.37,180.34,180.31,58.52,3.91,58.53,58.52,127.99,8.34,128.01,127.99,213.58,11.27,213.63,213.62,18.11,0.37,18.12,18.11,29.33,1.38,29.33,29.31,28.46,0.28,28.46,28.44,67.5,1.91,67.53,67.5,13.53,0.69,13.53,13.53,141.85,8.77,141.85,141.83,49.54,1.58,49.54,49.51,0.8,0,2.29,2.27,98.06,5.25,98.12,98.06,97.08,5.44,97.1,97.09
"11/13/15",1.67,0.12,1.7,1.61,61.15,3.09,62.38,61.92,14.07,0.3,14.08,14.06,75.58,2.99,75.63,75.55,595.79,49.12,595.79,595.66,421.89,5.49,422.02,421.89,218.37,24.4,218.37,218.15,0.7,0,0.7,0.7,178.82,10.37,178.82,178.77,56.91,3.91,56.9,56.88,127.49,8.34,127.49,127.41,213.16,11.27,213.23,213.19,17.4,0.37,17.4,17.39,29.69,1.38,29.73,29.7,28.79,0.28,28.79,28.78,67.48,1.91,67.5,67.49,13.16,0.69,13.17,13.16,140.6,8.77,140.59,140.53,48.95,1.58,48.97,48.94,0.8,0,2.3,2.28,95.98,5.25,96,95.98,96.23,5.44,96.25,96.24
"11/16/15",1.65,0.12,1.7,1.65,65.64,3.09,65.73,65.36,14.45,0.3,14.45,14.43,78.07,2.99,78.11,78.01,610.37,49.12,610.5,610.37,430.82,5.49,430.82,430.43,224.54,24.4,224.75,224.54,0.76,0,0.76,0.75,186.61,10.37,186.63,186.62,57.7,3.91,57.71,57.7,131.45,8.34,131.54,131.46,220.67,11.27,220.67,220.62,17.38,0.37,17.38,17.37,30.35,1.38,30.39,30.35,29.22,0.28,29.22,29.2,69.28,1.91,69.31,69.26,13.43,0.69,13.44,13.43,143.28,8.77,143.31,143.28,49.95,1.58,49.97,49.95,0.8,0,2.32,2.3,97.02,5.25,97.1,97.02,98.02,5.44,98.02,98.01
"11/17/15",1.74,0.12,1.74,1.7,66.9,3.09,66.73,66.27,15.23,0.3,15.23,15.21,80.85,2.99,80.87,80.82,622.32,49.12,622.72,622.32,441.33,5.49,441.46,441.33,236.02,24.4,236.23,236.02,0.74,0,0.74,0.74,186.14,10.37,186.13,186.07,57.54,3.91,57.53,57.52,131.75,8.34,131.75,131.71,222.39,11.27,222.38,222.36,16.76,0.37,16.77,16.76,30.64,1.38,30.67,30.64,28.9,0.28,28.89,28.88,69.28,1.91,69.3,69.26,13.3,0.69,13.3,13.3,142.87,8.77,142.87,142.85,49.65,1.58,49.65,49.62,0.8,0,2.34,2.32,96.93,5.25,96.93,96.87,97.38,5.44,97.37,97.36
"11/18/15",1.71,0.12,1.74,1.68,66.93,3.09,67.05,66.99,15.21,0.3,15.21,15.2,79.61,2.99,79.67,79.59,626,49.12,626.53,626,447.89,5.49,447.89,447.76,230.91,24.4,230.91,230.7,0.73,0,0.73,0.73,188.14,10.37,188.19,188.17,57.63,3.91,57.65,57.64,131.43,8.34,131.41,131.35,223.22,11.27,223.2,223.14,18.33,0.37,18.32,18.31,31.18,1.38,31.21,31.18,29.37,0.28,29.36,29.35,70.16,1.91,70.15,70.13,13.59,0.69,13.59,13.58,143.71,8.77,143.74,143.72,50.47,1.58,50.48,50.47,0.8,0,2.37,2.35,97.87,5.25,97.87,97.83,99.07,5.44,99.08,99.07
"11/19/15",1.68,0.12,1.74,1.68,67.67,3.09,67.54,67.08,15.26,0.3,15.26,15.25,79.07,2.99,79.1,78.98,635.85,49.12,635.85,635.72,436.2,5.49,436.07,435.81,230.07,24.4,230.07,229.84,0.73,0,0.73,0.73,188.26,10.37,188.24,188.21,57.98,3.91,57.97,57.96,134.08,8.34,134.05,133.96,224,11.27,223.98,223.95,17.82,0.37,17.82,17.81,31.04,1.38,31.04,31.03,29.31,0.28,29.29,29.27,70.59,1.91,70.6,70.57,13.58,0.69,13.58,13.57,145.2,8.77,145.24,145.22,50.15,1.58,50.15,50.11,0.8,0,2.4,2.38,97.58,5.25,97.55,97.51,100,5.44,100.04,100.02
"11/20/15",1.78,0.12,1.78,1.76,67.6,3.09,67.67,67.21,15.64,0.3,15.66,15.64,79.97,2.99,80.02,79.93,646.23,49.12,646.75,646.23,441.59,5.49,441.85,441.59,234.74,24.4,234.74,234.53,0.73,0,0.73,0.73,189.48,10.37,189.47,189.45,57.93,3.91,57.94,57.94,134.52,8.34,134.52,134.48,226.06,11.27,226.13,226.11,18.16,0.37,18.16,18.15,31.52,1.38,31.53,31.52,29.41,0.28,29.4,29.39,71.35,1.91,71.37,71.34,13.8,0.69,13.8,13.79,145.5,8.77,145.51,145.5,51.36,1.58,51.4,51.37,0.8,0,2.43,2.42,98.79,5.25,98.82,98.75,100.56,5.44,100.56,100.54
"11/23/15",1.78,0.12,1.85,1.76,68.56,3.09,68.66,68.31,15.49,0.3,15.49,15.48,80.4,2.99,80.42,80.34,652.8,49.12,653.06,652.8,444.61,5.49,444.74,444.61,241.97,24.4,242.4,241.97,0.75,0,0.75,0.75,187.83,10.37,187.86,187.84,57.85,3.91,57.84,57.83,133.67,8.34,133.64,133.61,226.03,11.27,226.11,226.06,18.24,0.37,18.24,18.23,31.69,1.38,31.71,31.69,29.81,0.28,29.81,29.8,70.96,1.91,70.96,70.93,14.03,0.69,14.03,14.02,144.59,8.77,144.62,144.61,52.05,1.58,52.03,51.99,0.8,0,2.47,2.45,98.92,5.25,98.92,98.88,99.57,5.44,99.59,99.57
"11/24/15",1.73,0.12,1.77,1.73,67.31,3.09,67.83,67.39,15.13,0.3,15.14,15.13,79.84,2.99,79.85,79.84,657.39,49.12,658.05,657.39,453.02,5.49,453.02,452.75,250.05,24.4,250.05,249.84,0.74,0,0.74,0.73,188,10.37,188.07,188.05,57.42,3.91,57.41,57.4,133.85,8.34,133.79,133.7,226.43,11.27,226.56,226.54,19.31,0.37,19.32,19.31,32.32,1.38,32.34,32.32,30.32,0.28,30.35,30.33,71.34,1.91,71.34,71.31,14.32,0.69,14.32,14.32,145.53,8.77,145.59,145.55,52.61,1.58,52.61,52.56,0.8,0,2.49,2.48,99.69,5.25,99.72,99.69,98.22,5.44,98.23,98.22
"11/25/15",1.72,0.12,1.75,1.71,69.19,3.09,69.2,68.74,15.76,0.3,15.78,15.76,80.72,2.99,80.76,80.72,666.59,49.12,666.59,665.93,459.45,5.49,459.45,458.93,258.12,24.4,258.35,258.12,0.77,0,0.77,0.76,187.77,10.37,187.81,187.8,57.37,3.91,57.38,57.38,132.3,8.34,132.26,132.21,225.8,11.27,225.88,225.85,19.27,0.37,19.28,19.26,32.46,1.38,32.47,32.46,30.11,0.28,30.11,30.09,70.74,1.91,70.73,70.69,14.25,0.69,14.25,14.24,145.18,8.77,145.17,145.15,53.27,1.58,53.27,53.25,0.8,0,2.51,2.5,99.64,5.25,99.69,99.64,98.66,5.44,98.65,98.63
"11/26/15",1.73,0.12,1.78,1.73,69.23,3.09,69.2,68.74,15.75,0.3,15.75,15.73,80.72,2.99,80.72,80.62,681.69,49.12,681.69,681.04,451.31,5.49,451.44,451.31,255.79,24.4,255.79,255.58,0.75,0,0.75,0.75,187.77,10.37,188.65,188.6,57.37,3.91,57.43,57.42,132.3,8.34,132.83,132.77,225.8,11.27,227.45,227.38,19.27,0.37,19,18.98,32.46,1.38,32.8,32.78,30.11,0.28,30.15,30.13,70.74,1.91,70.66,70.62,14.25,0.69,14.31,14.3,145.18,8.77,145.04,145.02,53.27,1.58,53.68,53.66,0.8,0,2.53,2.52,99.64,5.25,99.99,99.92,98.66,5.44,99.09,99.07
"11/27/15",1.73,0.12,1.75,1.73,69.19,3.09,69.28,68.81,15.81,0.3,15.81,15.79,80.79,2.99,80.79,80.62,682.35,49.12,683.66,682.35,451.7,5.49,451.84,451.7,257.91,24.4,257.91,257.7,0.75,0,0.75,0.75,188.41,10.37,188.52,188.45,57.09,3.91,57.12,57.12,132.77,8.34,132.85,132.78,225.91,11.27,226,225.93,18.84,0.37,18.84,18.83,33.24,1.38,33.25,33.21,30.32,0.28,30.36,30.34,70.69,1.91,70.7,70.67,14.32,0.69,14.32,14.3,145.56,8.77,145.55,145.52,53.28,1.58,53.28,53.24,0.8,0,2.54,2.53,100.16,5.25,100.11,100.06,99.07,5.44,99.1,99.08
"11/30/15",1.78,0.12,1.81,1.73,69.02,3.09,69.53,69.07,15.81,0.3,15.81,15.79,81.27,2.99,81.27,81.24,678.41,49.12,679.07,678.41,449.6,5.49,449.86,449.6,257.91,24.4,257.91,257.7,0.77,0,0.78,0.77,186.36,10.37,186.37,186.36,56.65,3.91,56.65,56.65,130.92,8.34,130.98,130.94,219.16,11.27,219.27,219.25,18.7,0.37,18.7,18.69,33.49,1.38,33.51,33.48,30.45,0.28,30.44,30.42,70.41,1.91,70.4,70.37,14.09,0.69,14.09,14.08,146.46,8.77,146.48,146.46,52.1,1.58,52.09,52.04,0.8,0,2.54,2.54,100.26,5.25,100.29,100.27,98.96,5.44,98.99,98.98
"12/01/15",1.76,0.12,1.79,1.76,68.72,3.09,68.72,68.26,15.63,0.3,15.67,15.63,80.84,2.99,80.85,80.84,677.1,49.12,677.75,677.1,446.06,5.49,445.92,445.27,256.85,24.4,256.85,256.64,0.78,0,0.78,0.78,187.31,10.37,187.27,187.25,57.04,3.91,57.02,57.01,133.75,8.34,133.74,133.64,220.2,11.27,220.19,220.17,18.39,0.37,18.39,18.37,33.6,1.38,33.63,33.61,30.8,0.28,30.82,30.8,71.09,1.91,71.15,71.1,14.15,0.69,14.15,14.14,147.6,8.77,147.55,147.53,51.92,1.58,51.94,51.91,0.8,0,2.56,2.55,103.31,5.25,103.44,103.35,99.15,5.44,99.15,99.13
"12/02/15",1.77,0.12,1.79,1.76,69.19,3.09,69.12,68.66,15.52,0.3,15.53,15.52,80.37,2.99,80.37,80.3,674.47,49.12,675.13,674.47,451.84,5.49,451.97,451.84,255.58,24.4,256.01,255.58,0.77,0,0.77,0.77,185.69,10.37,185.73,185.69,56.18,3.91,56.19,56.19,131.21,8.34,131.21,131.16,218.94,11.27,218.99,218.94,18.03,0.37,18.02,18.01,33.01,1.38,33.01,32.99,31.06,0.28,31.08,31.07,70.49,1.91,70.49,70.48,14.08,0.69,14.08,14.07,145.35,8.77,145.39,145.36,52.55,1.58,52.57,52.55,0.8,0,2.58,2.57,103.1,5.25,103.15,103.11,98.15,5.44,98.17,98.16
"12/03/15",1.82,0.12,1.83,1.79,67.76,3.09,68.05,67.59,15.22,0.3,15.27,15.22,80.59,2.99,80.59,80.57,668.56,49.12,669.22,668.56,444.61,5.49,446.45,444.61,254.51,24.4,254.51,254.3,0.75,0,0.75,0.75,183.06,10.37,183.03,183.01,55.86,3.91,55.88,55.87,130.1,8.34,130.1,129.86,215.46,11.27,215.51,215.47,17.84,0.37,17.84,17.83,32.39,1.38,32.39,32.36,30.96,0.28,30.98,30.96,69.46,1.91,69.51,69.48,14.1,0.69,14.11,14.1,141.96,8.77,141.99,141.97,52.96,1.58,52.99,52.96,0.8,0,2.61,2.6,100.47,5.25,100.58,100.48,97.49,5.44,97.52,97.51
"12/04/15",1.73,0.12,1.79,1.73,68.15,3.09,69.75,69.29,15.46,0.3,15.48,15.46,80.65,2.99,80.67,80.63,667.9,49.12,667.9,667.24,452.49,5.49,452.89,452.49,252.82,24.4,253.03,252.82,0.76,0,0.76,0.76,187.95,10.37,187.87,187.84,56.46,3.91,56.48,56.47,133.08,8.34,133.03,132.98,218.39,11.27,218.25,218.22,17.77,0.37,17.78,17.77,32.8,1.38,32.8,32.78,31.21,0.28,31.22,31.2,70.65,1.91,70.67,70.65,14.59,0.69,14.59,14.59,143.84,8.77,143.76,143.73,54.32,1.58,54.33,54.32,0.8,0,2.66,2.65,101.64,5.25,101.68,101.62,99.53,5.44,99.5,99.49
"12/07/15",1.74,0.12,1.75,1.73,70.86,3.09,71.2,70.85,15.71,0.3,15.73,15.71,81.42,2.99,81.44,81.4,667.9,49.12,668.56,667.9,447.89,5.49,447.89,447.37,259.62,24.4,259.62,259.41,0.76,0,0.76,0.76,187.99,10.37,188.02,187.99,56.57,3.91,56.59,56.58,132.53,8.34,132.53,132.49,219.13,11.27,219.19,219.17,17.27,0.37,17.27,17.26,32.59,1.38,32.59,32.57,30.81,0.28,30.83,30.82,70.07,1.91,70.1,70.08,15.7,0.69,15.7,15.69,143.09,8.77,143.12,143.1,57.5,1.58,57.5,57.46,0.8,0,2.72,2.71,99.35,5.25,99.41,99.37,99.18,5.44,99.2,99.18
"12/08/15",1.68,0.12,1.72,1.67,70.62,3.09,71.13,70.66,15.28,0.3,15.29,15.28,80.69,2.99,80.7,80.61,659.36,49.12,659.36,658.71,438.7,5.49,438.7,438.57,250.9,24.4,250.9,250.48,0.75,0,0.76,0.75,188,10.37,188.01,187.99,55.58,3.91,55.6,55.59,130.58,8.34,130.67,130.63,218.81,11.27,218.88,218.86,16.93,0.37,16.93,16.92,32.13,1.38,32.12,32.1,30.76,0.28,30.76,30.74,68.65,1.91,68.66,68.65,16.43,0.69,16.44,16.43,142,8.77,141.99,141.98,57.92,1.58,57.92,57.89,0.8,0,2.8,2.79,103.03,5.25,103.1,103.05,97.73,5.44,97.72,97.71
"12/09/15",1.67,0.12,1.7,1.66,70.68,3.09,70.72,70.2,15.18,0.3,15.2,15.18,79.57,2.99,79.58,79.57,659.36,49.12,659.36,658.71,436.07,5.49,436.99,436.07,246.01,24.4,246.22,246.01,0.75,0,0.75,0.75,186.55,10.37,186.63,186.6,55.54,3.91,55.58,55.57,128.66,8.34,128.65,128.6,217.54,11.27,217.58,217.55,16.63,0.37,16.62,16.61,31.67,1.38,31.67,31.66,30.56,0.28,30.56,30.55,67.64,1.91,67.69,67.64,16.62,0.69,16.63,16.62,140.17,8.77,140.15,140.13,56.58,1.58,56.58,56.55,0.75,0,2.89,2.88,97.7,5.25,97.72,97.7,97,5.44,97.02,97
"12/10/15",1.24,0.12,1.25,1.21,70.91,3.09,71.05,70.59,15.2,0.3,15.22,15.2,79.61,2.99,79.64,79.52,655.03,49.12,655.03,654.9,424.91,5.49,424.91,423.73,241.11,24.4,241.34,241.11,0.73,0,0.73,0.73,187.46,10.37,187.37,187.31,55.37,3.91,55.38,55.38,128.48,8.34,128.47,128.43,218.88,11.27,218.98,218.95,17.73,0.37,17.73,17.72,31.84,1.38,31.84,31.82,31.09,0.28,31.09,31.08,68.29,1.91,68.34,68.29,17.67,0.79,17.67,17.67,140,8.77,139.99,139.96,59.66,1.58,59.66,59.63,0.75,0,2.99,2.98,97.51,5.25,97.51,97.48,96.88,5.44,96.86,96.84
"12/11/15",1.19,0.12,1.21,1.18,69.24,3.09,69.8,69.11,14.88,0.3,14.89,14.88,78.28,2.99,78.3,78.24,644.26,49.12,644.26,644.13,421.63,5.49,421.63,421.49,234.74,24.4,234.74,234.53,0.71,0,0.72,0.71,186.02,10.37,186.06,186.04,55.03,3.91,55.04,55.03,126.58,8.34,126.62,126.58,217.2,11.27,217.22,217.21,17.03,0.37,17.03,17.02,31.09,1.38,31.09,31.08,30.97,0.28,31,30.98,66.65,1.91,66.68,66.66,18.01,0.79,18.01,18,137.84,8.77,137.9,137.88,59.29,1.58,59.3,59.27,0.75,0,3.1,3.09,93.2,5.25,93.2,93.19,93.52,5.44,93.51,93.49
"12/14/15",1.14,0.12,1.16,1.14,69.82,3.09,69.96,69.49,14.38,0.3,14.4,14.38,77.53,2.99,77.59,77.52,634.93,49.12,634.93,634.8,423.99,5.49,425.96,424.51,228.57,24.4,228.79,228.57,0.72,0,0.72,0.72,187.07,10.37,187.15,187.07,54.87,3.91,54.9,54.89,126.41,8.34,126.39,126.37,216.58,11.27,216.66,216.58,16.29,0.37,16.3,16.29,31.06,1.38,31.05,31.03,30.98,0.28,30.99,30.98,66.7,1.91,66.77,66.7,18.26,0.79,18.26,18.26,139.19,8.77,139.23,139.21,59.79,1.58,59.78,59.76,0.75,0,3.21,3.2,93.71,5.25,93.7,93.66,94.23,5.44,94.27,94.26
"12/15/15",1.14,0.12,1.17,1.13,70.86,3.09,70.93,70.47,14.78,0.3,14.78,14.76,79.74,2.99,79.78,79.74,643.6,49.12,643.86,643.6,433.58,5.49,433.58,433.05,229.63,24.4,229.84,229.63,0.74,0,0.74,0.74,187.84,10.37,187.88,187.87,55.01,3.91,55.02,55.01,126.96,8.34,126.94,126.87,214.84,11.27,214.84,214.82,17,0.37,17,16.99,30.85,1.38,30.85,30.81,31.48,0.28,31.5,31.49,66.83,1.91,66.85,66.81,16.45,0.79,16.45,16.44,138.04,8.77,138,137.98,58.24,1.58,58.24,58.22,0.75,0,3.32,3.31,93.98,5.25,93.97,93.92,93.74,5.44,93.73,93.72
"12/16/15",1.15,0.12,1.16,1.14,70.92,3.09,70.92,70.85,15.01,0.3,15.01,15,80.56,2.99,80.57,80.47,646.75,49.12,646.75,646.62,437.26,5.49,437.26,436.73,240.9,24.4,240.9,240.69,0.76,0,0.76,0.75,189.75,10.37,189.76,189.75,56.11,3.91,56.12,56.11,128.57,8.34,128.68,128.6,217.5,11.27,217.49,217.42,16.78,0.37,16.78,16.76,31.36,1.38,31.36,31.34,31.54,0.28,31.57,31.56,67.64,1.91,67.64,67.62,16.86,0.79,16.85,16.84,139.64,8.77,139.62,139.6,59.69,1.58,59.71,59.68,0.75,0,3.43,3.42,94.67,5.25,94.67,94.64,99.09,5.44,99.1,99.1
"12/17/15",1.18,0.12,1.2,1.17,72.4,3.09,72.89,72.17,15.01,0.3,15.03,15.01,81.82,2.99,81.82,81.79,651.88,49.12,651.88,651.75,448.95,5.49,448.95,448.55,243.89,24.4,244.1,243.89,0.79,0,0.79,0.79,188.31,10.37,188.36,188.33,55.37,3.91,55.37,55.37,126.99,8.34,126.99,126.95,215.22,11.27,215.25,215.22,16.98,0.37,17,16.98,31,1.38,31.03,31.01,31.05,0.28,31.05,31.04,66.8,1.91,66.8,66.77,16.57,0.79,16.57,16.56,138.16,8.77,138.19,138.17,58.86,1.58,58.88,58.86,0.75,0,3.53,3.51,99.15,5.25,99.22,99.16,97.4,5.44,97.39,97.37
