"","A:ASBX(P)","A:ASBX(EPS)","A:ASBX(PA)","A:ASBX(PB)","D:RHM(P)","D:RHM(EPS)","D:RHM(PA)","D:RHM(PB)","I:LDO(P)","I:LDO(EPS)","I:LDO(PA)","I:LDO(PB)","F:CSF(P)","F:CSF(EPS)","F:CSF(PA)","F:CSF(PB)","BA.(P)","BA.(EPS)","BA.(PA)","BA.(PB)","IS:ESLT(P)","IS:ESLT(EPS)","IS:ESLT(PA)","IS:ESLT(PB)","RR.(P)","RR.(EPS)","RR.(PA)","RR.(PB)","TK:ASE(P)","TK:ASE(EPS)","TK:ASE(PA)","TK:ASE(PB)"
"23",1.73,0.12,1.75,1.73,69.19,3.09,69.28,68.81,15.81,0.3,15.81,15.79,80.79,2.99,80.79,80.62,682.35,49.12,683.66,682.35,451.7,5.49,451.84,451.7,257.91,24.4,257.91,257.7,0.75,0,0.75,0.75
"24",1.78,0.12,1.81,1.73,69.02,3.09,69.53,69.07,15.81,0.3,15.81,15.79,81.27,2.99,81.27,81.24,678.41,49.12,679.07,678.41,449.6,5.49,449.86,449.6,257.91,24.4,257.91,257.7,0.77,0,0.78,0.77
"25",1.76,0.12,1.79,1.76,68.72,3.09,68.72,68.26,15.63,0.3,15.67,15.63,80.84,2.99,80.85,80.84,677.1,49.12,677.75,677.1,446.06,5.49,445.92,445.27,256.85,24.4,256.85,256.64,0.78,0,0.78,0.78
"26",1.77,0.12,1.79,1.76,69.19,3.09,69.12,68.66,15.52,0.3,15.53,15.52,80.37,2.99,80.37,80.3,674.47,49.12,675.13,674.47,451.84,5.49,451.97,451.84,255.58,24.4,256.01,255.58,0.77,0,0.77,0.77
"27",1.82,0.12,1.83,1.79,67.76,3.09,68.05,67.59,15.22,0.3,15.27,15.22,80.59,2.99,80.59,80.57,668.56,49.12,669.22,668.56,444.61,5.49,446.45,444.61,254.51,24.4,254.51,254.3,0.75,0,0.75,0.75
"28",1.73,0.12,1.79,1.73,68.15,3.09,69.75,69.29,15.46,0.3,15.48,15.46,80.65,2.99,80.67,80.63,667.9,49.12,667.9,667.24,452.49,5.49,452.89,452.49,252.82,24.4,253.03,252.82,0.76,0,0.76,0.76
"29",1.74,0.12,1.75,1.73,70.86,3.09,71.2,70.85,15.71,0.3,15.73,15.71,81.42,2.99,81.44,81.4,667.9,49.12,668.56,667.9,447.89,5.49,447.89,447.37,259.62,24.4,259.62,259.41,0.76,0,0.76,0.76
"30",1.68,0.12,1.72,1.67,70.62,3.09,71.13,70.66,15.28,0.3,15.29,15.28,80.69,2.99,80.7,80.61,659.36,49.12,659.36,658.71,438.7,5.49,438.7,438.57,250.9,24.4,250.9,250.48,0.75,0,0.76,0.75
"31",1.67,0.12,1.7,1.66,70.68,3.09,70.72,70.2,15.18,0.3,15.2,15.18,79.57,2.99,79.58,79.57,659.36,49.12,659.36,658.71,436.07,5.49,436.99,436.07,246.01,24.4,246.22,246.01,0.75,0,0.75,0.75
"32",1.24,0.12,1.25,1.21,70.91,3.09,71.05,70.59,15.2,0.3,15.22,15.2,79.61,2.99,79.64,79.52,655.03,49.12,655.03,654.9,424.91,5.49,424.91,423.73,241.11,24.4,241.34,241.11,0.73,0,0.73,0.73
"33",1.19,0.12,1.21,1.18,69.24,3.09,69.8,69.11,14.88,0.3,14.89,14.88,78.28,2.99,78.3,78.24,644.26,49.12,644.26,644.13,421.63,5.49,421.63,421.49,234.74,24.4,234.74,234.53,0.71,0,0.72,0.71
"34",1.14,0.12,1.16,1.14,69.82,3.09,69.96,69.49,14.38,0.3,14.4,14.38,77.53,2.99,77.59,77.52,634.93,49.12,634.93,634.8,423.99,5.49,425.96,424.51,228.57,24.4,228.79,228.57,0.72,0,0.72,0.72
"35",1.14,0.12,1.17,1.13,70.86,3.09,70.93,70.47,14.78,0.3,14.78,14.76,79.74,2.99,79.78,79.74,643.6,49.12,643.86,643.6,433.58,5.49,433.58,433.05,229.63,24.4,229.84,229.63,0.74,0,0.74,0.74
"36",1.15,0.12,1.16,1.14,70.92,3.09,70.92,70.85,15.01,0.3,15.01,15,80.56,2.99,80.57,80.47,646.75,49.12,646.75,646.62,437.26,5.49,437.26,436.73,240.9,24.4,240.9,240.69,0.76,0,0.76,0.75
"37",1.18,0.12,1.2,1.17,72.4,3.09,72.89,72.17,15.01,0.3,15.03,15.01,81.82,2.99,81.82,81.79,651.88,49.12,651.88,651.75,448.95,5.49,448.95,448.55,243.89,24.4,244.1,243.89,0.79,0,0.79,0.79
"38",1.14,0.12,1.16,1.12,71.31,3.09,71.45,71.02,14.74,0.3,14.77,14.74,79.99,2.99,79.99,79.97,646.89,49.12,646.89,646.75,441.85,5.49,441.85,441.33,245.16,24.4,245.16,244.95,0.78,0,0.78,0.78
"39",1.08,0.12,1.08,1.06,70.01,3.09,70.68,69.99,14.71,0.3,14.73,14.71,78.94,2.99,79.07,78.94,648.07,49.12,648.07,647.67,439.88,5.49,440.41,440.01,242.18,24.4,242.4,242.18,0.8,0,0.8,0.8
"40",1.15,0.12,1.16,1.13,70.21,3.09,70.43,69.97,14.5,0.3,14.51,14.5,78.44,2.99,78.49,78.37,648.33,49.12,648.46,648.33,437.39,5.49,437.65,437.39,240.48,24.4,240.48,240.27,0.8,0,0.8,0.8
"41",1.09,0.12,1.11,1.09,70.39,3.09,70.76,70.29,14.83,0.3,14.83,14.82,78.44,2.99,78.6,78.43,655.29,49.12,655.42,655.29,440.01,5.49,440.28,440.15,251.11,24.4,251.32,251.11,0.8,0,0.8,0.8
"42",1.09,0.12,1.1,1.08,70.39,3.09,70.47,70,14.83,0.3,14.96,14.93,79.16,2.99,79.16,78.87,653.19,49.12,653.32,653.19,441.85,5.49,441.85,441.33,253.03,24.4,253.24,253.03,0.79,0,0.79,0.79
"43",1.09,0.12,1.11,1.09,70.39,3.09,69.94,69.5,14.83,0.3,14.85,14.8,79.16,2.99,78.43,78.24,653.19,49.12,655.57,655.34,446.32,5.49,446.32,446.06,253.03,24.4,252.33,252.12,0.79,0,0.79,0.79
"44",1.09,0.12,1.1,1.08,70.06,3.09,70.07,69.6,14.71,0.3,14.76,14.71,78.3,2.99,78.36,78.3,653.19,49.12,662.1,661.67,447.76,5.49,447.37,446.84,253.03,24.4,251.34,251.13,0.79,0,0.79,0.79
"45",1.09,0.12,1.09,1.08,71.02,3.09,71.05,70.59,14.86,0.3,14.86,14.85,80.07,2.99,80.14,80.07,665.93,49.12,666.59,665.93,451.18,5.49,451.18,451.05,249.42,24.4,249.42,249.21,0.79,0,0.79,0.79
