"","A:ASBX(P)","A:ASBX(EPS)","A:ASBX(PA)","A:ASBX(PB)","D:RHM(P)","D:RHM(EPS)","D:RHM(PA)","D:RHM(PB)","I:LDO(P)","I:LDO(EPS)","I:LDO(PA)","I:LDO(PB)","F:CSF(P)","F:CSF(EPS)","F:CSF(PA)","F:CSF(PB)","BA.(P)","BA.(EPS)","BA.(PA)","BA.(PB)","IS:ESLT(P)","IS:ESLT(EPS)","IS:ESLT(PA)","IS:ESLT(PB)","RR.(P)","RR.(EPS)","RR.(PA)","RR.(PB)","TK:ASE(P)","TK:ASE(EPS)","TK:ASE(PA)","TK:ASE(PB)"
"366",1.21,0,1.21,1.21,84.48,5.41,84.8,84.22,15.11,1.01,15.12,15.11,102.74,5.18,102.89,102.7,846.53,52.93,846.53,845.88,556.91,7.24,556.91,556.78,327.75,13.02,327.75,327.53,1.59,0.07,1.59,1.59
"367",1.2,0,1.21,1.2,83.7,5.41,84.92,84.35,15.22,1.01,15.23,15.22,103.33,5.18,103.41,103.33,857.04,52.93,857.04,856.39,547.19,7.24,547.72,547.19,326.02,13.02,326.02,325.81,1.59,0.07,1.59,1.59
"368",1.21,0,1.23,1.21,87.77,5.41,87.72,87.14,15.22,1.01,15.22,15.21,103.67,5.18,103.72,103.5,857.7,52.93,858.36,857.7,536.82,7.24,536.95,536.82,327.11,13.02,327.11,326.88,1.59,0.07,1.6,1.59
"369",1.22,0,1.23,1.21,87.74,5.41,87.75,87.3,14.97,1.01,14.99,14.97,102.75,5.18,102.85,102.75,841.94,52.93,842.59,841.94,527.49,7.24,527.49,527.36,321.26,13.02,321.26,321.05,1.56,0.07,1.56,1.56
"370",1.23,0,1.24,1.23,88.42,5.41,88.46,87.88,15.06,1.01,15.07,15.06,103.96,5.18,103.97,103.67,854.41,52.93,854.41,853.76,533.8,7.24,533.8,533.27,325.81,13.02,325.81,325.58,1.57,0.07,1.57,1.57
"371",1.28,0,1.29,1.21,89.14,5.41,89.16,88.58,15.34,1.01,15.34,15.29,102.81,5.18,102.81,102.75,850.47,52.93,850.47,849.82,543.78,7.24,543.78,543.52,328.18,13.02,328.39,328.18,1.59,0.07,1.59,1.59
"372",1.24,0,1.27,1.24,89.75,5.41,89.95,89.37,15.53,1.01,15.56,15.53,104.33,5.18,104.33,104.23,860.33,52.93,860.98,860.33,544.57,7.24,544.57,543.65,331.21,13.02,331.21,331,1.6,0.07,1.6,1.6
"373",1.27,0,1.27,1.25,91.03,5.41,91.37,90.79,15.33,1.01,15.35,15.33,104.55,5.18,104.71,104.54,843.91,52.93,844.56,843.91,548.9,7.24,548.9,548.64,326.02,13.02,326.02,325.81,1.58,0.07,1.58,1.58
"374",1.25,0,1.27,1.25,90.33,5.41,90.34,89.76,15.3,1.01,15.31,15.29,103.11,5.18,103.15,103.1,834.06,52.93,834.06,833.4,543.78,7.24,543.78,543.38,324.51,13.02,324.51,324.3,1.59,0.07,1.59,1.59
"375",1.25,0,1.27,1.25,90.45,5.41,90.99,90.46,15.42,1.01,15.42,15.41,104.26,5.18,104.3,104.26,841.28,52.93,841.28,840.62,543.52,7.24,543.52,543.38,331.43,13.02,331.43,331.21,1.59,0.07,1.59,1.59
"376",1.24,0,1.27,1.23,91.03,5.41,91.54,90.96,15.23,1.01,15.25,15.23,104.13,5.18,104.17,103.94,834.71,52.93,834.71,834.06,550.48,7.24,550.48,550.08,336.62,13.02,336.62,336.39,1.6,0.07,1.6,1.59
"377",1.22,0,1.24,1.22,92.55,5.41,92.55,91.97,15.51,1.01,15.52,15.51,104.98,5.18,105.08,104.98,832.74,52.93,833.4,832.74,559.54,7.24,559.54,559.28,338.99,13.02,339.2,338.99,1.58,0.07,1.58,1.58
"378",1.23,0,1.23,1.23,94.55,5.41,94.71,94.39,15.61,1.01,15.63,15.59,106.08,5.18,106.09,106.08,852.44,52.93,853.1,852.44,559.28,7.24,559.8,559.54,344.62,13.02,344.83,344.62,1.58,0.07,1.58,1.58
"379",1.24,0,1.26,1.23,94.15,5.41,94.33,94.11,15.36,1.01,15.37,15.36,105.55,5.18,105.7,105.52,843.25,52.93,843.25,842.59,559.28,7.24,561.22,559.19,344.62,13.02,344.62,344.39,1.59,0.07,1.6,1.59
"380",1.25,0,1.25,1.23,95.14,5.41,95.36,94.79,15.29,1.01,15.3,15.26,106.23,5.18,106.24,106.23,842.59,52.93,843.25,842.59,559.28,7.24,562.86,558.87,350.45,13.02,350.67,350.45,1.59,0.07,1.59,1.59
"381",1.25,0,1.25,1.24,94.54,5.41,94.67,94.09,15.11,1.01,15.13,15.11,106.06,5.18,106.37,106.06,849.16,52.93,849.82,849.16,555.6,7.24,559.28,555.6,359.1,13.02,359.31,359.1,1.59,0.07,1.59,1.59
"382",1.25,0,1.25,1.24,93.4,5.41,93.84,93.26,15.21,1.01,15.33,15.21,106.31,5.18,106.37,106.31,844.56,52.93,844.56,843.91,548.38,7.24,548.77,548.38,358.24,13.02,358.24,358.01,1.57,0.07,1.57,1.57
"383",1.25,0,1.26,1.24,93.4,5.41,93.34,92.79,15.21,1.01,15.46,15.33,106.31,5.18,105.97,106.09,844.56,52.93,839.98,839.34,548.38,7.24,541.84,542.92,358.24,13.02,357.06,356.83,1.58,0.07,1.58,1.58
"384",1.25,0,1.28,1.23,93.4,5.41,93.13,92.62,15.21,1.01,15.53,15.46,106.31,5.18,105.4,105.49,844.56,52.93,838.1,837.47,548.38,7.24,541.57,542.22,358.24,13.02,356.34,356.12,1.59,0.07,1.59,1.59
"385",1.24,0,1.27,1.22,93.13,5.41,93.26,92.68,15.7,1.01,15.71,15.7,105.15,5.18,105.16,105.14,836.03,52.93,836.03,835.37,548.11,7.24,548.24,548.11,352.62,13.02,352.62,352.39,1.6,0.07,1.6,1.6
"386",1.24,0,1.25,1.21,93.4,5.41,93.97,93.28,15.99,1.01,16.01,15.99,105.54,5.18,105.61,105.51,828.15,52.93,828.8,828.15,558.49,7.24,558.75,558.49,346.34,13.02,346.56,346.34,1.68,0.07,1.68,1.68
"387",1.24,0,1.24,1.21,95.12,5.41,95.26,94.68,15.99,1.01,16.02,15.98,106.16,5.18,106.33,106.14,813.7,52.93,813.7,813.04,559.54,7.24,559.93,559.54,348.07,13.02,348.29,348.07,1.78,0.07,1.78,1.78
"388",1.24,0,1.25,1.24,94.98,5.41,95.25,94.67,16.18,1.01,16.18,16.17,107.06,5.18,107.06,106.68,815.01,52.93,816.32,815.01,556.26,7.24,556.91,556.78,348.73,13.02,348.73,348.5,1.75,0.07,1.75,1.75
"389",1.28,0,1.28,1.27,96.74,5.41,97.41,96.83,16.89,1.01,16.89,16.86,109.65,5.18,109.9,109.63,825.52,52.93,826.18,825.52,570.31,7.24,570.31,569.92,350.24,13.02,350.24,350.01,1.75,0.07,1.75,1.75
"390",1.28,0,1.29,1.28,96.55,5.41,96.59,96.01,16.81,1.01,16.81,16.76,108.83,5.18,108.93,108.83,828.15,52.93,828.8,828.15,570.05,7.24,570.44,570.05,351.31,13.02,351.31,351.1,1.74,0.07,1.74,1.74
"391",1.26,0,1.28,1.26,96.65,5.41,97.19,96.61,17.15,1.01,17.17,17.14,111.06,5.18,111.19,111.06,837.34,52.93,837.34,836.68,571.62,7.24,571.76,571.62,357.15,13.02,357.15,356.94,1.75,0.07,1.75,1.75
"392",1.26,0,1.28,1.26,97.58,5.41,97.64,97.07,16.81,1.01,16.84,16.8,111.05,5.18,111.09,110.93,828.8,52.93,829.46,828.8,566.76,7.24,567.42,566.76,352.84,13.12,353.05,352.84,1.75,0.07,1.75,1.75
"393",1.25,0,1.28,1.25,97.33,5.41,97.68,97.4,16.64,1.01,16.65,16.64,111.31,5.18,111.42,111.31,823.55,52.93,824.2,823.55,560.72,7.24,560.72,560.2,354.14,13.12,354.36,354.14,1.81,0.07,1.82,1.81
"394",1.25,0,1.28,1.25,97.33,5.41,97.63,97.27,16.64,1.01,16.86,16.84,111.31,5.18,112.05,111.94,823.55,52.93,831.29,830.64,560.72,7.24,555.6,555.24,354.14,13.12,356.84,356.61,1.81,0.07,1.9,1.9
"395",1.27,0,1.27,1.27,96.96,5.41,96.96,96.39,16.8,1.01,16.83,16.8,112.49,5.18,112.52,112.34,838.65,52.93,838.65,838,560.72,7.24,553.36,553,359.16,13.12,359.38,359.16,1.92,0.07,1.92,1.92
"396",1.26,0,1.26,1.25,95.74,5.41,96.13,95.55,16.59,1.05,16.61,16.59,112.61,5.18,112.81,112.58,835.37,52.93,835.37,834.71,554.94,7.24,554.94,554.55,359.59,13.12,359.59,359.38,1.89,0.07,1.89,1.89
"397",1.28,0,1.28,1.27,98.48,5.69,98.48,97.98,17.79,1.05,17.81,17.78,113.06,5.18,113.18,113.06,834.71,52.93,835.37,834.71,557.18,7.24,557.57,557.18,354.36,13.12,354.59,354.36,1.94,0.07,1.94,1.94
"398",1.29,0,1.29,1.27,101.05,5.69,101.24,100.67,17.69,1.05,17.7,17.69,113.89,5.18,113.92,113.89,850.47,52.93,850.47,849.82,554.29,7.24,554.29,553.89,372.24,13.12,372.46,372.24,1.97,0.07,1.97,1.97
"399",1.28,0,1.29,1.27,100.08,5.69,100.2,99.62,17.84,1.05,17.84,17.83,113.97,5.18,113.97,113.74,839.97,52.93,840.62,839.97,562.96,7.24,562.96,562.69,370.94,13.12,371.15,370.94,1.97,0.09,1.97,1.97
"400",1.31,0,1.32,1.31,98.92,5.69,99.5,98.92,17.78,1.05,17.79,17.78,113.57,5.18,113.64,113.46,844.56,52.93,845.22,844.56,566.76,7.24,566.76,566.63,388.16,13.12,388.16,387.95,1.94,0.09,1.94,1.94
"401",1.32,0,1.34,1.3,98.03,5.69,98.61,98.03,17.92,1.05,17.92,17.9,113.73,5.18,113.8,113.67,841.28,52.93,841.28,840.62,571.1,7.24,571.1,570.7,381.41,13.12,381.41,381.18,1.95,0.09,1.95,1.95
"402",1.32,0,1.33,1.31,98.62,5.69,99.06,98.49,18.28,1.05,18.28,18.24,113.23,5.18,113.24,113,841.94,52.93,841.94,841.28,565.84,7.24,565.98,565.84,380.09,13.12,380.09,379.87,1.93,0.09,1.93,1.93
"403",1.32,0,1.32,1.29,99.53,5.69,99.53,98.95,18.09,1.05,18.11,18.09,113.26,5.18,113.27,113.26,840.62,52.93,840.62,839.97,563.48,7.24,563.74,563.48,376.6,13.12,376.6,376.39,1.92,0.09,1.92,1.92
"404",1.32,0,1.32,1.31,100.01,5.69,100.74,100.17,17.99,1.05,17.99,17.98,112.81,5.18,112.82,112.6,834.71,52.93,834.71,834.06,566.11,7.24,566.24,566.11,372.46,13.12,372.46,372.24,1.97,0.09,1.97,1.97
"405",1.36,0,1.36,1.34,100.62,5.69,100.57,100,17.9,1.05,17.9,17.89,113.5,5.18,113.65,113.44,844.56,52.93,845.22,844.56,566.11,7.39,566.63,566.11,377.26,13.12,377.26,377.05,2.05,0.09,2.05,2.05
"406",1.35,0,1.35,1.31,97.41,5.69,97.82,97.25,17.18,1.05,17.19,17.18,111.68,5.18,111.69,111.68,838.65,52.93,838.65,838,565.19,7.39,565.06,564.79,367.44,13.12,367.67,367.44,2.05,0.09,2.05,2.05
"407",1.31,0,1.35,1.27,98.02,5.69,98.64,98.06,17.17,1.05,17.18,17.17,112.03,5.18,112.06,111.91,834.71,52.93,836.68,834.71,564.27,7.39,564.27,563.48,370.94,13.12,370.94,370.71,1.98,0.09,1.98,1.98
"408",1.29,0,1.32,1.28,98.18,5.69,98.71,98.21,17.61,1.05,17.61,17.6,112.85,5.18,112.85,112.75,840.62,52.93,841.28,840.62,569.52,7.39,569.52,569.39,371.15,13.12,371.15,370.94,1.98,0.09,1.94,1.94
"409",1.31,0,1.31,1.29,99.04,5.69,99.04,98.46,17.13,1.05,17.14,17.13,112.78,5.18,112.91,112.73,842.59,52.93,842.59,841.94,562.17,7.39,562.17,561.9,372.24,13.12,372.69,372.24,1.95,0.09,1.95,1.95
"410",1.31,0,1.32,1.3,98.94,5.69,99.08,98.51,17.25,1.05,17.26,17.25,112.93,5.18,112.94,112.93,842.59,52.93,843.25,842.59,565.06,7.39,565.98,565.06,375.96,13.12,376.17,375.96,1.98,0.09,1.98,1.98
"411",1.3,0,1.31,1.29,98.73,5.69,98.95,98.38,17.52,1.05,17.53,17.51,113.57,5.18,113.57,113.54,853.76,52.93,853.76,853.1,560.59,7.39,560.59,560.2,372.69,13.12,372.69,372.46,1.98,0.09,1.99,1.98
"412",1.3,0,1.31,1.29,100.05,5.69,100.21,99.64,17.53,1.05,17.56,17.49,113.57,5.18,113.6,113.41,861.64,52.93,862.3,861.64,564.79,7.39,564.79,564.66,371.37,13.12,371.37,371.15,1.97,0.09,1.97,1.97
"413",1.27,0,1.3,1.26,99.1,5.69,99.02,98.44,17.9,1.05,17.91,17.85,114.42,5.18,114.43,114.34,874.12,52.93,874.77,874.12,572.81,7.39,572.81,572.67,380.75,13.12,380.96,380.75,1.98,0.09,1.98,1.98
"414",1.3,0,1.3,1.28,99.57,5.69,99.86,99.29,17.61,1.05,17.62,17.61,114.29,5.18,114.32,114.17,874.12,52.93,877.95,877.24,565.45,7.39,566.11,565.45,380.75,13.12,383,382.78,1.99,0.09,1.99,1.99
"415",1.32,0,1.33,1.32,99,5.69,98.96,98.39,18,1.05,18,17.99,114.05,5.18,114.13,113.99,873.46,52.93,874.12,873.46,565.45,7.39,562.6,561.61,378.78,13.12,379,378.78,1.98,0.09,1.99,1.98
"416",1.32,0,1.32,1.29,98.11,5.69,98.68,98.11,18.08,1.05,18.08,18.07,113.38,5.18,113.39,113.21,874.12,52.93,874.12,873.46,565.45,7.39,566.1,565.14,378.35,13.12,378.35,378.14,2.04,0.09,2.04,2.03
"417",1.31,0,1.32,1.29,100.33,5.69,100.72,100.14,18.38,1.05,18.38,18.35,114.73,5.18,114.73,114.66,883.97,52.93,885.28,883.97,573.33,7.39,573.99,573.33,386.2,13.12,386.41,386.2,2.06,0.09,2.06,2.05
"418",1.27,0,1.29,1.27,101.94,5.69,102.46,101.9,18.23,1.05,18.24,18.2,114.34,5.18,114.34,114.19,880.03,52.93,880.68,880.03,580.69,7.39,580.95,580.69,388.81,13.12,389.04,388.81,2.05,0.09,2.05,2.05
"419",1.25,0,1.26,1.25,101.94,5.69,102.24,101.63,18.11,1.05,18.11,18.07,113.08,5.18,113.09,113.08,882,52.93,882,881.34,579.24,7.39,579.5,579.24,390.13,13.12,390.13,389.9,2.04,0.09,2.04,2.04
"420",1.24,0,1.25,1.24,100.21,5.69,100.74,100.16,18.2,1.05,18.21,18.2,113.22,5.18,113.22,113,884.62,52.93,884.62,883.97,583.58,7.39,584.1,583.58,389.9,13.12,389.9,389.68,2.05,0.09,2.05,2.05
"421",1.25,0,1.25,1.22,99.87,5.69,99.54,99.12,17.99,1.05,18,17.99,112.85,5.18,112.93,112.74,876.74,52.93,877.4,876.74,585.94,7.39,585.94,585.15,387.29,13.12,387.29,387.07,2.03,0.09,2.03,2.03
"422",1.3,0,1.32,1.29,98.95,5.69,100.38,99.81,18.36,1.05,18.36,18.35,113.13,5.18,113.15,112.93,868.21,52.93,868.86,868.21,589.62,7.39,589.49,587.65,387.29,13.12,387.29,387.07,2.03,0.09,2.03,2.03
"423",1.34,0,1.34,1.32,100.1,5.69,100.4,99.82,18.5,1.05,18.5,18.47,113.27,5.18,113.27,113.19,889.22,52.93,889.22,888.57,580.95,7.39,581.87,580.95,396.24,13.12,396.24,395.79,2.05,0.09,2.05,2.05
"424",1.34,0,1.33,1.31,98.32,5.69,98.78,98.2,17.96,1.05,17.96,17.92,111.4,5.18,111.41,111.28,876.09,52.93,876.74,876.09,572.41,7.39,572.41,571.49,389.04,13.12,389.04,388.81,2.05,0.09,2.06,2.05
"425",1.32,0,1.33,1.32,99.74,5.69,100.39,99.81,18.08,1.05,18.15,18.08,111.85,5.18,111.85,111.76,866.24,52.93,866.89,866.24,579.5,7.39,579.5,578.19,388.81,13.12,389.04,388.81,2.05,0.09,2.05,2.05
"426",1.35,0,1.36,1.35,99.59,5.69,100.17,99.6,18.14,1.05,18.14,18.13,111.6,5.18,111.79,111.57,866.24,52.93,866.89,866.24,585.81,7.39,585.81,585.55,390.78,13.12,390.78,390.56,2.05,0.09,2.05,2.05
"427",1.38,0,1.38,1.35,97.92,5.69,98.32,98.17,17.69,1.05,17.72,17.69,111.92,5.18,112.07,111.83,862.95,52.93,862.95,862.3,571.1,7.39,571.23,571.1,390.34,13.12,390.34,390.13,2.05,0.09,2.05,2.05
"428",1.39,0,1.42,1.37,99.44,5.69,99.61,99.03,18.08,1.05,18.09,18.08,114.66,5.18,114.66,114.52,883.97,52.93,883.97,883.31,562.82,7.39,563.09,562.82,395.79,13.12,396.45,395.79,2.03,0.09,2.04,2.03
"429",1.34,0,1.36,1.32,102.15,5.69,102.18,101.6,18.07,1.05,18.07,18.05,114.74,5.18,114.92,114.74,888.57,52.93,889.22,888.57,578.06,7.39,578.06,577.93,403.21,13.12,403.21,402.99,2.03,0.09,2.03,2.03
"430",1.36,0,1.39,1.32,100.48,5.69,100.66,100.09,17.47,1.05,17.47,17.46,114.42,5.18,114.42,114.41,887.25,52.93,887.91,887.25,583.05,7.39,582.92,582.53,403.64,13.12,403.64,403.42,2.02,0.09,2.02,2.02
"431",1.36,0,1.39,1.32,100.8,5.69,101.46,100.89,17.94,1.05,17.94,17.93,114.26,5.18,114.27,114.16,888.57,52.93,888.57,887.91,583.84,7.39,583.71,583.58,406.7,13.12,406.7,406.48,2.04,0.09,2.05,2.04
"432",1.35,0,1.36,1.32,102.33,5.69,102.31,101.73,17.76,1.05,17.81,17.76,112.88,5.18,112.88,112.82,872.8,52.93,872.8,872.15,582,7.39,582.26,582,405.82,13.12,405.82,405.6,2.05,0.09,2.05,2.05
"433",1.32,0,1.35,1.32,102.23,5.69,102.32,101.74,17.69,1.05,17.69,17.67,113.39,5.18,113.58,113.34,853.76,52.93,855.07,853.76,577.67,7.39,578.59,577.67,410.84,13.12,410.84,410.62,2.05,0.09,2.05,2.05
"434",1.32,0,1.35,1.32,102.43,5.69,103.12,102.54,17.53,1.05,17.54,17.52,113.57,5.18,113.71,113.53,855.73,52.93,856.39,855.73,584.1,7.39,583.97,583.45,405.82,13.12,406.05,405.82,2.05,0.09,2.05,2.05
"435",1.32,0,1.35,1.31,102.12,5.69,100.06,99.48,17.26,1.05,17.26,17.25,111.63,5.18,111.64,111.63,845.22,52.93,845.22,844.56,580.03,7.39,580.03,578.32,400.81,13.12,400.81,400.6,2.05,0.09,2.05,2.05
"436",1.35,0,1.35,1.32,99.37,5.69,100.38,99.81,17.3,1.05,17.3,17.25,110.35,5.18,110.62,110.35,841.28,52.93,841.28,840.62,577.53,7.39,577.53,577.27,396.88,13.12,396.88,396.67,2.05,0.09,2.05,2.05
"437",1.35,0,1.36,1.34,95.77,5.69,95.83,95.25,16.77,1.05,16.79,16.77,108.76,5.18,108.76,108.55,834.71,52.93,834.71,834.06,565.19,7.39,565.84,565.19,390.99,13.12,390.99,390.78,2.04,0.09,2.04,2.04
"438",1.34,0,1.36,1.34,96.49,5.69,96.56,95.98,16.78,1.05,16.78,16.76,108.68,5.18,108.69,108.68,832.09,52.93,832.74,832.09,569.79,7.39,570.05,569,388.59,13.12,389.04,388.59,2.03,0.09,2.03,2.03
"439",1.34,0,1.34,1.33,97.01,5.69,97.47,96.87,16.94,1.05,16.94,16.93,108.67,5.18,108.78,108.55,829.46,52.93,829.46,828.8,575.04,7.39,575.04,574.25,390.99,13.12,390.99,390.56,2.03,0.09,2.03,2.03
"440",1.33,0,1.36,1.33,95.83,5.69,96.24,95.72,16.89,1.05,16.93,16.89,107.79,5.18,107.85,107.79,818.95,52.93,818.95,818.29,571.36,7.39,571.23,570.97,391.22,13.12,391.22,390.99,2.02,0.09,2.02,2.02
"441",1.33,0,1.33,1.32,96.17,5.69,96.52,95.9,17.22,1.05,17.23,17.22,109.53,5.18,109.59,109.53,815.01,52.93,815.67,815.01,576.35,7.39,576.35,575.3,396.24,13.12,396.45,396.24,2,0.09,2,2
"442",1.34,0,1.36,1.32,97.59,5.69,97.77,97.16,17.39,1.05,17.39,17.38,108.77,5.18,108.94,108.77,805.16,52.93,805.16,804.5,578.59,7.39,578.59,578.19,399.28,13.12,399.51,399.28,2.01,0.09,2.01,2.01
"443",1.33,0,1.36,1.33,97.41,5.69,97.45,97.33,17.18,1.05,17.21,17.18,108.69,5.18,108.69,108.44,811.07,52.93,811.07,810.41,579.64,7.39,580.03,579.5,408.44,13.12,408.44,408.23,2,0.09,2,2
"444",1.33,0,1.36,1.32,98.14,5.69,99.77,99.14,17.36,1.05,17.36,17.34,109.39,5.18,109.39,109.28,827.49,52.93,828.15,827.49,577.67,7.39,578.06,577.8,406.48,13.12,406.7,406.48,2,0.09,2.01,2
"445",1.33,0,1.35,1.32,98.41,5.69,98.93,98.35,17.42,1.05,17.44,17.42,109.55,5.18,109.57,109.24,822.89,52.93,823.55,822.89,583.18,7.39,583.31,583.18,402.33,13.12,402.55,402.33,2.02,0.09,2.02,2.02
"446",1.34,0,1.34,1.32,100.21,5.69,100.29,99.67,17.61,1.05,17.61,17.6,110.88,5.18,110.94,110.86,813.04,52.93,813.04,812.38,582.13,7.39,582.13,581.74,405.39,13.12,405.39,405.17,2.01,0.09,2.01,2.01
"447",1.35,0,1.36,1.32,100.56,5.69,101.11,100.48,17.49,1.05,17.49,17.48,110.33,5.18,110.34,110.19,811.73,52.93,812.38,811.73,580.56,7.39,580.56,580.42,403.87,13.12,403.87,403.64,2.01,0.09,2.02,2.01
"448",1.33,0,1.36,1.32,100.56,5.69,101.17,100.53,17.93,1.05,17.97,17.93,110.53,5.18,110.58,110.45,803.85,52.93,803.85,803.19,583.45,7.39,584.5,583.18,398.85,13.12,398.85,398.42,2.02,0.09,2.02,2.02
"449",1.35,0,1.35,1.32,100.63,5.69,100.04,99.46,17.97,1.05,17.99,17.97,109.85,5.18,109.85,109.83,805.82,52.93,807.13,805.82,582.66,7.39,583.05,582.92,399.51,13.12,399.51,399.06,2.05,0.09,2.05,2.05
"450",1.34,0,1.35,1.32,99.09,5.69,99.99,99.41,17.71,1.05,17.74,17.7,109.74,5.18,109.9,109.67,805.16,52.93,805.82,805.16,588.04,7.39,587.78,587.52,399.51,13.12,399.51,399.28,2.18,0.09,2.18,2.18
"451",1.33,0,1.33,1.32,102.3,5.69,102.71,102.3,17.76,1.05,17.76,17.7,109.58,5.18,109.63,109.58,802.53,52.93,803.19,802.53,588.3,7.39,588.3,587.78,402.99,13.12,403.21,402.99,2.23,0.09,2.23,2.23
"452",1.3,0,1.32,1.3,102.1,5.69,101.8,101.23,17.64,1.05,17.64,17.6,108.68,5.18,108.76,108.63,806.47,52.93,806.47,805.82,588.96,7.39,588.96,587.78,399.72,13.12,400.37,399.72,2.15,0.09,2.15,2.15
"453",1.28,0,1.29,1.27,99.29,5.69,99.37,98.79,17.37,1.05,17.39,17.37,108.12,5.18,108.12,108.05,796.62,52.93,797.28,796.62,587.91,7.39,588.44,586.99,402.12,13.12,402.33,402.12,2.18,0.09,2.18,2.18
"454",1.28,0,1.29,1.27,99.38,5.69,99.41,98.84,17.3,1.05,17.33,17.29,107.35,5.18,107.36,107.34,790.05,52.93,790.05,789.4,585.15,7.39,585.15,584.23,403.42,13.12,403.64,403.42,2.22,0.09,2.22,2.22
"455",1.28,0,1.29,1.27,98.98,5.69,99.47,98.9,17.89,1.05,17.9,17.87,108.03,5.18,108.03,107.97,793.34,52.93,793.34,792.68,581.61,7.39,582.39,581.61,403.42,13.12,403.64,403.42,2.22,0.09,2.22,2.22
"456",1.29,0,1.29,1.28,99.84,5.69,100.23,99.65,17.69,1.05,17.69,17.67,110.83,4.9,110.83,110.75,791.37,52.93,792.02,791.37,587.91,7.39,587.91,587.39,401.69,13.12,402.33,401.69,2.24,0.09,2.24,2.24
"457",1.3,0,1.31,1.28,98.89,5.69,99.09,98.52,17.75,0.98,17.75,17.74,111.27,4.9,111.27,110.59,799.91,52.93,800.56,799.91,583.05,7.39,583.05,582.39,406.26,13.12,406.48,406.26,2.26,0.09,2.26,2.26
"458",1.31,0,1.32,1.3,97.78,5.69,98.46,97.88,17.32,0.98,17.32,17.31,108.98,4.9,108.99,108.98,794.65,52.93,794.65,794,590.28,7.39,590.54,590.41,405.17,13.12,405.39,405.17,2.26,0.09,2.26,2.26
"459",1.32,0,1.32,1.29,97.32,5.69,97.16,96.75,16.99,0.98,16.99,16.98,107.93,4.9,107.93,107.85,790.05,52.93,790.71,790.05,591.33,7.39,591.33,589.22,387.29,13.12,387.95,387.29,2.24,0.09,2.24,2.24
"460",1.3,0,1.31,1.29,97.51,5.69,99.29,98.84,17.02,0.98,17.02,17,108.61,4.9,108.61,108.4,797.28,52.93,797.28,796.62,591.33,7.39,589.27,587.41,426.97,16.2,426.97,426.76,2.23,0.09,2.23,2.23
"461",1.31,0,1.31,1.29,97.99,5.69,98.49,98.02,16.79,0.98,16.8,16.79,108.04,4.9,108.05,108.04,775.61,56.09,776.26,775.61,588.96,7.39,589.62,588.96,411.27,16.2,411.5,411.27,2.24,0.09,2.24,2.24
"462",1.31,0,1.31,1.29,98.24,5.77,100.01,99.43,16.72,0.98,16.73,16.7,108.54,4.9,108.67,108.47,774.29,56.09,774.95,774.29,595.14,7.39,595.14,594.22,416.52,16.2,416.52,416.29,2.24,0.09,2.24,2.24
"463",1.28,0,1.29,1.28,100.53,5.77,99.92,99.65,16.96,0.98,16.96,16.93,109.63,4.9,109.7,109.63,770.35,56.09,770.35,769.7,605.38,7.39,605.38,604.2,419.56,16.2,419.56,419.34,2.28,0.09,2.28,2.28
"464",1.25,0,1.26,1.24,100.52,5.77,100.83,100.26,16.84,0.98,16.85,16.79,109.55,4.9,109.55,109.46,765.1,56.09,765.1,764.44,614.71,7.39,614.71,614.05,417.38,16.2,417.61,417.38,2.4,0.09,2.4,2.4
"465",1.25,0,1.25,1.24,101.6,5.77,101.89,101.32,16.72,0.98,16.73,16.7,109.54,4.9,109.54,109.44,755.9,56.09,755.9,755.25,626,7.39,626.4,626,414.34,16.2,414.34,413.89,2.41,0.09,2.41,2.41
"466",1.25,0,1.26,1.24,101.26,5.77,101.68,101.1,16.8,0.98,16.83,16.8,109.5,4.9,109.5,109.45,765.1,56.09,765.76,765.1,616.02,7.39,616.02,614.97,410.18,16.2,410.18,409.97,2.43,0.09,2.44,2.43
"467",1.27,0,1.27,1.24,100.9,5.77,100.9,100.36,16.66,0.98,16.68,16.65,108.65,4.9,108.68,108.65,766.41,56.09,767.07,766.41,594.35,7.39,594.48,594.35,400.81,16.2,401.24,400.81,2.48,0.09,2.48,2.48
"468",1.28,0,1.29,1.24,99.81,5.77,100.18,99.61,16.41,0.98,16.44,16.41,108.49,4.9,108.49,108.46,764.44,56.09,764.44,763.79,605.91,7.39,606.04,605.51,396.88,16.2,397.1,396.88,2.45,0.09,2.45,2.45
"469",1.27,0,1.29,1.27,100.52,5.77,101.17,100.59,16.72,0.98,16.72,16.71,109.4,4.9,109.48,109.35,762.47,56.09,763.13,762.47,622.46,7.82,622.46,622.06,394.06,16.2,394.27,394.06,2.53,0.09,2.53,2.53
"470",1.28,0,1.29,1.27,102.21,5.77,102.58,102,16.72,0.98,16.92,16.89,109.45,4.9,109.62,109.45,780.2,56.09,780.86,780.2,618.65,7.82,618.65,618.51,396.88,16.2,396.88,396.67,2.5,0.09,2.51,2.5
"471",1.29,0,1.29,1.27,101.9,5.77,102.31,101.73,16.88,0.98,16.89,16.85,110.14,4.9,110.33,110.14,784.8,56.09,784.8,784.14,624.56,7.82,625.35,624.56,398.19,16.2,398.42,398.19,2.48,0.09,2.48,2.48
