Name,RHEINMETALL,RHEINMETALL - EARNINGS PER SHR,RHEINMETALL - ASK PRICE,RHEINMETALL - BID PRICE,NORTHROP GRUMMAN,NORTHROP GRUMMAN - EARNINGS PER SHR,NORTHROP GRUMMAN - ASK PRICE,NORTHROP GRUMMAN - BID PRICE,RAYTHEON TECHNOLOGIES,RAYTHEON TECHNOLOGIES - EARNINGS PER SHR,RAYTHEON TECHNOLOGIES - ASK PRICE,RAYTHEON TECHNOLOGIES - BID PRICE,HNTGTN.INGALLS INDS.,HNTGTN.INGALLS INDS. - EARNINGS PER SHR,HNTGTN.INGALLS INDS. - ASK PRICE,HNTGTN.INGALLS INDS. - BID PRICE,LEONARDO,LEONARDO - EARNINGS PER SHR,LEONARDO - ASK PRICE,LEONARDO - BID PRICE,THALES,THALES - EARNINGS PER SHR,THALES - ASK PRICE,THALES - BID PRICE,BAE SYSTEMS,BAE SYSTEMS - EARNINGS PER SHR,BAE SYSTEMS - ASK PRICE,BAE SYSTEMS - BID PRICE,LOCKHEED MARTIN,LOCKHEED MARTIN - EARNINGS PER SHR,LOCKHEED MARTIN - ASK PRICE,LOCKHEED MARTIN - BID PRICE,AXON ENTERPRISE,AXON ENTERPRISE - EARNINGS PER SHR,AXON ENTERPRISE - ASK PRICE,AXON ENTERPRISE - BID PRICE,MANTECH INTL.'A',MANTECH INTL.'A' - EARNINGS PER SHR,MANTECH INTL.'A' - ASK PRICE,MANTECH INTL.'A' - BID PRICE,BWX TECHNOLOGIES,BWX TECHNOLOGIES - EARNINGS PER SHR,BWX TECHNOLOGIES - ASK PRICE,BWX TECHNOLOGIES - BID PRICE,CURTISS WRIGHT,CURTISS WRIGHT - EARNINGS PER SHR,CURTISS WRIGHT - ASK PRICE,CURTISS WRIGHT - BID PRICE,ELBIT SYSTEMS,ELBIT SYSTEMS - EARNINGS PER SHR,ELBIT SYSTEMS - ASK PRICE,ELBIT SYSTEMS - BID PRICE,ROLLS-ROYCE HOLDINGS,ROLLS-ROYCE HOLDINGS - EARNINGS PER SHR,ROLLS-ROYCE HOLDINGS - ASK PRICE,ROLLS-ROYCE HOLDINGS - BID PRICE,SMITH WESSON BRANDS,SMITH WESSON BRANDS - EARNINGS PER SHR,SMITH WESSON BRANDS - ASK PRICE,SMITH WESSON BRANDS - BID PRICE,ASELSAN ELNK.SANVETC.,ASELSAN ELNK.SANVETC. - EARNINGS PER SHR,ASELSAN ELNK.SANVETC. - ASK PRICE,ASELSAN ELNK.SANVETC. - BID PRICE,GENERAL DYNAMICS,GENERAL DYNAMICS - EARNINGS PER SHR,GENERAL DYNAMICS - ASK PRICE,GENERAL DYNAMICS - BID PRICE,STURM RUGER & CO,STURM RUGER & CO - EARNINGS PER SHR,STURM RUGER & CO - ASK PRICE,STURM RUGER & CO - BID PRICE,AMMO,AMMO - EARNINGS PER SHR,AMMO - ASK PRICE,AMMO - BID PRICE,CACI INTERNATIONAL 'A',CACI INTERNATIONAL 'A' - EARNINGS PER SHR,CACI INTERNATIONAL 'A' - ASK PRICE,CACI INTERNATIONAL 'A' - BID PRICE,AUSTAL,AUSTAL - EARNINGS PER SHR,AUSTAL - ASK PRICE,AUSTAL - BID PRICE,HONEYWELL INTL.,HONEYWELL INTL. - EARNINGS PER SHR,HONEYWELL INTL. - ASK PRICE,HONEYWELL INTL. - BID PRICE
11/29/16,67.32,4.15,67.806,67.306,251.8,11.72,251.9,251.87,64.1954,5.05,64.219,64.2131,180.55,8.97,180.64,180.58,12.18,1.24,12.19,12.18,92.31,4.21,92.37,92.28,601.5,40.5,602,601.5,266.5801,17.11,266.75,266.6499,27.55,0.3,27.56,27.55,44.83,1.49,44.83,44.82,39.54,1.39,39.55,39.54,101.96,4.1,102,101.96,395,5.57,395,394.8,221.55,19.01,221.71,221.55,18.4333,1.53,18.4333,18.4256,5.48,0.33,5.48,5.48,175.13,9.33,175.13,175.12,53.4,4.36,53.4,53.35,1.275,0,NA,NA,130.65,5.85,130.7,130.65,1.9,0,1.9,1.85,108.5191,6.12,108.5478,108.5382
11/30/16,67.4,4.15,67.56,67.06,249.65,11.72,249.85,249.84,63.5349,5.05,63.5466,63.5407,178.76,8.97,178.65,178.64,12.25,1.24,12.25,12.23,92.13,4.21,92.13,92.12,600.5,40.5,601,600.5,265.25,17.11,265.46,265.4199,27.23,0.3,27.23,27.22,43.01,1.49,43.02,43.01,39.16,1.39,39.16,39.15,100.52,4.1,100.53,100.52,387.8,5.57,387.8,387.3999,222.7,19.01,222.86,222.7,17.9187,1.53,17.9341,17.9264,5.53,0.33,5.53,5.52,175.35,9.33,175.45,175.43,51.4,4.36,51.4,51.35,1.275,0,NA,NA,129.4,5.85,129.45,129.4,1.89,0,1.9,1.87,109.0936,6.12,109.2085,109.1989
12/01/16,66.474,4.15,66.404,65.904,249.07,11.72,249.04,249.01,63.3933,5.05,63.4051,63.3933,179.29,8.97,179.24,179.23,12.19,1.24,12.2,12.19,91.97,4.21,92,91.97,598,40.5,598.5,598,266.3999,17.11,266.3799,266.3701,27.72,0.3,27.73,27.72,41.9,1.49,41.92,41.91,38.95,1.39,38.96,38.95,101.41,4.1,101.4,101.39,380,5.57,380,379.8,224.51,19.01,224.51,224.35,18.4179,1.53,18.4179,18.4026,5.41,0.33,5.42,5.41,176.4,9.33,176.41,176.4,53.3,4.36,53.35,53.3,1.275,0,NA,NA,128.25,5.85,128.3,128.25,1.88,0,1.9,1.87,108.835,6.12,108.8159,108.8063
12/02/16,65.694,4.15,66.172,65.672,250.87,11.72,250.87,250.84,63.8298,5.05,63.8298,63.8239,180.85,8.97,180.88,180.85,12.37,1.24,12.37,12.36,91.67,4.21,91.73,91.67,594,40.5,595,594,267.6201,17.11,267.5901,267.5801,27.92,0.3,27.94,27.92,42.64,1.49,42.64,42.62,39.19,1.39,39.2,39.19,102.23,4.1,102.24,102.23,386.8,5.57,386.8,386.2,217.6,19.01,217.6,217.43,16.2059,1.53,16.2059,16.1982,5.54,0.33,5.55,5.54,178.67,9.33,178.65,178.64,50.25,4.36,50.25,50.2,1.275,0,NA,NA,129.9,5.85,129.95,129.9,1.745,0,1.75,1.71,107.6669,6.12,107.6669,107.6574
12/05/16,66.996,4.15,67.189,66.689,247.49,11.72,247.5,247.49,63.3579,5.05,63.3638,63.3579,183.3,8.97,183.34,183.29,12.83,1.24,12.83,12.82,92.45,4.21,92.46,92.42,600,40.5,600.5,599.5,266.9299,17.11,266.8601,266.8401,28.08,0.3,28.07,28.06,43.39,1.49,43.4,43.39,39.12,1.39,39.13,39.12,102.81,4.1,102.81,102.79,389.8,5.57,389.8,389.1001,219.08,19.01,219.08,218.91,16.0754,1.53,16.0754,16.0677,5.53,0.33,5.55,5.53,178.52,9.33,178.55,178.52,50.8,4.36,50.8,50.75,1.275,0,NA,NA,131.85,5.85,131.9,131.85,1.8,0,1.82,1.8,108.0787,6.12,108.1169,108.0882
12/06/16,67.191,4.15,67.175,66.675,247.84,11.72,247.8,247.76,63.3638,5.05,63.3402,63.3343,183.87,8.97,183.91,183.87,13.1,1.24,13.11,13.09,92.11,4.21,92.12,91.99,598.5,40.5,599,598.5,266,17.11,265.8899,265.8601,28.19,0.3,28.2,28.19,43.93,1.49,43.93,43.92,39.28,1.39,39.29,39.28,103.97,4.1,103.97,103.95,392.3999,5.57,392.3999,390.5,217.76,19.01,217.93,217.76,16.0446,1.83,16.0446,16.037,5.56,0.33,5.56,5.56,178.09,9.33,178.13,178.09,50.65,4.36,50.65,50.55,1.275,0,NA,NA,133.2,5.85,133.2,133.15,1.765,0,1.82,1.75,108.2606,6.12,108.2893,108.2797
12/07/16,67.511,4.15,67.668,67.168,247.14,11.72,247.03,246.98,64.6909,5.05,64.6614,64.6555,183.94,8.97,184.01,183.99,13.5,1.24,13.51,13.5,90.95,4.21,91.12,90.9,604.5,40.5,604.5,604,266.3799,17.11,266.1699,266.1101,27.52,0.3,27.52,27.51,43.4,1.49,43.4,43.39,39.2,1.39,39.22,39.21,107.06,4.1,107.06,107.05,388.3,5.57,388.5,388.3,221.38,19.01,221.38,221.22,15.7835,1.83,15.7989,15.7835,5.57,0.33,5.57,5.57,178.43,9.33,178.41,178.4,50.55,4.36,50.55,50.5,1.275,0,NA,NA,131.5,5.85,131.45,131.4,1.74,0,1.745,1.73,111.5542,6.12,111.6787,111.6691
12/08/16,67.987,4.15,67.993,67.493,237.72,11.72,237.61,237.57,63.9536,5.05,63.9359,63.9241,181.2,8.97,181.24,181.2,13.69,1.24,13.69,13.67,91.09,4.21,91.12,91.09,604,40.5,604.5,604,259.25,17.11,259.1599,259.1499,25.26,0.3,25.27,25.26,44.96,1.49,44.96,44.95,38.95,1.39,38.96,38.95,106.88,4.1,106.88,106.87,395.5,5.57,395.5,394.3,216.77,19.01,216.94,216.77,16.3058,1.83,16.3058,16.2981,5.54,0.33,5.54,5.54,173.67,9.33,173.66,173.65,51.65,4.36,51.65,51.6,1.275,0,NA,NA,132,5.85,132,131.95,1.745,0,1.765,1.715,110.7308,6.12,110.75,110.7308
12/09/16,66.3,4.15,67.134,66.634,238.43,11.72,238.33,238.3,64.7558,5.05,64.7676,64.7558,181.5,8.97,181.5,181.49,13.3,1.24,13.31,13.3,90.4,4.21,90.54,90.39,600.5,40.5,601,600.5,259.53,17.11,259.53,259.52,23.85,0.3,23.85,23.84,45.49,1.49,45.49,45.48,39.02,1.39,39.02,39.01,105.95,4.1,105.98,105.95,396.6001,5.57,396.6001,396.5,219.9,19.01,219.9,219.74,16.1829,1.83,16.1906,16.1829,5.54,0.33,5.54,5.54,175.39,9.33,175.39,175.37,51.9,4.36,51.95,51.9,1.275,0,NA,NA,131.85,5.85,131.85,131.8,1.75,0,1.755,1.735,111.2861,6.12,111.2957,111.2861
12/12/16,63.986,4.15,64.283,63.783,232.07,11.72,232.02,232,65.1096,5.05,65.1215,65.1156,178.2,8.97,178.23,178.22,13.25,1.24,13.26,13.25,90.44,4.21,90.45,90.36,586,40.5,586.5,586,253.11,17.11,253.19,253.16,23.52,0.3,23.52,23.51,43.8,1.49,43.81,43.76,38.89,1.39,38.9,38.89,104.89,4.1,104.9,104.89,393,5.57,393,392.2,214.31,19.01,214.31,214.14,16.1982,1.83,16.1982,16.1906,5.58,0.33,5.59,5.58,173.74,9.33,173.75,173.72,51.8,4.36,51.8,51.75,1.275,0,NA,NA,128.35,5.85,128.3,128.25,1.75,0,1.75,1.71,112.4159,6.12,112.4064,112.3968
12/13/16,62.992,4.15,63.338,62.838,231.56,11.72,231.56,231.53,65.0625,5.05,65.0507,65.0448,176.54,8.97,176.59,176.55,13.26,1.24,13.26,13.25,90.52,4.21,90.69,90.52,597.5,40.5,598,597.5,251.69,17.11,251.67,251.63,23.58,0.3,23.58,23.57,43.4,1.49,43.4,43.39,38.79,1.39,38.8,38.79,104,4.1,104,103.97,395,5.57,395,394.8999,223.19,19.01,223.36,223.19,16.3288,1.83,16.3365,16.3288,5.57,0.33,5.58,5.57,174.31,9.33,174.33,174.31,51.75,4.36,51.8,51.75,1.275,0,NA,NA,127.1,5.85,127.05,127,1.635,0,1.655,1.62,113.0671,6.12,113.0096,113
12/14/16,62.8,4.15,63.283,62.783,232.1,11.72,232.15,232.12,64.4491,5.05,64.455,64.4491,176.23,8.97,176.23,176.22,13.22,1.24,13.22,13.21,89.62,4.21,89.77,89.59,589,40.5,589.5,589,252.3,17.11,252.3,252.28,24.2,0.3,24.2,24.19,42.4,1.49,42.42,42.39,38.35,1.39,38.36,38.35,102.05,4.1,102.03,102.02,395,5.57,395,394.7,220.56,19.01,220.72,220.56,16.2827,1.83,16.2904,16.2827,5.57,0.33,5.58,5.57,173.74,9.33,173.75,173.74,51.55,4.36,51.55,51.5,1.275,0,NA,NA,126.5,5.85,126.45,126.4,1.635,0,1.64,1.62,111.5542,6.12,111.5542,111.5447
12/15/16,63.3,4.15,63.419,62.919,231.99,11.72,232.02,231.99,63.7767,5.05,63.7885,63.7767,179.69,8.97,179.74,179.7,13.47,1.24,13.47,13.46,91.92,4.21,91.98,91.86,591,40.5,591,590.5,250.65,17.11,250.63,250.59,24.16,0.3,24.16,24.15,42.23,1.49,42.24,42.23,37.89,1.39,37.9,37.89,102.4,4.1,102.4,102.39,395,5.57,395.3999,395.1001,221.05,19.01,221.22,221.05,16.2443,1.83,16.2597,16.252,5.72,0.33,5.72,5.72,174.12,9.33,174.17,174.12,51.85,4.36,51.9,51.85,1.275,0,NA,NA,126.45,5.85,126.45,126.35,1.605,0,1.61,1.58,111.3915,6.12,111.401,111.3915
12/16/16,62.987,4.15,62.842,62.4,231.7,11.72,231.7,231.67,64.0067,5.05,63.9654,63.9595,182.4,8.97,182.4,182.35,13.4,1.24,13.41,13.39,91.88,4.21,91.92,91.88,592.5,40.5,592.5,592,250.08,17.11,250.23,250.17,23.98,0.3,23.99,23.98,42.14,1.49,42.14,42.13,38.19,1.39,38.19,38.18,100.88,4.1,100.8,100.79,392.1001,5.57,392.3,392.2,222.21,19.01,222.37,222.21,16.5823,1.83,16.5823,16.5746,5.94,0.33,5.94,5.94,174.41,9.33,174.43,174.42,53.45,4.36,53.45,53.4,1.275,0,NA,NA,125.3,5.85,125.35,125.3,1.685,0,1.7,1.62,111.4298,6.12,111.401,111.3819
12/19/16,63.59,4.15,63.59,63.09,233.54,11.72,233.55,233.54,65.3633,5.05,65.3928,65.3869,184.21,8.97,184.2,184.19,13.4,1.24,13.41,13.39,91.22,4.21,91.22,91.21,596.5,40.5,596.5,596,252.18,17.11,252.17,252.16,23.99,0.3,24,23.99,42.65,1.49,42.66,42.65,38.76,1.39,38.77,38.76,101.69,4.1,101.67,101.66,391.6001,5.57,391.6001,391.5,221.55,19.01,221.55,221.38,16.7513,1.83,16.7513,16.7436,5.97,0.33,5.97,5.96,174.63,9.33,174.63,174.62,52.85,4.36,52.9,52.85,1.275,0,NA,NA,126.25,5.85,126.3,126.25,1.705,0,1.725,1.62,112.3011,6.12,112.3106,112.3011
12/20/16,63.476,4.15,63.464,62.964,235.14,11.72,235.21,235.19,65.263,5.05,65.2512,65.2394,187.96,8.97,188.04,187.96,13.49,1.24,13.49,13.47,91.3,4.21,91.32,91.2,598.5,40.5,598.5,598,253.73,17.11,253.73,253.71,24.37,0.3,24.37,24.36,42.77,1.49,42.8,42.77,39.09,1.39,39.1,39.09,101.26,4.1,101.25,101.24,385,5.57,385.2,385,222.54,19.01,222.54,222.37,16.8741,1.83,16.8818,16.8741,6.11,0.33,6.12,6.11,175.26,9.33,175.27,175.26,53.5,4.36,53.5,53.45,1.275,0,NA,NA,126.4,5.85,126.4,126.3,1.725,0,1.73,1.7,112.7032,6.12,112.7128,112.7032
12/21/16,63.961,4.15,63.967,63.467,233.15,11.72,233.23,233.2,65.1686,5.05,65.1804,65.1745,184.85,8.97,184.89,184.86,13.44,1.24,13.45,13.44,91.52,4.21,91.53,91.45,596,40.5,596.5,596,252.52,17.11,252.59,252.58,25.01,0.3,25.02,25.01,41.9,1.49,41.91,41.9,39.15,1.39,39.16,39.15,101.03,4.1,101.03,101.01,384.5,5.57,384.5,384.1001,225.5,19.01,225.66,225.5,16.9049,1.83,16.9126,16.9049,6.08,0.33,6.1,6.08,174.1,9.33,174.1,174.08,53.55,4.36,53.55,53.5,1.275,0,NA,NA,124.65,5.85,124.7,124.65,1.72,0,1.75,1.705,112.2149,6.12,112.2149,112.2053
12/22/16,63.49,4.15,63.594,63.3,233.72,11.72,233.72,233.64,65.1509,5.05,65.1451,65.1391,187.9,8.97,188.02,187.93,13.36,1.24,13.37,13.35,91.8,4.21,91.81,91.74,593,40.5,593,592.5,252.8,17.11,252.81,252.8,24.3,0.3,24.3,24.29,41.88,1.49,41.9,41.87,39.9,1.39,39.92,39.9,100.96,4.1,100.97,100.94,389,5.57,389,387.6001,224.68,19.01,224.84,224.68,16.59,1.83,16.59,16.5823,6.03,0.33,6.03,6.02,174.53,9.33,174.54,174.53,53.3,4.36,53.3,53.25,1.275,0,NA,NA,124.6,5.85,124.65,124.6,1.735,0,1.77,1.725,111.9468,6.12,112.0617,112.0521
12/23/16,64.161,4.15,64.167,63.667,232.99,11.72,232.89,232.82,65.263,5.05,65.2335,65.2276,187.01,8.97,187.01,186.99,13.48,1.24,13.48,13.46,91.96,4.21,92.03,91.95,593.5,40.5,595,593.5,249.59,17.11,249.57,249.55,24.53,0.3,24.53,24.52,42.02,1.49,42.02,42.01,39.79,1.39,39.8,39.79,101.11,4.1,101.11,101.1,384.7,5.57,384.8,384.7,224.02,19.01,224.68,224.02,16.9817,1.83,16.9817,16.974,5.96,0.33,5.98,5.96,175.25,9.33,175.21,175.18,54.05,4.36,54.05,54,1.275,0,NA,NA,125.15,5.85,125.15,125.05,1.71,0,1.72,1.7,112.0138,6.12,112.0138,112.0042
12/26/16,64.161,4.15,NA,NA,232.99,11.72,NA,NA,65.263,5.05,NA,NA,187.01,8.97,NA,NA,13.48,1.24,NA,NA,91.96,4.21,NA,NA,593.5,40.5,NA,NA,249.59,17.11,NA,NA,24.53,0.3,NA,NA,42.02,1.49,NA,NA,39.79,1.39,NA,NA,101.11,4.1,NA,NA,384.6001,5.57,384.6001,383.7,224.02,19.01,NA,NA,16.9817,1.83,NA,NA,6.07,0.33,6.07,6.07,175.25,9.33,NA,NA,54.05,4.36,NA,NA,1.275,0,NA,NA,125.15,5.85,NA,NA,1.71,0,NA,NA,112.0138,6.12,NA,NA
12/27/16,64.35,4.15,64.393,63.893,233.24,11.72,233.3,233.25,65.4576,5.05,65.44,65.4282,185.45,8.97,185.42,185.39,13.56,1.24,13.56,13.55,92.25,4.21,92.31,92.23,593.5,40.5,NA,NA,250.86,17.11,250.86,250.82,24.82,0.3,24.83,24.82,42.46,1.49,42.48,42.46,40.17,1.39,40.2,40.19,101.79,4.1,101.79,101.76,387.3999,5.57,387.3999,387.3,224.02,19.01,NA,NA,16.5592,1.83,16.5592,16.5516,6.05,0.33,6.06,6.05,174.58,9.33,174.58,174.55,53.85,4.36,53.85,53.8,1.275,0,NA,NA,125.35,5.85,125.45,125.35,1.71,0,NA,NA,112.0521,6.12,112.0713,112.0617
12/28/16,64.064,4.15,64.137,63.85,231.95,11.72,232.02,231.95,64.9917,5.05,64.9917,64.9858,184.11,8.97,184.19,184.11,13.42,1.24,13.44,13.42,92.56,4.21,92.57,92.47,599,40.5,599,598.5,249.58,17.11,249.56,249.53,24.56,0.3,24.57,24.56,42.07,1.49,42.11,42.08,39.55,1.39,39.56,39.55,99.63,4.1,99.6,99.59,390,5.57,390.3,390,225.99,19.01,226.16,225.99,16.2136,1.83,16.2213,16.2136,6.04,0.33,6.05,6.04,173.05,9.33,173.06,173.04,52.85,4.36,52.9,52.8,1.275,0,NA,NA,123.9,5.85,124,123.95,1.715,0,1.715,1.685,110.8266,6.12,110.8553,110.8362
12/29/16,63.812,4.15,63.975,63.475,232.63,11.72,232.67,232.64,65.204,5.05,65.2099,65.204,184.65,8.97,184.7,184.66,13.3,1.24,13.31,13.3,92.05,4.21,92.08,92.05,595,40.5,595,594.5,250.59,17.11,250.63,250.59,24.8,0.3,24.81,24.8,42.23,1.49,42.24,42.23,39.73,1.39,39.74,39.73,98.97,4.1,98.97,98.96,390,5.57,389.8999,389.2,223.19,19.01,223.19,223.03,16.3826,1.83,16.3826,16.3749,6.04,0.33,6.05,6.04,173.21,9.33,173.2,173.18,52.75,4.36,52.75,52.7,1.25,0,NA,NA,125.3,5.85,125.4,125.3,1.72,0,1.75,1.69,111.0659,6.12,111.0564,111.0468
12/30/16,63.736,4.15,64.002,63.958,232.58,11.72,232.71,232.64,64.6555,5.05,64.7617,64.7558,184.19,8.97,184.23,184.22,13.34,1.24,13.36,13.34,92.13,4.21,92.25,92.13,591.5,40.5,591.5,589,249.94,17.11,250.17,250.13,24.24,0.3,24.25,24.24,42.25,1.49,42.28,42.25,39.7,1.39,39.72,39.71,98.36,4.1,98.38,98.37,395.3999,5.57,395.3999,395,219.9,19.01,220.07,219.9,16.1906,1.83,16.1982,16.1906,6.35,0.33,6.35,6,172.66,9.33,172.77,172.7,52.7,4.36,52.7,52.65,1.25,0,NA,NA,124.3,5.85,124.4,124.3,1.74,0,1.77,1.69,110.9223,6.12,110.951,110.9415
01/02/17,64.198,4.15,64.698,64.198,232.58,11.72,NA,NA,64.6555,5.05,NA,NA,184.19,8.97,NA,NA,13.41,1.24,13.41,13.37,91.82,4.21,91.86,91.56,591.5,40.5,NA,NA,249.94,17.11,NA,NA,24.24,0.3,NA,NA,42.25,1.49,NA,NA,39.7,1.39,NA,NA,98.36,4.1,NA,NA,396.5,5.57,396.7,396.5,219.9,19.01,NA,NA,16.1906,1.83,NA,NA,6.12,0.33,6.12,6.12,172.66,9.33,NA,NA,52.7,4.36,NA,NA,1.25,0,NA,NA,124.3,5.85,NA,NA,1.74,0,NA,NA,110.9223,6.12,NA,NA
01/03/17,65.115,4.15,65.34,64.75,234.89,11.72,234.94,234.89,65.3692,5.05,65.3692,65.3633,189.05,8.97,189.05,189.01,13.41,1.24,13.41,13.4,90.65,4.21,90.65,90.62,591,40.5,591.5,591,253.31,17.11,253.2,253.19,24.58,0.3,24.58,24.56,41.76,1.49,41.76,41.73,39.22,1.39,39.22,39.2,98.49,4.1,98.49,98.45,394.7,5.57,394.8999,394.7,220.56,19.01,220.56,220.4,16.5208,1.83,16.5285,16.4901,6.02,0.33,6.03,6.02,175.45,9.33,175.41,175.38,53.45,4.36,53.4,53.35,2.2125,0,NA,NA,124.35,5.85,124.45,124.35,1.76,0,1.775,1.74,111.2383,6.12,111.2479,111.2383
01/04/17,63.589,4.15,63.891,63.391,235.25,11.72,235.28,235.25,65.4105,5.05,65.4223,65.4164,191.87,8.97,191.85,191.84,13.53,1.24,13.53,13.48,90.28,4.21,90.3,90.28,585,40.5,585,584.5,253.99,17.11,253.97,253.92,24.85,0.3,24.86,24.83,42.38,1.49,42.4,42.37,39.41,1.39,39.42,39.41,98.53,4.1,98.51,98.45,391.5,5.57,391.5,391.2,219.74,19.01,219.74,219.57,16.0523,1.83,16.0523,16.0446,6.08,0.33,6.08,6.08,175.54,9.33,175.52,175.51,52.9,4.36,52.9,52.85,2.5,0,NA,NA,126.55,5.85,126.55,126.45,1.79,0,1.8,1.74,111.5447,6.12,111.5447,111.5351
01/05/17,64.79,4.15,64.754,64.254,235.99,11.72,236.01,235.99,65.6759,5.05,65.6759,65.67,195.61,8.97,195.63,195.6,13.67,1.24,13.67,13.66,89.89,4.21,89.89,89.78,587.5,40.5,587.5,587,255.98,17.11,256.0701,256.05,24.68,0.3,24.7,24.68,42.24,1.49,42.24,42.2,39.81,1.39,39.83,39.82,98.1,4.1,98.1,98.09,392.3,5.57,392.3,391.8,210.52,19.01,210.52,210.36,16.3058,1.83,16.3058,16.2981,6.13,0.33,6.14,6.13,176.14,9.33,176.15,176.14,54.1,4.36,54.1,54.05,1.75,0,NA,NA,124.8,5.85,124.85,124.8,1.77,0,1.8,1.75,111.7936,6.12,111.8032,111.7936
01/06/17,64.383,4.15,65.241,64.741,236.73,11.72,236.74,236.73,66.3837,5.05,66.4191,66.4131,193.55,8.97,193.55,193.5,13.65,1.24,13.66,13.64,89.53,4.21,89.54,89.49,605,40.5,605.5,605,257.8501,17.11,258,257.97,24.55,0.3,24.55,24.54,41.73,1.49,41.73,41.7,39.62,1.39,39.63,39.62,98.19,4.1,98.18,98.16,397.3999,5.57,398.3,397.3999,214.14,19.01,214.14,213.98,16.1291,1.83,16.1291,16.1215,6.18,0.33,6.18,6.18,177.46,9.33,177.47,177.46,54.15,4.36,54.15,54.1,1.5,0,NA,NA,124.5,5.85,124.5,124.45,1.735,0,1.76,1.73,113.4883,6.12,113.5457,113.5362
01/09/17,64.48,4.15,64.463,63.963,235.81,11.72,235.84,235.83,65.7643,5.05,65.7702,65.7643,190.45,8.97,190.49,190.45,13.41,1.24,13.42,13.41,90,4.21,90.01,89.97,597.5,40.5,598,597.5,257.8101,17.11,257.8,257.79,24.27,0.3,24.29,24.27,40.65,1.49,40.65,40.63,39.58,1.39,39.59,39.58,96.17,4.1,96.2,96.17,395.2,5.57,395.8,395.2,217.6,19.01,217.6,217.43,16.1291,1.83,16.1368,16.1291,6.49,0.33,6.5,6.49,176.07,9.33,176.1,176.08,53.05,4.36,53.05,53,1.5,0,NA,NA,123.95,5.85,123.95,123.9,1.695,0,1.745,1.69,112.55,6.12,112.5883,112.5787
01/10/17,64.237,4.15,64.3,63.983,233.11,11.72,233.23,233.19,65.6228,5.05,65.6228,65.611,191.3,8.97,191.35,191.3,13.48,1.24,13.49,13.48,90.03,4.21,90.08,89.84,610,40.5,610,609.5,256.1699,17.11,256.5,256.4299,24.63,0.3,24.64,24.63,40.97,1.49,40.97,40.94,40.1,1.39,40.12,40.11,97.87,4.1,97.85,97.84,393.7,5.57,393.8999,393.7,219.74,19.01,219.9,219.74,15.8066,1.83,15.8296,15.8142,6.62,0.33,6.63,6.62,176.36,9.33,176.42,176.37,52.8,4.36,52.8,52.75,1.275,0,NA,NA,123.85,5.85,123.8,123.75,1.7,0,1.74,1.69,112.8372,6.12,112.8468,112.8372
01/11/17,65.939,4.15,65.87,65.494,231.55,11.72,231.48,231.46,65.4694,5.05,65.4694,65.4635,190.34,8.97,190.4,190.34,13.55,1.24,13.56,13.55,89.92,4.21,89.95,89.89,610,40.5,610,609.5,255.13,17.11,255.09,255.05,24.63,0.3,24.63,24.62,41.09,1.49,41.09,41.07,40.82,1.39,40.83,40.82,97.91,4.1,97.93,97.91,395.3999,5.57,395.8999,395.3999,220.56,19.01,220.56,220.4,15.5992,1.83,15.5992,15.5915,6.55,0.33,6.57,6.55,177.07,9.33,177.07,177.02,52.1,4.36,52.1,52.05,1.9975,0,NA,NA,123.95,5.85,123.85,123.8,1.71,0,1.725,1.705,112.9904,6.12,113.0096,113
01/12/17,65.268,4.15,65.809,65.309,229.15,11.72,229.12,229.09,65.3633,5.05,65.3633,65.3574,191.07,8.97,191.07,191.05,13.1,1.24,13.1,13.09,89.28,4.21,89.37,89.27,617.5,40.5,617.5,617,252.62,17.11,252.62,252.6,24.275,0.3,24.28,24.27,40.89,1.49,40.88,40.86,40.85,1.39,40.87,40.86,97.5,4.1,97.51,97.5,396.8,5.57,396.8,396.3999,222.86,19.01,222.86,222.7,15.8373,1.83,15.845,15.8373,6.58,0.33,6.58,6.58,176.52,9.33,176.53,176.52,51.9,4.36,52,51.95,1.9975,0,NA,NA,123.7,5.85,123.75,123.7,1.68,0,1.72,1.67,112.6266,6.12,112.6457,112.6266
01/13/17,65.19,4.15,65.071,64.571,230.17,11.72,230.11,230.06,65.0094,5.05,65.0094,64.9976,191.58,8.97,191.65,191.58,13.07,1.24,13.07,13.06,89.41,4.21,89.53,89.38,611.5,40.5,611.5,610.5,254.53,17.11,254.56,254.53,25.23,0.3,25.23,25.22,41.06,1.49,41.06,41.04,40.99,1.39,41,40.99,97.4,4.1,97.41,97.39,398.7,5.57,398.6001,398.2,217.76,19.01,217.76,217.6,15.8219,1.83,15.8219,15.8142,6.59,0.33,6.59,6.59,177.89,9.33,177.91,177.89,51.35,4.36,51.35,51.3,1.9975,0,NA,NA,123.6,5.85,123.6,123.5,1.675,0,1.69,1.66,113.0479,6.12,113.0479,113.0383
