Name,IMPERIAL BRANDS ADR 1:1,IMPERIAL BRANDS ADR 1:1 - EARNINGS PER SHR,#ERROR,#ERROR,VECTOR GROUP,VECTOR GROUP - EARNINGS PER SHR,VECTOR GROUP - ASK PRICE,VECTOR GROUP - BID PRICE,BRITISH AMERICAN TOBACCO,BRITISH AMERICAN TOBACCO - EARNINGS PER SHR,BRITISH AMERICAN TOBACCO - ASK PRICE,BRITISH AMERICAN TOBACCO - BID PRICE,TAAT GLOBAL (FRA) ALTERNATIVES,#ERROR,TAAT GLOBAL (FRA) ALTERNATIVES - ASK PRICE,TAAT GLOBAL (FRA) ALTERNATIVES - BID PRICE,CONSTELLATION BRANDS 'A',CONSTELLATION BRANDS 'A' - EARNINGS PER SHR,CONSTELLATION BRANDS 'A' - ASK PRICE,CONSTELLATION BRANDS 'A' - BID PRICE,TURNING POINT BRANDS,TURNING POINT BRANDS - EARNINGS PER SHR,TURNING POINT BRANDS - ASK PRICE,TURNING POINT BRANDS - BID PRICE,RLX TECH.AMER.DEPY. SHS. 1:1,RLX TECH.AMER.DEPY. SHS. 1:1 - EARNINGS PER SHR,RLX TECH.AMER.DEPY. SHS. 1:1 - ASK PRICE,RLX TECH.AMER.DEPY. SHS. 1:1 - BID PRICE,PHILIP MORRIS INTL.,PHILIP MORRIS INTL. - EARNINGS PER SHR,PHILIP MORRIS INTL. - ASK PRICE,PHILIP MORRIS INTL. - BID PRICE,GUDANG GARAM,GUDANG GARAM - EARNINGS PER SHR,GUDANG GARAM - ASK PRICE,GUDANG GARAM - BID PRICE
Code,@IMBBY(P),@IMBBY(EPS),,,U:VGR(P),U:VGR(EPS),U:VGR(PA),U:VGR(PB),BATS(P),BATS(EPS),BATS(PA),BATS(PB),D:2TP(P),,D:2TP(PA),D:2TP(PB),U:STZ(P),U:STZ(EPS),U:STZ(PA),U:STZ(PB),U:TPB(P),U:TPB(EPS),U:TPB(PA),U:TPB(PB),U:RLX(P),U:RLX(EPS),U:RLX(PA),U:RLX(PB),U:PM(P),U:PM(EPS),U:PM(PA),U:PM(PB),ID:GUD(P),ID:GUD(EPS),ID:GUD(PA),ID:GUD(PB)
CURRENCY,U$,U$,,,U$,U$,U$,U$,£,£,£,£,E,,E,E,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,U$,RI,RI,RI,RI
04/05/17,49.17,2.73,,,17.605,0.5,17.5964,17.5877,5318,250.2,5319,5318,1.37,,1.54,1.4,161.4,6.29,161.4,161.36,15.55,1.49,15.58,15.55,NA,NA,NA,NA,113.19,4.48,113.18,113.17,67950,3470.26,67975,67950
04/06/17,49.24,2.73,,,17.605,0.5,17.605,17.5964,5291,250.2,5292,5291,1.34,,1.52,1.34,171.77,6.29,171.75,171.71,15.72,1.49,15.77,15.73,NA,NA,NA,NA,112.59,4.48,112.59,112.58,68000,3470.26,68025,68000
04/07/17,49.29,2.73,,,17.5964,0.5,17.5877,17.5791,5357,250.2,5357,5352,1.4,,1.5,1.35,170.37,6.29,170.39,170.37,15.88,1.49,15.94,15.79,NA,NA,NA,NA,113.6,4.48,113.61,113.6,68200,3470.26,68200,68100
04/10/17,49.04,2.73,,,17.8728,0.5,17.8728,17.8642,5345,250.2,5345,5344,1.35,,1.5,1.21,171.27,6.29,171.29,171.28,16.26,1.49,16.26,16.24,NA,NA,NA,NA,113.05,4.48,113.08,113.06,67000,3470.26,67050,67000
04/11/17,49.91,2.73,,,17.9765,0.48,17.9851,17.9765,5392,250.2,5392,5391,1.32,,1.36,1.14,170.35,6.29,170.36,170.35,16.07,1.49,16.11,16.07,NA,NA,NA,NA,113.42,4.48,113.45,113.43,65450,3470.26,65600,65450
04/12/17,49.93,2.73,,,17.8728,0.48,17.8814,17.8728,5382,250.2,5382,5381,1.16,,1.4,1.22,169.96,6.29,169.96,169.92,15.99,1.49,16.01,15.99,NA,NA,NA,NA,113.78,4.48,113.78,113.77,64950,3470.26,64975,64950
04/13/17,49.95,2.73,,,17.9678,0.48,17.9765,17.9678,5383,250.2,5383,5382,1.27,,1.46,1.22,168.95,6.75,168.98,168.97,16.05,1.49,16.14,16.05,NA,NA,NA,NA,113.06,4.48,113.07,113.06,64675,3470.26,64725,64675
04/14/17,49.95,2.73,,,17.9678,0.48,NA,NA,5383,250.2,NA,NA,1.27,,NA,NA,168.95,6.75,NA,NA,16.05,1.49,NA,NA,NA,NA,NA,NA,113.06,4.48,NA,NA,64675,3470.26,NA,NA
04/17/17,50.309,2.73,,,18.227,0.48,18.227,18.2183,5383,250.2,NA,NA,1.27,,NA,NA,170.12,6.75,170.12,170.08,16.02,1.49,16.02,16,NA,NA,NA,NA,114.74,4.48,114.8,114.78,64600,3470.26,64700,64600
04/18/17,49.8,2.73,,,18.3047,0.48,18.3047,18.2961,5263,250.2,5263,5261,1.35,,1.51,1.3,172.21,6.75,172.19,172.17,16.07,1.49,16.07,16.05,NA,NA,NA,NA,115.21,4.48,115.22,115.21,64900,3470.26,64925,64825
04/19/17,48.8,2.73,,,18.2874,0.48,18.2961,18.2874,5185,250.2,5185,5184,1.44,,1.64,1.44,171.94,6.75,171.94,171.91,15.98,1.49,15.98,15.97,NA,NA,NA,NA,113.91,4.48,113.93,113.91,64900,3470.26,NA,NA
04/20/17,48.846,2.73,,,18.3393,0.48,18.3393,18.3306,5218,250.2,5218,5217,1.46,,1.61,1.44,172.95,6.75,172.95,172.94,16.04,1.49,16.04,16.02,NA,NA,NA,NA,109.98,4.48,109.98,109.96,63575,3470.26,63600,63575
04/21/17,48.78,2.73,,,18.3047,0.48,18.3047,18.2961,5200,250.2,5200,5199,1.44,,1.58,1.38,172.09,6.75,172.1,172.09,16.09,1.49,16.06,16.05,NA,NA,NA,NA,109.62,4.48,109.64,109.62,64200,3470.26,64200,64050
04/24/17,49.88,2.73,,,18.6934,0.48,18.6934,18.6848,5328,250.2,5328,5327,1.47,,1.56,1.36,173.03,6.75,173.04,173.03,17.12,1.49,17.11,17.1,NA,NA,NA,NA,112.39,4.52,112.39,112.37,64200,3470.26,NA,NA
04/25/17,49.871,2.73,,,18.5552,0.48,18.5552,18.5466,5290,250.2,5291,5290,1.35,,1.52,1.37,172.54,6.75,172.58,172.56,16.51,1.49,16.51,16.5,NA,NA,NA,NA,113.09,4.52,113.1,113.09,64500,3470.26,64550,64500
04/26/17,50.268,2.73,,,18.607,0.48,18.607,18.5984,5307,250.2,5308,5307,1.4,,1.52,1.2,170.48,6.75,170.47,170.42,16.3,1.49,16.3,16.18,NA,NA,NA,NA,111.15,4.52,111.17,111.16,65950,3470.26,65975,65950
04/27/17,50.24,2.73,,,18.8057,0.48,18.8144,18.8057,5236,250.2,5236,5235,1.43,,1.6,1.42,171.06,6.75,171.09,171.06,16.31,1.49,16.37,16.31,NA,NA,NA,NA,110.19,4.52,110.21,110.19,66400,3470.26,66500,66400
04/28/17,49.722,2.73,,,18.7625,0.48,18.7625,18.7539,5215,250.2,5216,5215,1.42,,1.62,1.44,172.54,6.75,172.58,172.54,15.81,1.49,15.83,15.81,NA,NA,NA,NA,110.84,4.52,110.83,110.82,66400,3572.27,66475,66400
05/01/17,49.72,2.73,,,18.6762,0.48,18.6848,18.6762,5215,250.2,NA,NA,1.42,,NA,NA,172.07,6.75,172.13,172.09,16.12,1.49,16.15,16.12,NA,NA,NA,NA,110.55,4.52,110.58,110.57,66400,3572.27,NA,NA
05/02/17,49.51,2.73,,,18.7107,0.48,18.7107,18.7021,5266,250.2,5266,5265,1.41,,1.4,1.21,174.58,6.75,174.61,174.6,16.15,1.49,16.15,16.14,NA,NA,NA,NA,110.47,4.52,110.43,110.42,67150,3572.27,67175,67150
05/03/17,48.52,2.73,,,18.7021,0.48,18.7193,18.7107,5233,250.2,5233,5231,1.24,,1.5,1.28,173.74,6.75,173.77,173.75,15.91,1.49,15.95,15.91,NA,NA,NA,NA,110.61,4.52,110.59,110.58,67800,3572.27,67825,67800
05/04/17,47.69,2.73,,,18.6589,0.48,18.6589,18.6502,5239,250.2,5240,5239,1.28,,1.46,1.29,177.2,6.75,177.24,177.23,15.85,1.49,15.87,15.79,NA,NA,NA,NA,111.2,4.52,111.2,111.19,68000,3572.27,68000,67775
05/05/17,47.91,2.73,,,19.0908,0.48,19.0908,19.0822,5287,250.2,5287,5285,1.26,,1.47,1.24,178.51,6.75,178.53,178.51,15.77,1.49,15.77,15.76,NA,NA,NA,NA,112.25,4.52,112.25,112.23,71400,3572.27,71400,70800
05/08/17,48.15,2.73,,,18.3306,0.48,18.3306,18.322,5320,250.2,5320,5319,1.25,,1.36,1.17,179.52,6.75,179.52,179.51,15.12,1.49,15.14,15.13,NA,NA,NA,NA,112.63,4.52,112.63,112.62,70000,3572.27,70050,70000
05/09/17,48.66,2.73,,,18.2183,0.32,18.2183,18.2097,5310,250.2,5311,5310,1.24,,1.37,1.21,177.77,6.75,177.78,177.77,15.09,1.49,15.09,15.08,NA,NA,NA,NA,111.93,4.52,111.92,111.89,71200,3572.27,71225,71200
05/10/17,48.74,2.73,,,18.4256,0.32,18.4343,18.4256,5317,250.2,5317,5312,1.21,,1.46,1.29,177.57,6.75,177.57,177.56,16.07,1.49,16.14,16.1,NA,NA,NA,NA,110.83,4.52,110.84,110.83,70975,3572.27,70975,70500
05/11/17,48.425,2.73,,,18.3825,0.32,18.3911,18.3825,5339,250.2,5340,5339,1.27,,1.48,1.26,178.29,6.75,178.31,178.3,16.1,1.49,16.1,16,NA,NA,NA,NA,111.19,4.52,111.21,111.2,70975,3572.27,NA,NA
05/12/17,48.7,2.73,,,18.3565,0.32,18.3565,18.3479,5408,250.2,5408,5401,1.26,,1.37,1.21,178.57,6.75,178.56,178.52,15.4,1.49,15.4,15.31,NA,NA,NA,NA,111.71,4.52,111.7,111.69,73900,3572.27,73900,73875
05/15/17,48.05,2.73,,,18.4429,0.32,18.4516,18.4429,5394,250.2,5394,5392,1.25,,1.4,1.14,180.28,6.75,180.27,180.23,15.45,1.49,15.58,15.43,NA,NA,NA,NA,112.36,4.52,112.37,112.36,73600,3572.27,73625,73600
05/16/17,48.74,2.73,,,18.3825,0.32,18.3825,18.3738,5505,250.2,5505,5503,1.14,,1.23,1.07,182.21,6.75,182.21,182.18,15.51,1.49,15.51,15.5,NA,NA,NA,NA,113.52,4.52,113.52,113.5,70500,3572.27,70500,70375
05/17/17,48.327,2.73,,,18.1147,0.32,18.1233,18.1147,5480,250.2,5480,5479,1.12,,1.14,1,180.68,6.75,180.72,180.7,15.41,1.49,15.42,15.41,NA,NA,NA,NA,113.75,4.52,113.76,113.75,70100,3572.27,70275,70100
05/18/17,47.92,2.73,,,17.9592,0.32,17.9678,17.9592,5386,250.2,5386,5384,1,,1.25,1,180.84,6.75,180.84,180.82,15.46,1.46,15.51,15.44,NA,NA,NA,NA,113.58,4.52,113.59,113.58,72025,3572.27,72000,71800
05/19/17,48.69,2.73,,,18.0974,0.32,18.0974,18.0888,5401,250.2,5401,5400,1.02,,1.18,1.01,182.94,6.75,182.9,182.89,15.6,1.46,15.62,15.6,NA,NA,NA,NA,114.74,4.52,114.75,114.74,76500,3572.27,76500,76100
05/22/17,49.02,2.73,,,18.3738,0.32,18.3738,18.3652,5467,250.2,5467,5465,1.06,,1.21,0.99,184.14,6.75,184.09,184.06,16.94,1.46,16.94,16.83,NA,NA,NA,NA,116.22,4.52,116.22,116.21,74250,3572.27,74300,74250
05/23/17,48.1,2.73,,,18.5034,0.32,18.5034,18.4948,5420,250.2,5423,5420,1.06,,1.18,1.06,180.86,6.75,180.9,180.87,16.77,1.46,16.79,16.77,NA,NA,NA,NA,116.46,4.52,116.47,116.45,73100,3572.27,73100,72875
05/24/17,47.97,2.73,,,18.728,0.32,18.7366,18.728,5432,250.2,5435,5432,1.06,,1.14,0.9,178.83,6.75,178.82,178.81,16.62,1.46,16.62,16.56,NA,NA,NA,NA,117.43,4.52,117.42,117.41,73600,3572.27,73850,73600
05/25/17,48.21,2.73,,,18.8057,0.32,18.8057,18.7971,5495,250.2,5495,5493,1,,0.98,0.81,180.14,6.75,180.04,180.02,16.18,1.46,16.24,16.18,NA,NA,NA,NA,119.48,4.52,119.48,119.45,73600,3572.27,NA,NA
05/26/17,48.01,2.73,,,18.8576,0.32,18.8576,18.8489,5591,250.2,5591,5590,0.88,,1,0.84,180.93,6.75,180.93,180.9,16.32,1.46,16.32,16.29,NA,NA,NA,NA,119.83,4.52,119.82,119.81,74275,3572.27,74275,74175
05/29/17,48.01,2.73,,,18.8576,0.32,NA,NA,5591,250.2,NA,NA,0.82,,1.1,0.82,180.93,6.75,NA,NA,16.32,1.46,NA,NA,NA,NA,NA,NA,119.83,4.52,NA,NA,73400,3572.27,73425,73400
05/30/17,47.175,2.73,,,18.7366,0.32,18.7366,18.728,5501,250.2,5504,5501,0.82,,0.92,0.79,180.51,6.75,180.53,180.51,16.34,1.46,16.34,16.33,NA,NA,NA,NA,119.95,4.52,119.97,119.95,73500,3572.27,73750,73500
05/31/17,47.59,2.73,,,18.7798,0.32,18.7971,18.7885,5530,250.2,5530,5525,0.83,,0.94,0.82,182.75,6.75,182.76,182.75,16.75,1.46,16.77,16.72,NA,NA,NA,NA,119.8,4.52,119.81,119.8,73950,3572.27,74100,73950
06/01/17,48.04,2.73,,,18.9439,0.32,18.9439,18.9353,5508,250.2,5508,5507,0.84,,0.9,0.74,184.69,6.75,184.65,184.59,16.65,1.46,16.68,16.6,NA,NA,NA,NA,120.9,4.52,120.91,120.9,73950,3572.27,NA,NA
06/02/17,47.89,2.73,,,19.1426,0.32,19.1426,19.134,5578,250.2,5579,5578,0.73,,0.92,0.78,184.77,6.75,184.55,184.54,16.62,1.46,16.58,16.56,NA,NA,NA,NA,121.79,4.52,121.78,121.77,74500,3572.27,75000,74500
06/05/17,47.795,2.73,,,19.1167,0.32,19.1167,19.1081,5580,250.2,5580,5579,0.73,,NA,NA,184.51,6.75,184.46,184.45,16.36,1.46,16.37,16.33,NA,NA,NA,NA,121.97,4.52,121.96,121.95,74300,3572.27,74700,74300
06/06/17,48.01,2.73,,,18.9699,0.32,18.9699,18.9612,5643,250.2,5643,5639,0.84,,1.05,0.81,185.83,6.75,185.79,185.76,16.77,1.46,16.77,16.73,NA,NA,NA,NA,122,4.52,122,121.99,74400,3572.27,74400,73900
06/07/17,47.85,2.73,,,19.013,0.32,19.013,19.0044,5583,250.2,5584,5583,0.81,,0.93,0.78,184.54,6.75,184.5,184.49,16.82,1.46,16.82,16.81,NA,NA,NA,NA,122.3,4.52,122.3,122.29,75500,3572.27,75500,75350
06/08/17,46.63,2.73,,,19.2981,0.32,19.2981,19.2895,5507,250.2,5511,5507,0.76,,0.97,0.81,183.45,6.75,183.45,183.44,16.76,1.46,16.76,16.65,NA,NA,NA,NA,121.11,4.52,121.09,121.08,74950,3572.27,75025,74950
06/09/17,46.02,2.73,,,19.3586,0.32,19.3672,19.3586,5518,250.2,5518,5517,0.86,,0.96,0.78,181,6.75,181.03,181.01,16.61,1.46,16.61,16.56,NA,NA,NA,NA,120.12,4.52,120.12,120.11,75500,3572.27,75600,75500
06/12/17,46.31,2.73,,,19.134,0.32,19.134,19.1254,5462,250.2,5462,5461,0.76,,0.98,0.82,179.14,6.75,179.14,179.13,15.36,1.46,15.36,15.34,NA,NA,NA,NA,119.17,4.52,119.18,119.17,77750,3572.27,78000,77750
06/13/17,46.18,2.73,,,19.1599,0.32,19.1685,19.1599,5414,250.2,5415,5414,0.87,,0.98,0.8,179.55,6.75,179.56,179.55,15.71,1.46,15.74,15.71,NA,NA,NA,NA,118.69,4.52,118.69,118.68,77675,3572.27,77700,77675
06/14/17,46.525,2.73,,,19.2117,0.32,19.2117,19.2031,5446,250.2,5452,5446,0.8,,0.99,0.83,179.9,6.75,179.95,179.92,15.25,1.46,15.32,15.25,NA,NA,NA,NA,119.75,4.52,119.7,119.69,79000,3572.27,79000,78725
06/15/17,46.22,2.73,,,19.1945,0.32,19.1945,19.1858,5440,250.2,5440,5439,0.83,,0.98,0.78,180.3,6.75,180.32,180.3,15.37,1.46,15.38,15.28,NA,NA,NA,NA,120.51,4.52,120.51,120.5,80000,3572.27,80225,80000
06/16/17,46.19,2.73,,,18.6416,0.32,18.6502,18.6416,5499,250.2,5500,5499,0.86,,0.96,0.8,180.88,6.75,180.85,180.82,15.54,1.46,15.55,15.54,NA,NA,NA,NA,121.84,4.52,121.84,121.83,79000,3572.27,79350,79000
06/19/17,46.46,2.73,,,18.8835,0.32,18.8921,18.8835,5567,250.2,5567,5565,0.75,,0.93,0.76,183.28,6.75,183.35,183.33,15.53,1.46,15.56,15.53,NA,NA,NA,NA,122.9,4.52,122.87,122.86,79900,3572.27,79975,79900
06/20/17,45.91,2.73,,,18.728,0.32,18.7366,18.728,5563,250.2,5568,5563,0.7,,0.78,0.6,184.55,6.75,184.61,184.59,15.24,1.46,15.25,15.24,NA,NA,NA,NA,122.11,4.52,122.13,122.12,79400,3572.27,79400,79250
06/21/17,45.73,2.73,,,18.607,0.32,18.6243,18.6157,5553,250.2,5559,5553,0.62,,0.83,0.61,184.5,6.75,184.57,184.56,16.28,1.46,16.3,16.28,NA,NA,NA,NA,120.19,4.52,120.2,120.19,78400,3572.27,78500,78400
06/22/17,46.11,2.73,,,18.633,0.32,18.6416,18.633,5485,250.2,5486,5485,0.58,,0.89,0.59,184.11,6.75,184.13,184.11,15.98,1.46,16.02,15.98,NA,NA,NA,NA,119.71,4.52,119.71,119.7,78300,3572.27,78300,78000
06/23/17,46.27,2.73,,,18.8144,0.32,18.8144,18.8057,5482,250.2,5482,5481,0.67,,0.9,0.65,184.57,6.75,184.58,184.57,16.3,1.46,16.3,16.27,NA,NA,NA,NA,119.56,4.52,119.53,119.52,78300,3572.27,NA,NA
06/26/17,46.54,2.73,,,18.8748,0.32,18.8748,18.8662,5477,250.2,5477,5476,0.75,,0.91,0.7,182.47,6.75,182.5,182.47,15.52,1.46,15.56,15.52,NA,NA,NA,NA,119.51,4.52,119.51,119.49,78300,3572.27,NA,NA
06/27/17,46.51,2.73,,,18.607,0.32,18.5984,18.5898,5428,250.2,5429,5428,0.7,,0.82,0.65,182.28,6.75,182.35,182.33,15.52,1.46,15.55,15.52,NA,NA,NA,NA,118.14,4.52,118.21,118.2,78300,3572.27,NA,NA
06/28/17,46.55,2.73,,,18.7971,0.32,18.7971,18.7885,5351,250.2,5351,5350,0.64,,0.95,0.64,183.68,6.75,183.93,183.92,15.79,1.46,15.88,15.66,NA,NA,NA,NA,118.93,4.52,118.93,118.92,78300,3572.27,NA,NA
06/29/17,46.17,2.73,,,18.4256,0.32,18.4256,18.417,5235,250.2,5235,5234,0.64,,0.88,0.64,192.79,6.75,193.97,193.96,15.53,1.46,15.53,15.5,NA,NA,NA,NA,117.08,4.52,117.14,117.12,78300,3572.27,NA,NA
06/30/17,45.74,2.73,,,18.417,0.32,18.3997,18.3911,5234,250.2,5235,5234,0.64,,0.86,0.67,193.73,6.75,193.75,193.73,15.34,1.46,15.34,15.31,NA,NA,NA,NA,117.45,4.52,117.47,117.46,78300,3572.27,NA,NA
07/03/17,45.49,2.73,,,18.2874,0.32,18.2874,18.2788,5236,250.2,5237,5236,0.67,,0.86,0.67,191.73,7.23,191.86,191.79,15.18,1.46,15.17,15.16,NA,NA,NA,NA,116.9,4.52,116.89,116.86,81300,3572.27,81375,81300
07/04/17,45.49,2.73,,,18.2874,0.32,NA,NA,5177,250.2,5177,5176,0.67,,0.86,0.64,191.73,7.23,NA,NA,15.18,1.46,NA,NA,NA,NA,NA,NA,116.9,4.52,NA,NA,78500,3572.27,78500,78425
07/05/17,45,2.73,,,18.1319,0.32,18.1233,18.106,5257,250.2,5258,5255,0.63,,0.79,0.63,193.92,7.23,193.9,193.89,14.96,1.46,14.96,14.91,NA,NA,NA,NA,118.54,4.52,118.59,118.58,75800,3572.27,75800,75700
07/06/17,45.12,2.73,,,17.8555,0.32,17.8469,17.8382,5184,250.2,5185,5184,0.63,,0.8,0.62,193.76,7.23,193.8,193.76,14.77,1.46,14.82,14.8,NA,NA,NA,NA,118.35,4.52,118.37,118.36,77875,3572.27,77875,77300
07/07/17,45.32,2.73,,,18.0369,0.32,18.0283,18.0196,5219,250.2,5220,5219,0.64,,0.84,0.65,193.52,7.23,193.56,193.53,14.95,1.46,14.99,14.96,NA,NA,NA,NA,117.9,4.52,117.91,117.9,76350,3572.27,76450,76350
07/10/17,45.05,2.73,,,17.916,0.32,17.9246,17.916,5210,250.2,5210,5208,0.62,,0.81,0.61,193.82,7.23,193.85,193.84,14.9,1.46,14.92,14.9,NA,NA,NA,NA,118.16,4.52,118.2,118.19,76500,3572.27,76550,76475
07/11/17,44.52,2.73,,,17.9851,0.32,17.9851,17.9765,5180,250.2,5181,5180,0.59,,0.78,0.59,193.89,7.23,193.98,193.95,15.09,1.46,15.17,15.15,NA,NA,NA,NA,117.21,4.52,117.22,117.21,75825,3572.27,75925,75825
07/12/17,45.38,2.73,,,18.2097,0.32,18.2097,18.201,5278,250.2,5278,5274,0.59,,0.76,0.58,197.1,7.23,197.11,197.1,15.18,1.46,15.18,15.11,NA,NA,NA,NA,118.23,4.52,118.27,118.26,78200,3572.27,78250,78200
07/13/17,45.93,2.73,,,18.0369,0.32,18.0369,18.0283,5290,250.2,5290,5289,0.6,,0.79,0.6,196.25,7.23,196.32,196.31,14.98,1.46,15,14.97,NA,NA,NA,NA,117.51,4.52,117.53,117.52,78900,3572.27,78900,78200
07/14/17,46.62,2.73,,,18.1838,0.32,18.1838,18.1751,5277,250.2,5278,5277,0.6,,0.82,0.6,198.32,7.23,198.32,198.31,15.15,1.46,15.15,15.12,NA,NA,NA,NA,119.13,4.52,119.15,119.14,76150,3572.27,76175,76150
07/17/17,45.59,2.73,,,18.1751,0.32,18.1838,18.1751,5305,250.2,5305,5304,0.6,,0.98,0.76,196.6,7.23,196.6,196.59,15.04,1.46,15.05,15.03,NA,NA,NA,NA,119,4.52,119.01,119,75800,3572.27,75975,75800
07/18/17,45.25,2.73,,,18.0542,0.32,18.0542,18.0456,5237,250.2,5238,5237,0.82,,0.98,0.76,197.18,7.23,197.18,197.17,15.11,1.46,15.19,15.12,NA,NA,NA,NA,119.64,4.52,119.62,119.61,76750,3572.27,76750,76550
07/19/17,45.5,2.73,,,18.2529,0.32,18.2529,18.2442,5288,250.2,5288,5286,0.82,,1.06,0.8,198.3,7.23,198.3,198.28,15.5,1.46,15.5,15.44,NA,NA,NA,NA,121.62,4.52,121.58,121.46,76150,3572.27,76300,76150
07/20/17,46.16,2.73,,,18.2788,0.32,18.2788,18.2702,5425,250.2,5425,5421,0.82,,1.2,1.02,198.12,7.23,198.17,198.16,15.39,1.46,15.41,15.31,NA,NA,NA,NA,119.86,4.52,119.95,119.94,76250,3572.27,76250,76150
07/21/17,46.175,2.73,,,18.4084,0.32,18.417,18.4084,5485,250.2,5485,5484,1.09,,1.25,1.04,198.52,7.23,198.49,198.46,15.06,1.46,15.06,15.05,NA,NA,NA,NA,119.58,4.52,119.6,119.59,75700,3572.27,75700,75650
07/24/17,45.83,2.73,,,18.3133,0.32,18.3825,18.3047,5413,250.2,5413,5411,1.03,,1.34,1.11,196,7.23,196.33,196.02,14.52,1.46,14.6,14.58,NA,NA,NA,NA,118.89,4.52,119.08,119.09,76950,3572.27,76950,76400
07/25/17,45.56,2.73,,,18.3565,0.32,18.3565,18.3306,5283,250.2,5283,5282,1.34,,1.39,1.2,193.67,7.23,193.96,193.65,14.78,1.46,14.81,14.79,NA,NA,NA,NA,117.82,4.52,117.87,117.84,76625,3572.27,76625,76600
07/26/17,45.58,2.73,,,18.3306,0.32,18.3306,18.3047,5323,250.2,5323,5322,1.2,,1.42,1.23,193.38,7.23,193.49,193.44,15.56,1.46,15.62,15.52,NA,NA,NA,NA,117.65,4.52,117.61,105.2,76100,3572.27,76350,76075
07/27/17,45.7,2.73,,,18.4343,0.32,18.4429,18.417,5322,232.5,5322,5321,1.23,,1.42,1.2,194.46,7.23,194.41,194.38,15.65,1.46,15.69,15.57,NA,NA,NA,NA,118.19,4.52,118.22,105.2,78000,3572.27,78000,77900
07/28/17,44.36,2.73,,,17.5704,0.32,17.5704,17.5532,4960,232.5,4960,4959,1.28,,1.44,1.21,194.59,7.23,194.83,194.56,15.64,1.46,15.66,15.65,NA,NA,NA,NA,118.51,4.52,118.53,105.2,79800,3572.27,79800,79750
07/31/17,41.9,2.73,,,17.3891,0.32,17.3891,17.3631,4713.5,232.5,4713.5,4713,1.28,,1.43,1.21,193.35,7.23,193.64,193.56,15.42,1.46,15.42,15.35,NA,NA,NA,NA,116.71,4.52,116.75,105.2,76100,3602.97,76100,76075
08/01/17,43.02,2.73,,,17.415,0.32,17.4236,17.4063,4832,232.5,4832.5,4832,1.2,,1.45,1.16,194.75,7.23,194.78,194.83,15.32,1.46,15.41,15.33,NA,NA,NA,NA,115.88,4.52,115.82,115.79,72275,3602.97,72300,72275
08/02/17,42.67,2.73,,,17.2336,0.32,17.2336,17.2249,4854,232.5,4854,4852.5,1.2,,1.36,1.14,193.51,7.23,193.57,193.55,15.01,1.46,15.02,15.01,NA,NA,NA,NA,114.46,4.52,114.49,114.48,70400,3602.97,70475,70400
08/03/17,43.865,2.73,,,17.1817,0.32,17.1817,17.1731,5004,232.5,5005,5004,1.11,,1.2,1.01,193.04,7.23,193.06,193.04,14.72,1.46,14.77,14.75,NA,NA,NA,NA,114.49,4.52,114.53,114.52,71100,3602.97,71100,71075
08/04/17,43.81,2.73,,,17.9073,0.32,17.916,17.9073,5057,232.5,5057,5056,1.08,,1.3,1.02,193.82,7.23,193.82,193.81,15.1,1.46,15.12,15.1,NA,NA,NA,NA,114.76,4.52,114.82,114.81,71650,3602.97,71650,71600
08/07/17,43.25,2.73,,,18.1665,0.32,18.1751,18.1665,5055,232.5,5055,5054,1.08,,1.3,0.98,194.97,7.23,194.97,194.95,15.25,1.46,15.25,15.22,NA,NA,NA,NA,115.86,4.52,115.86,115.84,69500,3602.97,69650,69500
08/08/17,42.95,2.73,,,18.5811,0.31,18.5811,18.5725,4990,232.5,4990.5,4990,1.08,,1.26,1.02,194.68,7.23,194.69,194.64,15.06,1.46,15.21,15.1,NA,NA,NA,NA,114.67,4.52,114.7,114.68,68800,3602.97,68800,68600
08/09/17,43.19,2.73,,,17.9678,0.31,17.9851,17.9765,4976.5,232.5,4976.5,4975.5,0.93,,1.2,0.98,195.39,7.23,195.48,195.46,15.03,1.46,15.08,15.05,NA,NA,NA,NA,115.41,4.52,115.46,115.44,66300,3602.97,66300,66275
08/10/17,42.305,2.73,,,18.2615,0.31,18.2615,18.2529,4903,232.5,4903.5,4903,1.02,,1.18,0.97,194.69,7.23,194.69,194.67,15.82,1.46,16,15.87,NA,NA,NA,NA,114.22,4.52,114.13,114.12,66900,3602.97,66975,66900
08/11/17,41.84,2.73,,,18.2442,0.31,18.2442,18.2356,4855.5,232.5,4856.5,4855.5,0.98,,1.19,0.98,195.65,7.23,195.66,195.65,16.96,1.46,17.07,16.98,NA,NA,NA,NA,114.88,4.52,114.87,114.86,65900,3602.97,65900,65875
08/14/17,41.5,2.73,,,18.4429,0.31,18.4429,18.4343,4845.5,232.5,4846.5,4845.5,1.01,,1.16,0.98,197.19,7.23,197.06,197.03,15.95,1.46,15.99,15.95,NA,NA,NA,NA,114.76,4.52,114.71,114.7,66800,3602.97,66850,66800
08/15/17,42.01,2.73,,,18.5466,0.31,18.5639,18.5552,4907.5,232.5,4911,4907.5,1.01,,1.17,0.98,198.7,7.23,198.66,198.63,15.65,1.46,15.68,15.65,NA,NA,NA,NA,116.82,4.52,116.87,116.84,67325,3602.97,67325,67300
